SPK_SPKC04a (excited),SPK_SPKC04b (excited),SPK_SPKC12a (excited)
0.01195,0.0422,0.165875
0.102075,0.192675,0.67635
0.11855,1.561475,0.927175
0.14675,1.65705,1.8866
0.162225,2.2966,2.070175
0.1696,2.424275,2.166175
0.2165,2.574175,2.37005
0.227575,3.12125,2.410225
0.24605,3.71925,2.9567
0.26765,3.95245,3.28845
0.282675,3.988375,3.3014
0.304675,4.2213,3.317375
0.3078,4.69375,3.326775
0.323725,5.0677,3.510625
0.334175,5.811075,3.727825
0.355675,6.798475,3.8926
0.379475,7.11935,4.390775
0.39745,7.202275,4.53905
0.405,7.408225,4.827025
0.4205,7.5455,5.406325
0.428275,7.849225,5.510825
0.46925,8.0314,6.2929
0.47325,9.0069,6.4375
0.506275,10.0625,6.5996
0.51675,10.795925,6.745925
0.521825,10.894625,6.7588
0.532075,12.8833,6.769325
0.60805,13.72735,7.00315
0.63205,14.656825,7.1001
0.6615,15.103,7.65525
0.681225,15.2015,7.659175
0.696525,15.302725,7.898
0.7224,15.476775,8.560625
0.747725,15.65035,8.885725
0.768325,16.013075,8.92775
0.7845,16.885175,9.3236
0.792975,17.07135,9.6226
0.811375,19.6527,10.0245
0.852225,20.05445,11.02055
0.870975,20.8751,11.28625
0.896225,21.436475,11.40105
0.91405,21.829225,12.655375
0.92185,22.763425,12.996925
0.963125,23.146625,13.148925
0.9755,23.658925,14.095125
0.99455,24.472225,14.210075
1.07615,24.68545,14.9844
1.10915,25.104,16.0738
1.1294,25.50035,17.3037
1.176675,25.91145,17.531925
1.2214,25.923725,17.552125
1.238625,26.527925,17.78145
1.261625,27.343625,17.872975
1.270275,28.27435,19.5115
1.325325,28.333875,19.519475
1.32985,30.7911,20.11375
1.36275,31.16835,20.1258
1.38385,31.8677,20.54075
1.4072,32.23195,22.408725
1.41225,32.421775,24.909825
1.4448,32.449,24.925275
1.458675,32.935475,24.967175
1.48635,33.1244,25.375625
1.50565,33.6291,25.79345
1.607875,33.671225,26.16055
1.61195,34.265425,26.7156
1.62945,34.73965,26.725025
1.6428,36.563425,26.84105
1.668625,37.826975,26.897475
1.7199,38.388275,26.93765
1.732,38.682725,27.16705
1.74235,38.969125,27.632125
1.7751,39.344875,27.63695
1.788475,40.03935,27.745025
1.84415,41.64835,28.027275
1.859325,42.320125,28.036275
1.8812,42.99805,28.2091
1.894825,43.209725,28.25815
1.9459,43.801425,29.650225
1.979875,44.031,30.170625
2.008475,44.59535,30.27645
2.02605,44.803525,31.02755
2.041725,44.81985,31.155
2.0899,44.8869,31.319425
2.10075,45.158975,31.476025
2.207625,46.41635,32.176325
2.211275,46.4855,32.848625
2.234375,48.367625,32.8536
2.274,48.4892,36.2493
2.278475,48.6233,36.538325
2.3149,48.870375,36.828375
2.33115,49.6831,37.020925
2.361975,49.839675,37.427525
2.371,50.641775,37.912425
2.38425,50.97,37.9322
2.39635,52.06575,38.0179
2.4376,52.647475,38.599575
2.44635,53.355975,39.08335
2.4661,53.8139,41.12405
2.5133,53.94645,41.543825
2.52375,54.45495,41.755475
2.546775,55.6897,41.86455
2.56295,56.0843,41.922725
2.58485,56.325175,41.9406
2.594875,56.679125,42.02955
2.61875,56.7004,42.120275
2.6254,56.725075,42.198575
2.627075,57.430775,42.42905
2.700525,58.06335,42.6161
2.739875,58.1111,43.33285
2.76675,58.4017,43.558075
2.772375,59.109775,43.5654
2.8361,59.17395,44.376825
2.840425,59.363475,45.690225
2.842125,59.54545,46.1414
2.853725,59.652225,46.16085
2.877275,59.8962,46.36905
2.889725,60.270325,46.66935
2.919175,60.90245,47.51005
2.954,60.974725,47.549825
3.00745,61.06025,47.975375
3.009225,61.3477,48.17085
3.03025,61.688325,48.38785
3.087525,62.1116,48.957675
3.176475,62.6781,49.044
3.220025,62.874475,50.40985
3.2346,63.116125,50.783475
3.27155,63.55305,50.93985
3.2938,65.2045,51.7612
3.341225,65.49965,51.870125
3.367875,66.07655,52.73265
3.38085,66.809025,52.947625
3.4042,66.896425,53.266375
3.41275,67.36265,53.8999
3.510475,67.89155,54.129275
3.551775,68.437225,54.380725
3.5846,68.60985,55.235425
3.606925,69.90305,55.89725
3.6122,70.22355,56.629675
3.622525,70.9405,56.908525
3.632875,71.031375,56.9181
3.646925,71.241575,57.44325
3.67025,72.531975,57.671075
3.70285,73.927425,57.687525
3.721025,73.949175,57.856825
3.74225,74.044875,58.769625
3.80225,74.12255,59.092375
3.81035,74.13515,59.1284
3.822025,74.8808,59.269425
3.826125,75.0961,59.644975
3.873175,75.92865,59.7655
3.885,76.435175,60.3951
3.915025,78.271625,61.11395
3.9292,78.6524,61.444825
3.934225,79.016225,61.92765
3.99375,79.39015,62.926525
4.0076,79.7112,63.67875
4.012025,80.376825,63.834975
4.032825,80.4525,64.06375
4.051675,80.5897,64.340275
4.061925,80.67095,64.827125
4.07575,81.095025,65.13055
4.082325,81.217025,65.13605
4.089075,81.824075,65.43355
4.104375,82.3694,65.43605
4.114325,82.43305,65.652125
4.120525,82.764275,65.774625
4.125525,83.06295,65.9987
4.1375,83.489675,66.704
4.1553,83.7419,66.7075
4.16725,83.974725,66.9625
4.1721,84.2213,66.972
4.181725,84.5212,66.9887
4.19375,84.9053,67.278575
4.204575,85.338975,67.288475
4.212975,85.347,67.296975
4.240025,85.75555,67.57195
4.246325,85.91535,67.5796
4.2486,86.509175,67.9217
4.2598,87.259725,68.55895
4.27115,87.592075,68.803925
4.2744,88.3791,69.5643
4.27585,89.263075,69.683725
4.3,89.4966,70.83535
4.30635,89.794175,71.4467
4.3109,90.63095,71.677325
4.31245,90.681975,71.969925
4.32335,90.942775,72.235725
4.338625,91.201125,72.50785
4.35465,92.03665,72.664625
4.37165,92.20255,72.689775
4.38465,92.4882,72.7667
4.387025,93.14305,72.927175
4.40795,93.965375,73.113075
4.4115,94.049225,73.3662
4.419625,96.676375,73.404675
4.4371,96.98005,73.452675
4.46685,96.994775,73.62575
4.488075,97.11945,73.907125
4.529425,97.3253,74.354825
4.541925,97.591175,75.2906
4.5884,97.91415,75.57345
4.60975,98.148725,75.6406
4.617075,98.17195,75.703875
4.63325,98.41565,75.713125
4.645675,98.4417,75.9748
4.666475,98.701375,75.997625
4.708875,99.35895,76.004225
4.733075,99.725725,76.025075
4.7487,100.3163,76.41485
4.79325,100.53495,76.518625
4.81335,100.85655,77.411475
4.85495,101.169875,78.125425
4.859025,101.421725,78.42875
4.879025,102.2897,79.917925
4.899575,103.010525,79.98025
4.92605,103.095725,80.069475
4.969275,104.08485,80.1825
5.010975,105.340525,80.754625
5.0437,106.069025,81.720225
5.112625,107.252975,81.76275
5.1159,107.527325,82.6003
5.133525,107.621225,82.6944
5.1511,108.309825,82.745075
5.16885,108.95475,82.981425
5.22415,111.068275,83.3718
5.252,111.088,83.37805
5.2603,112.848675,84.22065
5.266125,113.1435,84.230825
5.287025,113.376825,84.25995
5.347425,113.4199,84.4532
5.359325,113.80045,84.45665
5.3941,114.126825,84.7248
5.3989,115.225475,84.731275
5.410625,115.277825,85.602375
5.41695,115.392475,85.606575
5.4254,115.52135,85.612775
5.427475,115.718425,86.0915
5.472,115.781175,86.5264
5.53485,116.7136,86.537075
5.54405,116.9797,86.67355
5.5501,117.0046,87.0725
5.57215,117.25165,87.344825
5.591425,117.355575,87.62905
5.609025,118.44785,88.390675
5.61915,118.750075,88.98095
5.634575,119.0301,89.34335
5.68045,119.628875,89.346675
5.740025,120.263525,89.7309
5.74395,120.269775,89.73705
5.7484,120.846425,90.047975
5.775425,121.20515,90.051375
5.784525,121.481125,90.479075
5.8131,121.788725,90.482075
5.8269,122.0519,90.938325
5.84205,122.17745,91.125375
5.85855,122.4145,91.419575
5.868075,122.438775,91.426775
5.8702,122.6175,92.5056
5.881575,122.6348,92.50995
5.90115,123.4465,92.983825
5.947825,123.74175,92.98975
5.981625,124.352125,93.5056
5.985375,124.956075,93.510075
6.02255,125.294475,94.75635
6.043225,125.370025,95.20185
6.048625,125.825,95.291
6.0596,126.284825,95.92595
6.072225,127.0209,96.03395
6.094525,127.53935,96.07045
6.101275,127.992725,96.102775
6.1603,128.161975,96.217625
6.1681,128.983325,96.244575
6.191225,129.02085,96.279
6.212375,129.5884,96.592
6.256975,130.602,96.6148
6.271225,130.64755,96.6486
6.2955,131.75755,96.743575
6.37925,131.7704,96.80375
6.382575,131.95045,96.830075
6.38745,132.308275,96.8342
6.428975,132.5155,96.8826
6.475975,132.5816,96.94095
6.49445,132.670575,97.0601
6.50725,132.897375,98.55595
6.52,133.0674,100.027925
6.5482,133.11805,100.0672
6.5525,133.22835,100.419825
6.57285,133.30075,100.7327
6.5817,133.6747,100.88225
6.58785,133.9908,101.0003
6.59985,134.5842,101.65995
6.617,134.622375,102.191775
6.63955,134.872425,102.457175
6.653,135.859625,102.5989
6.6545,136.076125,102.69765
6.717325,136.49295,102.86475
6.7802,136.724525,103.06785
6.795925,136.838275,103.312525
6.829325,138.0248,103.440575
6.871,138.068375,103.51735
6.874175,138.717575,103.907875
6.905325,139.55025,104.861175
6.97775,139.714275,105.113125
7.005325,140.0354,106.623275
7.02825,140.0994,107.244125
7.043725,140.752375,107.284175
7.10635,141.3232,107.316325
7.1139,141.39705,107.34785
7.14765,141.442475,108.07555
7.189925,141.4614,108.104475
7.21765,141.633825,108.175575
7.249625,142.924475,108.364025
7.278825,143.8462,108.406175
7.289075,144.97615,108.51165
7.3055,145.162225,108.6582
7.31515,145.905675,108.9465
7.34575,146.49625,109.306625
7.374925,146.7266,109.89125
7.385325,146.755175,109.899375
7.453625,147.58755,110.548575
7.513225,148.6452,110.77175
7.5214,148.719525,110.883325
7.523225,149.54735,111.8946
7.52535,150.001275,112.02375
7.5632,150.50095,112.23875
7.585825,150.617825,112.714775
7.61075,150.9043,113.157
7.621925,151.011425,113.92115
7.62775,151.4658,114.302825
7.644325,151.8771,114.50265
7.656525,152.03125,114.541725
7.699525,152.10035,114.74485
7.702425,152.235375,114.78805
7.723325,152.988475,114.98535
7.72505,153.282425,115.13025
7.7542,153.52535,115.428625
7.758625,153.6334,115.9432
7.76415,154.33665,116.386
7.78115,154.807625,116.453325
7.81145,154.9948,116.565825
7.821575,155.437725,116.58055
7.8371,155.9333,116.607925
7.8428,157.344275,117.38425
7.8684,158.332075,117.4224
7.888375,159.118225,117.7077
7.934025,159.351775,118.596425
7.95395,159.923325,118.62605
7.966375,160.1649,119.171925
7.976825,160.387025,119.4112
7.98315,160.451725,120.34175
8.01125,160.57625,120.463725
8.018275,160.952425,120.741875
8.0614,161.7475,121.059925
8.1752,162.0515,122.032275
8.194475,162.188325,122.1409
8.198725,162.788025,123.1336
8.212325,162.816225,124.344475
8.221825,163.1372,124.352425
8.240275,163.163875,124.5455
8.2522,163.306975,126.11845
8.296,163.561825,126.2504
8.313575,164.0153,126.319175
8.3179,164.539875,126.6689
8.3268,164.61985,127.09645
8.351875,164.782375,127.344875
8.3584,164.87535,127.373825
8.36525,165.077,127.431825
8.368825,165.88285,127.4859
8.3973,166.16645,127.658175
8.412325,167.361175,127.71165
8.429175,167.424,127.7652
8.4331,168.298875,127.7859
8.449825,169.660925,127.800125
8.461975,169.743475,128.04415
8.49445,169.75505,128.123425
8.5044,170.503775,128.34805
8.516875,171.127775,128.535975
8.531075,171.160925,129.684275
8.5519,171.18425,129.937925
8.55565,171.4114,130.2
8.585725,171.61735,130.509475
8.6075,171.94905,131.015975
8.621175,172.291325,131.14005
8.65315,172.2956,131.183275
8.687125,172.34815,131.190875
8.70885,172.642075,131.23355
8.7235,172.731325,131.400575
8.746625,173.387425,131.452275
8.761075,173.471,131.476975
8.776625,174.50955,131.5159
8.791125,174.718625,131.75475
8.846775,175.0825,131.9508
8.85315,175.362875,131.9619
8.86875,175.3788,132.225925
8.874025,175.40075,132.234275
8.89485,175.469375,132.37415
8.915025,175.719625,132.4204
8.9197,175.78465,132.435325
8.921275,176.990275,132.916975
8.94455,177.126575,132.9833
8.9495,177.484875,133.450925
8.978175,177.909025,133.484975
8.99665,178.270225,133.891025
9.008525,178.39945,134.016825
9.041625,179.515725,134.70685
9.063175,179.673225,134.96655
9.081625,179.932475,135.602825
9.12395,180.09775,135.609525
9.12985,180.20445,135.724175
9.13185,180.206575,135.7688
9.16015,180.283625,136.01255
9.171075,180.356175,136.14935
9.188825,181.076425,136.1616
9.2075,181.65825,137.0186
9.216225,182.059625,137.407175
9.222375,182.070025,137.660175
9.26575,182.168925,137.77805
9.306225,182.323975,137.936925
9.31705,183.169675,138.28865
9.32575,183.421525,138.3604
9.3478,183.473,138.49115
9.359125,183.7734,138.542475
9.385525,183.920775,138.795925
9.402,184.312175,138.8621
9.424625,184.438225,139.086925
9.4324,185.092375,139.106825
9.4559,185.317075,139.151475
9.4713,185.560575,140.48395
9.487425,186.1907,142.48335
9.5199,186.7308,142.723125
9.57275,187.11875,142.862375
9.584925,187.3742,143.1185
9.6064,187.496875,143.2845
9.6185,187.520425,143.301275
9.62745,188.126325,143.49925
9.642475,188.2848,143.557075
9.6507,188.373225,143.76665
9.661275,188.65625,143.928025
9.67865,188.8706,144.5539
9.6902,188.99695,144.818725
9.707975,189.060175,145.06005
9.71995,189.585875,145.2006
9.745425,189.90495,145.2092
9.757425,189.908375,145.222675
9.775925,190.00295,145.434025
9.78225,191.91245,145.436825
9.791575,191.92325,145.4399
9.8212,192.5569,145.448925
