SPK_SPKC01a (late excitation),SPK_SPKC01b (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC08b (inhibited),SPK_SPKC09a (excited)
0.038325,0.131275,0.124925,0.04875,0.2364,0.13085
0.064025,0.69495,0.333425,0.112825,0.466675,0.1335
0.107775,0.711775,0.5947,0.119475,0.51425,0.1445
0.1144,0.927625,0.694725,0.23075,0.73785,0.219225
0.116025,1.145375,1.699725,0.44675,0.9338,0.271475
0.179825,1.17985,1.74365,0.757,0.966475,0.523475
0.196325,4.18635,2.710875,0.880925,1.55145,0.56955
0.224375,5.334675,3.394425,1.2103,1.98285,0.664
0.2298,5.572525,3.8555,1.2408,2.5696,0.79635
0.232625,5.895275,4.1099,1.279575,2.846525,0.8792
0.240875,6.1152,5.435625,1.4129,2.9006,0.944725
0.274375,6.333425,6.561675,1.530725,3.122125,1.060775
0.315925,7.444025,7.882725,1.629025,3.284775,1.1504
0.32975,8.155325,8.02585,1.651225,3.39615,1.266325
0.382575,8.675125,8.9095,2.017525,3.7228,1.423625
0.40765,9.27095,9.695575,2.3571,3.801875,1.712125
0.4159,9.631875,9.886975,2.6628,4.137125,1.787475
0.46605,11.778075,10.4041,2.7446,4.534075,1.830125
0.4743,12.0504,10.99775,3.132375,4.61455,2.09125
0.48255,12.336975,11.739725,3.37195,4.775775,2.33015
0.50745,13.1999,12.492075,3.42195,5.414625,2.53045
0.51585,13.2946,13.757575,3.47875,5.43605,2.7704
0.55475,13.424,13.829,3.52985,5.8317,3.148025
0.566,13.5326,14.227525,3.603225,6.327775,3.21735
0.6074,13.792975,14.35945,3.693975,7.412575,3.559825
0.615975,13.8967,14.394375,3.6981,7.60965,3.63375
0.62065,14.0352,14.765825,4.409825,7.7601,3.772025
0.679425,14.84525,14.775225,5.350125,7.83475,3.936375
0.698925,14.948125,15.0348,5.448375,8.11485,4.2385
0.7397,15.297275,15.137025,5.59325,8.4105,4.392175
0.796225,15.3869,15.299425,5.6794,8.458725,4.635275
0.8157,15.552575,15.3581,5.756525,9.24775,4.644475
0.837975,15.70285,15.36555,5.94795,9.56345,5.11795
0.840825,15.9184,15.40995,6.0214,9.673225,5.189675
0.846225,16.170225,15.4171,6.062675,10.109675,5.224075
0.8657,16.310825,15.67405,6.441325,10.1242,5.228425
0.890775,17.661575,15.908325,6.512575,10.535825,6.01625
0.899,18.10095,15.9168,6.53,10.68145,6.1349
0.90645,18.368625,16.03365,6.792225,11.4215,6.41055
0.949175,18.4723,16.3314,6.932275,11.5029,6.5147
0.99075,18.622025,16.528475,6.96435,11.79635,6.68835
1.0074,18.722125,16.653825,7.024225,12.186725,6.776125
1.0377,18.848575,16.71985,7.07615,12.2706,6.783525
1.0407,19.15775,17.05015,7.13075,12.342075,6.854975
1.04875,19.893725,17.069525,7.1883,12.391575,6.878425
1.07405,20.8338,17.208375,7.3414,12.52765,6.9749
1.090375,21.095825,17.41045,7.60505,12.672075,6.976925
1.157325,21.950075,17.425525,7.67545,12.8591,6.993925
1.2238,22.009575,17.426825,7.746875,13.566375,7.27875
1.237625,22.924425,17.497125,7.8228,14.020025,7.5595
1.24045,23.83965,17.5515,7.8885,14.05075,7.862175
1.245875,24.96895,17.558925,8.11075,14.0706,8.4039
1.2906,25.43825,17.593475,8.189125,14.15415,8.415375
1.29885,25.634175,17.608925,8.3035,14.244475,8.443725
1.31535,25.9365,17.96895,8.505625,14.38865,8.507675
1.32935,26.006625,18.35435,8.623925,15.26065,8.7524
1.33215,26.391025,18.642975,8.685275,15.282175,8.799925
1.348675,26.465525,18.735275,8.7734,15.6494,9.943125
1.3655,26.59665,18.7812,8.78935,15.714675,10.284225
1.373725,27.03,18.979825,8.940275,15.9802,10.397375
1.382125,27.288425,19.064375,9.210575,16.021625,10.854475
1.3958,27.33125,19.7496,9.2881,16.0345,11.20685
1.512575,27.4861,20.551575,9.350175,16.332575,11.9443
1.532075,27.493875,20.74385,9.3516,16.7549,12.184575
1.5405,27.650975,21.2018,9.37875,16.8525,12.193925
1.548575,27.886475,21.406,9.445025,16.91625,12.206325
1.662525,28.066,21.797325,9.466425,17.115675,12.3293
1.66675,28.1378,22.06945,9.50715,17.32985,12.454
1.673775,28.20635,22.6313,9.6614,17.638675,12.837025
1.698675,28.460425,23.658675,9.739875,17.695225,12.949675
1.7071,28.5238,23.910025,9.9502,17.716675,13.17585
1.74865,28.8092,23.987,10.0304,17.764925,13.26115
1.7625,28.816125,24.04775,10.2309,17.9024,13.299225
1.787575,28.89605,24.15455,10.3415,18.66895,13.533925
1.80405,28.926875,24.303525,10.446575,18.69225,13.825375
1.823725,28.95495,24.335375,10.7454,19.063175,14.03085
1.827725,29.068825,24.3591,10.9689,19.17195,14.2896
1.831975,29.31995,24.389925,11.182925,19.345225,14.6584
1.83755,29.340125,24.98495,11.321825,19.5004,14.6892
1.845775,29.770375,25.1463,11.374625,19.7617,14.752
1.8651,30.137525,25.295,11.5327,19.999875,14.7814
1.881925,30.843875,25.4413,11.61705,20.441825,14.8677
1.898575,30.9625,25.77415,11.760075,20.623675,14.96375
1.920825,31.043075,25.869325,11.8614,20.6885,14.9863
1.940175,31.639875,26.01205,11.94915,20.751325,15.03615
1.948575,32.18015,26.015025,12.226775,21.109425,15.074225
2.00695,32.3754,26.212825,12.240175,21.132875,15.164625
2.015375,32.77105,26.264925,12.3076,21.34995,15.212125
2.023275,32.94855,26.35245,12.36465,21.949125,15.220025
2.0401,33.3771,26.389575,12.434825,22.159325,15.35465
2.06235,33.777275,26.417925,12.660675,22.272325,15.38105
2.07885,34.49855,26.473525,12.75605,22.405775,15.435875
2.162325,35.323775,26.523225,12.972875,22.56275,15.47855
2.16515,35.60285,26.80415,13.119675,22.598775,15.52385
2.195625,36.10915,26.851125,13.18005,22.709025,15.599125
2.20405,36.15255,27.0508,13.19855,22.939325,15.6091
2.206875,36.2788,27.142475,13.30235,22.998875,15.63305
2.2151,36.296875,27.27605,13.30745,23.112325,15.63565
2.2707,36.466825,27.3264,13.327825,23.13465,15.68205
2.278925,36.541975,27.3815,13.856325,23.4242,15.685675
2.290175,36.6808,27.855325,14.306825,23.495025,15.767675
2.298425,37.778925,28.202425,14.369975,23.58385,15.80265
2.30685,37.868825,28.257175,14.463175,23.7106,15.849075
2.315075,38.098575,28.35925,14.51175,24.4679,15.985775
2.340125,38.6889,28.5953,14.744125,24.8823,16.045825
2.34555,38.889925,28.61565,14.78385,25.3036,16.0751
2.3568,39.444225,28.914025,14.875275,25.3471,16.11295
2.36505,39.97525,29.037775,14.932275,25.89695,16.1254
2.4317,41.61635,29.739,15.093225,25.91435,16.212125
