SPK_SPKC01a (inhibited),SPK_SPKC02a (excited),SPK_SPKC04a (NA)
0.005975,0.022,0.5483
0.1087,0.05685,0.790525
0.13465,0.096275,0.94365
0.157275,0.1087,1.200075
0.164375,0.116725,1.76295
0.186825,0.121375,1.78295
0.20585,0.1515,1.7877
0.224075,0.194175,1.95945
0.2417,0.2292,2.017
0.25295,0.2656,2.231375
0.27615,0.3048,2.573025
0.2946,0.334675,2.7504
0.31235,0.356475,3.6778
0.3381,0.3941,3.7185
0.3671,0.4199,4.098325
0.402875,0.439525,4.495525
0.430925,0.49365,6.0107
0.4699,0.514025,6.512125
0.483175,0.54245,6.59975
0.5078,0.586875,7.81605
0.53195,0.615825,8.78495
0.54085,0.65275,9.072875
0.555,0.683475,9.112725
0.5925,0.721775,9.38065
0.62825,0.73485,9.74175
0.70525,0.744425,10.207075
0.718825,0.7617,10.477425
0.745675,0.788925,11.366875
0.779125,0.8189,11.389
0.79415,0.85895,11.5986
0.8175,0.889075,12.41375
0.836925,0.918275,12.425175
0.8496,0.9387,12.4915
0.8543,0.991325,12.689975
0.870925,1.044475,12.769425
0.880425,1.086,12.88215
0.919325,1.113225,12.97045
0.95525,1.1358,12.983675
1.0361,1.161025,13.142775
1.094325,1.201125,13.540425
1.12865,1.23715,13.67055
1.1399,1.2712,13.8046
1.15375,1.305025,13.87755
1.16975,1.34875,15.2373
1.1923,1.38135,15.457025
1.210125,1.41915,16.162825
1.2349,1.4493,16.530425
1.2513,1.48585,16.65045
1.317825,1.517925,16.738075
1.366925,1.5558,17.7524
1.38895,1.583925,17.8148
1.414425,1.611525,18.06145
1.432675,1.65885,19.26245
1.455725,1.69755,20.17245
1.470275,1.7249,20.2331
1.4847,1.78235,20.30515
1.505425,1.817375,20.7682
1.513425,1.8506,20.790175
1.54495,1.907325,21.39565
1.569925,1.937475,21.50945
1.65105,1.96385,21.59875
1.666325,1.99065,21.9061
1.715975,2.02895,22.135425
1.73805,2.061175,22.157375
1.7728,2.094625,22.4379
1.78765,2.114575,22.494625
1.821225,2.149975,23.185675
1.867175,2.1865,23.32955
1.9,2.21375,23.342275
1.912775,2.2417,23.369675
1.925775,2.2915,23.626225
1.94985,2.31585,23.6852
1.958075,2.344975,23.6975
1.9879,2.380425,24.150825
2.001975,2.4027,24.56255
2.0169,2.42475,24.86665
2.05675,2.486075,24.915175
2.0748,2.512375,25.4773
2.112075,2.537725,25.84335
2.1582,2.57835,25.8559
2.17,2.603175,26.163325
2.2197,2.632425,26.540575
2.267075,2.654525,26.72065
2.2846,2.680225,26.909775
2.307675,2.711875,26.922925
2.320725,2.74215,27.556075
2.34305,2.766725,27.750275
2.361575,2.7973,28.35695
2.3827,2.83215,28.790025
2.404375,2.906625,29.409625
2.501775,2.9282,30.58445
2.517025,2.9579,30.750975
2.5595,2.98415,30.97155
2.592925,3.032525,31.348725
2.6123,3.066675,31.70525
2.6238,3.093025,32.7093
2.64795,3.119775,32.725575
2.65935,3.2434,32.763775
2.66845,3.280825,33.24945
2.685775,3.4041,33.3898
2.7297,3.4467,33.686975
2.839175,3.472625,33.757975
2.8859,3.498925,35.280475
2.914225,3.52715,36.02105
2.94645,3.546425,36.034325
2.969975,3.57325,36.156075
2.9958,3.602125,36.85595
3.014325,3.6233,37.0997
3.029425,3.6847,37.73945
3.049675,3.716475,38.239125
3.069525,3.76315,38.54115
3.08585,3.7872,38.934525
3.104975,3.79685,39.14785
3.126925,3.8034,40.0731
3.186,3.83665,40.5602
3.199475,3.91855,40.852725
3.21645,3.968125,41.072775
3.25915,3.986475,43.1305
3.287725,4.02895,43.21575
3.3026,4.07965,43.567325
3.354325,4.1142,43.940375
