SPK_SPKC05a (NA),SPK_SPKC08a (inhibited),SPK_SPKC08b (excited),SPK_SPKC12a (NA)
0.5292,0.050125,0.150025,0.228275
0.691475,0.074825,0.359675,0.3812
1.577575,0.079425,0.442375,0.61355
2.69125,0.127625,0.961025,0.737175
3.591525,0.2245,1.165375,0.78435
4.12675,0.256475,1.17035,0.79845
4.228625,0.275625,1.36915,0.8146
4.867,0.299225,1.432025,0.926525
5.1097,0.324825,1.4907,1.13205
5.679925,0.346975,1.581625,3.1659
5.6986,0.362275,1.6631,3.249475
5.701175,0.3751,1.75355,3.80325
5.805425,0.39125,1.78355,3.845025
6.946375,0.4037,1.97975,3.9145
7.03475,0.408775,2.01385,4.4809
7.8217,0.4238,2.06585,4.54015
8.7064,0.4407,2.1836,4.805225
9.03905,0.459825,2.236275,5.008325
9.2244,0.55745,2.731575,5.056825
9.779475,0.581325,2.797325,5.2898
9.877,0.601325,2.98975,5.348175
10.66385,0.6301,3.021325,5.5283
11.15785,0.6984,3.0427,5.60605
11.239375,0.714275,3.140125,5.619825
11.74655,0.725,3.5152,5.646
12.110825,0.7488,3.797875,5.676525
12.1274,0.764975,3.832375,6.086525
12.352125,0.791,3.897375,6.1566
12.8513,0.8111,4.12545,6.441175
13.020525,0.8422,4.145575,6.507175
13.765225,0.853425,4.252275,6.672875
14.558625,0.87085,4.319375,6.840325
15.823525,0.880675,4.36445,6.93255
16.707475,0.904225,4.3831,6.9465
18.987375,0.9229,4.41225,7.335925
19.107975,0.94235,4.55265,7.518225
19.158975,0.955,4.6805,7.6191
19.3091,1.057175,4.76025,7.6549
20.925675,1.1293,5.0087,7.8008
21.21095,1.147475,5.125275,9.40875
21.766525,1.204575,5.2358,9.482825
23.285975,1.2366,5.458325,10.0956
23.353825,1.25455,5.600825,10.192675
24.135375,1.272175,5.678475,10.9161
24.218975,1.2841,5.7537,10.9373
24.899775,1.300775,5.87595,11.078825
25.169675,1.32505,5.92635,11.304275
25.4693,1.3479,5.9772,11.4614
25.639025,1.36435,6.0569,11.7914
25.66655,1.366825,6.2275,12.039225
26.435375,1.41,6.4828,12.187
27.184,1.426225,6.6669,12.422025
27.49045,1.437975,6.7435,12.43115
28.246175,1.444625,6.79155,12.496775
29.680675,2.1605,6.821,12.5798
29.8053,2.2814,6.877075,12.591
30.64805,2.512525,6.944575,12.618175
31.06625,2.52095,7.01025,12.630875
31.191675,2.691325,7.0459,12.756275
31.2426,2.8187,7.07475,12.7584
31.47915,2.873375,7.076075,12.764125
32.223125,3.1066,7.081425,12.783475
32.364675,3.134275,7.099025,12.90105
32.539675,3.1608,7.122175,12.94125
32.85415,3.1805,7.1504,12.967575
32.894225,3.1942,7.164175,13.189475
34.724825,3.211775,7.210575,13.230525
34.921575,3.2252,7.31675,13.260975
34.953375,3.341975,7.361475,13.333475
35.679225,3.35965,7.370275,13.52335
36.058025,3.39015,7.51155,13.6493
36.07295,3.39895,7.91965,13.668225
36.584175,3.41505,7.9643,13.952125
37.1731,3.428375,7.9831,14.329325
39.2175,3.4512,8.0824,14.3891
40.9562,3.46415,8.254225,14.571725
41.7102,3.4792,8.39395,14.6481
