SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
2.735725,0.4255,0.036375,0.24735,5.312425
3.7847,0.6621,0.076825,0.28735,6.14795
5.490875,1.6581,0.121925,0.9735,6.84425
6.980875,1.7288,0.155325,1.241125,9.2843
7.0312,2.142275,0.190375,1.589275,11.8903
8.1258,2.2355,0.21395,1.907,12.6705
8.9975,3.318,0.2291,2.4107,14.05015
10.041675,3.5591,0.2842,2.60285,14.153
10.785125,4.196325,0.305725,2.6184,14.910225
16.176175,4.278825,0.318425,3.808575,16.178775
17.59395,5.400975,0.335725,4.411575,17.1748
19.194925,5.74065,0.352725,4.6872,18.092225
21.4934,6.631725,0.3833,6.725075,18.180625
21.62665,7.8578,0.403725,7.65285,21.40015
24.4227,8.535875,0.426425,7.72905,25.189825
29.1806,9.3545,0.451625,8.46415,26.654875
32.503075,9.48165,0.472875,9.5394,27.406175
34.314,10.252,0.497775,10.118275,27.83935
34.840775,11.40965,0.52345,10.131725,35.262625
36.83765,11.760375,0.556125,10.2453,35.464475
39.2591,12.206075,0.569975,11.0342,35.7653
40.521475,12.908625,0.599875,11.52715,35.8181
40.658375,13.800625,0.62425,12.003225,35.954575
40.701025,14.26335,0.65205,13.038425,38.594475
41.18945,14.470125,0.678375,13.0631,38.95065
41.69935,15.6542,0.70525,13.353925,40.9287
42.63065,16.358825,0.775975,13.678975,46.217825
44.4119,16.813925,0.8462,14.1516,47.740875
44.7973,17.01305,0.888725,14.197,48.748825
44.800875,17.39615,0.919425,14.458375,52.93505
47.352675,17.8053,0.9506,14.52215,53.3211
49.436375,19.2951,0.96935,16.698725,53.6043
50.436425,20.282375,0.982375,16.9188,54.307575
52.154025,20.655325,1.00375,18.57635,54.758925
52.556275,20.711225,1.0291,20.7303,55.5564
52.61075,21.0677,1.0503,21.261825,58.2735
53.9309,21.33725,1.059575,21.692575,59.943775
57.497875,22.153125,1.0735,21.735125,60.4601
58.960775,23.159175,1.09075,21.9658,60.7267
60.01215,23.514025,1.111325,22.221625,63.734625
61.590075,24.055225,1.114,23.4929,64.0496
63.270525,24.32555,1.156325,24.036275,64.496275
65.976775,24.389425,1.18115,24.331,64.98585
66.775,25.335475,1.22025,25.6472,65.654125
67.195125,25.993225,1.252225,26.01,68.850875
69.01565,26.592,1.288675,26.698475,70.15985
74.92145,27.515425,1.32745,26.937675,70.243325
76.154475,27.9758,1.3576,27.2156,70.42415
76.55655,28.54945,1.385325,27.8652,71.1743
76.72575,29.11245,1.405,27.891375,72.82555
80.3026,30.5898,1.4224,28.7774,74.103525
85.60575,30.81495,1.451375,28.847275,74.1526
86.1469,31.9854,1.4668,29.2883,75.9539
87.329525,32.130175,1.491625,29.357725,76.598975
87.64865,33.1587,1.51255,30.0329,76.78645
88.742775,33.215775,1.536875,30.2864,78.160775
89.131425,34.89115,1.5634,30.42625,78.489075
94.22255,35.158825,1.57645,30.9322,78.555575
97.2176,36.20715,1.62525,31.680925,80.3286
99.810475,37.3664,1.641125,31.901775,80.868725
107.0821,38.240025,1.65945,33.326125,81.0568
111.895625,39.33405,1.66595,33.3892,82.420825
112.708975,39.644325,1.69205,33.700025,82.9644
119.092125,39.788475,1.7281,34.085375,84.046075
122.000625,40.28195,1.766875,34.8418,84.308075
122.207025,40.369925,1.800425,36.844375,84.596825
125.65765,40.6084,1.839825,37.178125,87.571
126.562375,41.7434,1.8721,37.5281,88.124
128.0978,46.365725,1.904925,37.61335,90.070075
128.496925,46.9611,1.925775,37.91895,90.2244
137.972125,47.29925,1.946525,38.410275,90.496875
142.1871,47.712325,1.969825,39.633325,91.3549
158.55745,48.135475,2.0029,39.860425,93.108
165.86335,48.1796,2.03275,39.966625,94.46775
167.625825,49.218125,2.062225,40.479325,95.98295
180.0816,50.0121,2.09345,40.9257,96.054975
185.55425,50.045825,2.13355,41.449675,96.355775
186.11555,50.43285,2.1759,41.86905,96.393075
186.1744,51.59105,2.19985,42.09665,96.751225
190.303325,51.86935,2.22875,42.3312,98.67245
190.3887,53.073275,2.2609,42.4961,99.6471
195.710475,53.12775,2.294975,42.59325,99.92155
202.468425,53.510025,2.333025,42.73805,100.167
,53.56525,2.3632,43.352625,100.280475
,54.204075,2.385,43.734825,100.6827
,55.4441,2.386925,45.1317,100.96495
,56.82175,2.3951,45.158225,102.783825
,58.20435,2.4231,45.227425,103.028425
,59.816825,2.446825,45.350625,103.43015
,64.7556,2.46535,47.02745,104.3783
,64.793775,2.482175,47.391675,105.014
,64.890975,2.517475,48.391825,105.94475
,65.109125,2.53675,50.304325,107.492325
,66.09815,2.562475,50.323075,107.7991
,66.2944,2.601225,50.348825,108.898575
,66.518425,2.617225,50.945175,109.268625
,67.270025,2.639425,51.329475,109.924975
,69.81335,2.65775,51.64235,110.768125
,72.3438,2.67255,52.222,110.7918
,72.86865,2.710725,52.69305,111.4725
,74.467875,2.742825,52.735275,111.831125
,74.52305,2.779775,52.8705,111.957425
,75.22135,2.805625,53.07055,112.2254
,77.918925,2.835275,54.3208,112.63435
,81.85385,2.87475,56.0027,116.368975
,82.500375,2.905525,56.54945,116.488075
,83.276975,2.927075,56.998075,117.5833
,84.493875,2.94165,57.020025,117.6085
,84.5793,2.96045,57.179375,117.89145
,86.503775,2.973725,57.22505,118.25105
,89.96915,2.988875,57.514475,119.27015
,91.44775,3.006225,57.89925,120.867825
,94.156775,3.029,58.0709,120.913725
,94.503475,3.05375,58.33405,121.53575
,94.8049,3.075,59.694875,122.223475
,96.96065,3.099275,60.982875,123.093325
,97.369675,3.146675,61.652525,123.927975
,98.365375,3.178125,62.001375,125.251
,98.892725,3.202825,62.505775,125.262325
,103.33455,3.232325,62.6252,126.4146
,106.785375,3.2674,62.6673,126.585725
,109.1939,3.297325,62.8711,127.21805
,109.7069,3.33255,62.92035,130.22495
,112.075975,3.363,63.154725,130.7128
,112.53805,3.401475,63.52015,133.60465
,114.705725,3.425825,63.71645,133.776325
,115.137,3.4394,64.4436,134.434
,117.015075,3.49065,64.47015,134.48045
,118.212825,3.4987,64.8041,134.9276
,118.99835,3.52435,65.51825,135.228875
,119.3592,3.5555,65.900075,135.4643
,120.7206,3.572625,66.813125,135.511375
,121.0696,3.590225,66.877,136.7574
,121.1056,3.608375,67.560825,137.64745
,123.056875,3.629025,67.605775,137.729575
,123.776125,3.653675,68.0468,137.947875
,125.4091,3.6792,68.711975,139.18945
,126.635675,3.712125,69.223725,139.331525
,127.71175,3.735125,69.6428,139.633475
,128.832525,3.769875,70.0072,140.16385
,130.873925,3.802425,70.9239,140.2789
,131.790475,3.8356,71.1587,140.454325
,132.76805,3.8621,71.42075,140.54135
,132.93455,3.88345,72.791475,141.356325
,133.9288,3.913975,72.842525,142.80165
,134.8255,3.932625,73.216375,144.57735
,135.38685,3.957325,73.474925,144.7414
,135.922675,3.983975,73.576375,144.9277
,136.590375,4.014575,73.595525,145.04895
,137.395,4.0313,73.755525,145.526075
,139.52385,4.036,75.2307,145.794075
,141.336975,4.064775,75.6109,145.852425
,142.9715,4.087375,76.013225,145.992
,146.479425,4.111025,76.652775,146.269475
