SPK_SPKC01a (NA),SPK_SPKC06a (weak excitation),SPK_SPKC09a (excited),SPK_SPKC10a (no effect),SPK_SPKC12b (short inhibition),SPK_SPKC13a (excited)
1.47565,1.228,0.15695,2.52545,0.00205,0.02885
3.123925,2.25615,0.22095,2.87375,0.0329,0.06645
3.2364,2.850075,0.25375,3.069425,0.12065,0.1304
4.033225,3.775775,0.286575,3.1833,0.379725,0.137075
4.15525,3.9407,0.37115,3.847825,0.426525,0.180925
4.2248,4.15725,0.410925,4.67525,0.455775,0.18895
4.818025,4.22925,0.459325,4.78095,0.46675,0.230325
5.175725,4.4689,0.820675,5.1124,0.5234,0.24975
5.901475,4.74325,0.886475,5.1361,0.548175,0.26545
5.967075,5.218275,1.006725,5.729325,0.586325,0.279575
6.207925,5.63405,1.0222,6.2482,0.6204,0.293825
6.50115,5.670325,1.0553,6.6094,0.631725,0.29975
6.926725,5.952375,1.0992,6.8242,0.72415,0.31425
6.969225,6.1238,1.17705,8.2009,0.8194,0.3386
7.063775,6.72625,1.21035,10.13545,0.9814,0.35295
7.07165,6.875975,1.2487,11.438125,1.03585,0.3646
7.3299,7.4268,1.289925,11.561025,1.078975,0.379075
7.54895,9.431175,1.441875,12.16915,1.188225,0.39925
7.936,10.32115,1.55345,12.678575,1.227675,0.4177
8.240725,12.3326,1.69445,12.772275,1.2435,0.4525
8.592825,13.293575,1.706675,12.7843,1.4803,0.468275
9.7656,13.8757,1.749425,13.33275,1.587175,0.477675
9.87335,16.14325,1.775675,13.4722,1.698025,0.491025
10.128625,17.6101,1.825125,13.995875,1.71925,0.5032
10.16205,19.451625,1.92815,14.318725,1.748375,0.52555
10.5506,20.58865,2.04615,14.438125,1.796725,0.531775
10.5905,21.916525,2.0901,14.918175,1.819625,0.5397
11.0889,22.71975,2.146175,15.275725,1.895875,0.544975
11.123675,22.962975,2.179825,15.665525,1.959275,0.555525
11.258875,24.105625,2.22165,16.0194,2.02175,0.5756
11.393125,25.395,2.238775,16.358925,2.069075,0.583825
11.409325,26.445125,2.2788,17.50405,2.108925,0.602575
11.5983,26.63595,2.314275,17.53275,2.170175,0.615
12.264575,27.334475,2.32545,18.413825,2.250925,0.63545
12.4814,29.789025,2.345775,20.02035,2.267,0.6386
12.7059,29.98775,2.38345,20.048925,2.287225,0.66135
12.7681,30.781775,2.41935,20.78745,2.355875,0.673125
12.89405,34.101925,2.4861,20.907975,2.393075,0.691225
13.18175,35.04195,2.5945,21.42315,2.4738,0.713925
13.494675,35.077575,2.780175,21.904375,2.510875,0.725575
13.63045,36.74765,3.0194,22.9637,2.565875,0.761425
13.767275,36.79605,3.037575,23.639425,2.5875,0.7923
13.905775,36.90945,3.047525,25.3808,2.6159,0.8036
13.927675,37.263075,3.0687,25.8271,2.64995,0.82115
14.24375,37.858475,3.078725,25.8324,2.69935,0.8368
14.364325,39.829875,3.11595,26.81825,2.7355,0.881025
14.503325,41.1342,3.2205,27.984125,2.821275,0.9395
14.5967,42.669275,3.23165,28.15015,2.87385,0.9595
14.91895,44.065075,3.2533,28.3096,3.035475,0.978775
15.1164,44.382425,3.2672,29.305925,3.05505,1.002325
15.273775,45.377875,3.29165,29.4111,3.069525,1.0232
15.33335,45.387175,3.421775,29.883875,3.107675,1.048875
15.45445,45.886725,3.456075,29.94925,3.119075,1.073125
15.540075,46.954325,3.55975,30.122525,3.22775,1.08595
15.82205,48.963875,3.581475,30.1793,3.297325,1.121125
16.0094,49.86165,3.625475,30.866625,3.434975,1.1321
16.5026,50.052825,3.636,31.3317,3.50465,1.142975
16.6863,51.283925,3.652725,32.8674,3.600275,1.158425
17.484725,51.7054,3.791525,33.3773,3.646375,1.163175
17.705425,51.820775,3.847775,33.546825,3.68145,1.17425
17.7273,52.31435,3.86825,33.8075,3.7219,1.198775
18.00125,52.794475,3.909,34.941575,3.749175,1.210575
18.0485,54.859575,3.9417,34.97295,3.7699,1.236375
18.272625,55.181,4.033625,34.9847,3.794975,1.2421
19.9648,55.23735,4.09,35.20275,3.815025,1.261825
20.328175,55.552175,4.0976,35.668825,3.869,1.281875
21.364025,57.065825,4.120625,35.91855,4.007375,1.3278
21.37285,57.6146,4.24805,36.818775,4.074175,1.360125
21.484075,57.677075,4.32425,36.827775,4.111825,1.400275
22.38355,58.3871,4.47025,38.0705,4.138125,1.425625
22.448175,58.940925,4.5609,38.69945,4.16665,1.433675
22.98745,60.575525,4.6031,38.85885,4.34655,1.468325
23.017725,60.6454,4.6229,38.99065,4.509925,1.5131
23.10565,61.41705,4.6374,39.120125,4.5374,1.622475
23.230425,62.54675,4.662925,39.139725,4.574775,1.644175
24.05915,62.5793,4.675225,39.618525,4.62665,1.656
24.597275,62.61325,4.693125,39.8387,4.644975,1.6646
24.99,63.624225,4.73025,40.1938,4.693,1.67895
25.106575,64.468525,4.74015,40.560625,4.711025,1.702025
25.231175,65.624175,4.783,40.64345,4.97945,1.7137
25.34765,66.82525,4.803,41.5665,5.108225,1.71915
25.356875,67.124175,4.960475,41.575125,5.136,1.730125
25.41795,68.28015,5.065925,41.636275,5.155825,1.74
25.76035,70.385675,5.21145,41.672625,5.21855,1.74415
26.955975,70.7691,5.2326,42.147225,5.223275,1.750575
27.338725,71.3198,5.246225,42.9252,5.23575,1.762725
27.4311,74.4406,5.26005,43.1107,5.2504,1.7759
27.556975,74.768625,5.27195,43.225125,5.337025,1.792375
27.56545,75.205125,5.29085,43.4928,5.377325,1.8069
28.75495,75.477225,5.34815,43.515275,5.47375,1.82935
29.099625,76.059225,5.61085,44.17585,5.56265,1.894025
29.336125,78.20565,5.752125,44.191525,5.625575,1.92355
29.541825,80.11515,5.7929,44.394725,5.691425,1.93785
30.062575,80.219925,5.859975,44.6444,5.952025,1.963775
30.076425,81.72925,5.8842,44.81265,6.036625,2.016225
30.2077,82.851375,5.902675,44.907525,6.075425,2.070525
30.22755,84.004775,5.922425,45.070325,6.102475,2.1059
30.43465,84.403475,6.03925,45.740675,6.115175,2.1423
30.439425,85.1733,6.086075,46.2353,6.15625,2.16745
30.95,85.404225,6.09845,46.287775,6.164175,2.181525
31.3036,85.673,6.112275,46.4653,6.203625,2.2049
31.670825,85.99995,6.1538,47.0371,6.321625,2.21625
31.769375,86.0365,6.156425,47.48085,6.465425,2.223
31.836225,86.660025,6.245975,48.0224,6.504425,2.232275
31.867525,86.757675,6.26785,48.485225,6.54425,2.240875
31.94755,87.449275,6.512775,48.81895,6.574975,2.253925
32.04395,87.681475,6.597,48.86145,6.5926,2.260125
32.322,88.436425,6.609375,48.88895,6.605075,2.283825
32.531975,89.141275,6.63955,49.7493,6.679,2.289875
33.24385,89.686775,6.65385,49.761575,6.79855,2.2994
33.821975,90.33785,6.690225,53.349625,6.829875,2.306125
34.336125,90.366675,6.7258,54.75975,6.946375,2.3127
34.49355,90.76635,6.761075,55.055875,7.0923,2.320075
34.628525,90.78245,6.7775,55.526075,7.1191,2.3323
34.7565,91.886075,6.818625,56.013625,7.143425,2.3797
34.93555,92.220975,7.07725,59.69335,7.160825,2.392575
35.022875,92.255725,7.15695,60.193175,7.19005,2.396475
35.078325,93.009925,7.185475,60.2427,7.3991,2.40915
36.033175,94.163625,7.33165,60.3887,7.43895,2.431775
36.461225,94.549625,7.4299,63.633225,7.458775,2.444525
36.606775,94.667325,7.477475,64.483925,7.496475,2.44995
37.8446,95.2001,7.57545,65.215625,7.519625,2.471925
38.515475,95.590975,7.645625,65.277,7.54925,2.485525
39.82115,95.742425,7.767825,65.36395,7.64155,2.500275
40.718925,95.962275,7.8034,66.1475,7.769225,2.512175
41.0478,96.06,7.8243,66.483125,7.8729,2.52595
41.1954,96.28145,7.836825,66.544875,7.905225,2.5392
41.3277,96.644,7.89905,68.772775,7.911325,2.583225
41.602475,96.8958,7.91965,69.454075,7.914975,2.5974
42.03635,98.154025,7.949275,69.702625,8.0952,2.625075
42.4061,98.400725,7.998975,70.51555,8.17435,2.66895
42.517125,98.5669,8.1777,70.5737,8.235875,2.688025
42.597775,98.6795,8.521275,70.627525,8.499425,2.720375
42.73625,100.460375,8.533775,72.6233,8.5566,2.733175
43.07365,100.743325,8.543875,73.237125,8.567675,2.799575
