SPK_SPKC04a (NA),SPK_SPKC08a (excited),SPK_SPKC12a (inhibited)
0.2216,0.0273,0.0452
0.391825,0.033025,0.0557
0.43265,0.0519,0.0678
0.596425,0.33685,0.110025
0.80645,0.371525,0.1259
0.887025,0.43135,0.16365
1.47565,0.466125,0.19295
1.5096,0.594375,0.201975
1.890025,0.7226,0.21675
1.958375,0.968375,0.226575
2.01215,1.194825,0.2325
2.127225,1.266775,0.261675
2.1475,1.27925,0.269675
2.194175,1.34565,0.279825
2.265125,1.396775,0.295575
2.386225,1.504625,0.334625
2.4766,1.5114,0.3731
2.6023,1.543825,0.3915
2.673675,1.58515,0.4087
2.719,1.594675,0.424875
2.742675,1.671775,0.4616
3.23335,1.79785,0.462975
3.4429,1.83365,0.4727
3.75475,1.8475,0.501325
3.95675,1.884275,0.524425
4.204575,1.9391,0.530275
4.248475,1.978675,0.551875
4.4236,1.984075,0.572125
4.44945,2.00875,0.588425
4.541975,2.120325,0.594475
4.5504,2.139325,0.608975
4.75615,2.1473,0.622125
4.9855,2.177125,0.65265
5.0167,2.22475,0.6699
5.11805,2.24075,0.694225
5.124775,2.34975,0.7311
5.183375,2.361025,0.764975
5.44445,2.441775,0.7928
5.5071,2.46085,0.806275
5.52685,2.5094,0.862725
5.68905,2.523425,0.868275
5.736325,2.561075,0.886875
6.0412,2.584725,0.898
6.23765,2.659725,0.901325
6.243625,2.672825,0.916125
6.52935,2.739825,0.938725
6.697975,2.761625,0.9525
6.736675,2.823375,0.97985
6.821675,2.937575,1.014375
7.39165,3.06685,1.01565
8.272825,3.13275,1.0334
8.43065,3.1538,1.118675
8.52765,3.155475,1.15435
8.577625,3.19625,1.180575
8.6969,3.204275,1.194275
8.720175,3.346925,1.21065
8.735725,3.3763,1.21875
9.088625,3.461525,1.241875
9.535725,3.51665,1.260475
9.544,3.55485,1.280825
9.552375,3.60745,1.308875
9.863975,3.690175,1.34605
10.126275,3.753,1.360975
10.23175,3.772725,1.421125
10.3106,3.989925,1.436975
10.3763,4.004175,1.44545
10.50095,4.02475,1.46495
10.603675,4.13125,1.48925
11.0723,4.152975,1.4978
11.080475,4.1952,1.498975
11.1351,4.2647,1.5209
11.160225,4.34625,1.528325
11.419675,4.45465,1.542
11.558,4.638275,1.556575
11.636125,4.715475,1.563375
11.835075,4.770675,1.573975
11.979125,4.82515,1.605975
12.1318,4.84325,1.6269
12.2661,4.929525,1.643575
12.4375,4.93895,1.64915
12.48125,4.943,1.66455
12.61425,4.980425,1.69075
12.755375,5.158925,1.706425
12.88425,5.21535,1.7146
12.905675,5.24865,1.7355
13.053875,5.471125,1.7514
13.095675,5.565,1.776175
13.119975,5.64475,1.786275
13.200025,5.67415,1.80335
13.444825,5.758425,1.821
13.476175,5.872725,1.8238
13.543925,5.998225,1.836
13.8831,6.040925,1.8535
13.938375,6.14915,1.857225
14.0137,6.1876,1.87715
14.248525,6.3644,1.890625
14.56825,6.40705,1.897825
14.933925,6.4222,1.9075
15.034575,6.477,1.90945
15.595275,6.490625,1.928625
15.627425,6.516025,1.9444
15.82745,6.58475,1.959725
15.847525,6.741125,1.960825
15.8762,6.74325,1.96845
15.911725,6.89985,1.97605
16.042475,7.02925,1.993675
16.443875,7.074675,2.0017
16.675075,7.11765,2.014075
17.392775,7.161475,2.034425
17.484075,7.19285,2.048825
17.87325,7.25445,2.0695
18.51975,7.34645,2.072875
18.843025,7.4777,2.0842
19.0827,7.482525,2.099575
19.100375,7.5768,2.112675
19.282,7.771175,2.1271
19.3398,7.813075,2.136975
19.389675,7.8689,2.144475
19.44095,7.960725,2.156325
19.4883,7.9792,2.1633
19.56085,8.1363,2.16865
19.878225,8.163325,2.178875
20.0242,8.18635,2.188675
20.129875,8.207675,2.204
20.414175,8.267125,2.216475
20.93405,8.3136,2.2248
20.972925,8.36025,2.2402
21.286975,8.362375,2.2549
21.4278,8.538425,2.26495
21.42895,8.56165,2.27435
21.6117,8.60355,2.284325
21.634075,8.735475,2.2908
21.817375,8.764375,2.297425
21.9391,8.795025,2.301575
22.2552,8.86155,2.307275
23.68225,8.887475,2.320175
23.8389,8.891125,2.329275
24.34625,8.987,2.357075
24.456725,9.07805,2.364975
24.783675,9.359475,2.373475
24.885525,9.463225,2.386075
24.88975,9.498025,2.406175
25.1945,9.5507,2.4176
25.95365,9.609875,2.433225
26.08025,9.78805,2.4509
26.4538,9.864575,2.472325
26.70465,9.874025,2.488925
27.069725,10.0167,2.493
27.259,10.03455,2.515875
27.380675,10.0591,2.52665
27.56845,10.14405,2.529025
27.6516,10.197425,2.5364
28.16065,10.203625,2.5524
28.17535,10.3472,2.567775
28.2067,10.358475,2.570325
28.211125,10.572525,2.5786
28.23665,10.634,2.595375
28.250225,10.665025,2.60895
28.36065,10.7072,2.629775
28.49175,10.74945,2.65085
28.540325,10.834825,2.671925
28.63435,10.974825,2.689625
28.90505,10.990725,2.6978
28.946,11.0367,2.7103
28.989375,11.151,2.72185
29.038525,11.22375,2.7318
29.144675,11.406,2.7549
29.4101,11.485425,2.7842
29.4702,11.529925,2.803075
29.65015,11.57675,2.8134
29.672025,11.700275,2.831775
29.705375,11.79795,2.84085
30.226,11.896675,2.853425
30.228025,12.021075,2.860325
30.63965,12.05145,2.874075
30.748675,12.184725,2.8789
30.77985,12.24185,2.88275
30.88415,12.35495,2.89525
30.9169,12.406825,2.911525
30.95445,12.480975,2.938975
30.991325,12.71795,2.947
31.040425,12.760425,2.96565
31.08785,12.920775,2.971
31.113825,13.021225,2.97985
31.273275,13.04175,2.99185
