SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
0.7212,0.0102,0.363975,0.0054
1.26195,0.033325,0.409975,0.02485
2.837375,0.05425,0.52045,0.03265
5.131775,0.07475,0.60935,0.050625
7.24805,0.093475,1.02735,0.0613
7.8091,0.1126,1.13185,0.090325
9.1236,0.129775,1.25445,0.102525
9.849275,0.146075,1.390925,0.1101
9.869175,0.164325,1.62595,0.11925
10.803275,0.1842,1.8373,0.12375
11.611375,0.204275,1.92175,0.134
11.93785,0.222275,2.04635,0.1389
12.710825,0.231,2.2309,0.14305
12.812225,0.247825,2.396675,0.15125
13.840475,0.266625,2.46945,0.156975
14.7474,0.2866,2.4861,0.164475
14.974625,0.3098,2.570725,0.171425
15.96005,0.329575,2.621625,0.1801
15.98515,0.343375,2.765525,0.18555
16.6995,0.359725,3.49525,0.1974
17.742525,0.37595,3.551875,0.2025
18.24115,0.409775,3.67105,0.21045
18.627075,0.426875,3.729125,0.213425
18.91545,0.4519,3.790475,0.21675
19.126975,0.48055,4.04485,0.22125
19.752975,0.49715,4.297525,0.230325
20.114025,0.511525,4.32905,0.2336
20.447775,0.529825,4.51415,0.23635
21.54785,0.548075,4.552825,0.239525
22.058475,0.563475,4.5575,0.242625
22.807225,0.5828,4.83715,0.24555
23.4349,0.6028,5.597075,0.248575
26.187375,0.6236,5.757025,0.252175
27.317775,0.63985,5.81165,0.25535
27.680975,0.65445,5.92635,0.2592
27.939525,0.672675,6.18475,0.26305
28.62755,0.690175,6.3267,0.2683
30.232,0.744775,6.47485,0.2723
30.850525,0.771275,6.6062,0.27545
31.0741,0.79675,6.764775,0.2793
31.08685,0.806125,6.79425,0.287175
31.161675,0.82245,6.8572,0.293275
31.576175,0.836875,6.8808,0.300575
31.79,0.8516,6.961425,0.307125
32.166,0.8702,7.3318,0.3291
33.376075,0.88665,7.6555,0.34675
33.9544,0.9026,7.913375,0.362675
34.38905,0.916175,8.08205,0.3794
35.33305,0.941325,8.121925,0.396875
36.347075,0.9605,8.1952,0.415275
36.542875,0.97405,8.227525,0.426175
37.846125,0.99185,8.4475,0.44095
38.17445,0.9984,8.521,0.45385
39.31285,1.007825,8.651425,0.4677
39.852875,1.028325,8.848425,0.495
40.453125,1.05215,8.988275,0.5081
40.87465,1.08095,9.07125,0.52765
41.874625,1.08995,9.25165,0.5463
42.667625,1.10935,9.327175,0.565675
43.0803,1.131625,9.54305,0.62535
43.42575,1.1521,9.56835,0.653875
44.364225,1.17945,9.6716,0.696325
45.851275,1.200075,9.729125,0.714075
46.142475,1.224325,9.8636,0.72265
47.224025,1.2483,9.939275,0.726325
47.543175,1.266225,10.1282,0.7303
47.59945,1.28885,10.1845,0.734125
48.21465,1.31745,10.357725,0.73875
49.291075,1.34395,10.47205,0.742025
49.655,1.372475,10.58605,0.7454
50.201275,1.391,10.613675,0.7486
50.490725,1.4017,10.635925,0.75385
51.19655,1.416325,10.67235,0.76235
51.345825,1.4341,10.769,0.766625
52.291125,1.453475,10.929625,0.777075
52.699875,1.4702,11.046825,0.78275
53.201875,1.490625,11.080175,0.79125
53.895425,1.509925,11.16385,0.795625
54.3932,1.5265,11.188325,0.801125
54.811925,1.5413,11.21945,0.806075
55.225675,1.56255,11.5378,0.8161
55.545925,1.5799,11.743825,0.821175
55.956625,1.596525,11.911125,0.82415
57.307375,1.617875,12.0314,0.831775
58.580975,1.63925,12.336275,0.83495
59.8097,1.6562,12.51355,0.8389
60.291425,1.6779,12.82605,0.843675
60.4328,1.7036,12.978775,0.84995
60.48285,1.7246,13.1439,0.85895
60.834675,1.7371,13.792375,0.871925
61.31265,1.758025,13.83235,0.883025
61.624975,1.7767,14.06855,0.897025
61.990525,1.7985,14.117325,0.90215
62.0522,1.82075,14.1655,0.9152
62.5964,1.842225,14.424675,0.926375
63.409475,1.86745,14.52915,0.9383
64.041075,1.879875,14.55395,0.95115
64.54285,1.89815,14.710125,0.95655
64.5448,1.92215,14.7922,0.965225
65.08365,1.950075,14.977875,0.978925
65.0874,1.97275,15.220425,1.0018
65.6315,1.99815,15.409775,1.079975
67.06015,2.01545,15.6086,1.11235
67.523825,2.0312,15.739575,1.142725
68.2272,2.050625,16.3859,1.19605
69.232375,2.068075,16.666975,1.239575
69.74305,2.08255,16.842075,1.2697
70.53725,2.0982,17.224,1.278475
71.82375,2.11005,17.2942,1.285
72.3806,2.121925,17.4899,1.2915
72.778925,2.13575,17.589575,1.29515
73.298525,2.147375,17.614325,1.30555
73.6054,2.16735,17.65415,1.3093
76.118975,2.183425,18.108975,1.31485
76.4585,2.201,18.160975,1.3309
76.931425,2.21815,18.362,1.34855
78.479925,2.237475,18.47745,1.35805
79.104525,2.2575,18.5831,1.36555
79.485875,2.2787,18.687975,1.37495
79.499775,2.29625,19.054375,1.379975
80.056075,2.31285,19.136675,1.38905
80.6285,2.33345,19.4863,1.394325
81.19465,2.350025,19.599625,1.4018
82.60405,2.36975,19.76295,1.40785
83.75195,2.4006,19.93595,1.41225
84.4578,2.42885,19.944025,1.415975
86.292875,2.441975,20.077325,1.42095
86.34305,2.452175,20.4588,1.428125
86.79015,2.463725,20.8613,1.435525
87.281275,2.476125,21.01685,1.447475
89.509475,2.485575,21.052375,1.476075
89.64085,2.498475,21.085325,1.485475
90.831575,2.512425,21.1183,1.49345
91.150875,2.5272,21.12675,1.5004
92.0925,2.53885,21.362025,1.51175
92.670725,2.553575,21.431175,1.51735
93.006575,2.568625,21.513075,1.5303
93.616175,2.585575,21.654975,1.542425
94.208,2.6094,21.77925,1.552125
