SPK_SPKC01a (NA),SPK_SPKC01b (weak inhibition),SPK_SPKC03a (no effect),SPK_SPKC07a (excited),SPK_SPKC09a (excited),SPK_SPKC12a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC16a (inhibited)
0.0554,0.0649,2.069325,0.017525,0.023625,0.05185,0.00375,0.0489
0.096675,0.24605,3.69845,0.089725,0.1018,0.2705,0.020025,0.233975
0.182225,0.255625,4.6677,0.12195,0.134525,0.991825,0.028225,0.55075
0.226925,0.309775,4.9473,0.1695,0.20785,1.170575,0.0376,0.629125
0.250025,0.483125,7.3715,0.205925,0.237875,1.28625,0.05185,0.89635
0.2817,0.5331,8.4545,0.266625,0.3204,1.54935,0.07605,1.00225
0.3199,1.0437,9.595375,0.29335,0.368875,1.868425,0.078875,1.098875
0.390025,1.2456,9.73015,0.327325,0.4174,1.93195,0.1223,1.213325
0.473275,1.25785,10.263675,0.3995,0.453525,2.218175,0.15265,1.264675
0.5227,1.332475,10.29995,0.4429,0.482275,3.185875,0.18985,1.4638
0.548875,1.628425,10.55305,0.488975,0.50675,3.2841,0.22655,1.6172
0.5831,2.897475,13.3016,0.5335,0.53345,3.48025,0.255,1.792175
0.630975,3.170325,13.52195,0.572375,0.595525,3.840225,0.28,1.881325
0.64865,3.6959,14.4824,0.5971,0.61335,3.947275,0.32485,2.26545
0.662325,3.856575,14.6825,0.619125,0.63595,4.7568,0.331275,2.452475
0.725675,4.359475,16.023,0.643725,0.691675,4.781,0.337175,2.6037
0.78465,4.4358,16.84805,0.670525,0.737425,4.97035,0.352675,2.6606
0.8148,4.528775,18.4685,0.698175,0.784125,5.430725,0.373375,3.05005
0.82465,4.548775,18.828825,0.757375,0.830225,5.7575,0.416075,3.13235
0.872775,4.874025,19.9288,0.793525,0.8615,5.954025,0.4335,3.422125
0.890975,4.9482,21.224525,0.830875,0.86495,5.966925,0.47865,3.7928
0.942275,4.96265,21.3276,0.865,0.914025,6.2263,0.50145,3.946325
0.980775,4.993125,21.5075,0.90665,0.93755,6.233825,0.514925,4.017775
1.0364,5.03225,21.68115,0.94295,0.9691,6.396925,0.5443,4.181875
1.059725,5.373275,21.707625,0.99195,1.005225,6.602575,0.567825,4.85465
1.099325,5.638625,24.1459,1.0298,1.0266,7.00915,0.6112,4.922975
1.1379,5.864925,24.89295,1.099125,1.0616,7.2861,0.638175,4.939675
1.1689,6.000325,24.949325,1.1199,1.13765,7.538125,0.652125,4.9654
1.197375,6.185675,25.366025,1.203725,1.2291,7.855075,0.67865,5.211025
1.2087,6.2605,25.53435,1.221925,1.25255,7.878675,0.724225,5.264525
1.2822,6.731925,25.8368,1.2476,1.292625,8.278025,0.7623,5.63395
1.3476,6.817775,25.87095,1.30705,1.409525,8.47775,0.76695,5.70835
1.445675,6.855025,26.200775,1.33185,1.440275,8.8146,0.838225,5.76775
1.468275,6.96445,26.28445,1.37425,1.4874,8.8333,0.9204,5.932875
1.498575,7.40115,26.8577,1.407,1.500575,8.9603,0.987725,6.2625
1.53865,7.450175,27.512575,1.442775,1.614275,8.991275,0.991825,6.458175
