SPK_SPKC09a (no effect),SPK_SPKC12a (short inhibition),SPK_SPKC14a (inhibited)
0.72195,0.674,0.00575
1.099375,0.892375,0.060675
1.891975,1.0506,0.0823
3.115725,1.56845,0.094275
3.215875,1.664025,0.107525
3.244925,2.25665,0.115225
4.90595,3.553175,0.124275
6.5076,3.57495,0.130025
6.860775,4.155475,0.14465
7.3582,4.382225,0.151975
7.882875,6.048025,0.158975
7.918325,6.46565,0.17295
7.976975,6.487675,0.194475
11.1174,6.505725,0.25675
12.663,7.3089,0.2809
12.678075,7.340175,0.30835
12.708875,7.999725,0.323975
16.249525,8.1324,0.3467
16.9377,8.683725,0.3806
17.3254,8.884025,0.408475
19.370225,8.9985,0.432075
19.65355,9.292525,0.458875
19.74705,9.5437,0.504925
21.142825,9.59485,0.53525
21.51175,9.729375,0.566675
23.76435,9.788525,0.5933
25.480975,9.88495,0.645375
25.539825,11.405225,0.674075
25.618025,12.207025,0.696525
26.7606,12.40755,0.725775
27.170175,15.07965,0.761475
27.509475,15.200925,0.856275
28.121525,15.65245,0.9275
29.3689,15.9764,0.97765
29.435525,16.261125,0.991275
29.4801,17.39655,1.00865
30.3176,17.434025,1.02085
30.815775,18.96585,1.02785
30.903275,21.4508,1.03755
31.721375,22.4555,1.044575
32.4132,22.637225,1.05985
32.4243,24.09925,1.071175
32.865675,24.17375,1.093525
34.1296,26.148375,1.102675
34.857575,27.279625,1.11965
35.4352,28.131825,1.130125
35.98855,30.018275,1.152325
36.46315,30.658525,1.1819
36.8419,31.829575,1.215925
37.25985,32.84365,1.24195
37.609525,33.102,1.2748
37.844775,33.8336,1.3193
38.29895,33.884775,1.348975
38.313125,34.108775,1.409775
38.48735,35.3705,1.458975
39.58295,35.526225,1.486625
39.923,36.00135,1.516825
39.966175,36.7513,1.54195
40.4013,39.395375,1.5549
41.285875,39.571125,1.570075
41.335875,42.41255,1.581025
41.653125,43.157575,1.5941
41.974775,46.621225,1.6041
42.641525,50.699125,1.61385
42.8202,54.50965,1.624325
42.907175,55.485075,1.635225
43.233825,55.4868,1.6446
43.50665,57.98165,1.655425
43.7257,57.998425,1.676675
43.7467,59.505375,1.6958
44.20055,60.1216,1.723
44.7839,61.150075,1.738125
45.645775,61.435625,1.7995
46.660575,61.451925,1.814975
46.83825,63.655,1.836475
47.4861,64.7728,1.847125
47.56085,66.868175,1.867075
47.883625,69.277725,1.8806
48.042875,72.0408,1.90905
48.632275,73.42295,1.93755
48.699175,79.7071,1.9622
48.734575,80.051075,1.99285
49.149625,80.842025,2.04445
49.175125,82.274075,2.06715
49.248625,82.6327,2.100425
49.330425,86.221575,2.127625
49.363475,89.5949,2.137775
49.69755,90.355825,2.151975
50.083375,93.07045,2.165775
50.105725,93.269525,2.176425
50.2458,94.080675,2.182975
50.57855,95.2514,2.197975
50.606375,96.85265,2.21095
50.65345,98.23005,2.23235
51.103075,98.327725,2.243675
51.187,98.8751,2.257075
51.209775,98.931725,2.274475
51.270175,99.4118,2.297625
53.001825,100.723875,2.33175
53.049975,105.73605,2.361025
