SPK_SPKC02a (short excitation),SPK_SPKC05a (no effect),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect),SPK_SPKC11b (no effect)
0.001925,3.882275,0.1148,8.02615,0.059625,0.464975
0.2117,4.0519,0.684775,8.5088,0.088375,0.543025
0.4117,4.4226,0.817525,11.400275,0.143475,1.0123
0.665225,5.518075,0.838375,11.421125,0.1788,1.16035
0.95455,6.026375,0.87545,12.35225,0.205725,1.927075
0.9849,6.84845,0.89375,19.20905,0.230825,1.9918
1.401975,10.08105,0.9564,35.343425,0.267575,2.260725
1.417125,12.973075,1.032975,37.512625,0.2875,2.501525
1.5122,16.616925,1.2932,41.70095,0.32895,2.8485
1.6574,17.98595,1.356175,43.61215,0.368775,2.89615
2.3009,19.804975,1.646775,44.61545,0.3944,3.908925
2.355,20.581675,1.7677,45.989125,0.411525,4.6918
2.413,21.51085,2.0194,47.27065,0.427925,4.722225
2.517175,22.303675,2.027125,60.71895,0.45505,4.9235
5.042975,22.724775,2.11335,63.6193,0.491525,5.018975
5.511375,27.68955,2.206625,66.18005,0.51955,5.49605
5.59325,29.545,2.379525,66.23275,0.560925,5.537225
5.650625,31.358225,2.4201,67.030025,0.5957,6.486225
6.6897,33.6175,2.48405,72.119825,0.643425,6.735
6.82345,34.2339,2.6252,73.56815,0.669875,7.6718
7.0195,35.507675,2.705825,73.83105,0.6941,7.69275
7.380375,40.320875,3.14115,75.0404,0.733775,8.27135
7.486675,41.6598,3.677275,81.16335,0.774475,8.6406
7.601625,41.826775,4.304725,90.314825,0.85715,9.461225
7.635425,42.308925,4.441975,90.842625,0.9197,9.55415
8.657275,42.326225,4.479175,92.617,1.0098,9.667625
8.7149,43.7673,4.71465,94.04745,1.03155,10.353125
8.7303,44.9573,4.772725,94.4372,1.041775,10.94615
9.120425,48.26345,5.418825,99.010525,1.058075,10.976375
10.020475,48.38795,5.476,99.0379,1.08585,11.3726
10.51525,49.90785,5.656925,101.89525,1.159325,12.72495
10.955625,50.33325,5.90705,106.69345,1.218675,13.095475
11.034175,53.169375,6.1916,106.817225,1.30725,13.46465
11.419,55.762925,6.44915,111.786125,1.3456,13.909675
12.0132,56.207475,6.525725,114.508325,1.368975,14.1602
12.0373,56.2567,6.6005,115.210875,1.379125,14.1925
12.971625,56.339575,6.693025,116.4638,1.386425,14.2958
12.996725,59.833625,6.836025,118.22425,1.4013,14.55785
