SPK_SPKC10a (excited),SPK_SPKC15a (inhibited),SPK_SPKC15b (inhibited),SPK_SPKC15c (inhibited)
0.24425,0.0055,0.200925,0.010725
1.47775,0.0428,0.220525,0.06235
3.2728,0.097375,0.240675,0.123225
3.302225,0.138625,0.4143,0.1655
4.047325,0.152725,0.437925,0.283975
4.576675,0.162175,0.7578,0.479725
5.853825,0.175625,1.03365,0.53125
6.56435,0.182925,1.172225,0.56345
7.5706,0.19105,1.322475,0.622025
9.71795,0.20735,1.44615,0.68685
9.784,0.24875,1.511075,0.701825
10.1619,0.26125,1.54755,0.7273
11.20845,0.275425,1.56765,0.79975
11.946575,0.280825,1.622625,0.841025
13.0811,0.291125,1.657625,0.899225
13.187325,0.298825,1.845825,0.95105
14.007575,0.308875,1.914475,0.97945
15.38035,0.3197,1.929325,1.00575
16.628475,0.3293,2.047,1.080975
19.1811,0.338625,2.1635,1.100475
20.218825,0.3646,2.232075,1.1451
20.320275,0.380325,2.401,1.179875
20.49675,0.389625,2.4521,1.196925
20.57005,0.41215,2.598,1.2484
21.39175,0.439175,2.60825,1.281075
21.6425,0.4731,2.752375,1.297975
22.4465,0.507825,2.79815,1.35
23.36405,0.550725,2.93095,1.4233
23.9213,0.608,3.349175,1.472
24.4907,0.657675,3.44885,1.587825
24.572125,0.69925,3.531275,1.7428
25.418875,0.73265,3.632825,1.777725
26.8061,0.76105,3.8247,1.8117
27.7011,0.783275,3.83735,1.8948
28.46105,0.7978,3.934675,1.974825
29.059875,0.814225,3.961675,2.076625
29.090675,0.834875,4.1624,2.109325
29.12205,0.85015,4.164325,2.1947
30.133325,0.862325,4.21025,2.31895
30.783375,0.874225,4.28495,2.3426
30.901025,0.903675,4.43375,2.3754
31.28185,0.922875,4.54955,2.4337
32.64105,0.942225,4.714275,2.46955
33.017125,0.960325,4.748825,2.4829
33.123175,0.981675,4.890075,2.55635
33.287575,1.026125,4.9279,2.5888
33.437375,1.051925,4.9625,2.642375
