SPK_SPKC03a (excited),SPK_SPKC06a (inhibited),SPK_SPKC08a (weak inhibition),SPK_SPKC09a (inhibited)
0.7257,0.00205,1.549625,0.03085
1.605,0.013375,1.997925,0.060825
1.917875,0.088075,2.2228,0.122525
1.998625,0.10525,2.421975,0.1549
2.13565,0.286275,2.4665,0.18115
2.461875,0.29965,2.899575,0.289225
3.602425,0.30795,3.469775,0.325425
4.39875,0.309675,3.9933,0.342825
4.5326,0.443525,5.70375,0.3531
4.9811,0.494375,5.977975,0.3656
5.703475,0.50885,6.345075,0.3811
6.3247,0.71625,6.7796,0.393175
6.404375,0.720975,6.942375,0.405325
6.4769,0.7398,6.9701,0.4158
6.58845,0.894875,7.0252,0.4352
6.624375,1.020675,8.093875,0.48865
6.9108,1.4737,8.181675,0.51455
7.1011,1.5594,8.435025,0.540875
7.3311,1.7092,8.9546,0.6125
7.399575,1.799375,9.39205,0.62935
8.28515,2.02485,9.882,0.671175
9.369725,2.0909,10.00415,0.679875
9.3859,2.263625,10.53875,0.69985
9.584225,2.4843,10.861225,0.71755
10.913775,2.4966,11.397075,0.726475
11.04475,3.08515,12.07425,0.758725
11.481725,3.1853,12.91635,0.76965
12.0261,3.26505,13.21705,0.7773
12.315475,3.33205,14.319725,0.7856
12.7761,3.3332,14.540275,0.78705
13.1408,3.37215,15.044325,0.7952
13.182025,3.532875,15.180525,0.86845
13.64285,3.5927,15.425,0.8838
14.011675,3.63625,16.14065,0.886
14.33415,3.870275,16.19665,0.9436
14.42425,3.887275,16.455275,0.96135
15.163075,3.9933,17.532725,0.976825
15.4673,4.2026,17.919025,0.9914
16.000825,4.32205,18.793075,1.0121
16.656875,4.336875,19.6551,1.0388
16.86885,4.546775,19.822125,1.06245
16.91005,4.62785,19.875675,1.110375
17.5064,4.64525,20.025625,1.153025
17.603225,4.65385,20.339775,1.220675
17.6603,4.66395,20.477275,1.300725
17.72155,4.7042,20.718,1.313125
17.810625,4.72785,21.8663,1.32785
17.95245,4.7515,22.570075,1.34375
18.0007,4.772075,22.81805,1.372
18.7285,4.8097,23.17635,1.3905
18.795275,4.823625,23.207075,1.426975
18.8908,4.96355,23.855,1.448375
18.91805,4.9999,24.391225,1.4625
19.08315,5.051,24.894925,1.476925
