SPK_SPKC01a (NA),SPK_SPKC04a (inhibited),SPK_SPKC08b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (inhibited),SPK_SPKC13a (NA)
0.0203,0.04415,0.031225,0.115525,0.0988,0.002525
0.025625,0.12685,0.0557,1.07015,0.7252,0.12635
0.0358,0.174,0.0614,1.073725,0.99825,0.250625
0.044275,0.257075,0.072425,1.5012,1.2087,0.347625
0.0498,0.38595,0.115425,2.36295,1.901125,0.407275
0.052825,0.42235,0.127675,3.64045,1.937625,0.57895
0.057625,0.682925,0.149325,7.2675,2.16375,0.73025
0.061025,0.78885,0.189725,8.7275,3.183425,0.77985
0.06935,1.0444,0.1989,11.938925,3.59165,0.848975
0.080875,1.211825,0.2116,13.483825,3.60585,0.90765
0.0905,1.299725,0.2253,15.226075,3.7384,0.9889
0.094475,1.33285,0.271475,16.51975,3.8527,1.137
0.103975,1.499675,0.308875,16.549125,4.2445,1.25525
0.115225,1.53635,0.33485,16.595775,4.2527,1.313225
0.1236,1.5535,0.380825,16.606925,4.315975,1.473125
0.13805,1.60325,0.388775,16.6252,4.39015,1.55325
0.152725,1.9508,0.421875,16.942975,4.6854,1.6286
0.16635,2.079875,0.4588,17.04745,5.040075,1.671125
0.170825,2.4524,0.474,17.256325,5.1,1.73165
0.350375,2.469875,0.489475,17.536825,5.315975,2.01195
0.365575,2.486175,0.519425,17.709425,5.6431,2.064625
0.3867,2.54535,0.5499,18.229525,5.930625,2.1666
0.397825,2.573425,0.603375,18.426725,6.02155,2.252
0.406025,2.597225,0.631225,18.909125,6.101725,2.299475
0.41385,2.674925,0.652225,19.32115,6.424025,2.488825
0.422275,2.73745,0.6658,19.383275,6.52985,2.542225
0.43515,2.792925,0.67755,19.98985,6.629775,2.602025
0.438825,2.8171,0.7024,20.02805,6.66365,2.641075
0.446675,2.88095,0.725,20.25715,6.7219,2.680925
0.461775,2.955025,0.749625,20.3475,6.896875,2.814975
0.490125,2.9788,0.7559,20.35475,7.294925,2.9209
0.50525,3.0153,0.76145,20.401075,7.83685,2.991575
0.519275,3.14595,0.777275,20.425325,7.886575,3.0713
0.532675,3.4106,0.77865,20.6343,8.35725,3.23365
0.55615,3.5878,0.819875,21.1692,8.40445,3.3295
0.789025,3.614675,0.84375,21.912025,8.73475,3.383575
0.8063,3.655125,0.851125,21.9521,9.16795,3.518725
0.824475,3.7798,0.8675,22.187375,9.287575,3.618225
0.836375,3.869125,0.890025,22.22335,10.468425,3.8223
0.853575,3.8867,0.976525,22.232525,10.7596,3.85785
0.857075,4.2053,0.978775,22.243025,11.8583,3.9443
0.8684,4.2551,0.998125,22.249125,12.100275,4.013075
0.877675,4.26455,1.043725,22.6715,12.24375,4.10005
