SPK_SPKC06a (NA),SPK_SPKC12a (inhibited)
2.642775,0.00715
5.121825,0.0236
9.93255,0.032375
10.063625,0.04625
12.992825,0.05575
17.545175,0.05835
23.1981,0.08585
29.32405,0.104275
29.95335,0.115575
31.4332,0.13035
33.331175,0.134275
34.104025,0.14635
35.177825,0.14995
37.656375,0.160025
37.6743,0.1657
38.2073,0.17735
38.53475,0.184625
38.6425,0.200125
39.33835,0.203425
40.469775,0.222075
41.479575,0.22555
41.968725,0.2328
42.8803,0.24515
43.5934,0.24725
45.91655,0.2627
46.497375,0.2669
47.92115,0.281425
52.787725,0.285225
56.834625,0.299575
56.898575,0.318
57.141675,0.328625
57.562775,0.3318
58.5819,0.3401
59.72245,0.359575
59.96055,0.3765
60.17725,0.3849
61.232775,0.3928
62.098475,0.4079
62.593975,0.412075
62.953925,0.439425
63.97795,0.444975
64.488025,0.452
64.520825,0.474375
64.683825,0.4807
64.814975,0.487
64.9444,0.5005
65.6602,0.513025
65.811775,0.528075
66.095025,0.54035
66.24175,0.551075
67.00455,0.561125
67.3983,0.56845
68.00915,0.581525
68.198375,0.6001
69.0249,0.614975
69.100025,0.63215
69.1834,0.6407
69.55705,0.656025
69.693125,0.668325
69.717925,0.67545
69.9143,0.6998
71.072,0.705725
71.160325,0.7225
71.174625,0.73755
71.593425,0.749225
71.881875,0.762325
72.125875,0.779675
73.27425,0.7985
73.7114,0.82175
73.8107,0.82525
74.37865,0.831375
74.521675,0.83565
74.684025,0.8523
74.9593,0.8786
75.22175,0.891725
76.896975,0.907075
76.9259,0.914375
76.973275,0.91865
77.1149,0.9281
77.755025,0.9322
78.940975,0.953725
80.0414,0.96565
80.104625,0.98485
82.79505,1.003525
82.869025,1.012625
82.9295,1.02765
82.936775,1.0435
83.033925,1.0482
83.166125,1.0623
83.422125,1.076025
83.53085,1.0924
83.90885,1.118625
84.173875,1.1367
84.428275,1.142725
84.509125,1.158825
84.534425,1.1742
84.898575,1.184825
85.0659,1.1896
85.357075,1.1946
85.408275,1.22005
85.427725,1.22535
85.476825,1.236425
85.688125,1.247975
85.7495,1.2625
86.019025,1.27245
86.477575,1.28775
86.858975,1.30475
87.271375,1.30745
87.568575,1.324975
88.27905,1.358225
88.7841,1.3732
88.87425,1.4112
89.01145,1.427525
89.2826,1.44675
89.3245,1.449575
89.5263,1.487525
89.588325,1.5104
89.64255,1.5241
89.757525,1.54135
90.097925,1.572275
90.319325,1.57455
90.372775,1.591775
90.484575,1.596575
90.5216,1.599775
90.98765,1.623425
91.339275,1.636975
91.702825,1.653475
91.8664,1.658425
92.24005,1.6662
92.509875,1.6772
92.98125,1.6829
93.04355,1.7205
93.055625,1.728525
93.66845,1.745025
94.54185,1.7918
94.715675,1.80205
94.773925,1.81895
95.48615,1.82125
95.63895,1.848675
96.021175,1.863175
96.3574,1.8778
96.55455,1.899125
96.660925,1.904025
96.948825,1.90745
97.20305,1.925975
97.24095,1.935425
97.7525,1.95205
97.959025,1.95825
98.07075,1.97895
98.140125,1.9861
98.2229,1.995325
98.34525,2.008775
98.3788,2.0215
98.538025,2.025275
98.84165,2.053
99.109325,2.0688
99.30965,2.0737
99.39325,2.08295
99.406375,2.089075
99.62345,2.0924
99.6375,2.1018
99.79795,2.115725
99.82075,2.1245
99.847475,2.1315
100.04335,2.1335
100.2393,2.149475
100.594225,2.15755
101.0491,2.1745
101.067525,2.216675
101.144925,2.2298
101.2044,2.240225
101.4775,2.242425
101.49885,2.2575
101.5932,2.27775
101.7399,2.295125
101.774925,2.307
101.7867,2.329275
102.2634,2.338
102.285675,2.350125
102.783875,2.36805
102.83695,2.3789
102.955425,2.38625
103.370875,2.395175
103.455,2.4018
103.868075,2.428025
103.926,2.4343
104.12785,2.4482
104.491875,2.4536
104.571,2.46555
104.707925,2.478775
104.965525,2.503825
105.09745,2.51135
105.372575,2.529075
105.394275,2.531875
105.4334,2.536925
105.502625,2.551675
105.56475,2.56945
105.9374,2.5793
105.978825,2.581225
106.48295,2.593325
107.021725,2.607325
107.092775,2.6188
107.2146,2.64345
107.288925,2.660675
107.32715,2.6911
107.5686,2.7067
107.59915,2.714025
107.7047,2.720375
107.720625,2.73215
107.82005,2.75435
108.215775,2.767625
108.8576,2.78165
108.879325,2.807675
109.262775,2.8137
109.7373,2.821975
109.8529,2.842125
110.348325,2.860725
110.746575,2.863375
110.88775,2.871175
110.968675,2.880325
111.441325,2.887325
111.5009,2.9198
112.002225,2.9351
112.09945,2.950325
112.21385,2.969125
112.270125,3.07365
112.3542,3.086625
112.8344,3.118275
112.9618,3.131325
113.0043,3.135575
113.062825,3.141125
113.1313,3.160875
113.265,3.17535
113.322125,3.1851
113.368925,3.19425
113.562975,3.19705
113.67595,3.205675
113.692675,3.208825
114.102975,3.223
114.219825,3.262625
114.3471,3.278875
114.658325,3.298675
114.68585,3.3044
114.72745,3.322025
114.83895,3.358525
114.892025,3.373725
114.979575,3.397775
115.456875,3.3997
115.6592,3.4086
115.92485,3.42
115.983025,3.428375
116.0984,3.438425
116.141175,3.452825
116.19465,3.4591
116.31265,3.465025
116.345725,3.47225
116.47875,3.475275
116.490425,3.495775
116.55265,3.503575
116.807675,3.51605
117.159625,3.559225
117.720275,3.58265
117.764575,3.596475
117.81545,3.6211
118.05305,3.6249
118.620525,3.65485
118.785075,3.6767
119.055625,3.6847
119.098925,3.690425
119.2863,3.69695
119.37125,3.7
119.5609,3.7093
119.800825,3.7139
119.885375,3.723375
120.35175,3.740875
120.402875,3.74795
120.46465,3.757425
120.597575,3.760675
120.625875,3.769375
120.776025,3.77895
120.818425,3.78325
120.9044,3.79615
121.055675,3.80175
121.12455,3.808775
121.189925,3.8202
121.222575,3.822475
121.30885,3.8291
121.626775,3.832
121.690725,3.8507
121.72585,3.853325
122.0936,3.86535
122.27545,3.87125
122.552875,3.910175
122.5543,3.917
123.040775,3.93635
123.364675,3.94085
123.375225,3.965675
123.75165,3.9867
123.803225,3.990775
124.3072,4.009575
124.806375,4.0259
124.91325,4.0445
124.94675,4.05425
124.977425,4.0584
124.9858,4.06085
125.139925,4.082925
125.212075,4.102075
125.359075,4.118375
125.54605,4.12455
125.607275,4.146775
125.647225,4.156375
125.688025,4.1748
125.7253,4.18165
125.7553,4.185
126.48475,4.211225
126.513375,4.21905
127.535725,4.225325
127.6527,4.23425
127.7102,4.2404
128.18625,4.25165
128.344475,4.25635
128.4967,4.266725
129.0208,4.294675
129.044975,4.297875
129.049175,4.305825
129.108625,4.3284
129.116025,4.331675
129.223125,4.3358
129.2361,4.353725
129.323475,4.37215
129.48465,4.3905
129.55515,4.3988
129.633525,4.40885
129.71165,4.43035
129.722425,4.4435
129.73855,4.447625
129.87895,4.45665
129.925175,4.468825
129.99695,4.473525
130.052375,4.492425
130.3248,4.503425
