SPK_SPKC03a (no effect),SPK_SPKC10a (inhibited)
8.17055,0.380925
11.46035,0.387925
11.4779,0.39255
12.069375,0.39605
12.500225,0.513275
12.5051,0.534575
13.0488,0.548325
14.343175,0.583675
15.559525,0.631625
16.0673,0.8148
18.10905,0.8295
18.824225,1.5322
18.841525,1.548175
19.0289,1.592875
20.1718,1.622475
20.290925,2.187025
20.375275,3.307925
20.414525,3.606925
22.846725,3.7024
23.29465,3.7078
24.505975,3.724975
24.622025,4.17475
24.641625,4.18595
25.297425,4.9702
25.71905,5.03485
25.750575,5.061275
25.804175,5.2621
26.0501,5.26365
26.2554,5.282175
26.515825,5.29575
26.8458,5.68315
27.035925,5.970075
27.199125,5.97905
27.327075,6.000425
28.2534,6.0432
28.2908,6.109075
28.752675,6.141025
28.7785,6.6915
28.91675,6.891975
28.9332,8.10115
29.03645,8.103925
29.045275,8.125675
29.075525,8.15355
29.236975,8.17595
29.327025,8.344125
29.41295,8.353425
29.64805,8.364725
29.8308,8.880175
30.3789,8.893325
30.53265,10.8923
30.913125,10.922875
31.526725,11.0284
31.5501,11.03975
31.711775,11.48095
31.88565,11.53595
32.1747,11.544525
32.7841,11.57635
32.907,11.5918
32.944575,11.63565
32.959775,11.639625
33.052775,11.6591
33.413775,11.66845
33.511875,11.68575
33.642575,11.693525
33.646625,11.726
33.66275,11.760925
33.705575,11.84435
33.7738,11.9091
33.831225,11.91815
34.370125,11.9319
34.655625,11.936925
34.812575,11.945425
34.9651,11.95545
35.256725,11.983975
35.491125,12.0022
35.5393,12.011075
35.6455,12.0861
35.7011,12.122025
35.742475,12.12415
35.805625,12.125625
35.999125,12.2697
36.16605,12.2822
36.18285,12.2867
36.2045,12.46425
36.372775,12.4808
36.546,12.4891
36.646175,12.4999
36.963775,12.514125
37.06095,12.5224
37.277625,12.554225
37.366475,12.568325
37.390375,12.5824
37.682625,12.59305
37.71605,12.60275
37.745625,12.60705
37.9597,12.61985
38.054975,12.63555
38.1765,12.639075
38.256175,12.64035
38.37365,12.66225
38.49895,12.66905
38.527275,12.678825
38.664525,12.7088
40.2346,12.742925
40.418875,12.755875
41.0888,12.802725
41.48945,12.8141
41.5966,12.827275
41.754125,12.843475
41.892775,12.86255
41.898275,12.88905
41.927925,12.89335
42.0121,12.92375
42.1206,12.9278
42.589425,12.95025
44.172425,12.966625
44.4916,12.99005
44.529425,12.9991
44.997525,13.031975
46.612125,13.06935
46.660375,13.0826
46.6848,13.107775
46.708325,13.1193
46.96015,13.135
46.965325,13.16285
47.0059,13.165225
47.03175,13.239825
47.05015,13.27675
47.15005,13.36005
47.16855,13.80525
47.70115,13.8216
47.753475,13.837675
47.75845,13.848425
47.79145,13.866375
47.81935,13.877175
47.8571,13.88425
48.0916,13.910275
48.190875,13.9266
48.3067,14.053775
48.423125,14.23145
49.17655,14.343975
49.1989,15.3331
49.336525,15.359175
49.529075,15.44075
49.626375,15.4573
49.668725,15.5205
49.949275,15.528725
52.0532,15.561625
52.12775,15.60065
53.52675,16.021625
53.538275,16.0232
53.574275,16.030875
54.139125,16.038025
54.69515,16.057125
54.709975,16.070075
54.76005,16.12005
55.199625,16.149975
55.51555,17.027875
55.7439,17.823025
55.7604,17.85985
55.815225,17.865725
56.000575,17.87295
56.050225,17.88485
56.300625,17.906075
56.35055,17.91265
57.7525,17.945075
57.837875,18.10945
59.849375,18.3989
59.8789,18.68095
59.881025,18.8061
59.93325,18.81175
60.26065,18.81985
60.89555,18.82175
61.01745,18.840875
61.141225,18.848925
62.84505,18.878475
62.8508,19.422075
62.878975,19.543875
62.885175,19.548175
63.1778,19.58585
65.176425,19.5947
65.18,19.616175
65.67545,19.6298
65.810475,19.654375
66.04945,19.670425
66.763525,19.687375
67.22045,19.7517
67.6467,19.78835
67.714725,19.807625
67.757175,19.847875
67.7661,19.953175
68.334625,19.973825
68.34775,19.978875
68.445875,19.986275
69.02185,20.034925
69.12795,20.0481
69.818025,20.058175
70.329225,20.109825
70.33975,20.15885
70.512425,20.17825
70.554625,20.211525
70.67545,20.274875
73.465,20.2818
74.857425,20.290075
76.467,20.306975
76.503675,20.31525
76.576175,20.3443
77.159425,20.351125
77.188,20.376625
77.37125,20.38715
77.3822,20.408375
77.399025,20.486025
78.51075,20.51625
78.523275,20.528375
78.5289,20.532725
78.57725,20.59545
79.167125,20.60355
79.1764,20.63185
79.713625,20.6898
80.53495,20.769925
80.540325,20.777775
80.56805,20.7894
80.65025,20.8048
80.947,20.841975
81.227325,20.844775
81.411475,20.862175
81.9942,20.879775
82.03965,20.8942
82.259475,20.920075
82.315275,20.9381
82.51365,20.9498
82.612525,20.961125
82.909575,20.96765
83.197275,20.98265
