SPK_SPKC01a (inhibited),SPK_SPKC05a (inhibited),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC14a (inhibited),SPK_SPKC16a (inhibited)
0.022725,0.6957,0.0557,0.14985,0.104375,0.04845,1.412625
0.053425,1.05395,0.09235,0.1705,0.549025,0.07505,3.93995
0.08365,1.135875,0.1097,0.231075,0.66665,0.151725,4.604275
0.1236,1.239875,0.1297,0.240625,0.8457,0.19755,8.758425
0.187825,1.3152,0.15375,0.26155,2.271475,0.314475,13.729325
0.2012,1.348925,0.186025,0.382575,2.332675,0.4889,14.306625
0.2287,1.492225,0.221375,0.4688,2.5412,0.54415,18.125025
0.2448,1.533925,0.2407,0.4742,3.6208,0.562975,19.8225
0.2684,1.706325,0.30205,0.51995,3.862475,0.623475,22.493475
0.277925,2.2225,0.361875,0.552275,4.096675,0.829825,27.21265
0.294675,2.51205,0.416375,0.583125,4.102875,0.99565,29.2565
0.313025,2.8838,0.45005,0.587125,4.12305,1.007875,30.3296
0.33825,3.002075,0.47485,0.72065,4.879525,1.030375,31.560525
0.385375,3.235175,0.505875,0.768625,5.501975,1.032475,32.49005
0.466175,3.44035,0.51855,0.780625,6.331925,1.097725,33.157125
0.49235,3.492125,0.626525,0.85275,6.823475,1.368675,39.914975
0.5017,3.53025,0.6827,0.894125,7.006525,1.4302,42.574025
0.506775,3.534825,0.7185,0.924775,8.549525,1.89635,44.044525
0.5311,3.6759,0.7366,0.961775,9.872225,1.926125,44.639825
0.548925,3.69465,0.75055,1.098775,10.718725,1.92905,44.86385
0.567875,3.90655,0.769275,1.110025,11.30555,1.986625,45.3528
0.59475,3.97795,0.792875,1.243375,13.496475,2.1364,45.4375
0.600675,3.99145,0.82645,1.3858,14.099175,2.669775,46.099875
0.63015,4.03415,0.86265,1.3874,14.162975,2.735325,46.3351
0.657725,4.239775,0.911475,1.398725,14.183425,2.8381,47.192525
0.688275,4.58535,0.953675,1.433675,14.48455,2.943325,47.243275
0.733225,5.037275,1.004025,1.470375,14.8675,3.049525,47.256775
0.7788,5.653825,1.02505,1.479125,15.029975,3.101975,47.4956
0.806625,5.675075,1.059775,1.538825,15.829,3.111925,48.2819
0.82785,5.97725,1.1114,1.558475,16.240875,3.219975,48.6472
0.85755,6.255675,1.17555,1.637825,16.2617,3.27025,48.94785
0.872925,6.3814,1.2056,1.7331,18.00165,3.29015,49.36805
0.8879,6.4025,1.222525,1.773,20.32085,3.31705,50.065375
0.90175,6.506325,1.27525,1.81105,20.341125,3.3197,50.2692
0.927925,8.1444,1.330525,1.8887,20.511175,3.568725,50.646875
0.984025,8.5964,1.39535,1.899,21.4185,3.649275,51.25035
1.064075,8.6116,1.438225,1.910275,21.529225,3.707075,52.843225
1.0903,9.523125,1.4606,2.139275,22.067375,3.7459,53.097875
1.106625,9.81375,1.491625,2.16815,22.450675,3.751475,55.8904
1.13355,9.823675,1.53665,2.17455,22.5224,3.776475,56.6937
1.145525,9.8365,1.590625,2.26495,24.232225,3.815075,57.51245
1.1724,9.851775,1.615475,2.28065,24.7823,4.09185,57.5497
1.208125,9.9294,1.639125,2.341275,24.963675,4.184775,58.653425
1.2645,10.400025,1.6704,2.541275,25.0851,4.258175,59.266375
1.333075,10.40485,1.673925,2.612825,25.1455,4.592325,60.030175
1.3628,10.50485,1.73395,2.68575,25.38265,4.642775,60.158625
1.38725,10.671975,1.7561,2.7186,25.907775,4.7481,61.6719
1.421625,10.77825,1.858625,2.91315,25.9292,4.795425,63.910575
1.432225,10.834475,1.9042,2.945875,26.934225,4.801775,64.06285
1.48065,10.880925,1.9242,3.070025,27.23765,5.099225,66.2241
1.56025,11.376975,1.972675,3.08405,27.24125,5.3007,66.38515
1.627575,11.666675,2.01775,3.264125,27.4129,5.39325,66.401925
1.667275,12.099125,2.055525,3.290475,28.0214,5.932425,67.6027
1.682725,12.28585,2.067425,3.351975,28.8071,6.081175,67.84595
1.715325,12.577875,2.087875,3.3656,29.431675,6.4089,68.048675
1.7249,12.589025,2.153425,3.3999,30.017775,6.630175,68.0658
1.744925,12.813075,2.19635,3.469925,30.1803,6.996725,68.140025
1.7687,13.096475,2.275625,3.54105,32.14555,7.5354,68.338625
