SPK_SPKC10a (excited),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC14a (no effect),SPK_SPKC16a (NA)
0.6171,0.128925,4.23675,0.133725,0.514
0.963,0.140075,11.076175,0.230025,0.7499
1.2516,0.16825,11.108,0.265375,1.493825
1.2986,0.180725,11.1624,0.3511,1.830675
1.3495,0.24285,11.7824,0.47275,2.319675
2.157475,0.27895,12.055275,0.48495,2.360025
2.736525,0.32095,12.15785,0.67355,2.50795
3.30305,0.534325,12.191625,0.90885,3.542325
3.604125,0.604,12.217075,0.93215,4.489975
3.937475,0.61325,12.233675,1.09265,4.8062
3.983675,0.6203,12.377625,1.207625,4.934
4.10125,0.631475,12.395575,1.2515,5.176425
4.14345,0.64455,12.4128,1.303125,5.7119
4.486875,0.65775,12.467275,1.4448,5.88645
4.63955,0.925,12.55385,1.512125,6.281625
4.68205,0.94375,12.815125,1.647925,9.021325
4.766875,1.0974,12.89095,1.7206,10.20285
6.165125,1.116175,12.9061,1.77985,10.926025
6.22795,1.165825,12.91995,1.81195,10.95325
6.66695,1.174375,12.957475,1.922975,11.032875
6.97415,1.23365,12.978825,2.070475,11.0945
7.299675,1.2349,12.9983,2.1343,11.18985
7.439425,1.302375,13.015575,2.34005,11.499725
7.73,1.32945,13.034625,2.365025,11.5348
7.76505,1.351,13.051725,2.717925,11.789125
7.935875,1.4581,13.069725,2.7545,11.853325
8.235775,1.541675,13.106525,3.2059,12.04155
8.33755,1.63885,13.2319,3.29425,12.360075
8.900575,1.7211,13.2546,10.05475,12.94665
9.860325,1.7354,13.27115,11.1624,13.595375
9.933375,1.8147,13.28675,13.483675,13.893975
10.06505,1.836425,13.327825,18.474425,14.1319
10.464725,1.84615,13.348075,18.70195,14.189275
10.602925,1.8546,13.406975,18.841625,14.294675
11.1015,1.887175,13.448525,18.8873,14.4157
11.224375,1.896675,13.47095,19.35015,14.588925
11.373825,1.928675,13.545025,19.9969,14.704925
11.45625,1.987075,13.56315,21.0228,14.82335
12.523625,2.04375,13.588125,21.4416,14.96355
12.64515,2.124875,13.611125,22.489125,15.3726
12.767875,2.1633,13.634425,22.7128,16.42305
12.8709,2.242175,13.6606,23.884175,17.379875
13.647125,2.277425,13.7293,24.461725,18.78745
13.775175,2.287725,13.74915,24.878825,19.063325
14.253825,2.3507,13.8242,26.16505,19.580725
14.93665,2.37395,13.85115,26.22165,21.09665
16.223875,2.473725,13.876225,26.38225,22.312675
16.270975,2.60415,13.9149,27.323625,22.3659
16.391725,2.692875,13.93125,27.671825,23.8832
16.454225,2.714625,13.95755,28.61355,30.164275
16.938525,2.8837,13.9852,29.249725,32.121475
17.2718,2.947175,14.008025,29.764275,32.37045
17.346575,2.994375,14.032375,29.95805,34.595375
17.80865,3.011225,14.07275,30.045675,35.5585
17.843075,3.039675,14.097375,30.2462,35.68995
18.677875,3.0911,14.17915,30.315375,36.560175
18.722225,3.372125,14.198975,30.55375,36.6673
18.73395,3.4168,14.212075,31.284325,36.7909
19.59325,3.426475,14.286475,31.423075,36.9088
19.6937,3.4437,14.30675,31.448175,36.96105
20.26615,3.451325,14.3326,31.598775,37.6406
20.841525,3.461425,14.3809,38.1652,37.6866
21.415975,3.487125,14.50495,40.424175,38.266975
21.666575,3.533625,14.5278,43.994175,38.28295
22.180375,3.543975,14.57895,45.17575,38.3091
22.62695,3.5795,14.598375,52.88265,38.348225
23.6086,3.684575,14.618125,54.279525,38.434475
24.276075,3.712775,14.687175,54.42975,38.85895
24.376525,3.742625,14.7066,54.464425,39.23855
24.570975,3.79225,14.76225,54.65165,39.388975
25.41005,3.84225,14.810525,54.6857,39.668475
26.143425,3.873275,14.828275,54.775475,40.15565
26.6258,3.963525,14.91665,54.7893,40.206525
26.6748,3.977175,14.95175,54.9684,40.256625
26.7497,4.010525,14.979,55.004475,40.78055
26.80895,4.037525,15.1206,55.0623,41.640875
27.15195,4.055775,15.14485,55.1878,42.4295
28.016275,4.0744,15.19165,55.208475,42.479625
28.469125,4.117175,15.22105,55.3208,43.2451
29.67985,4.13755,15.24645,55.542175,43.430775
30.017575,4.1814,15.28055,55.62685,45.18805
30.11525,4.209525,15.310225,55.9103,45.307175
30.6831,4.223625,15.3866,55.947875,45.419375
31.05945,4.22915,15.491325,56.049475,45.5451
31.134525,4.26725,15.65245,56.27245,45.7128
31.664025,4.31355,34.59545,56.286375,46.1866
31.77315,4.3781,35.417125,56.390825,46.4892
31.81025,4.398025,35.500575,56.42575,46.586825
32.09065,4.416775,35.532575,56.598075,47.5842
33.041025,4.4291,36.562625,56.747975,49.002525
33.098675,4.539325,36.7745,56.80525,49.178125
33.485975,4.573575,36.838925,59.832425,49.3437
33.708375,4.59975,36.8572,60.166,49.48165
33.763275,4.6162,36.9301,64.586625,49.52485
33.988275,4.636625,37.08535,64.727275,49.97715
34.634425,4.650025,37.1021,64.791525,50.235375
34.636625,4.670075,37.1377,64.912575,50.57655
35.8894,4.7054,37.15805,68.479925,50.63975
35.951975,4.7328,37.270425,68.68305,50.6821
36.39535,4.797625,37.73005,68.80805,50.94375
36.403275,4.81595,37.7481,68.82205,51.239625
37.076775,4.910975,38.03615,68.834725,51.255025
37.14335,4.9421,38.051275,68.892,51.2644
37.145525,5.03785,38.108525,68.905675,51.360625
37.7443,5.07665,38.1813,68.917125,51.390825
37.910275,5.1125,38.1982,68.9677,51.407775
37.93455,5.13445,38.242725,68.980975,51.44845
37.97015,5.15855,38.260975,68.997775,51.462725
38.682425,5.187075,38.34665,69.0099,51.652
38.727075,5.2346,38.363125,69.022975,51.745575
38.8518,5.262275,38.3999,69.0782,51.906825
39.0683,5.2778,38.480975,69.1774,52.06555
39.1504,5.2914,38.509475,69.2254,52.167925
39.4252,5.3019,38.563475,69.252325,52.187375
39.982025,5.323875,38.584575,69.27035,52.307025
40.2085,5.345225,38.626325,69.2878,52.385475
40.555675,5.36015,38.667925,69.317525,52.416275
40.595675,5.37035,38.75955,69.331475,52.7262
40.78355,5.438975,38.842575,69.36065,52.767925
41.11585,5.4581,38.93505,69.43925,52.80455
41.952775,5.4754,39.51075,69.748025,52.832525
42.250925,5.524675,39.65375,69.76485,52.943475
43.0384,5.558025,40.098075,69.839675,53.146925
43.158325,5.586475,46.680325,69.85635,53.89325
43.680525,5.6496,46.915825,69.91775,53.99545
44.293125,5.70135,47.265075,70.923975,54.3704
44.56655,5.7378,47.737875,72.19705,54.40635
44.9024,5.823125,47.758275,72.29095,54.477575
45.00415,5.8653,47.86465,72.687525,54.564775
45.580375,5.880275,48.1236,74.35285,54.846775
45.649825,5.8917,48.372575,76.045925,55.41695
45.7389,5.9038,48.402075,76.43945,55.482025
45.935825,5.911875,48.422875,76.521475,55.619475
46.135625,5.932175,49.075125,76.667425,55.71055
46.572975,5.9743,49.099175,76.8087,55.878975
47.285625,5.989625,49.199275,76.951,55.988475
47.347375,6.005675,49.8889,77.250725,56.141375
47.420475,6.013825,50.010775,77.318725,56.331775
47.820925,6.0472,50.024525,77.7046,56.6894
48.158925,6.093025,50.036625,77.8556,56.71305
48.249625,6.126525,50.16565,78.304175,56.77695
48.268575,6.181125,50.21545,78.3199,56.8414
48.869075,6.22565,50.23355,78.650875,56.86095
49.3484,6.376425,50.258425,79.31525,57.051375
49.4329,6.386975,50.294475,79.6957,57.0777
49.90395,6.395,50.325975,79.8035,57.13545
50.28415,6.409675,50.340425,80.277875,57.515475
50.433525,6.41495,50.3701,80.4534,57.585075
50.468425,6.429,50.385925,80.5202,57.92765
