SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
0.01925,0.46755,0.43285,0.147475,0.206125,0.04215,0.030275,0.0194,1.1204,0.086625
0.083125,0.492675,3.524425,0.205975,1.1114,0.08085,0.075625,0.047525,1.478925,0.10025
0.12475,0.497825,3.97965,0.351075,1.34635,0.671225,0.12,0.1495,5.381775,0.1394
0.1476,0.9286,5.296175,0.492625,1.7206,0.724475,0.1545,0.160975,12.341775,0.179
0.162125,0.936675,5.3544,0.552425,1.87145,0.733025,0.1555,0.18045,13.6795,0.233925
0.183525,2.394,7.637025,0.574525,1.8744,0.959575,0.178825,0.196775,14.09785,0.2365
0.199525,3.5626,7.708925,0.68255,1.888125,1.3049,0.18715,0.2048,14.86945,0.244725
0.26305,3.844375,7.9486,0.775825,2.01185,1.42775,0.202325,0.2365,16.753325,0.2554
0.2697,4.70785,8.2973,0.79385,2.877125,1.48525,0.208725,0.243075,17.26075,0.33255
0.27495,5.143525,8.392675,1.2461,3.9175,1.629925,0.228025,0.3173,17.732125,0.36005
0.28015,5.486425,8.528875,1.331025,4.7799,1.64225,0.2338,0.351225,19.114675,0.416325
0.287775,6.1624,9.208275,1.516625,4.7835,1.70055,0.2535,0.3708,20.0612,0.498
0.30465,6.2641,9.45255,1.592025,5.49,1.887525,0.2743,0.42375,21.849625,0.6043
0.327625,6.4849,9.6748,1.6843,6.923225,2.1289,0.307275,0.445375,22.02615,0.607075
0.337975,6.53325,10.116075,1.8713,7.379075,2.28535,0.3141,0.637625,23.5823,0.65755
0.3889,6.557225,10.401225,1.990675,8.258325,2.3831,0.364525,0.721625,23.89935,0.682675
0.40305,7.191675,10.67945,2.2143,8.324525,2.4042,0.382775,0.73365,24.868725,0.74825
0.4273,7.206375,11.426775,2.34325,8.355825,2.489925,0.4153,0.79555,25.409975,0.822575
0.435775,7.50815,11.540675,2.398025,9.026675,2.593375,0.438,0.81175,29.656325,0.9596
0.479225,7.5404,13.322975,2.41445,9.027925,2.687025,0.50195,0.8248,31.1338,0.997875
0.4991,7.810925,14.2061,2.57615,9.5074,2.857875,0.526375,0.8458,32.744475,1.14935
0.510375,8.31205,14.628175,2.599075,9.626025,3.444625,0.530475,0.8984,35.7659,1.155125
