SPK_SPKC01a (excited),SPK_SPKC04a (inhibited),SPK_SPKC09b (excited),SPK_SPKC10b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (excited),SPK_SPKC12a (excited),SPK_SPKC13a (excited),SPK_SPKC14a (excited),SPK_SPKC15a (NA),SPK_SPKC16a (excited)
0.0818,0.00565,0.02255,0.022525,0.0894,6.358475,0.089375,0.337275,0.0694,2.5182,0.06955
0.107025,0.018225,0.0433,0.043275,0.15005,8.17065,0.148875,0.594025,1.365225,3.253025,0.44245
0.138175,0.031,0.069275,0.06925,0.175825,8.8055,0.150025,0.6775,4.03135,3.487375,0.903475
0.15475,0.046825,0.08305,0.083025,0.256425,8.9742,0.1758,0.9904,4.13685,3.53,1.01665
0.182075,0.063625,0.1341,0.112375,0.3786,9.34215,0.256425,1.174375,8.096725,4.0133,1.46655
0.2364,0.079675,0.209575,0.134075,0.4974,10.233725,0.28795,1.618775,10.54995,4.031325,1.97295
0.260675,0.095775,0.28805,0.152675,0.765725,17.896225,0.3786,1.96215,11.291575,4.395525,2.146225
0.29025,0.103025,0.545625,0.209525,0.817075,18.425475,0.42515,2.17395,11.93375,4.479125,2.23735
0.326625,0.131625,0.801475,0.288025,0.84595,20.8155,0.497375,2.194775,13.861525,4.7227,2.304575
0.350625,0.143675,1.0525,0.545575,1.1162,20.858475,0.538675,2.306675,14.159625,4.886475,2.518275
0.378175,0.1587,1.10245,0.801425,1.12925,21.930125,0.7657,2.3875,14.2395,4.948125,3.1616
0.403175,0.1655,1.154825,1.052475,1.152,22.999275,0.81705,2.46385,15.452725,5.243025,3.206725
0.428625,0.1774,1.2587,1.087975,1.46535,25.2104,0.845925,2.57375,17.33725,5.373,3.25445
0.455725,0.187825,1.3197,1.1024,1.53985,26.612075,1.052625,2.601575,17.6192,5.56445,3.515075
0.51725,0.201025,1.4693,1.117125,1.815875,26.935,1.116175,3.28495,17.79845,5.59895,3.9771
0.54875,0.2166,1.513175,1.1548,1.8925,27.444125,1.129225,3.424525,18.4068,5.64,4.031425
0.573875,0.231125,1.561675,1.188325,1.948575,27.45665,1.151975,3.631875,18.91735,6.0009,4.473975
0.604925,0.239525,1.605825,1.25865,1.96055,27.605975,1.301175,3.7311,20.5808,6.10865,4.6062
0.63335,0.254875,1.664175,1.31965,1.97435,27.626075,1.31945,3.749775,20.945925,6.2025,4.75585
0.66785,0.268875,1.6743,1.46925,2.023775,27.84655,1.40225,4.119625,21.601625,6.288,4.847775
0.71185,0.27855,1.684975,1.51315,2.046375,28.07435,1.458075,4.41195,22.40175,6.373325,4.8499
0.7395,0.292725,1.701475,1.5414,2.054225,28.639275,1.46535,4.4844,24.4499,6.593075,4.88665
0.78125,0.307725,1.72735,1.561625,2.103025,28.659975,1.53985,4.562875,26.589675,6.69985,5.008
0.8033,0.319375,1.9315,1.579225,2.3778,28.68965,1.561575,4.596875,26.9848,6.753125,5.4981
0.830575,0.3348,1.9467,1.605775,2.412825,29.139625,1.68485,4.659925,27.33685,7.23865,5.543025
0.8526,0.34845,1.970225,1.62585,2.665725,29.246825,1.726625,4.782175,28.2389,7.326625,5.577275
0.87595,0.35985,1.9968,1.664125,2.788625,29.28135,1.81585,4.84925,28.701475,7.547975,5.893625
