SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
0.06305,0.06945,0.0073
0.15615,0.079325,0.02885
0.1841,0.401225,0.0457
0.193775,0.690425,0.069275
0.20495,1.21405,0.09245
0.221,1.5378,0.12255
0.25015,1.54295,0.16195
0.26815,2.23065,0.19325
0.30235,2.689825,0.2221
0.334025,2.7396,0.26255
0.3474,2.751175,0.3196
0.368975,2.821275,0.44175
0.380475,2.83085,0.4917
0.445975,2.892425,0.523925
0.47235,3.416225,0.553075
0.5033,3.461075,0.611
0.5266,3.514425,0.6452
0.5344,4.610125,0.6903
0.568275,5.56045,0.739775
0.624,5.753675,0.81845
0.6439,6.2895,0.8603
0.65665,6.614075,0.89845
0.769825,6.64625,0.926925
0.777875,6.727175,1.03825
0.78235,6.822775,1.0807
0.8672,7.058025,1.114475
0.876275,7.5219,1.14985
0.881575,7.7968,1.1775
0.8883,7.8953,1.20785
0.913275,7.9187,1.250625
0.939775,8.0504,1.310525
0.954575,8.1346,1.362375
0.963375,8.244675,1.413825
0.97385,8.33745,1.45515
0.98055,8.36545,1.508125
1.224175,8.5959,1.55205
1.244175,9.1715,1.59265
1.266825,9.17435,1.636175
1.280775,9.871175,1.68825
1.31025,9.882,1.76085
1.321075,11.336425,1.801
1.3977,12.25245,1.823025
1.488,12.313675,1.858725
1.493975,12.351275,1.8935
1.74475,12.370675,1.9258
1.7941,12.394525,1.958875
1.829575,12.9899,2.002325
1.84,13.397525,2.059575
1.909675,13.581425,2.125325
1.91555,14.6238,2.1779
1.92095,14.885225,2.238475
1.969275,14.915175,2.275225
1.982225,14.926925,2.302175
2.056325,14.95125,2.33125
2.155475,14.99635,2.373675
2.298525,15.043725,2.407375
2.305275,15.069375,2.448025
2.3294,16.0219,2.4885
2.3461,16.02455,2.545675
2.358125,16.0733,2.628525
2.364475,16.077175,2.699275
2.38465,16.16735,2.73385
2.392875,16.20925,2.753125
2.41015,17.0154,2.77445
2.42525,17.064375,2.7922
2.4354,17.0931,2.840725
2.443125,17.151975,2.899725
2.46705,17.407575,2.97085
2.56455,17.5077,3.06505
2.5712,17.679,3.089775
2.574925,17.6982,3.10085
2.596425,18.06765,3.1196
2.61435,18.102175,3.166525
2.633575,18.37365,3.191775
2.637775,18.44135,3.225825
2.67505,18.75025,3.2475
2.7055,18.831775,3.2843
2.8039,18.961625,3.30095
2.809475,19.21495,3.33165
2.842975,19.2904,3.41915
2.877,19.445025,3.4446
3.00805,21.0959,3.4796
3.011275,21.143475,3.565725
3.026,21.155025,3.6231
3.03085,21.15885,3.68595
3.048,21.19215,3.7245
3.073025,22.1102,3.78665
3.126025,22.142475,3.811625
3.13785,22.33895,3.827725
3.176075,22.58435,3.848225
3.19435,22.646675,3.867
