SPK_SPKC04a (inhibited),SPK_SPKC09b (inhibited),"SPK_SPKC11a (NA, artefact)",SPK_SPKC12a (excited)
0.0365,0.6724,0.043775,2.3097
0.07725,6.8561,0.072375,3.8826
0.11535,7.10425,0.142375,7.7696
0.14975,11.105325,0.168025,7.799175
0.34495,14.159475,0.312875,10.644075
0.413725,14.19895,0.59145,12.656075
0.502775,16.222925,0.619125,20.17235
0.52725,22.913475,0.634375,22.0597
0.56875,23.679725,0.644025,27.345475
0.673,24.0605,0.8782,30.771
0.730725,24.2351,1.185675,34.891625
0.820675,25.07135,1.497425,40.106275
1.01805,25.1858,1.665775,45.0126
1.0801,27.769475,1.68805,46.47465
1.101575,28.82235,1.714025,47.039025
1.11755,28.83125,1.786425,47.713025
1.16065,29.977375,1.900275,50.912925
1.163825,31.843025,1.926525,51.1842
1.1854,33.050825,2.024025,51.99175
1.30475,35.122475,2.09965,54.599375
1.347775,36.692,2.241825,61.952675
1.4182,37.7872,2.331425,62.7144
1.4539,38.06505,2.345375,63.710075
1.4834,38.218075,2.464825,68.3436
1.50505,38.6879,2.487575,68.7114
1.513875,43.74445,3.003825,70.416575
1.524175,44.1892,3.13755,70.4329
1.567875,44.3878,3.15005,72.35585
1.692525,44.541875,3.9177,73.756875
1.7997,44.611025,4.0271,74.124025
1.84645,45.391325,4.1022,77.26275
1.872125,46.451175,4.732625,77.66085
1.910575,47.006725,4.903175,78.413325
1.9768,49.055075,4.92495,82.067625
2.168925,54.502725,5.3561,82.340525
2.2247,57.482075,5.66005,82.6176
2.35255,60.83465,5.9671,83.515725
2.39325,61.35495,5.995225,84.417575
2.400525,65.244575,6.063475,87.516825
2.5632,66.8483,6.13845,91.903775
2.60935,72.116225,6.3146,93.46125
2.652325,72.804725,6.32885,94.135325
2.68785,73.84365,6.972625,95.27595
2.753725,75.8956,6.99805,99.356075
3.061275,79.892325,7.27405,103.279575
3.10045,83.09555,7.313475,104.162125
3.14285,83.295025,7.365975,104.2821
3.24475,94.904375,7.40585,104.84265
3.2475,95.443425,7.726775,104.8672
3.263,96.846525,7.76965,104.9214
3.31405,98.1685,7.992175,107.599125
3.4331,101.09895,8.0143,109.41585
3.519275,113.21965,8.125825,110.368475
3.557775,115.01305,8.46195,111.218275
3.571875,116.48355,8.731825,111.722975
3.58925,118.9548,9.0657,112.41795
3.678575,119.326875,9.2707,112.49445
3.985575,122.200525,9.41025,112.8273
4.1279,122.5821,9.479975,113.3179
4.1909,123.782125,9.649675,115.097425
4.242525,124.954825,9.70265,115.173275
4.387675,125.280325,9.85585,118.090025
4.42845,126.4846,9.873375,118.2442
4.436775,128.07175,10.1262,118.856875
4.5,128.09415,10.306925,119.832725
4.682075,128.1257,10.507775,121.17515
4.72435,128.759475,10.71925,121.44785
5.03225,129.424725,10.95005,121.7019
5.037475,131.414825,10.977075,123.927075
5.157775,131.67705,11.0945,123.954075
5.4376,131.799025,11.449325,124.035525
5.5066,131.83855,11.48725,124.1623
5.547975,137.2638,11.60665,125.479925
5.599675,138.081425,11.678825,125.498025
5.64825,138.51765,11.791575,126.83385
5.6993,138.5811,12.02065,127.3618
6.04675,138.990175,12.030625,127.515475
6.170775,139.5815,12.044825,127.582875
6.292425,140.33005,12.196075,128.404675
6.36315,140.816725,12.3223,128.741025
6.619725,142.01855,12.474525,128.945775
6.632975,143.807325,12.526325,129.395725
7.04175,145.3738,12.653125,129.735225
7.146325,146.665925,12.82675,130.14035
7.64865,147.429075,12.997125,130.15285
7.755175,147.7078,13.067525,131.15845
7.7663,147.935525,13.344525,131.290625
7.7854,148.2646,13.75615,131.6104
7.79035,148.3613,14.123525,131.774625
7.79245,149.7278,14.330425,132.5995
7.87485,152.043875,14.340675,132.610475
7.97105,152.664675,14.358,133.0766
8.0211,153.8552,14.420475,133.32115
8.06475,154.39745,14.6678,133.54905
8.135375,155.04685,15.0581,133.89105
8.262825,155.388525,15.121525,133.932625
8.391125,157.6438,15.135025,134.145525
8.4393,158.689625,15.19645,135.05115
8.56295,159.719725,15.25225,135.1702
8.6286,160.378325,15.2904,136.3868
8.711925,160.500125,15.31535,136.662525
8.793025,160.660475,15.3383,137.0487
9.045125,161.2638,15.882,137.223
9.3091,161.338125,15.927625,137.59035
9.343925,161.47435,16.4369,137.62975
9.589675,161.667875,16.463025,137.661325
9.66785,162.441225,16.60545,138.009225
9.707725,163.198525,16.6067,138.987175
9.720125,163.2662,16.64355,139.022425
9.742325,164.916525,16.66555,140.548725
9.7559,164.997275,16.716475,141.606625
9.810975,166.41485,17.014875,141.9371
10.14525,167.0217,17.450575,144.373625
10.17625,167.51275,17.708825,144.687575
10.292875,167.969725,17.848225,144.70825
10.3315,168.30145,18.047625,145.573175
10.4028,168.796575,18.3061,145.575975
10.473525,168.87055,18.522025,145.955425
10.510025,168.88355,18.942025,146.558825
10.61135,169.272625,19.091325,146.956825
10.68645,169.3671,19.67325,147.03505
10.744625,169.7164,19.78155,147.22455
10.797725,169.78385,19.9008,147.9086
10.8236,170.60395,19.996575,149.028825
10.948325,170.76235,20.00475,149.9526
11.0079,171.38645,20.4197,150.0856
11.116825,171.39405,20.4484,150.348825
11.15805,172.980975,20.48675,151.5722
11.438625,173.278325,20.505525,152.2807
11.453125,173.663775,20.58725,152.681375
11.636425,173.85695,20.7821,153.141775
11.992725,174.325625,20.794775,153.247475
12.015425,174.90785,20.976975,153.486475
12.0443,175.2232,21.7964,153.581475
12.107575,175.701225,21.873025,154.745625
12.37475,175.840075,21.8905,154.865225
12.464075,176.247325,21.94065,154.8696
12.470325,176.479125,22.0243,155.0034
12.4723,176.4901,22.21285,155.915425
12.481575,176.4975,22.283575,156.051025
12.4898,176.9829,22.376625,156.687625
12.496225,178.41335,22.39555,156.913225
12.506475,178.443775,22.443375,157.97535
12.5096,179.099575,22.54945,158.22875
12.54425,180.936375,22.8626,158.77695
12.567975,181.1582,22.871025,159.1344
12.6289,181.89765,22.95415,159.263975
12.743375,183.0275,23.138925,159.34495
12.974525,184.089675,23.1858,161.04985
13.081525,185.371525,23.509575,161.051175
13.175425,185.5973,23.679725,161.2221
13.176975,186.45655,23.686775,162.3299
13.196625,186.841275,23.971475,162.702025
13.21355,187.339625,23.990925,162.7588
13.28665,187.7649,24.086625,162.7921
13.349475,187.8452,24.196425,163.134325
13.5023,188.552975,25.1351,163.1767
13.670475,189.685375,25.334125,163.19785
13.772575,189.729575,25.563925,163.79945
13.901425,190.281975,25.86075,163.8152
14.089375,190.719225,26.188125,164.870075
14.1539,190.808225,26.303575,165.2414
14.191975,191.0832,26.804575,165.84925
14.213225,191.522925,26.881575,166.57075
14.30275,191.583,26.968525,166.72695
14.61245,191.673775,27.332625,167.7313
14.6197,191.691775,27.569925,167.7453
14.784575,192.039475,27.579475,168.2522
14.86715,192.939725,27.816575,168.762275
15.020525,193.148,28.079975,169.006725
15.10515,193.315475,28.17405,169.435575
15.15745,193.9875,28.355875,170.20135
15.23,195.37495,28.794925,170.3254
15.2947,195.5189,28.880225,170.5991
15.487775,196.37415,28.9468,170.612875
15.627225,197.7208,29.0844,170.984
15.6769,198.4741,29.2511,171.098975
15.815325,198.878275,29.2522,172.084525
15.928075,199.31085,29.29555,172.37425
15.95215,200.216675,29.355925,173.45715
16.178375,200.514875,29.450775,173.50985
16.219225,201.646025,29.516875,174.2772
16.242025,201.75985,29.6196,174.5436
16.387875,202.300775,30.018875,175.0627
16.4019,202.35825,30.06645,175.156325
16.4609,202.8305,30.483025,175.239075
16.4747,203.9231,30.48575,175.264525
16.63475,204.152,30.60745,175.368375
16.69915,204.4926,31.219725,175.41205
16.723075,205.750975,31.3144,175.64875
16.791475,206.576975,31.351125,176.1349
17.0925,206.63375,31.5227,176.708175
17.138375,206.69605,31.8142,177.0628
17.150925,206.801075,32.213925,177.143875
17.20425,206.920325,32.2507,178.039625
17.266325,207.0843,32.5606,178.28115
17.366175,207.183875,32.6953,178.287275
17.5184,207.450475,32.89585,178.302925
17.525575,207.89495,33.0539,179.610475
17.57325,208.646775,33.063775,179.90595
17.601025,209.30015,33.087825,180.0642
17.902925,209.639225,33.170125,180.318875
17.907075,210.06795,33.234725,180.62555
17.955375,210.7344,33.52605,180.790625
18.148375,210.8599,34.068375,180.973425
18.1584,210.937275,34.572325,181.01915
18.1837,211.52325,34.65115,181.463575
18.210775,211.545975,34.6531,181.8919
18.2463,211.881675,34.89165,181.9188
