SPK_SPKC08a (inhibited),SPK_SPKC12a (inhibited),SPK_SPKC14a (short inhibition),SPK_SPKC14b (inhibited),SPK_SPKC16a (NA)
0.00875,0.431475,0.1052,0.006025,0.00625
0.548975,0.484825,0.141475,0.05045,0.05035
0.658925,0.5414,0.198225,0.269075,0.105175
0.924275,0.645675,0.247925,0.311575,0.1651
1.128325,0.792325,0.377075,0.338375,0.237575
1.910725,0.96425,0.408875,0.51455,0.294775
2.2053,1.05685,0.425025,0.589975,0.29755
2.32015,1.522375,0.42675,0.70545,0.3685
2.596075,1.5594,0.6541,0.847025,0.43005
3.271075,1.783775,0.73745,0.885125,0.467625
4.77975,1.871275,0.77105,1.144125,0.47325
5.202575,2.648725,0.81005,1.298275,0.522575
6.124525,2.76785,0.908125,1.3593,0.544075
6.41665,2.96905,0.952425,1.388775,0.581275
6.7447,3.080225,0.9738,1.480675,0.631725
6.849075,3.15415,1.039825,1.575425,0.747725
6.99875,3.50845,1.082175,1.760025,0.7748
7.1335,4.28445,1.210325,1.861275,0.8961
7.31865,4.3734,1.419775,1.9047,1.06255
7.65745,4.4081,1.4475,2.099875,1.06535
8.577575,4.582025,1.520425,2.12595,1.161625
8.84835,4.8642,1.542825,2.14365,1.199275
9.27585,5.023675,1.624575,2.180025,1.2518
9.517675,5.133525,1.7271,2.234575,1.398725
9.96685,5.46865,1.79815,2.364575,1.4031
10.2306,5.511625,1.93895,2.4092,1.482575
10.29965,5.603325,2.007275,2.561275,1.5937
10.503125,5.642225,2.041025,2.60665,1.61065
10.633675,5.78085,2.079025,2.6473,1.744025
10.9303,5.847325,2.09295,2.82415,1.783875
11.575375,6.125075,2.206875,2.855475,2.0815
11.659625,6.1928,2.2563,2.9418,2.083125
11.794775,6.256625,2.395775,2.9931,2.09295
12.539975,6.6582,2.47835,3.0224,2.1014
13.075125,6.692575,2.60825,3.054075,2.1107
13.2916,6.86265,2.68805,3.076675,2.1446
13.4019,7.226925,2.712675,3.09735,2.1626
13.63545,7.654975,2.739725,3.132375,2.207025
13.76225,8.0418,2.809025,3.152525,2.209975
13.994925,8.11245,2.898725,3.198825,2.2499
14.277825,8.19965,3.293475,3.257275,2.281875
14.60605,8.289,3.4173,3.341225,2.308675
15.556675,8.679075,3.487025,3.44455,2.343125
15.788,8.71185,3.5472,3.515,2.4465
18.338525,9.077925,3.563925,4.105825,2.52075
18.721175,9.2353,3.59345,4.1268,2.53235
18.9403,9.3062,3.673675,4.154125,2.60665
19.259875,9.571675,3.737125,4.2173,2.621225
19.442325,9.608325,3.810975,4.29355,2.626575
20.105725,9.784275,3.85215,4.3166,2.651825
20.242625,10.45265,3.8716,4.3866,2.653525
20.3204,10.521575,3.904475,4.4172,2.6678
20.713225,10.54875,4.016875,4.52305,2.714475
21.460275,11.324325,4.06545,4.556025,2.724875
21.605425,11.52965,4.084275,4.577975,2.795075
21.701275,12.2594,4.2445,4.804625,2.8423
22.026175,12.412025,4.3478,4.837,2.86925
22.265225,12.45775,4.471325,4.91345,2.965975
22.36495,12.516375,4.538625,4.9395,3.093375
23.2504,12.5704,4.611075,5.0758,3.147825
24.0341,12.676425,4.6425,5.099525,3.151275
24.24335,12.7328,4.6991,5.145575,3.217125
24.552625,12.7936,4.75185,5.1745,3.222775
24.688575,12.92505,4.9777,5.4913,3.25745
25.901375,13.1802,5.0464,5.51505,3.310325
26.134925,13.209375,5.060125,5.53045,3.403975
26.244475,13.5416,5.134375,5.632475,3.4883
26.3267,13.681375,5.19785,5.7222,3.53725
26.539275,14.05765,5.2695,5.744425,3.5632
26.841475,14.07425,5.300025,5.84075,3.58355
26.9317,14.11675,5.321725,5.94535,3.640425
27.036725,14.215,5.40435,6.048325,3.672975
27.317325,14.3762,5.692225,6.2578,3.694425
27.55105,14.40355,5.742925,6.331425,3.7704
27.584425,14.42285,5.782675,6.333775,3.808325
27.72455,14.4357,5.8085,6.395825,3.866825
27.81855,14.55985,5.86745,6.4364,3.988325
28.013025,14.59585,6.01135,6.505875,4.03055
28.074,14.887675,6.0922,6.594125,4.118475
28.466975,15.0369,6.124225,6.63225,4.3174
28.66035,15.18825,6.161825,6.699,4.338225
28.97575,15.43655,6.195925,6.81405,4.4332
29.09775,15.55505,6.210925,6.898,4.4914
29.2539,15.58925,6.297525,6.9624,4.495225
29.8501,15.897275,6.35445,7.096775,4.511475
29.946725,15.976375,6.544925,7.137525,4.516625
30.193125,16.01195,6.65265,7.20105,4.528625
30.2937,16.320125,6.679825,7.224925,4.537775
30.387675,16.60935,7.168425,7.2799,4.54035
31.1732,16.692975,7.33445,7.36355,4.558175
31.467625,16.748025,7.44845,7.614525,4.62715
31.70075,17.0983,7.45965,7.68525,4.677075
31.97905,17.22465,7.504575,7.7132,4.68635
32.086875,17.549175,7.58585,7.7421,4.764875
32.17575,17.924425,7.761675,7.82525,4.85785
32.2672,19.136825,7.795725,7.935875,4.874375
32.511975,19.48945,7.85295,7.960175,4.891925
32.76885,19.519525,7.87785,8.018125,4.95125
33.00495,19.920875,7.914,8.062525,5.0583
33.3556,20.2588,7.982375,8.1245,5.0936
