SPK_SPKC03a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10b (inhibited),SPK_SPKC11a (short inhibition),SPK_SPKC11c (NA),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC16a (NA)
0.07835,0.1267,0.00365,0.40885,0.0108,0.027,0.002425,2.2399
0.145925,0.306725,0.0108,1.08235,0.023,0.12035,0.02695,12.319225
0.168375,0.399925,0.022975,1.4182,0.03145,0.17325,0.038075,14.965825
0.2652,0.4293,0.031425,1.80615,0.04485,0.5326,0.0555,19.596
0.548325,0.44135,0.03355,2.3733,0.0575,0.582275,0.074,19.987325
0.570825,0.469025,0.04485,2.4933,0.069625,0.618275,0.07785,21.38505
0.6253,0.7362,0.057475,2.603775,0.08685,0.763525,0.1148,21.496525
0.632225,0.9125,0.0927,3.440775,0.0941,0.9381,0.1451,27.641025
0.714225,1.14875,0.1521,3.459725,0.10835,0.99895,0.153425,28.36935
1.29515,1.306,0.161875,3.48175,0.1267,1.08215,0.2011,28.852
1.3785,1.3658,0.174275,3.495825,0.135775,1.2341,0.226775,32.248225
1.594775,1.56375,0.18805,4.66465,0.152125,1.366275,0.2746,37.837025
1.976375,1.765575,0.2225,4.8092,0.166575,1.406,0.521475,39.206475
2.162875,2.578525,0.23015,4.881,0.174275,1.440175,0.53255,39.268675
2.441175,2.6038,0.238975,5.22315,0.18805,1.741925,0.5822,39.357475
2.44435,2.8397,0.248425,5.4168,0.2143,1.805875,0.58655,39.394825
2.521775,2.99495,0.26175,5.512575,0.222525,1.95455,0.590925,39.4693
2.534825,3.127875,0.2676,5.721175,0.230175,2.0557,0.6182,39.499975
2.6641,3.282975,0.279525,5.934425,0.238975,2.096075,0.62665,39.86265
2.91775,3.63515,0.284825,6.039525,0.24845,2.231,0.6419,39.8793
3.8938,4.14595,0.291275,6.75505,0.261775,2.303275,0.65395,40.105
3.927175,4.28905,0.35885,7.00545,0.265475,2.4141,0.68255,40.1158
4.28395,4.4572,0.374,7.0512,0.2676,2.464975,0.7403,40.13085
5.031675,4.770225,0.392975,7.138175,0.279525,2.522575,0.902,40.14845
5.1721,4.89005,0.487075,7.60455,0.284825,2.60365,0.94985,40.171725
5.2199,5.167075,0.505675,7.98915,0.291275,2.616875,0.998875,40.223525
5.222575,5.318625,0.517075,8.282175,0.306725,2.928825,1.082125,40.2436
5.245975,5.41675,0.527925,8.91165,0.34985,3.109275,1.182225,42.36505
5.347575,5.86725,0.560425,8.920675,0.35885,3.45955,1.23405,42.82055
5.67235,5.9072,0.561475,9.067825,0.374025,3.495625,1.310825,42.930025
