SPK_SPKC03a (inhibited),SPK_SPKC08a (no effect),SPK_SPKC11a (inhibited)
0.023675,0.02105,0.02775
0.054475,0.305975,0.08955
0.1514,0.3982,0.124575
0.184225,0.452875,0.177925
0.382125,0.45715,0.3057
0.422425,0.51,0.322325
0.43645,0.6302,0.3635
0.476925,1.13055,0.410575
0.534525,1.2222,0.451475
0.574575,1.235575,0.484675
0.599025,1.275325,0.575375
0.635375,1.33365,0.650125
0.6693,1.37725,0.888875
0.819425,1.739225,0.925575
0.858,1.80765,0.951425
0.90345,2.04745,0.988375
0.9821,2.591575,1.018875
1.05935,2.677375,1.060675
1.11745,2.9043,1.158625
1.273225,3.162525,1.175675
1.33615,3.357375,1.272475
1.368675,3.66165,1.290575
1.390175,3.75775,1.322725
1.41915,3.890475,1.347025
1.543325,3.935725,1.359425
1.59565,4.194675,1.4017
1.6131,4.23515,1.423375
1.627525,4.419025,1.439425
1.644,4.449375,1.5048
1.659075,4.476075,1.61145
1.723725,5.100025,1.65995
1.754975,5.158275,1.6993
1.7973,5.1955,1.7643
1.853425,5.41725,1.793075
1.9047,5.685775,1.8265
1.917875,5.992175,1.93005
1.92855,6.0376,1.948475
1.97555,6.066575,2.000425
2.013925,6.501725,2.029925
2.03785,6.605075,2.058875
2.09775,6.8954,2.090925
2.11975,6.933325,2.104775
2.1994,7.004575,2.20585
2.28695,7.06295,2.2406
2.310275,7.212775,2.259375
2.56945,7.270625,2.315175
2.609975,7.299225,2.332875
2.640125,7.336325,2.364325
2.719475,7.38135,2.39405
2.773125,7.44145,2.42065
2.80035,7.510075,2.4648
2.8573,7.61435,2.527025
2.87735,7.716225,2.62575
2.9293,7.75925,2.656875
2.969425,7.76435,2.749375
2.98645,7.8107,2.781425
3.0808,7.867825,2.817025
3.107775,7.96935,2.8286
3.133075,8.173075,2.899425
3.14295,8.1987,3.003375
3.176075,8.206275,3.050325
3.292,8.24085,3.088075
3.362875,8.6129,3.136025
3.396175,8.7333,3.16575
3.4617,8.834825,3.218725
3.509025,8.9075,3.2432
3.57775,9.085225,3.2866
3.676675,9.1676,3.301225
3.769725,9.268675,3.334075
3.900475,9.3282,3.347625
3.94285,9.479425,3.4145
3.9705,9.5928,3.4855
4.216325,9.656125,3.52615
4.257075,9.855325,3.566925
4.2879,10.243525,3.605775
4.29805,10.2775,3.640725
4.448425,10.313125,3.667875
4.46325,10.6259,3.710875
4.47515,10.728375,3.729175
4.5177,10.789075,3.743425
4.55785,10.8376,3.91955
4.741775,10.870325,3.9818
4.7588,11.0184,3.990725
4.769575,11.25405,4.001325
4.788175,11.3765,4.01565
4.842975,11.6382,4.08605
4.86595,11.712175,4.2037
5.0687,11.968775,4.209525
5.090075,12.46965,4.28925
5.10495,12.506125,4.301325
5.120125,12.596525,4.311225
5.147325,12.939425,4.334125
5.205475,13.026375,4.426825
5.39165,13.05795,4.46395
5.41775,13.106475,4.47695
5.458825,13.20375,4.509275
5.4915,13.46395,4.5708
5.507075,13.507075,4.609225
5.5643,13.984225,4.651075
5.8608,14.021175,4.74745
5.87085,14.12635,4.768325
5.8894,14.1278,4.806375
5.937475,14.249425,4.85285
5.95135,14.275375,4.9632
6.00365,14.40325,5.096625
6.087525,14.61815,5.141275
6.42495,14.678775,5.15935
6.446025,14.801075,5.189175
