SPK_SPKC10a (inhibited),SPK_SPKC14a (weak inhibition)
0.8489,0.090525
1.162925,0.46885
1.978225,0.544675
3.217975,0.581
3.291175,1.0295
3.504175,1.0401
3.853275,1.2133
3.8688,1.333875
4.19505,1.3611
4.572575,1.444025
4.909475,1.94635
5.449825,1.95335
5.7951,1.96315
6.2195,1.97265
6.676325,2.003925
6.68795,2.259175
7.069675,2.29815
7.1116,2.3959
7.780175,2.8267
8.6231,2.82965
8.729575,2.90675
8.960575,3.006725
9.1894,3.0662
9.688375,3.153325
10.066525,3.454475
10.075325,3.471225
10.453425,4.1334
10.49945,4.291325
10.743225,4.52965
11.09815,4.740775
11.167675,4.898625
11.53135,4.969125
11.735625,5.24635
12.4585,5.265975
12.824675,5.271975
12.830275,5.35225
12.925225,5.4625
13.63695,5.496475
13.9603,6.007925
13.9936,6.016975
14.5334,6.0239
14.73805,6.03905
15.263875,6.239475
15.4021,6.565275
15.760675,6.62975
16.752625,6.7072
17.447025,7.015275
18.2344,7.061025
18.88115,8.1738
19.276975,8.205625
19.8423,8.20805
19.9599,8.5423
20.99475,8.59635
21.023525,8.80435
21.2825,8.826125
21.2881,8.85575
21.605075,9.1793
21.714525,9.193425
21.85345,9.682525
21.881725,9.840275
22.181075,10.1029
22.702075,10.4426
22.95665,10.5001
23.25305,11.38775
23.888225,11.409
24.2026,11.446
24.28665,11.487875
24.298125,11.506525
24.656775,11.584625
24.69215,11.614825
25.2199,11.640225
25.2545,11.6714
25.2905,12.02055
25.78625,12.28205
26.407875,12.727425
26.55785,13.18395
26.896625,13.574475
27.287025,13.641775
27.30625,13.927025
28.1708,13.935925
28.7801,14.11165
29.335375,14.1799
29.363025,14.22275
29.8711,14.516625
29.902725,14.65815
29.92945,16.2272
30.266225,16.3931
30.276325,16.84155
30.35825,17.03315
31.292075,17.0993
31.381575,18.141275
31.77145,18.174125
32.37745,18.638125
32.5361,18.695275
32.544225,19.5887
33.0682,19.791675
34.08295,19.797475
34.089875,21.202525
34.442125,21.26135
34.504175,21.70735
34.867075,21.776775
34.8804,22.2973
34.923475,22.505875
34.950225,22.529225
35.103825,22.583075
35.36555,22.6499
35.8589,22.88545
37.019025,22.932975
37.033425,23.098725
37.704325,23.278725
38.00075,24.71105
38.1342,24.999275
38.84275,25.304
38.8568,25.773975
39.4285,26.862975
39.435125,27.27605
39.502225,27.754025
39.544475,27.82145
40.0162,28.2439
40.43125,28.279725
40.8126,28.372725
41.3788,28.5958
41.77145,28.67075
42.31395,28.9147
42.345,28.920175
42.8828,29.262975
42.978275,29.427225
43.343825,29.878
43.726875,29.944875
44.14885,30.24695
44.9384,30.2638
45.0561,30.320675
45.549775,30.60115
46.008275,30.650825
46.04965,30.8415
46.129125,31.313075
46.206775,31.395775
46.34705,31.7166
46.75405,31.761775
46.777875,31.9417
47.3082,32.009725
47.359025,32.0337
47.9189,32.216
47.931275,32.528725
48.110625,32.54545
48.408025,32.64795
48.473125,32.738175
48.92795,32.782275
48.95065,33.243475
49.4385,33.677275
49.456775,33.73365
49.766975,34.049975
49.8219,34.79335
50.018775,34.88515
50.3062,35.3482
50.3581,35.35625
50.682625,35.398
50.7088,35.9249
50.7543,36.313625
50.8346,37.0332
51.154225,37.106425
51.162175,37.581125
51.1676,37.631625
51.182425,37.712025
51.1869,38.12195
51.328625,38.812425
51.364575,39.417575
51.82165,39.431725
52.28715,39.436225
52.59185,39.51935
52.611625,39.896925
52.8714,40.08725
53.146825,40.3395
53.46505,40.378075
53.4863,40.714025
53.50875,40.82335
53.58135,41.155125
53.81215,41.383125
53.815975,41.517925
53.831925,41.55605
54.5052,41.6115
54.577075,42.588775
55.19155,42.904025
55.456175,43.127275
55.470975,43.304975
55.6298,43.911275
55.973275,43.937425
55.97685,44.426575
55.99265,44.905225
56.521575,44.9568
56.540925,45.09095
56.59285,45.489125
56.877025,45.555225
57.10995,46.170925
57.481175,46.55225
57.494375,46.634675
57.970275,46.6868
57.974075,47.009925
58.359325,47.3624
59.235825,47.376675
59.27385,47.3874
59.2807,47.902575
59.48775,47.9124
59.529275,47.919225
59.72095,48.070175
59.74015,48.1812
59.74385,49.45705
59.78135,50.06995
60.114,50.20835
60.204325,50.2949
60.245325,51.124125
60.56025,51.321875
60.599525,51.3515
60.99925,51.368825
61.0496,51.534325
61.47915,51.72835
61.858025,51.8004
62.456625,51.811225
62.5273,51.8559
62.5446,51.877425
62.708475,52.06235
63.157025,52.18615
63.1894,52.278575
63.22425,52.603325
63.5415,52.753675
63.549575,52.813725
63.554425,52.855175
63.933375,53.1601
63.9763,53.2001
64.0452,53.312125
64.328975,53.80465
64.3877,53.88945
64.6038,53.939375
64.931275,54.310825
64.94145,54.37155
65.014775,54.963175
65.337475,55.296775
65.353075,55.368125
65.368025,55.959325
65.8194,56.151425
65.8373,56.51985
66.276975,56.5737
66.29385,56.667525
66.355075,57.31055
67.0025,57.5117
67.12345,57.59655
67.47385,57.993575
67.486575,58.097425
67.884425,58.46545
68.065125,58.517975
68.2747,58.7669
68.46685,58.87655
68.664475,58.9557
68.7297,59.079275
69.1267,59.1226
69.600475,59.683875
69.69245,60.08455
69.7603,60.21985
69.804375,60.535
70.2691,60.65055
70.3786,60.716275
70.518825,61.0374
70.767275,61.07585
70.815025,61.347625
71.12285,61.7113
71.592575,61.7915
71.720225,61.834825
71.987675,62.050775
72.04295,62.110675
72.25565,62.233175
72.279,62.290625
72.67045,62.681425
72.702525,62.701125
73.102025,62.83085
73.5173,63.1098
73.8369,63.1982
73.9115,63.5449
73.918175,63.585125
73.940775,63.977775
73.95485,64.576425
74.3003,64.610325
74.337,64.63475
74.652,64.849
74.655475,65.01565
74.70855,65.073625
74.868075,65.165225
74.9246,65.33495
74.933425,65.3659
74.96445,65.427575
75.2755,65.554175
75.2884,65.780775
75.30415,65.7917
75.6815,65.824875
75.726225,65.88385
75.913375,65.962125
76.157925,66.24365
76.210125,66.260575
76.644775,66.28095
77.11895,66.335675
77.18985,66.380725
77.329425,66.436775
77.363375,66.5411
77.76755,66.575075
77.812475,66.760975
77.860025,66.8324
78.186375,66.983975
78.218775,67.016675
78.2554,67.093975
78.295775,67.114125
78.434675,67.3191
78.4492,67.34395
78.55175,67.38635
78.566225,67.483375
78.732675,67.757225
79.028475,67.79845
79.04185,67.849025
79.09595,67.9125
79.10485,67.95815
79.63075,67.977625
79.832975,68.2601
79.992925,68.327425
80.207475,68.3742
80.270225,68.48695
80.288275,68.68665
80.405325,68.693775
80.693225,68.854725
81.158525,69.159025
81.257875,69.4185
81.598375,69.687225
81.6505,69.72925
81.699625,69.763675
81.97605,69.776975
82.35785,69.835875
82.38835,69.8813
82.971175,69.9333
82.9923,70.01085
83.0075,70.06455
83.2634,70.14385
83.43125,70.2143
83.974375,70.22395
83.981525,70.2268
84.003075,70.2584
84.0342,70.288625
84.3626,70.519275
84.374,70.5611
84.415175,70.7856
84.45575,70.821675
84.72165,70.832625
84.727675,70.871875
85.497975,70.901525
85.5309,71.361925
85.98565,71.59645
85.9931,71.623775
86.00585,71.7086
86.554125,71.743725
86.567925,71.964025
86.700575,72.248875
86.87125,72.32095
87.219425,72.365425
87.446325,72.528475
87.5016,72.616825
87.523275,72.6613
87.564775,72.70925
87.610975,73.006825
87.62295,73.04225
87.973375,73.33465
87.99095,73.467825
88.274425,73.496675
88.651175,73.69445
88.78695,73.754125
88.866775,73.769825
89.191025,74.04315
89.679025,74.284725
89.707575,74.352425
89.79695,74.63865
90.08735,74.6876
90.122775,74.73735
90.343425,74.778825
90.3931,74.885425
90.418925,74.92425
90.52735,74.948525
90.836375,74.991625
91.132525,75.01285
91.141675,75.090925
91.183,75.14965
91.21515,75.346825
91.363725,75.41425
91.385325,75.632675
91.44755,75.64275
91.685875,75.681775
91.86395,75.6932
91.938825,75.768925
92.106975,75.886325
92.310175,76.1331
92.360175,76.143575
92.377825,76.1574
92.465125,76.1783
93.3973,76.23165
93.422325,76.28905
93.45815,76.34785
93.46545,76.484225
93.482525,76.514925
95.1558,76.5392
95.175525,76.61545
95.189825,76.742675
95.756525,76.78925
95.760275,77.007175
96.182075,77.0968
96.277825,77.10915
96.5915,77.12295
96.642225,77.182875
96.67005,77.22345
96.81385,77.289975
97.19385,77.331625
97.212575,77.3609
97.562975,77.464975
97.568175,77.4757
97.96565,77.5187
97.9759,77.5764
97.990275,77.69665
98.160875,77.74875
98.4475,77.820925
98.4538,78.077925
98.921425,78.1146
98.93315,78.1757
98.952125,78.20165
99.065825,78.296175
99.095175,78.4466
99.1478,78.6673
99.41885,78.7049
99.4331,78.728575
99.51185,78.75355
99.812825,78.799
99.924075,78.854325
100.225825,79.02205
100.2325,79.067825
100.5127,79.141225
100.587125,79.2878
101.130325,79.31855
101.53005,79.341225
101.629975,79.4763
101.793475,79.667875
102.109725,79.69755
102.1259,79.724725
102.16105,79.744075
102.176175,79.774525
102.267525,79.789775
102.5303,79.822775
102.5544,80.105325
102.859325,80.125775
103.19025,80.15625
103.201625,80.16545
103.220675,80.242675
103.39805,80.36355
103.401025,80.411675
103.456275,80.580025
103.59925,80.634825
103.829425,80.669025
104.08465,80.7637
104.20995,80.793975
104.381975,80.841725
104.6686,80.90005
104.99095,81.06265
105.007525,81.181025
105.0353,81.19415
105.179275,81.23045
105.27215,81.309275
105.31075,81.38615
105.579125,81.45845
105.59715,81.498475
105.91045,81.56995
106.22695,81.57985
106.270725,81.6101
106.33355,81.675125
106.456375,81.8245
106.75605,81.89045
106.7796,82.025025
106.82915,82.30535
106.8461,82.351725
107.1193,82.4346
107.190525,82.470425
107.44285,82.51395
107.474725,82.831325
107.48725,82.8693
107.526,82.955175
107.71385,82.984225
107.757075,83.0384
108.162975,83.2603
108.166525,83.29835
108.519575,83.317375
108.535475,83.333225
108.83035,83.374325
109.048475,83.50365
109.0578,83.65655
109.0872,83.692375
109.175575,83.7102
109.508875,83.936075
109.55985,83.970525
109.975975,83.98245
109.998075,84.0486
110.0603,84.283925
110.381925,84.362375
110.4802,84.386725
110.7964,84.442875
110.805075,84.546375
110.819625,84.639575
110.834475,84.67945
110.934325,84.72195
111.1541,84.77545
111.168725,84.8814
111.267575,84.929875
111.4501,84.990075
111.5034,85.043225
111.5335,85.120775
111.6163,85.180925
111.674525,85.24435
111.841175,85.3431
111.870825,85.395925
111.893425,85.524775
111.937575,85.5509
112.544925,85.590575
112.890175,85.614475
112.907275,85.631625
112.9549,85.6837
113.260625,85.948125
113.29785,86.018025
113.3145,86.05315
113.600625,86.125325
113.6142,86.1773
113.628675,86.256675
114.265925,86.288125
114.282625,86.306075
114.5643,86.3973
114.576575,86.5029
114.603675,86.54465
114.90715,86.7921
115.1828,87.5248
115.406925,87.6991
115.415475,87.890425
115.423575,87.942275
115.47635,87.990675
115.922975,88.03165
115.933425,88.6114
115.9706,88.64935
116.490275,88.691575
116.75285,88.730975
116.7812,88.83515
116.7998,88.862375
117.288875,88.993925
117.300175,89.038925
117.406575,89.160575
117.7064,89.198925
117.736575,89.26365
117.8109,89.315675
117.814175,89.391425
117.86245,89.5324
118.369675,89.613275
118.406175,89.641425
118.42765,89.687375
118.4749,89.76105
118.724875,89.79455
118.743025,89.80535
119.44425,89.840075
119.597625,89.901925
119.87855,90.010175
119.897525,90.04075
119.92005,90.14325
119.92375,90.18715
120.14825,90.24925
120.396425,90.3059
120.441625,90.56305
120.4743,90.6866
120.571675,90.737975
120.82395,90.7865
121.251125,90.82375
121.273225,90.86685
121.4172,90.8823
122.15885,90.89575
122.270125,90.913125
122.2972,90.95365
122.759325,91.039075
123.1041,91.107175
123.112225,91.137525
123.133625,91.20825
123.559775,91.239675
123.564875,91.281525
123.672725,91.304275
124.031775,91.346
124.101075,91.4133
124.17865,91.514075
124.36765,91.554925
124.76485,91.7094
125.018575,91.78245
125.28055,91.872975
125.2954,92.015225
125.3169,92.06595
125.626225,92.1297
125.656225,92.2588
126.3289,92.2905
126.43785,92.339325
126.45565,92.3664
126.99745,92.451075
127.098425,92.536475
127.11955,92.57355
127.3857,92.6282
127.3931,92.66855
127.649875,92.916025
128.0411,92.98855
128.16555,93.099125
128.21755,93.14395
128.52585,93.246275
128.599225,93.32015
129.092125,93.379
129.185625,93.535225
129.7413,93.7925
129.754775,93.7999
129.80835,93.8496
129.816075,93.9035
129.936125,94.0818
130.3082,94.143575
130.312425,94.195675
130.324575,94.232675
130.779825,94.2668
130.809,94.308275
131.132525,94.5152
131.200125,94.7206
131.20585,94.7567
131.750425,94.80845
131.774525,95.070125
131.8514,95.118375
132.2774,95.18685
132.366125,95.26325
132.37005,95.339825
132.385025,95.635875
132.500175,95.6944
132.55805,95.707625
132.8442,95.826325
132.8919,95.8887
133.0587,96.1196
133.490275,96.179175
134.0796,96.572375
134.155325,96.706075
134.18915,96.78755
134.198825,97.0862
134.254025,97.14465
134.592575,97.17335
134.628725,97.199525
134.676425,97.3089
135.163925,97.5201
135.18825,97.602475
135.22305,97.67545
135.243025,97.86225
135.248275,97.932575
136.0392,97.97025
136.076825,98.014325
136.15115,98.0603
136.17655,98.3467
136.314325,98.384075
136.389825,98.446
136.395975,98.484
136.43905,98.692975
136.8455,98.743425
136.85795,98.784325
137.200525,98.8698
137.322925,98.903425
137.646025,98.931075
137.672125,99.025625
137.74335,99.130075
138.1503,99.2917
138.157425,99.301
138.166475,99.4565
138.207225,99.513075
138.53075,99.588925
139.1076,99.8669
139.131025,99.9394
139.554975,100.087475
139.909125,100.1755
139.9228,100.2255
140.01785,100.2803
140.030875,100.3876
140.6397,100.46735
140.667725,100.5349
141.26065,100.543175
141.88955,100.583825
142.30065,100.63475
142.3577,100.65185
142.360625,100.686875
142.666375,100.7418
143.327575,100.798925
143.411125,101.013425
143.4912,101.48815
143.645975,101.523
143.659075,101.5554
143.8251,101.59225
144.107175,101.659025
144.1251,101.739325
144.1739,101.85925
144.415225,101.96305
145.2176,102.134525
145.234275,102.194225
145.3049,102.221725
145.3888,102.2889
145.681975,102.4276
145.70045,102.546575
145.75115,102.794775
146.17855,102.89075
146.8314,102.93635
146.85745,103.12425
147.00345,103.164775
147.371925,103.20705
147.395525,103.403925
147.404225,103.507575
147.428325,103.586925
147.534775,103.7055
147.7375,103.739675
148.0542,103.9635
148.062875,103.997675
148.07095,104.11235
148.0778,104.13955
148.4531,104.3699
148.459525,104.533475
148.849075,104.5712
149.261625,104.64295
149.394125,104.655
149.85485,104.68055
150.057725,104.72785
150.320725,104.8339
150.347625,104.8475
150.38195,104.956525
150.7566,105.006975
150.76225,105.036
150.8066,105.15455
151.116425,105.23765
151.2019,105.69905
151.22185,105.732375
151.80465,105.75055
151.857825,105.8037
151.86995,105.846275
152.2094,105.875725
152.60005,105.906925
152.635175,106.02395
152.643425,106.190125
152.936275,106.219625
152.9738,106.377575
153.35295,106.46625
153.677225,106.5681
153.717675,106.610625
153.80375,106.65395
153.929675,106.688225
154.30715,106.733075
154.317375,106.7627
154.418175,106.841025
154.424175,106.878025
154.8751,107.080975
154.8887,107.11345
154.906625,107.193425
154.9163,107.25315
155.384225,107.338375
155.43175,107.37605
155.640875,107.38125
155.682725,107.4265
155.990875,107.498725
156.299775,107.762425
156.301825,107.820875
156.318,107.8793
156.3786,107.892375
156.60265,108.031725
156.86255,108.045725
156.870675,108.17475
156.880375,108.2121
157.012425,108.247325
