SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC15a,SPK_SPKC16a
300.04355,300.025825,300.001475,300.0047,300.007625,300.022875,300.000375,300.053775,300.105475
300.08955,300.065775,300.023075,300.02215,300.040775,300.054775,300.020275,300.105475,300.128825
300.12955,300.11245,300.0619,300.039025,300.070375,300.084825,300.035625,300.133575,300.166675
300.2424,300.134825,300.13645,300.054125,300.10225,300.112475,300.04735,300.168975,300.191425
300.463175,300.152975,300.15615,300.0716,300.168175,300.14485,300.059975,300.191425,300.193625
300.5072,300.165625,300.193325,300.083,300.1895,300.164075,300.070475,300.217725,300.21655
300.5744,300.18545,300.218,300.097725,300.249675,300.175275,300.073625,300.228375,300.24755
300.6652,300.201475,300.242425,300.123575,300.301525,300.194975,300.087975,300.247575,300.25865
300.956175,300.322225,300.30175,300.146175,300.342875,300.2304,300.109425,300.338325,300.271975
301.007275,300.324075,300.32605,300.1641,300.4639,300.277425,300.135975,300.48605,300.3055
301.0646,300.37465,300.392625,300.177275,300.50755,300.309125,300.15735,300.5184,300.44655
301.09095,300.390625,300.441875,300.19285,300.5536,300.348875,300.166475,300.5194,300.48605
301.108025,300.4665,300.48235,300.2102,300.6413,300.3798,300.173725,300.56615,300.606225
301.117775,300.5057,300.52545,300.243525,300.65045,300.4621,300.1827,300.582975,300.7257
301.14135,300.557875,300.53815,300.26235,300.7854,300.50505,300.190725,300.606225,300.767175
301.308875,300.647175,300.5481,300.276425,300.901725,300.550325,300.201625,300.687325,300.79505
301.330725,300.667125,300.578925,300.293425,300.9372,300.58595,300.2206,300.725725,300.911275
301.39895,300.68285,300.6064,300.30795,300.97665,300.631325,300.23485,300.7672,300.9351
301.4677,300.685825,300.628425,300.32575,301.038275,300.65705,300.265675,300.795025,300.960225
301.624025,300.73215,300.635725,300.340925,301.107,300.72145,300.28295,300.844475,300.97835
301.705975,300.739825,300.6535,300.356625,301.173425,300.769375,300.302375,300.911275,301.09215
301.855675,300.76185,300.6802,300.367425,301.216025,300.84055,300.32785,300.935075,301.178175
302.248175,300.8481,300.709525,300.383775,301.27345,300.8923,300.34515,300.9992,301.2283
302.3971,300.8994,300.7438,300.423725,301.3983,300.925325,300.359,301.080825,301.252625
302.4666,300.929375,300.784125,300.45185,301.475275,300.9714,300.373275,301.09105,301.259025
302.49655,300.941925,300.81615,300.46725,301.5315,300.985025,300.400475,301.09215,301.2783
302.53125,300.998725,300.837475,300.49675,301.57295,300.998625,300.43395,301.1088,301.334375
302.55555,301.030675,300.874025,300.514625,301.60315,301.0261,300.466075,301.161475,301.398825
302.631625,301.1193,300.906475,300.533675,301.614375,301.060725,300.5064,301.1782,301.4103
302.715325,301.185625,300.934425,300.551075,301.633075,301.09075,300.538775,301.1925,301.46115
302.7819,301.214725,300.938675,300.56895,301.663325,301.1113,300.55605,301.2094,301.5534
302.83495,301.308925,300.967025,300.585375,301.733925,301.16715,300.57055,301.228325,301.60795
303.0178,301.33005,301.00765,300.6006,301.809675,301.199325,300.588925,301.2409,301.6562
303.09465,301.35215,301.039925,300.6161,301.85995,301.233,300.6289,301.252625,301.67575
303.23645,301.372925,301.09865,300.6354,301.93185,301.2667,300.64745,301.259025,301.6828
303.278725,301.402875,301.15,300.652375,302.139075,301.2931,300.716575,301.278275,301.706475
303.311575,301.42025,301.184,300.673925,302.1743,301.3101,300.73795,301.423475,301.7209
303.3959,301.46495,301.20535,300.69585,302.196075,301.339025,300.7835,301.424725,301.731975
303.45665,301.497,301.24295,300.719825,302.24565,301.358075,300.858275,301.461175,301.744375
303.497825,301.529075,301.34575,300.7401,302.332275,301.408675,300.8995,301.553425,301.89605
303.544425,301.548825,301.37855,300.765175,302.373925,301.47855,300.919275,301.60795,301.97325
303.639475,301.605375,301.4155,300.78745,302.40315,301.53015,300.944975,301.6425,301.979125
303.668975,301.632325,301.466975,300.8337,302.4076,301.564025,300.96395,301.6562,302.035975
303.712525,301.662,301.5107,300.854675,302.435475,301.59275,300.983175,301.666925,302.13515
303.79985,301.7038,301.5639,300.894225,302.50025,301.622375,301.011175,301.67575,302.223075
303.86895,301.731025,301.5878,300.9146,302.738375,301.630775,301.048425,301.6828,302.232975
303.9399,301.768125,301.6076,300.933475,302.7826,301.645475,301.086975,301.6954,302.305875
303.989175,301.810175,301.62155,300.969325,302.809075,301.658075,301.102525,301.732,302.321875
304.314575,301.82805,301.63925,301.0001,302.946575,301.675125,301.1375,301.973225,302.3429
304.58665,301.848525,301.681725,301.0339,302.986525,301.6936,301.165725,301.979125,302.4173
304.7694,301.85355,301.711875,301.06205,303.013225,301.7166,301.183225,302.0025,302.432975
305.10615,301.875,301.735425,301.088675,303.0372,301.762025,301.188775,302.149375,302.444525
305.117375,301.932575,301.7664,301.111175,303.10925,301.803475,301.2117,302.1572,302.5404
305.244625,301.939725,301.78905,301.130475,303.13375,301.82865,301.23155,302.1742,302.71545
305.266175,301.9734,301.821075,301.14975,303.26385,301.87185,301.24635,302.21655,302.78955
305.30215,302.03075,301.84565,301.169775,303.3782,301.904525,301.262,302.285125,302.85145
305.329,302.0536,301.85245,301.1851,303.412275,301.936225,301.282025,302.342925,302.873675
305.3708,302.054975,301.897025,301.20195,303.580075,301.964225,301.303575,302.432975,302.914875
305.398525,302.075525,301.960925,301.229875,303.62035,301.980775,301.316075,302.44455,302.958125
305.431525,302.1161,301.9903,301.24475,303.665475,302.013625,301.331,302.540425,302.979275
305.486175,302.146225,302.022775,301.26225,303.6911,302.032625,301.35235,302.566725,303.024775
305.5446,302.195275,302.0574,301.285075,303.714775,302.051725,301.36865,302.583025,303.03385
305.59385,302.20755,302.083025,301.312825,303.719975,302.125875,301.392325,302.78955,303.05195
305.635325,302.24195,302.109375,301.348575,303.74505,302.15855,301.410275,302.85145,303.070025
305.6763,302.2614,302.151225,301.36805,303.798825,302.17255,301.425025,302.914875,303.07865
305.754475,302.278,302.189625,301.391975,303.865575,302.1855,301.459225,303.07865,303.173825
305.780175,302.312475,302.2386,301.408475,304.052375,302.20925,301.476675,303.105925,303.1938
305.797575,302.3256,302.266875,301.4223,304.091275,302.221675,301.52015,303.15645,303.256675
305.883675,302.34665,302.3,301.43855,304.146675,302.241125,301.547725,303.17385,303.31555
305.98185,302.360375,302.3239,301.454975,304.178725,302.253925,301.5671,303.193825,303.341525
306.0179,302.382625,302.356025,301.46415,304.216225,302.27035,301.578625,303.2926,303.349
306.227175,302.403375,302.422375,301.469975,304.38775,302.2876,301.59235,303.469025,303.36595
306.264625,302.429025,302.4509,301.48365,304.4419,302.302775,301.608475,303.483825,303.411425
306.30035,302.455275,302.4825,301.496075,304.527975,302.3178,301.6282,303.54485,303.455225
306.33945,302.48665,302.548475,301.517375,304.5834,302.3336,301.64205,303.583625,303.469
306.56185,302.502225,302.5784,301.538675,304.68675,302.367175,301.656125,303.633675,303.488175
306.713975,302.522175,302.604375,301.5558,304.6955,302.394075,301.668525,303.6481,303.5836
306.810725,302.542075,302.664975,301.56915,304.7779,302.41355,301.6788,303.6698,303.669775
306.839375,302.560475,302.71025,301.5861,304.809275,302.4282,301.691825,303.743475,303.743475
306.86715,302.57065,302.738575,301.60115,304.9093,302.4592,301.705575,303.8108,303.83785
306.931175,302.57705,302.749325,301.61425,304.9647,302.470775,301.7181,303.83785,303.965875
306.975025,302.589225,302.791125,301.630525,305.035075,302.516575,301.734875,303.9659,303.99995
307.007625,302.59795,302.8735,301.643725,305.0697,302.536125,301.75615,303.98095,304.026325
307.051125,302.6128,302.90605,301.672025,305.145825,302.55895,301.773075,304.01245,304.045775
307.084775,302.62745,302.94225,301.685575,305.17825,302.57675,301.791975,304.026325,304.160475
307.1004,302.65255,302.99335,301.704675,305.2055,302.592125,301.819625,304.045775,304.169975
307.148625,302.6675,303.020675,301.71975,305.231725,302.63175,301.856725,304.074575,304.20735
307.182425,302.703475,303.049925,301.733475,305.2574,302.719825,301.876275,304.0888,304.24455
307.2075,302.7265,303.06875,301.74735,305.28215,302.7601,301.898325,304.151325,304.315
307.253,302.7516,303.08425,301.765025,305.330875,302.79395,301.90995,304.1605,304.342625
307.33105,302.77825,303.10185,301.7803,305.44305,302.8279,301.9221,304.17,304.362525
307.445675,302.80975,303.128525,301.796075,305.472025,302.852125,301.9422,304.207375,304.529725
307.588125,302.832625,303.152725,301.81225,305.49545,302.89075,301.98245,304.2333,304.708825
307.610375,302.879725,303.187,301.82695,305.5168,302.9193,302.014725,304.244575,304.811825
307.64215,302.9017,303.2071,301.842275,305.6101,302.9543,302.039675,304.274725,304.908975
307.6621,302.931025,303.222025,301.86045,305.648,302.9897,302.066325,304.297675,304.9657
307.673575,302.982825,303.2638,301.880675,305.695025,303.01195,302.12705,304.315,304.995325
307.696375,303.015375,303.28935,301.8997,305.740225,303.0282,302.153425,304.317075,305.0145
307.723,303.034275,303.312425,301.91165,305.793775,303.0729,302.167475,304.362525,305.0686
307.76765,303.046025,303.3906,301.927,305.8543,303.092075,302.18175,304.50135,305.1808
307.81725,303.0699,303.418575,301.943475,305.8753,303.11075,302.19825,304.529725,305.2459
307.8571,303.108625,303.44615,301.966325,305.900875,303.13235,302.212275,304.63485,305.307825
307.90515,303.1336,303.475,301.98845,305.9253,303.1792,302.224125,304.6886,305.331025
308.06995,303.16855,303.515525,302.0156,305.95365,303.3143,302.2344,304.6988,305.346525
308.10645,303.21155,303.58995,302.031575,305.982275,303.350875,302.245625,304.708825,305.36085
308.115575,303.251225,303.624175,302.04865,306.06165,303.3882,302.254825,304.729775,305.393875
308.137825,303.285175,303.65795,302.065525,306.106,303.406575,302.2625,304.767025,305.403775
308.166575,303.304075,303.692425,302.0942,306.252175,303.423575,302.27385,304.8705,305.421525
308.18,303.349625,303.727925,302.12275,306.269275,303.44585,302.284,304.89145,305.433625
308.26415,303.3602,303.75635,302.142275,306.272325,303.459025,302.2912,304.908975,305.477175
308.29125,303.38035,303.7944,302.16405,306.3051,303.4814,302.299575,304.965725,305.488575
308.31995,303.4016,303.826275,302.178475,306.349875,303.52425,302.307125,304.988825,305.5414
308.3505,303.466775,303.859675,302.193725,306.371825,303.628225,302.319175,304.99535,305.549275
308.387275,303.498725,303.9107,302.22315,306.38765,303.6568,302.334075,305.0145,305.554875
308.40755,303.530475,303.938175,302.242725,306.41135,303.703725,302.35555,305.13045,305.5607
308.43555,303.59435,303.966125,302.25795,306.486025,303.746725,302.3898,305.1808,305.5723
308.4853,303.6266,304.00795,302.273475,306.5273,303.822025,302.4043,305.245925,305.597325
308.497575,303.647025,304.05795,302.287675,306.59245,303.923125,302.42095,305.25315,305.6075
308.5244,303.68355,304.0921,302.30245,306.633825,303.971875,302.440125,305.259925,305.6205
308.579275,303.70735,304.1141,302.317125,306.665525,304.004025,302.454475,305.2613,305.631
308.64805,303.737675,304.12365,302.32655,306.69245,304.0336,302.46615,305.346525,305.665675
308.68755,303.763775,304.147275,302.330925,306.7871,304.08365,302.479425,305.35945,305.738925
308.75605,303.766725,304.1748,302.3506,306.8264,304.1263,302.4991,305.36085,305.815875
308.7929,303.795475,304.20935,302.36655,306.8515,304.15575,302.51355,305.3939,305.881325
308.824775,303.8475,304.24645,302.3918,306.8749,304.1751,302.526375,305.4215,305.9151
308.85645,303.883425,304.280575,302.4094,306.898575,304.19335,302.535775,305.4336,305.925175
308.87065,303.918375,304.351125,302.431575,306.95155,304.228925,302.55285,305.5414,305.933925
308.88895,303.930075,304.3957,302.450625,307.01735,304.2579,302.56415,305.550625,305.946
308.925225,303.9511,304.432425,302.466325,307.091475,304.28355,302.584525,305.5549,305.98925
308.957725,303.982275,304.474975,302.48085,307.181325,304.321125,302.6095,305.59735,306.02055
309.031875,304.005,304.523325,302.49715,307.265275,304.3798,302.629225,305.607525,306.029875
309.064125,304.04665,304.561075,302.51395,307.32115,304.4336,302.690825,305.61675,306.071475
309.14685,304.0491,304.61295,302.52755,307.340525,304.49045,302.7103,305.620525,306.0911
309.205175,304.1216,304.64475,302.541375,307.359675,304.521425,302.720825,305.631,306.1354
309.22485,304.354225,304.690475,302.55735,307.39655,304.563625,302.732575,305.643,306.152975
309.24085,304.42485,304.719375,302.57025,307.42455,304.608875,302.745525,305.6516,306.239925
309.269725,304.460625,304.755375,302.589325,307.574325,304.632825,302.757975,305.6657,306.264225
309.297825,304.483775,304.797275,302.60245,307.665325,304.6558,302.775975,305.738925,306.289825
309.3901,304.552975,304.844875,302.6196,307.727625,304.678225,302.7989,305.804725,306.318175
309.449425,304.584225,304.883875,302.631975,307.744775,304.694075,302.81555,305.815875,306.328475
309.521825,304.617375,304.91865,302.658425,307.752,304.711825,302.8317,305.8313,306.336525
309.58885,304.64575,304.984825,302.708775,307.85285,304.738175,302.850575,305.88135,306.35125
309.662725,304.677475,305.007525,302.725875,307.8729,304.769275,302.871525,305.89185,306.360825
309.6828,304.71145,305.0606,302.743675,307.910925,304.80475,302.898925,305.915075,306.367875
309.726625,304.7402,305.09975,302.76365,307.952,304.828775,302.915875,305.925175,306.379075
309.78615,304.813725,305.141125,302.78565,307.977875,304.853675,302.9405,305.9689,306.4103
309.826575,304.847525,305.156,302.80175,308.018825,304.86765,302.962825,306.00165,306.446375
309.891575,304.86785,305.180075,302.8183,308.0563,304.889675,302.981225,306.01095,306.48995
309.93695,304.879725,305.220075,302.839325,308.114975,304.91555,303.00105,306.02055,306.5565
309.96635,304.893425,305.25645,302.850725,308.151625,304.95705,303.012575,306.039925,306.57435
310.086275,304.907725,305.3093,302.8661,308.179225,304.973325,303.018725,306.0742,306.664575
310.27665,304.922725,305.335075,302.8853,308.2082,304.99425,303.028775,306.135425,306.729675
310.352225,304.9346,305.408725,302.89875,308.23685,305.020125,303.039225,306.224125,306.88245
310.407075,304.9584,305.425225,302.9021,308.281325,305.03735,303.048775,306.264225,306.897775
310.523125,304.9693,305.444975,302.919925,308.300875,305.063275,303.05555,306.318175,306.937575
310.618175,304.99025,305.510025,302.9441,308.3805,305.098075,303.06345,306.3285,306.946225
310.67585,305.005075,305.53815,302.957175,308.435775,305.120875,303.078725,306.360825,306.979
310.770825,305.017125,305.56015,302.973775,308.529375,305.139025,303.08815,306.4103,307.00435
310.8169,305.05505,305.60845,303.01055,308.562,305.1659,303.09215,306.446375,307.010975
310.847725,305.078875,305.63605,303.023825,308.58315,305.218825,303.100775,306.48995,307.0311
310.885275,305.11055,305.6661,303.03775,308.65895,305.23655,303.113825,306.556525,307.062675
311.019525,305.13495,305.693625,303.04845,308.709675,305.252725,303.129675,306.57435,307.091675
311.214175,305.1606,305.7218,303.0658,308.781575,305.266175,303.144025,306.6646,307.107325
311.261825,305.1778,305.73915,303.080325,308.812475,305.276575,303.166275,306.7097,307.126025
311.353475,305.195275,305.74185,303.09475,308.92835,305.278675,303.184475,306.7297,307.13325
311.3914,305.23925,305.7587,303.107575,308.99235,305.299225,303.219325,306.74545,307.15
311.4126,305.255275,305.7834,303.12255,309.0166,305.309,303.25715,306.8053,307.181175
311.449475,305.272425,305.805225,303.13835,309.074225,305.332675,303.30325,306.8603,307.194025
311.4725,305.2967,305.8185,303.1552,309.1062,305.348375,303.3152,306.890325,307.216075
311.495825,305.310725,305.8309,303.172325,309.141325,305.37855,303.327425,306.8978,307.25055
311.5408,305.340725,305.85665,303.18755,309.1885,305.390225,303.335975,306.928625,307.278225
311.607075,305.371925,305.884975,303.2095,309.21575,305.410775,303.3447,306.935975,307.358
311.647375,305.390925,305.9124,303.231925,309.236325,305.4378,303.354825,306.937575,307.3986
311.6886,305.4071,305.914725,303.249275,309.258375,305.457575,303.36395,306.94075,307.438775
311.718825,305.426975,305.9337,303.2633,309.28815,305.483725,303.373075,306.946225,307.454575
311.745475,305.45225,305.95805,303.28515,309.3162,305.505175,303.386425,307.058825,307.468525
311.77065,305.4663,305.95915,303.310725,309.352525,305.53975,303.396625,307.062675,307.486125
311.801375,305.481225,305.98105,303.325725,309.3614,305.557375,303.4059,307.12255,307.50905
311.85305,305.501025,306.027625,303.3389,309.382225,305.577575,303.4137,307.15005,307.6646
311.884425,305.503,306.05715,303.352475,309.4122,305.58425,303.427325,307.172625,307.700825
311.908425,305.526975,306.1056,303.364325,309.4476,305.6149,303.44025,307.181175,307.720325
