SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
100.0051,100.007275,100.0186,100.001875,100.0532,100.015325
100.0172,100.024,100.034875,100.0154,100.0579,100.023625
100.035,100.0566,100.141875,100.047325,100.0751,100.0422
100.059975,100.075925,100.219975,100.061275,100.08995,100.0548
100.079725,100.11025,100.3652,100.07275,100.140225,100.064725
100.12455,100.131875,100.506925,100.08425,100.165025,100.079975
100.139825,100.149875,100.62465,100.091875,100.188225,100.087825
100.14585,100.159825,100.670975,100.1014,100.20375,100.1093
100.151225,100.1834,100.7266,100.108575,100.23805,100.11325
100.165575,100.19955,100.975375,100.1347,100.25735,100.119875
100.189225,100.2233,101.11105,100.15415,100.282525,100.1323
100.232875,100.244325,101.148325,100.17605,100.314975,100.140875
100.2535,100.2898,101.3355,100.1958,100.35485,100.15225
100.264075,100.316175,101.3422,100.22195,100.369275,100.19025
100.3092,100.340925,101.84785,100.268775,100.3916,100.204825
100.3698,100.390775,102.005375,100.330475,100.39725,100.215425
100.403875,100.41215,102.13095,100.42115,100.411525,100.23115
100.41965,100.4283,102.216575,100.45705,100.43215,100.2429
100.437775,100.442825,102.2432,100.477075,100.44575,100.27545
100.485325,100.463775,102.29425,100.524975,100.460225,100.292025
100.505975,100.477425,102.413825,100.53695,100.478225,100.313775
100.5089,100.50205,102.545175,100.572975,100.510675,100.326625
100.534475,100.54615,102.583575,100.594475,100.561625,100.34245
100.56385,100.566375,102.635375,100.6158,100.5885,100.367825
100.5851,100.58685,102.6611,100.644525,100.645775,100.3883
100.60095,100.61665,102.71845,100.7457,100.68835,100.438625
100.646,100.6325,102.763775,100.780175,100.704325,100.4405
100.668325,100.65795,102.96135,100.879775,100.737875,100.479125
100.689125,100.673975,103.06885,101.026625,100.7604,100.492475
100.717875,100.703875,103.1472,101.1065,100.7969,100.52815
100.778775,100.732825,103.25315,101.17055,100.82175,100.541475
100.797425,100.7527,103.427875,101.2435,100.857125,100.55385
100.8158,100.770725,103.576675,101.388225,100.90815,100.5709
100.845325,100.78815,103.597375,101.40825,100.956575,100.617725
100.873325,100.808375,103.617525,101.4393,100.977175,100.6375
100.9118,100.8366,103.66445,101.469075,101.020175,100.658825
100.927525,100.884975,103.7099,101.540625,101.05885,100.69325
100.93995,100.91625,103.726825,101.593,101.15025,100.70715
100.954625,100.93605,103.7607,101.779675,101.196925,100.719725
101.0124,100.960775,103.769875,101.8085,101.2547,100.730975
101.03045,100.981975,103.930425,101.840525,101.304425,100.7439
101.051475,101.0016,103.94535,101.854925,101.36635,100.754625
101.068275,101.018625,103.959425,101.872175,101.3903,100.757875
101.1396,101.04115,103.9754,101.966975,101.4174,100.771175
101.1619,101.066275,103.9802,101.97815,101.45485,100.78415
101.1921,101.0914,104.006175,101.98595,101.501075,100.7961
101.203325,101.130425,104.072375,102.004375,101.526475,100.8297
101.231325,101.18375,104.2567,102.034125,101.5617,100.841575
101.2883,101.199225,104.271725,102.07215,101.599175,100.868675
101.3774,101.218825,104.325675,102.110025,101.662225,100.8957
101.39895,101.227175,104.358675,102.127575,101.6663,100.9207
101.436275,101.258675,104.42235,102.18105,101.700175,100.93625
101.4452,101.29565,104.461625,102.203225,101.75945,100.959825
101.457925,101.32635,104.532525,102.229625,101.76105,100.984275
101.4787,101.333125,104.574575,102.24665,101.79175,100.999525
101.513975,101.3803,104.62395,102.2515,101.8376,101.027725
101.5476,101.401375,104.661775,102.26415,101.881,101.055
101.603225,101.41175,104.77905,102.2864,101.90405,101.06325
101.6423,101.4328,104.81035,102.33005,101.912525,101.07805
101.6694,101.451625,104.846575,102.352775,101.95435,101.098925
101.68655,101.46735,104.87575,102.498725,102.006675,101.1244
101.70915,101.498575,105.01065,102.5721,102.044125,101.145
101.7188,101.545425,105.06695,102.599775,102.056,101.147125
101.774675,101.564625,105.085125,102.654725,102.058,101.162225
101.784025,101.587625,105.2786,102.6701,102.094075,101.1909
101.78815,101.617,105.298725,102.69685,102.116225,101.215425
101.84745,101.651225,105.3104,102.70745,102.135,101.2336
101.8545,101.683225,105.324825,102.73515,102.161875,101.254
101.934775,101.6932,105.381725,102.7463,102.163325,101.315625
101.98015,101.717175,105.42845,102.762575,102.186025,101.3679
102.017975,101.7369,105.45355,102.82975,102.21365,101.37935
102.0416,101.752175,105.537,102.86065,102.235225,101.4009
102.045675,101.906175,105.55845,102.87595,102.249775,101.426875
102.055925,101.9251,105.5779,102.895925,102.266725,101.444975
102.0684,101.9664,105.60545,102.915225,102.27645,101.48445
102.0726,101.9825,105.67325,102.93755,102.285375,101.49765
102.08665,101.99875,105.7044,102.99475,102.312675,101.535525
102.1959,102.0113,105.73425,103.022925,102.3333,101.6022
102.233425,102.035475,105.7721,103.0607,102.3827,101.623425
102.2572,102.0484,105.8165,103.11715,102.41635,101.641625
102.286875,102.0582,106.005175,103.14035,102.4503,101.6666
102.3067,102.090525,106.026025,103.153475,102.48985,101.688375
102.3384,102.128,106.062325,103.185075,102.53595,101.7025
102.36705,102.227425,106.174275,103.22385,102.574625,101.721625
102.38495,102.248875,106.19705,103.2564,102.61595,101.735825
102.40085,102.263,106.243575,103.320775,102.63975,101.75005
102.40885,102.2793,106.25465,103.334975,102.6525,101.766475
102.435425,102.300975,106.2803,103.40215,102.663675,101.783725
102.45355,102.320425,106.2898,103.423775,102.682125,101.8122
102.505725,102.352525,106.446425,103.45495,102.698975,101.820575
102.523725,102.3594,106.4822,103.502875,102.714375,101.8397
102.534575,102.381325,106.960025,103.57115,102.737525,101.857625
102.5532,102.405725,107.005925,103.589325,102.76725,101.881625
102.574475,102.424125,107.24175,103.62525,102.783675,101.93455
102.592975,102.44655,107.274275,103.659575,102.81435,102.0375
102.645175,102.4698,107.33755,103.67865,102.831675,102.058175
102.64875,102.488025,107.490475,103.69695,102.8595,102.071675
102.66795,102.509225,107.629025,103.716075,102.8898,102.0837
102.681525,102.53005,107.7455,103.751925,102.909375,102.102025
102.695975,102.5869,107.795975,103.7721,102.9125,102.117025
102.7159,102.611775,107.9573,103.857975,102.921275,102.163825
102.821275,102.633975,108.1407,103.87085,102.9254,102.188175
102.857425,102.655975,108.2256,103.923,102.9928,102.19175
102.874275,102.675575,108.2346,103.96255,103.021375,102.218175
102.8851,102.688275,108.38635,103.991375,103.05815,102.224925
102.91675,102.700625,108.4892,104.021525,103.090575,102.2323
102.944325,102.717975,108.58755,104.02605,103.129575,102.2458
102.968725,102.7366,108.73025,104.040075,103.15915,102.25855
103.0054,102.7568,108.926075,104.077775,103.17995,102.272725
103.02805,102.798125,108.939275,104.109775,103.1975,102.286225
103.0522,102.82455,108.95805,104.166925,103.2208,102.297375
103.10115,102.8789,108.969425,104.19855,103.27035,102.335375
103.143475,102.895075,108.9957,104.216275,103.291825,102.34575
103.175775,102.908,109.0089,104.23865,103.31615,102.3566
103.1846,102.93095,109.031875,104.257975,103.3649,102.372075
103.19355,102.958625,109.058625,104.2627,103.39505,102.422525
103.228575,103.00055,109.8512,104.27565,103.434875,102.4407
103.23505,103.017325,109.880275,104.294325,103.462225,102.454575
103.24925,103.04355,109.9271,104.3219,103.494625,102.4809
103.271475,103.06745,109.960025,104.329325,103.53845,102.497625
103.29575,103.0869,110.178525,104.337075,103.553975,102.514225
103.3093,103.0994,110.2738,104.34455,103.56735,102.528875
103.323625,103.12145,110.49415,104.34875,103.580475,102.5675
103.3507,103.124375,110.71475,104.392775,103.592175,102.589925
103.3639,103.192125,110.769075,104.44505,103.612475,102.608375
103.37545,103.2097,110.7847,104.45245,103.641725,102.616675
103.387225,103.2701,110.852625,104.455025,103.673325,102.61855
103.396575,103.30035,111.148275,104.48465,103.707275,102.629525
103.5003,103.322575,111.328625,104.497575,103.728975,102.641925
103.53895,103.338725,111.6706,104.527625,103.801075,102.654375
103.560425,103.3557,111.7459,104.547475,103.83675,102.6697
103.5828,103.374275,111.77685,104.560625,103.9093,102.699325
103.596175,103.39225,111.94185,104.572125,103.933625,102.737
103.616625,103.409725,112.021075,104.6133,103.95845,102.764
103.63285,103.441125,112.085125,104.62635,104.046275,102.803075
103.6441,103.5206,112.141475,104.633525,104.058475,102.851225
103.666825,103.535875,112.4475,104.66365,104.1542,102.879525
103.682975,103.564,112.5083,104.67975,104.19045,102.89275
103.697175,103.597975,112.734625,104.684325,104.213275,102.8984
103.69975,103.610925,113.090475,104.69325,104.229,102.927975
103.7435,103.637975,113.238925,104.72435,104.24195,102.932325
103.755675,103.653625,113.325875,104.757575,104.24895,102.943925
103.773125,103.668175,113.5736,104.784275,104.269225,102.954075
103.8893,103.70335,113.6103,104.79705,104.301925,102.96665
103.9117,103.7179,113.6551,104.807775,104.324075,102.969375
103.94675,103.734925,113.931025,104.8122,104.341525,102.977675
103.982475,103.752625,113.933375,104.82345,104.3538,102.988325
103.995675,103.770825,114.054675,104.83125,104.36065,103.006525
104.00585,103.8748,114.1689,104.852725,104.365425,103.015325
104.034625,103.8933,114.28445,104.86695,104.4016,103.033
104.043625,103.937775,114.5838,104.88735,104.403,103.065125
104.09775,103.9581,114.754225,104.977475,104.41665,103.08625
104.11405,103.973,114.789275,104.989825,104.43155,103.10865
104.1581,103.987175,114.8245,105.029425,104.4359,103.124625
104.16535,103.9993,114.862675,105.050275,104.463775,103.136575
104.281775,104.00355,114.914,105.05545,104.514675,103.1629
104.29305,104.033525,114.9583,105.058225,104.53135,103.18075
104.33395,104.0488,115.042725,105.072025,104.585125,103.200625
104.34665,104.0656,115.087775,105.092175,104.605225,103.2186
104.44525,104.074325,115.1086,105.10195,104.619375,103.230625
104.475575,104.0866,115.23035,105.1104,104.648325,103.260925
104.4807,104.09425,115.396425,105.13195,104.651825,103.276325
104.488125,104.109825,115.4761,105.15085,104.710525,103.29205
104.511075,104.127925,115.53445,105.268075,104.7431,103.310925
104.561775,104.144225,115.57895,105.290625,104.76415,103.33015
104.577775,104.24215,115.613425,105.293475,104.8067,103.348775
104.602375,104.26635,115.6629,105.304525,104.844125,103.373325
104.6213,104.283825,115.680575,105.3211,104.8783,103.39455
104.652975,104.3007,115.6916,105.339575,104.902475,103.4115
104.666825,104.30365,115.698075,105.350225,104.95195,103.43765
104.7153,104.314825,115.738175,105.371,104.9569,103.4557
104.742125,104.323475,115.767975,105.3794,104.99415,103.478775
104.7558,104.3369,115.813075,105.411125,105.02285,103.524
104.802875,104.3438,115.917575,105.45485,105.044725,103.57015
104.81565,104.368925,115.97445,105.499325,105.125275,103.585475
104.827325,104.396925,116.05565,105.56325,105.16945,103.5978
104.8331,104.4255,116.07865,105.581175,105.22545,103.60605
104.8475,104.438775,116.15675,105.616575,105.25945,103.62065
104.99635,104.45745,116.274075,105.62295,105.27365,103.646875
105.00905,104.47075,116.29675,105.6342,105.283425,103.668775
105.047625,104.483625,116.534275,105.6466,105.3024,103.69135
105.05225,104.49955,116.665475,105.6563,105.313225,103.72765
105.060475,104.521175,116.7136,105.657775,105.3466,103.77885
105.074725,104.58355,116.8431,105.665175,105.366775,103.79095
105.102575,104.59305,117.11115,105.674825,105.52355,103.80505
105.115725,104.61725,117.1571,105.6883,105.589375,103.818975
105.255,104.63455,117.206875,105.71935,105.653325,103.842125
105.26295,104.6511,117.24135,105.739,105.666675,103.875975
105.302325,104.692775,117.295975,105.761725,105.68475,103.899525
105.325925,104.72305,117.442525,105.774525,105.705725,103.9147
105.3365,104.74805,117.479975,105.78195,105.727175,103.936875
105.34455,104.76825,117.6517,105.792625,105.7531,103.94965
105.37,104.78035,118.127775,105.803675,105.763825,103.97
105.3812,104.7961,118.5794,105.81215,105.78505,104.044325
105.402775,104.8095,118.777875,105.8175,105.78895,104.06425
105.41445,104.836525,118.88065,105.847925,105.80815,104.094425
105.421475,104.85695,119.325725,105.886175,105.82045,104.12695
105.460025,104.888175,119.36055,105.9046,105.846075,104.1318
105.4872,105.028325,119.460525,105.9468,105.8778,104.14965
105.52095,105.0446,120.10125,106.01295,105.913475,104.166175
105.533175,105.05655,120.242625,106.038925,105.9516,104.1887
105.5512,105.062125,120.475875,106.0584,105.969275,104.20815
105.579475,105.073475,120.746925,106.08235,106.048425,104.2283
105.630575,105.078875,120.972625,106.105075,106.102125,104.257225
105.6544,105.08285,121.0043,106.12765,106.144875,104.2661
105.67705,105.089625,121.0469,106.175975,106.17,104.32995
105.695375,105.10855,121.119425,106.201375,106.1883,104.3528
105.793125,105.146075,121.14965,106.2181,106.206975,104.38965
105.808875,105.29975,121.23635,106.23495,106.2282,104.398175
105.98585,105.3153,121.27725,106.277475,106.261025,104.43585
106.000525,105.327425,121.350125,106.3046,106.32815,104.451675
106.018,105.330775,121.5058,106.33745,106.35365,104.4916
106.03295,105.348275,121.56165,106.4246,106.377375,104.504125
106.052325,105.366875,121.704225,106.461425,106.384825,104.52945
106.0657,105.382475,121.821175,106.48435,106.39035,104.55345
106.0839,105.40715,122.073675,106.525475,106.4025,104.566075
106.1007,105.434725,122.360025,106.559525,106.41395,104.59155
106.15055,105.45655,122.39275,106.607175,106.464775,104.630075
106.19735,105.4848,122.52565,106.649,106.4882,104.64245
106.213675,105.50585,122.7295,106.6692,106.533225,104.652225
106.23605,105.523375,122.931575,106.707525,106.579225,104.667675
106.261675,105.540075,123.01065,106.743675,106.613675,104.676225
106.303225,105.575875,123.069825,106.82785,106.64635,104.682175
106.341125,105.592675,123.0872,106.875825,106.683525,104.702375
106.392775,105.622725,123.158225,106.90805,106.6988,104.7183
106.407025,105.64485,123.31115,106.9447,106.7235,104.754
106.438875,105.6874,123.423575,106.9728,106.7704,104.77485
106.46655,105.711575,123.44775,106.997525,106.79745,104.79035
106.4691,105.728425,123.464325,107.03365,106.8218,104.80355
106.57475,105.75165,123.5021,107.06135,106.836175,104.818775
106.58715,105.784875,123.5234,107.114525,106.865125,104.8228
106.59285,105.81325,123.663125,107.199725,106.90575,104.853825
106.60095,105.843575,123.74965,107.219125,106.913425,104.870125
106.616275,105.9278,123.8072,107.237025,106.932525,104.883875
106.729825,105.9616,124.0041,107.248625,107.0008,104.912475
106.771725,106.00245,124.0273,107.266925,107.047625,104.9244
106.79705,106.020175,124.05715,107.2843,107.0992,104.9413
106.861075,106.040025,124.0691,107.302875,107.1339,104.9539
106.891875,106.05,124.087425,107.319825,107.163875,104.971725
106.92465,106.067725,124.370125,107.361425,107.194625,104.9742
106.93365,106.091675,124.442125,107.383425,107.20945,104.987175
106.947825,106.138575,124.523225,107.40465,107.226875,105.006425
106.951925,106.173125,124.655825,107.41705,107.23865,105.02725
106.970975,106.2061,124.740125,107.4566,107.26295,105.034125
106.98975,106.2213,125.03625,107.480325,107.280975,105.047825
107.00155,106.23925,125.07255,107.50265,107.309,105.10225
107.010475,106.254875,125.127425,107.5305,107.335475,105.121175
107.03065,106.269825,125.1733,107.5851,107.364025,105.183025
107.05345,106.309475,125.250275,107.634925,107.402225,105.200575
107.09515,106.350825,125.312425,107.66435,107.4305,105.21875
107.247275,106.38605,125.55855,107.72215,107.458875,105.24045
107.264975,106.400975,125.601775,107.78125,107.494825,105.24435
107.275925,106.42405,125.76315,107.804875,107.523525,105.254375
107.302475,106.453575,125.8348,107.8148,107.553275,105.27895
107.31085,106.477825,125.919225,107.841575,107.59,105.287225
107.328025,106.495775,125.968075,107.850825,107.6187,105.323625
107.36185,106.511475,126.192725,107.87635,107.650125,105.36015
107.37145,106.51395,126.373975,107.91075,107.719225,105.38075
107.38375,106.53415,126.404825,107.94,107.7316,105.406575
107.394975,106.553225,126.48125,107.97545,107.755625,105.425875
107.435625,106.5787,126.7195,108.008625,107.777475,105.4412
107.454275,106.594025,126.73735,108.024425,107.8059,105.479
107.456325,106.611925,126.769525,108.0753,107.82085,105.496675
107.479075,106.6266,126.776675,108.1098,107.83625,105.515125
107.501425,106.654925,126.815075,108.12985,107.8565,105.54355
107.516125,106.70445,126.8218,108.14655,107.8608,105.56305
107.547875,106.75895,127.319,108.166625,107.8866,105.579325
107.56265,106.786875,127.44255,108.182425,107.923275,105.594875
107.57455,106.8144,127.51135,108.197975,107.96435,105.6056
107.604575,106.86355,127.72085,108.2139,108.013175,105.612675
107.714375,106.8878,127.819675,108.2329,108.02865,105.6357
107.731325,106.93045,127.8977,108.243325,108.070025,105.6511
107.751925,106.93845,128.1067,108.2588,108.106575,105.668275
107.798025,106.960125,128.374325,108.2723,108.132075,105.669525
107.84485,106.9788,128.419975,108.297475,108.149125,105.6847
107.8595,106.993575,128.511675,108.31735,108.17,105.722825
107.873525,107.008975,128.723675,108.331475,108.181125,105.742325
107.90105,107.02505,128.7248,108.365325,108.202575,105.7586
107.923875,107.0355,128.736975,108.391075,108.246575,105.784175
107.961725,107.0485,128.75615,108.40255,108.26885,105.79375
107.97165,107.061725,128.78135,108.424225,108.2925,105.80195
107.99235,107.088925,128.91315,108.440675,108.31015,105.814375
108.01855,107.10455,129.00345,108.505,108.36655,105.82755
108.089,107.140125,129.08155,108.54725,108.396875,105.848425
108.1119,107.1829,129.322225,108.561275,108.4158,105.8625
108.191825,107.2584,129.376525,108.575525,108.4552,105.881675
108.22585,107.280175,129.46825,108.589175,108.47525,105.9298
108.25835,107.292025,129.635675,108.6296,108.4877,106.01675
108.2879,107.305975,129.70975,108.657225,108.524175,106.050275
108.318775,107.316625,129.921975,108.688975,108.5559,106.076775
108.372175,107.34835,130.0047,108.706675,108.570275,106.098125
108.432875,107.3571,130.05415,108.724575,108.60145,106.1309
108.450125,107.368875,130.387675,108.766,108.642,106.14655
108.4733,107.385125,130.528625,108.821625,108.692225,106.167975
108.500625,107.4016,130.62505,108.846475,108.723325,106.195725
108.516225,107.412325,130.66095,108.897775,108.74265,106.2117
108.55565,107.428875,130.6852,108.92755,108.776,106.228875
108.575775,107.4393,130.7259,108.948925,108.81005,106.274525
108.620975,107.4661,130.816825,108.964975,108.8593,106.2912
