SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
500.03125,500.007475,500.012425,523.149075,500.012625,500.5681
500.1325,500.031275,500.071125,543.2911,500.04635,501.08805
500.15985,500.090025,500.101075,544.630925,500.055025,510.8955
500.178525,500.1336,500.15025,571.110725,500.067325,514.787125
500.19505,500.159275,500.184675,576.892,500.099625,514.940225
500.223425,500.210375,500.214075,576.98455,500.122825,515.3793
500.313025,500.2318,500.2663,578.7342,500.1481,515.5268
500.357475,500.3262,500.3077,581.514125,500.16745,517.921475
500.41425,500.338025,500.345175,586.9356,500.1933,520.66325
500.44945,500.35165,500.388775,592.3934,500.236275,522.2992
500.4512,500.4033,500.4233,594.1875,500.284,523.8362
500.495925,500.5478,500.4708,596.449625,500.322425,525.6824
500.53785,500.56695,500.521475,609.8779,500.339775,529.2362
500.562875,500.602775,500.56015,619.1358,500.359775,529.5599
500.585425,500.7061,500.597025,635.811675,500.3784,529.6586
500.622625,500.733025,500.640975,636.107875,500.398875,530.14705
500.66995,500.779175,500.67055,643.73115,500.452325,534.5803
500.6992,500.807275,500.712475,685.659525,500.480925,538.697525
500.742225,500.84835,500.75635,744.40755,500.521225,544.190825
500.77075,500.87795,500.789,765.441725,500.5578,554.785075
500.8208,500.942325,500.835875,787.4849,500.58525,557.3952
500.86275,500.9816,500.88345,797.65635,500.601075,562.98275
500.9173,501.008475,500.9212,,500.6105,567.508
500.940975,501.031575,500.9629,,500.629225,569.00065
500.955125,501.073575,501.013075,,500.64205,574.089425
500.980175,501.158575,501.06295,,500.65125,578.00125
501.0583,501.1785,501.110175,,500.6698,578.51055
501.09405,501.203675,501.1634,,500.688275,583.09345
501.171825,501.28355,501.21025,,500.7023,583.294925
501.248175,501.312225,501.26345,,500.70825,583.50025
501.288375,501.33255,501.302675,,500.7344,583.635975
501.295325,501.353275,501.34075,,500.74425,587.99435
501.445725,501.381175,501.38345,,500.75615,588.6067
501.4984,501.41975,501.45545,,500.77195,590.05745
501.580125,501.461975,501.518025,,500.7964,590.92505
501.6653,501.486975,501.57815,,500.809575,601.345325
501.6894,501.5058,501.6601,,500.850025,602.5051
501.69645,501.66185,501.744125,,500.868825,605.740525
501.733875,501.689275,501.81485,,500.8857,615.479025
501.7683,501.72525,501.866725,,500.906875,617.833475
501.79365,501.76305,501.9188,,500.939225,617.968775
501.8231,501.842525,501.99795,,500.95865,619.3278
501.86325,501.980875,502.06165,,500.99465,621.3507
501.9075,502.048,502.1142,,501.01965,622.160875
501.9766,502.13355,502.212075,,501.03475,623.971025
502.00835,502.203775,502.267125,,501.0576,624.156575
502.02935,502.222725,502.3485,,501.08095,626.27625
502.053175,502.27575,502.3973,,501.092575,629.4008
502.08865,502.3049,502.5077,,501.1116,631.383425
502.181625,502.38445,502.621125,,501.14085,637.393725
502.292975,502.552475,502.6897,,501.169175,639.332275
502.34635,502.593075,502.725625,,501.2013,642.305775
502.373025,502.711175,502.782775,,501.23545,643.71835
502.394425,502.737525,502.87405,,501.25255,650.185825
502.4021,502.82905,502.977425,,501.268525,650.853925
502.445725,502.862025,503.020775,,501.285675,652.742675
502.462925,502.8883,503.06765,,501.322275,657.2067
502.5729,502.9697,503.098175,,501.366225,658.023275
502.647175,503.0075,503.137625,,501.408175,658.49355
502.692025,503.1301,503.167775,,501.4415,658.60875
502.75675,503.167475,503.24815,,501.488225,659.0828
502.771025,503.229825,503.36055,,501.5343,660.4759
502.779975,503.47035,503.417625,,501.58985,661.059175
502.787425,503.5044,503.464625,,501.635775,661.30185
502.8008,503.6091,503.586325,,501.669325,661.498575
502.84195,503.637375,503.6432,,501.683575,662.4202
502.875375,503.649575,503.6789,,501.696025,664.213275
502.990125,503.6772,503.71355,,501.768975,664.376525
