SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC06a
7.34285,4.3439,0.0233
10.569275,20.323,0.032725
12.055275,26.08665,0.156775
12.830825,28.442875,0.207575
14.079925,29.285575,0.242625
14.38755,31.74045,0.340625
15.1176,38.0273,0.342225
18.9282,38.9503,0.35685
20.08565,41.464075,0.399375
20.22325,43.44625,0.4617
20.711675,44.89325,0.513525
21.6057,48.880925,0.51595
22.1991,51.23295,0.526075
22.5382,53.26945,0.5604
24.721,55.13535,0.626525
24.907725,55.848575,0.645225
25.030775,56.858175,0.7284
25.1226,58.7012,0.74595
25.299325,63.201925,0.76715
27.44655,63.891675,0.91705
27.768425,65.0248,0.97985
28.951375,65.054275,1.02175
30.92285,67.837625,1.0393
31.14715,69.736225,1.086925
31.657925,70.4879,1.183075
32.512675,72.249375,1.20605
32.521875,72.327025,1.2565
32.646275,73.28905,1.284425
33.151725,75.309925,1.3746
33.8535,75.3364,1.4828
33.875525,76.283725,1.52525
35.81245,76.5798,1.576325
36.077675,76.9451,1.703925
36.386325,77.925975,1.754525
36.9443,78.38635,1.77475
36.9525,78.88455,1.783625
37.472875,79.022,1.861575
38.2192,79.311875,1.88805
38.49815,79.622525,1.932975
38.510525,80.068925,1.96245
38.6023,81.333525,2.05215
38.81195,81.392175,2.086675
39.794575,83.243725,2.1252
39.9261,83.899475,2.126425
39.97085,84.620775,2.226425
40.783,85.103225,2.307725
41.760425,85.43005,2.384425
41.9437,86.48885,2.449925
42.173825,86.6917,2.492325
42.688725,86.84865,2.504125
42.9851,86.87985,2.51845
44.208175,87.360675,2.5619
44.283175,88.11775,2.570125
44.443875,88.1916,2.5861
44.75505,88.237125,2.68425
44.841475,88.267575,2.721225
45.48485,88.306325,2.763925
45.5045,88.35475,2.816
45.7593,88.367625,2.830025
46.405675,88.372725,2.9299
46.48455,88.56655,3.1337
46.85355,88.611525,3.218375
47.05495,88.825375,3.34995
47.44465,89.183725,3.4259
47.619725,89.2417,3.43935
47.646525,89.381575,3.52605
48.679625,89.401025,3.555625
49.5234,89.41115,3.60115
49.634925,89.852425,3.6228
49.713125,90.000275,3.71865
49.8209,90.7652,3.78235
49.848975,90.793325,3.80775
50.1238,91.1484,3.922425
50.15035,91.75645,3.97885
50.71735,91.939,4.02995
50.91155,92.56355,4.058
50.916675,92.5885,4.096975
52.43185,92.686675,4.14235
52.68955,92.942675,4.1608
52.9705,93.01715,4.22535
53.670275,93.276475,4.247
53.72595,93.452525,4.355925
53.752675,93.4991,4.36585
53.872325,93.5441,4.41405
53.9058,93.6781,4.5122
53.942025,93.693675,4.53305
53.95275,93.759975,4.5647
54.14785,93.947825,4.581375
54.83115,94.14525,4.614425
54.9119,94.211325,4.651125
55.2065,94.3627,4.679875
55.380625,94.6179,4.85405
56.043875,94.65385,4.89295
56.115275,94.80075,4.928175
56.286075,94.915975,4.974425
56.398925,94.927125,4.99075
56.426375,95.0521,5.012925
56.7273,95.08545,5.076625
57.04265,95.30715,5.138375
57.84995,95.32345,5.2016
58.66345,95.4144,5.3504
58.786925,95.57795,5.392275
59.288125,95.665975,5.418325
59.37235,95.779675,5.507875
59.90895,95.87045,5.5296
60.68225,95.98905,5.57455
61.0935,96.063175,5.6186
61.645075,96.13575,5.667525
62.643125,96.188525,5.6963
63.61475,96.212475,5.856225
64.207825,96.387225,5.926275
64.86575,96.48155,5.968525
64.97745,96.5239,5.987125
65.094275,96.70515,6.021275
65.394525,96.75405,6.03325
65.5082,96.767925,6.057325
66.351225,97.2816,6.149475
66.512775,97.31095,6.25225
66.87805,97.371125,6.3275
66.924875,97.46965,6.3605
67.426675,97.542325,6.390225
67.48175,97.587525,6.453875
67.5234,97.596475,6.5053
67.66635,97.606925,6.546075
67.98245,97.886575,6.62235
68.184075,97.915175,6.65705
68.53715,97.932475,6.6985
68.843025,97.9574,6.724775
68.90365,97.971525,6.754775
68.937325,97.98485,6.770425
69.630325,98.040875,6.826475
70.04705,98.137675,6.850175
70.07005,98.197,6.8947
70.5109,98.209875,6.91255
70.6175,98.244575,6.9423
70.6611,98.290825,6.980175
70.843325,98.3033,7.03535
70.95645,98.341375,7.0706
71.100175,98.4609,7.123725
71.1987,98.651525,7.1612
71.3382,98.67955,7.179125
71.3942,98.7084,7.27015
71.6196,98.7856,7.3413
71.750725,98.9482,7.393125
71.833175,99.086025,7.4258
71.843675,99.179925,7.4898
71.8599,99.2322,7.5208
72.2605,99.486675,7.580325
72.33125,99.695275,7.6745
72.486875,99.828125,7.8315
72.5423,99.87505,7.84585
72.62465,100.09655,7.862975
73.017925,100.10945,7.910075
73.336525,100.157275,7.9509
73.664975,100.41115,8.07835
73.748425,100.429875,8.206275
74.2159,100.4678,8.2244
74.298025,100.9757,8.318075
74.397625,100.9951,8.3342
74.41295,101.432725,8.3467
74.4661,101.596325,8.48085
74.616675,101.646525,8.550775
74.96415,101.6566,8.564225
75.3684,101.684325,8.6713
75.50045,101.777225,8.7264
75.681375,101.851575,8.7301
75.725825,101.865875,8.775
75.75875,101.89045,8.84895
75.862975,101.9576,8.87935
75.879125,101.977,8.969025
75.997875,102.2002,9.06285
76.528625,102.218,9.34335
76.54325,102.285875,9.417475
76.556575,102.3357,9.456525
76.592325,102.449575,9.5215
76.64425,102.529,9.559025
76.732175,102.5604,9.57345
76.848925,102.694225,9.62345
76.883425,102.717325,9.6592
77.05455,102.72625,9.6796
77.27515,102.9255,9.709325
77.392025,103.030925,9.76275
77.40375,103.0559,9.902975
77.4879,103.1134,9.916575
77.540975,103.16415,9.93745
77.556475,103.166225,9.951275
77.562275,103.193525,10.00975
77.639725,103.2997,10.08075
77.665675,103.459925,10.124425
77.693525,103.476575,10.186
77.722175,103.662375,10.247275
77.766525,103.940625,10.313175
77.856575,103.957,10.3906
78.3127,104.0542,10.41305
78.64095,104.06485,10.437775
78.663625,104.174075,10.4465
78.757225,104.28565,10.486575
78.8396,104.507175,10.5258
78.863625,104.6573,10.561475
79.06715,104.684425,10.66035
79.278275,104.7298,10.67365
79.407875,104.748275,10.713825
79.42455,104.7781,10.7474
79.468375,104.78925,10.7993
79.4891,104.8169,10.87475
79.616075,105.0698,10.93225
79.64865,105.167725,10.993875
79.73625,105.18275,11.05555
79.76325,105.32975,11.303025
79.98915,105.377275,11.445325
80.044375,105.38685,11.459975
80.424025,105.500575,11.47465
80.5922,105.695575,11.5955
80.618225,105.771275,11.607025
80.773875,105.8168,11.7947
81.6011,106.003725,11.809175
81.944675,106.18565,12.25095
82.0722,106.242325,12.276925
82.190025,106.4232,12.370375
82.229925,106.44685,12.617925
82.279925,106.5254,12.6701
82.433225,106.569425,12.6922
82.49185,106.599275,12.7098
83.38365,106.662925,12.929675
83.4127,107.16105,13.135725
83.44645,107.193375,13.175725
83.47955,107.26765,13.3967
83.643625,107.2913,13.40525
83.996375,107.3414,13.4301
84.116625,107.543,13.464875
84.15905,107.91255,13.54975
84.17815,108.0379,13.5598
84.1986,108.0759,13.598
84.33765,108.14425,13.651975
84.4118,108.312825,13.72405
84.663,108.466275,13.797375
84.951925,108.474925,13.819575
85.01055,108.857475,13.862075
85.02505,108.9719,14.007575
85.251225,108.994925,14.196325
85.282375,109.029975,14.25255
85.4129,109.24075,14.3714
85.5827,109.290475,14.387575
85.66055,109.433825,14.43315
85.960025,109.455225,14.56475
86.084425,109.50755,14.57995
86.1414,109.52365,14.597225
86.33015,109.568725,14.65575
86.601075,109.60165,14.68125
86.81,109.6135,14.715325
86.841525,109.85035,14.738625
86.853575,109.858025,14.954925
86.857125,110.1115,15.099925
