SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC09a
0.0438,0.003825,0.060475
0.098175,0.0634,0.0965
0.140875,0.075225,0.145525
0.212825,0.149975,0.177825
0.294525,0.22865,0.196675
0.32395,0.2939,0.277875
0.36655,0.324875,0.31615
0.427825,0.4437,0.3576
0.465825,0.464325,0.419325
1.000775,0.48395,0.466375
1.506175,0.49835,0.4988
1.541875,0.556675,0.560025
2.330125,0.628575,0.5885
3.0041,0.68645,0.611475
3.063875,0.87265,0.640225
3.1216,0.93375,0.676375
3.203825,1.484125,0.694175
3.7022,1.8321,0.721075
3.82215,3.048825,0.78315
3.921625,3.209475,0.8754
4.12365,3.2426,0.946925
4.27005,3.2599,0.9716
4.5189,3.280975,1.0121
4.536225,3.306875,1.06495
4.547975,3.31745,1.079375
5.2149,3.689075,1.10745
5.261275,3.7868,1.127925
5.330175,3.79895,1.139875
5.405575,4.135225,1.201475
5.458675,4.152925,1.224775
5.570125,4.334075,1.25165
5.662,4.709725,1.274
5.723025,4.785725,1.294175
5.7688,5.2423,1.328975
5.8179,5.303825,1.38415
5.877075,5.856425,1.441675
5.9057,5.91725,1.5613
5.974475,6.07355,1.60015
5.9909,6.091825,1.63475
6.0014,6.102875,1.67315
6.104675,6.164925,1.7043
6.1375,6.179725,1.72125
6.1961,6.2547,1.7593
6.2002,6.3036,1.778
6.269475,6.346675,1.806275
6.3533,6.5152,1.83575
6.42635,6.654275,1.879825
6.6006,6.913375,1.95765
6.6324,6.98785,1.9826
6.72485,7.064175,2.007825
6.7729,7.09375,2.13325
6.822675,7.119575,2.16935
6.852975,7.13715,2.196325
6.885375,7.2229,2.2456
6.9398,7.331725,2.26315
7.058075,7.346075,2.281625
7.078125,7.371575,2.29085
7.1245,7.398225,2.40565
7.2258,7.434575,2.4439
7.710175,7.610275,2.587575
7.747125,7.70955,2.602075
7.890275,7.730975,2.621575
8.112025,7.778975,2.63955
8.1617,7.810275,2.715275
8.328475,7.812775,2.7307
8.373325,7.8157,2.800525
8.52445,7.843925,2.833925
8.550225,7.8756,2.95355
8.61535,7.9422,2.979325
8.7438,7.959525,3.0383
8.890025,8.119775,3.069025
