SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
0.1148,0.023225,0.1078,0.42555,0.44245,0.283125,0.04385,0.097075,0.032175
0.1344,1.064,0.3598,3.1994,0.5182,0.425575,0.1989,0.4475,0.058975
0.58745,1.081,0.7543,11.18955,1.390925,0.428475,0.2674,0.47395,0.27345
0.857,1.11045,2.0778,13.598725,1.411775,0.446525,0.317375,0.715625,0.33695
1.221175,1.224325,3.280125,14.210025,1.533775,0.482975,0.8053,1.001325,0.3426
1.34965,1.277925,3.5764,22.922025,1.56285,0.493225,0.9466,1.115175,0.84205
1.51035,1.28935,4.192475,32.24665,1.61615,0.529475,0.972625,1.144975,0.93185
1.709425,1.41315,5.273275,37.52305,1.731775,0.5505,1.3653,2.3449,1.212975
1.748625,1.44085,5.5223,52.016475,2.063325,0.56485,1.522475,3.231725,1.665725
1.7506,1.483275,6.8228,52.920525,2.29475,0.591475,1.537975,4.196475,1.739975
2.264225,1.7503,7.29615,64.74245,2.536975,0.601025,1.776175,4.27845,2.134175
2.279,1.9411,8.530375,65.910225,2.53805,0.614725,2.2303,4.73335,2.250775
2.332725,2.0779,8.8129,70.297025,3.047075,0.619775,2.3205,4.7586,2.3773
2.51025,2.115175,8.84745,77.927725,3.16755,0.625075,2.52875,5.0081,2.45895
2.538,2.180775,8.890575,78.312475,3.209625,0.633275,2.705325,5.114175,2.778075
2.865125,2.461175,10.860225,79.833025,3.779325,0.6602,3.094825,5.28965,3.142975
2.91395,2.492625,11.74455,80.569125,5.292825,0.67175,3.342075,5.653775,3.453675
3.3589,2.5304,12.503525,84.5159,6.001475,0.676925,3.55155,5.9755,3.862025
3.59185,2.791275,13.743125,88.5844,6.093775,0.6922,3.79335,6.0716,3.9491
3.976075,2.93075,14.676275,89.520225,7.414475,0.7063,3.822425,6.823175,4.278325
4.3324,3.132225,15.8968,89.759625,7.598575,0.725725,4.0571,7.1225,4.286025
4.5288,3.291925,17.18415,92.3555,7.91325,0.785825,4.283125,7.708025,4.373875
4.7108,4.68405,17.762625,93.38145,8.03645,0.794,4.56855,8.0206,4.731275
4.723325,4.790625,18.766525,93.851825,8.206025,0.8129,4.614675,8.4091,4.7683
5.300175,5.0864,20.679175,93.975375,8.41885,0.818575,5.759525,8.83555,4.826925
5.33825,5.2626,21.584875,97.4613,8.638225,0.83035,5.925925,9.512525,4.97565
5.52305,5.3193,21.808575,99.61595,8.828775,0.9436,6.187825,10.465525,5.11405
5.81695,5.3399,21.867575,99.67395,8.8331,1.428325,6.2037,11.182925,5.181925
5.89485,5.5224,22.824175,102.523875,8.835075,1.435125,6.298275,11.331625,5.352675
6.165875,5.680075,23.006775,106.668325,8.855025,1.445125,6.682225,12.23715,5.39615
7.191325,5.884475,23.539575,107.705475,8.92745,1.46855,7.7542,12.350125,5.4129
7.383,5.984725,24.184725,115.5224,8.99755,1.500275,7.891425,12.880675,5.417675
7.40465,6.004675,24.965825,116.50885,9.29005,1.58985,7.9554,13.276425,5.504775
7.4556,6.0997,24.96785,117.111725,9.56785,1.601,9.340375,14.578375,5.6663
7.58415,7.3693,25.0725,122.143875,9.603975,1.6301,9.351825,14.785125,5.706825
8.36025,7.500425,25.394375,123.294675,9.965575,1.642475,9.6705,15.446175,5.947375
8.47835,8.154775,26.4881,125.079475,10.860225,1.653625,9.852525,15.550875,6.620775
8.75075,8.24205,27.047575,125.23865,10.8745,1.660175,10.24435,15.65545,6.65885
8.7837,8.3036,27.612875,126.149975,10.944925,1.68585,10.68515,16.0691,6.67245
8.8116,8.3544,28.02265,128.3907,11.2776,1.741375,10.85685,16.876275,6.743925
8.853625,8.38155,28.19905,128.96915,11.4547,1.76765,10.912075,16.921,6.74585
8.913775,8.40355,28.932875,129.68415,11.53385,1.8117,11.434075,17.912325,6.926625
8.930475,8.462225,30.798575,129.9746,11.588475,1.83965,11.6046,18.0477,6.99
8.9707,8.494775,32.062,133.478625,11.991575,1.854925,11.76005,18.33785,7.006075
9.136575,8.6881,33.392775,133.697475,13.287925,2.009125,11.9882,20.00725,7.055025
9.250675,8.79355,34.0435,135.874725,13.7263,2.194225,12.110425,20.86885,7.119025
9.314075,8.813075,34.246775,136.319425,14.57085,2.26015,12.121525,21.37435,7.36725
9.395225,8.827775,34.889225,139.1757,15.04625,2.46025,12.378225,21.42315,7.434375
9.4924,8.857925,35.371975,139.355275,15.257725,2.498225,12.981,21.50355,7.8872
9.4961,8.903825,36.20555,139.756275,15.344825,2.52265,13.039175,21.828825,7.96535
9.5284,8.929675,37.98545,139.7719,15.505975,2.649375,13.4582,22.13095,7.991725
9.699,8.953375,38.52565,140.346975,15.895675,2.913675,13.51755,22.340975,8.20465
9.79705,8.997625,39.0541,144.5801,16.34985,3.16535,13.5526,22.635625,8.3396
9.802525,9.143125,39.319725,145.558825,16.59975,3.270125,14.12225,22.708225,8.3722
10.4325,9.1552,39.36775,147.32615,16.83375,3.4649,14.19805,23.027025,8.448225
10.7983,9.196325,39.4013,147.603475,16.903025,3.559925,14.360675,23.234525,8.50795
10.8367,9.247,41.119825,148.45415,16.981925,3.61735,14.662875,23.816975,8.599875
10.872625,9.320225,41.596575,149.42025,17.09375,3.667075,14.700575,24.51925,8.767025
10.9316,10.842075,41.737675,152.83865,17.0986,3.703575,14.8374,24.5555,8.7933
11.440675,10.86895,42.73,157.300525,17.10615,3.734975,15.167475,24.849425,8.894525
11.448025,10.8808,43.963775,157.32875,17.16325,3.74535,15.284475,25.064675,9.1471
11.582575,11.17315,45.105125,160.19405,17.21315,3.7895,15.397525,25.182625,9.177125
11.6642,11.340025,46.718875,160.417575,17.26635,3.81915,15.42785,25.877775,9.270975
11.672475,11.416425,47.0058,162.492625,17.285025,3.842675,15.47935,26.195925,9.2862
11.6742,11.495675,48.52545,167.363825,17.29755,3.9198,15.67615,26.453875,9.342525
11.690375,11.780025,49.5087,167.548675,17.306825,3.927925,15.810475,27.08855,9.503875
11.6984,11.95675,50.603225,167.778775,19.869275,3.93405,15.820425,27.355975,9.508575
11.75975,13.7293,51.141475,172.506775,19.904775,4.01225,15.828075,27.5133,9.60825
11.85175,14.596775,51.149725,175.13265,20.526325,4.471125,16.1342,27.667675,9.740175
11.87365,14.9168,51.563825,176.4271,20.781775,4.516825,16.424425,27.9598,9.9169
11.9674,14.994575,51.815775,176.5314,20.854975,4.590975,16.631375,28.23105,10.133925
12.74435,15.0722,53.171575,177.05705,20.884075,4.67585,17.224275,28.360725,10.204225
13.06005,15.109375,55.132375,180.211275,21.172275,4.690075,17.2902,28.969725,10.437775
13.1392,15.22945,55.15675,181.409025,21.7455,4.7249,17.361025,29.018125,10.50455
13.171675,15.306925,55.5178,183.949425,22.251775,4.840825,17.465925,29.084875,10.506525
13.17935,15.412325,55.782125,184.772025,22.7224,5.356475,17.61375,29.1532,10.74885
13.204575,15.485825,56.50805,184.843875,23.153475,5.8171,17.8078,29.306025,10.766175
13.209275,15.919925,56.576375,185.86585,23.511025,5.861075,17.918075,29.480625,10.91115
13.2365,16.337275,56.6414,187.569325,23.5148,5.922925,18.360875,29.576625,11.0658
13.261675,16.466275,57.886025,190.402275,23.6176,5.99665,18.794225,29.791525,11.157225
13.274025,16.544625,58.9689,190.9644,23.8509,6.00025,18.801225,30.29445,11.536475
13.34915,16.70075,59.367325,193.799175,24.296525,6.033475,19.136375,30.339225,11.749075
13.385925,16.733975,61.358075,194.0142,24.342175,6.06395,19.64865,30.97025,11.964175
13.4817,16.9089,61.85455,194.071325,25.104725,6.07375,19.668025,31.27445,12.089775
13.552275,16.926675,61.8934,195.1119,25.11855,6.086825,19.909425,31.7577,12.1245
13.859575,16.97895,62.96,195.649125,25.39435,6.166025,20.03,31.80965,12.43295
14.020175,16.99545,63.012675,196.986525,25.4144,6.184625,20.05525,31.8324,12.4406
14.2865,17.0197,63.62995,197.328975,25.531825,6.212375,20.084975,32.089725,12.564975
14.3301,17.121475,64.06345,197.6143,25.590175,6.24645,20.305675,32.237925,12.7581
14.39935,17.184275,64.455975,198.801575,26.082475,6.4161,20.450475,32.26705,12.80635
14.54385,17.24305,64.65575,198.855225,26.180675,6.52065,20.734125,32.523275,13.04545
15.405475,17.31605,65.08945,200.984975,26.35145,6.571475,21.17855,32.712525,13.121425
15.5411,17.327475,65.109025,202.2323,26.424,6.584875,21.18025,33.240925,13.208125
15.810125,17.629075,65.5713,202.460925,26.733525,6.5987,21.60745,33.67525,13.244325
15.8967,17.6491,65.7657,202.9736,26.9626,6.7084,21.66445,33.834775,13.30145
15.968325,17.956675,68.117025,202.983475,27.057725,6.7274,21.751475,33.917225,13.348725
16.23715,19.126325,68.389525,205.4292,27.081,6.789825,22.1863,33.977325,13.65155
16.246,20.748975,69.471025,205.7266,27.43605,6.890825,23.346375,34.590075,13.71615
16.282275,21.173975,70.6498,207.20175,27.4393,6.91245,23.7332,34.644,13.8908
16.32985,21.37315,71.016475,209.7071,27.516525,6.937575,23.9699,34.8896,13.932775
16.358925,21.44105,73.429175,210.98475,27.5687,6.961575,24.095375,35.26435,13.973075
16.395775,21.5485,73.510375,211.6982,27.794625,6.9954,24.117775,35.351825,14.293525
16.4052,21.68135,73.530125,215.07115,27.8721,7.039225,24.432825,35.4955,14.30165
16.596225,22.7105,73.649675,215.663275,28.502375,7.0574,24.7348,35.604875,14.31215
16.625875,22.841975,73.92725,215.797875,28.5407,7.069725,24.8687,35.73295,14.3412
16.6608,22.9236,75.005075,217.36095,28.54795,7.1314,24.912,35.853625,14.384025
16.6886,23.0099,75.067225,217.79955,28.7355,7.1536,24.961975,35.907725,14.70965
16.710675,23.0251,75.9146,218.112225,28.775825,7.176175,25.157325,35.999425,14.78415
16.85215,23.17545,77.601925,218.35705,29.904725,7.1933,25.228575,37.4365,14.82565
16.9158,23.43695,77.991175,220.329675,30.19425,7.19775,25.642325,37.5194,14.8681
16.950475,23.4782,79.2221,221.669625,30.486925,7.216125,25.92565,37.645575,15.420225
16.977475,23.539675,79.242925,223.65005,30.6063,7.22245,25.930575,38.113325,15.6933
17.008475,23.8607,79.419525,224.729375,30.725825,7.23245,26.04615,38.30355,15.714225
17.03055,23.90545,79.668525,226.7159,30.9241,7.239075,26.4147,38.698175,15.746975
