SPK_SPKC02a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a
0.029475,1.6301,0.002675,0.4972,0.0151
0.1927,1.63705,0.00955,0.5242,0.0734
0.21035,2.614875,0.03225,0.677925,0.1102
0.27685,3.4492,0.040725,0.691925,0.122875
0.28555,3.6833,0.066625,0.7014,0.14235
0.2905,4.3397,0.123325,1.075475,0.16315
0.291975,4.4645,0.1401,1.36865,0.207975
0.2938,4.556925,0.150775,1.63175,0.255275
0.299725,5.834325,0.165675,1.636925,0.27295
0.345975,8.301225,0.23275,1.64685,0.29765
0.358975,8.73245,0.25215,1.80785,0.312425
0.38395,8.9263,0.2621,1.82415,0.3483
0.39725,9.461175,0.274,1.84785,0.470525
0.427825,9.892075,0.2806,1.865775,0.501575
0.4797,9.961575,0.30085,2.074125,0.51385
0.650825,10.301475,0.3154,2.095125,0.515025
0.654825,10.961175,0.366075,2.138375,0.52515
0.663925,11.3415,0.51345,2.33875,0.535575
0.68135,11.37615,0.5292,2.352175,0.54995
0.7134,12.185525,0.534575,2.362425,0.655125
0.753325,13.311375,0.5442,2.390875,0.673025
0.84175,15.8813,0.549525,2.430725,0.725
0.8608,17.611775,0.5676,2.452875,0.761325
0.8784,17.65145,0.58335,2.501125,0.816275
0.879775,17.87605,0.704525,2.51415,0.8376
0.89105,18.30035,0.7143,2.613875,0.889075
0.900325,18.32695,0.722375,2.6387,1.07245
1.0323,18.9332,0.72865,2.794775,1.252925
1.129575,22.2931,0.7388,2.8384,1.33405
1.148525,22.349175,0.74605,2.858225,1.374075
1.163325,22.435475,0.75895,3.000475,1.457425
1.17865,23.659225,0.76695,3.0194,1.62775
1.19395,23.878525,0.772725,3.034275,1.62985
1.20285,24.893625,0.7772,3.090275,1.65605
1.212475,25.134925,0.8064,3.12505,1.836425
1.3119,25.342825,1.064125,3.19115,1.87135
1.324275,25.943725,1.3284,3.198875,1.8978
1.3322,27.67415,1.34415,3.208275,2.049475
1.35765,28.864225,1.36075,3.405275,2.09805
1.3923,28.913825,1.6441,3.439875,2.123525
1.3977,29.851875,1.650125,3.443275,2.1316
1.4554,30.19635,1.655,3.453875,2.145025
1.464525,30.52925,1.670375,3.49115,2.154625
1.490125,31.41305,1.6774,3.507975,2.171
1.523575,31.50135,1.69105,3.879625,2.228525
1.56405,32.481925,1.7126,3.8843,2.271225
1.592175,35.128875,1.741525,3.89695,2.319675
1.60275,35.687375,1.7453,3.89955,2.342725
1.613525,36.085525,1.8125,3.91125,2.362325
1.623925,36.1848,1.82945,3.919475,2.3861
1.638625,37.189725,1.835725,3.9479,2.410275
1.655675,37.190825,1.87145,4.00365,2.42525
1.67715,37.197525,1.8763,4.3526,2.4646
1.69935,37.29345,1.890725,4.35595,2.50895
1.76925,37.7678,1.896825,4.361725,2.528825
1.794075,38.73225,1.9064,4.3654,2.5489
1.817725,39.211425,2.114975,4.368075,2.59475
1.843775,39.62855,2.120575,4.378975,2.658925
1.856225,40.6304,2.1263,4.45735,2.737375
1.873475,41.84505,2.1414,4.464325,2.81215
1.9136,41.87005,2.1477,4.467,2.83295
1.985325,41.947325,2.155175,4.482325,2.955075
2.0102,42.284325,2.1617,4.5613,2.97725
2.0524,42.61835,2.287025,4.75655,2.993125
2.06235,43.2007,2.331225,4.871925,3.0149
2.075275,43.925125,2.480125,4.896175,3.0363
2.100675,44.7859,2.52395,4.987575,3.089425
2.1746,44.884025,2.530775,5.00905,3.11605
2.206975,45.184975,2.53505,5.137125,3.165125
2.269475,45.234125,2.54095,5.29595,3.21065
2.332125,46.075825,2.5455,5.313475,3.283525
2.36375,46.10035,2.5563,5.329525,3.35365
2.41775,46.1075,2.5678,5.345675,3.384375
2.44645,46.351225,2.583775,5.488975,3.428
2.506875,46.4483,2.604125,5.509475,3.441675
2.544075,47.45115,2.649275,5.520125,3.46575
2.5883,48.57095,2.74065,5.526875,3.48545
2.594625,48.865575,2.756675,5.55335,3.498375
2.657675,50.303225,2.8257,5.585925,3.5092
2.684325,50.524475,2.896,5.653975,3.5239
2.740075,52.65825,2.9529,5.808125,3.5386
2.7549,53.134225,3.017075,5.814875,3.5896
2.7764,53.150625,3.45785,5.82605,3.62475
2.792275,54.9846,3.46215,5.83995,3.6684
2.8093,55.717475,3.476225,5.850325,3.8576
2.81045,56.9257,3.48355,5.874825,3.89115
2.816225,57.16725,3.495925,5.918075,3.9058
2.825225,57.251,3.5016,6.3548,3.92465
2.8478,57.283975,3.51105,6.55085,3.9268
2.8643,57.785175,3.517775,6.74125,3.939775
2.868475,57.805375,3.522125,6.750275,3.95355
2.87975,58.532725,3.527275,6.788525,3.9637
2.89215,59.059025,3.53485,6.8507,3.9803
2.89465,59.1241,3.544075,6.921375,4.01635
2.938025,59.4091,3.57375,6.955775,4.054325
2.9703,63.636325,3.578525,6.968225,4.0829
3.05395,68.60855,3.604825,7.298975,4.36365
3.0741,68.765475,3.61145,7.325775,4.379075
3.146625,70.8855,3.616825,7.389,4.450875
3.1778,71.145975,3.62135,7.4062,4.516125
3.24805,72.34515,3.629425,7.43175,4.6284
3.277925,72.91435,3.6321,7.44375,4.652375
3.325375,73.1852,3.6443,7.4498,4.716525
3.386,73.8443,3.65485,7.4584,4.746775
3.40985,73.865975,3.66695,7.4675,4.756025
3.411625,74.895175,3.674325,7.477575,4.7654
3.435975,76.202225,3.928475,7.517375,4.813475
3.452825,76.51885,3.93535,7.53785,4.870525
3.460775,76.88485,3.941825,7.618625,4.89995
3.47365,77.166375,3.951,7.75815,4.907175
3.489375,77.172775,3.954,7.761425,4.992
3.5073,77.283275,3.958125,7.770175,5.01095
3.515925,77.86375,3.96795,7.779475,5.023
3.54925,79.30145,3.975875,7.7898,5.040175
3.6589,79.5892,3.982125,7.792375,5.055
3.665075,80.373475,3.986475,7.7985,5.070625
3.6786,82.147875,3.990925,7.85895,5.080525
3.727475,82.154475,3.9973,7.8815,5.121125
3.79505,82.559925,4.007175,8.035525,5.135475
3.803075,82.56465,4.015425,8.0567,5.15605
3.8136,83.137725,4.02055,8.062675,5.1661
3.847875,83.179225,4.0351,8.097675,5.310175
3.895075,83.222475,4.056625,8.298575,5.47505
3.945075,83.53875,4.370825,8.3067,5.51995
4.075075,84.8397,4.372775,8.3143,5.555
4.14705,85.180925,4.374425,8.33155,5.59715
4.2029,85.880275,4.387275,8.34175,5.629775
4.2087,86.301675,4.397975,8.784,5.6831
4.251725,86.600125,4.406825,8.797425,5.732775
4.25485,86.6948,4.438125,8.806825,5.810375
4.28245,87.648475,4.4909,8.81535,5.825825
4.29595,87.9715,4.504475,8.82445,5.82885
4.29885,88.9017,4.512425,8.83125,5.8548
4.3161,90.5947,4.530925,8.85015,5.890575
4.345,92.12605,4.546475,8.86045,5.910525
4.36385,92.85235,4.571675,8.8824,5.931025
4.37095,93.72775,4.591375,9.111225,5.9625
4.42405,95.022225,4.598675,9.424375,5.981875
4.443975,95.724025,4.61285,9.4268,6.013925
4.489175,96.475775,4.62395,9.428925,6.0406
4.503825,96.5274,4.632075,9.557425,6.05055
4.50495,96.7774,4.6448,9.62705,6.05305
4.52885,98.832025,4.649175,9.75265,6.08425
4.55145,99.000975,4.6545,9.777075,6.14635
4.586875,99.857925,4.657625,9.815375,6.1636
4.60475,101.366875,4.664775,9.81915,6.176575
4.616325,101.73645,4.6753,9.8582,6.184
4.6467,101.819675,4.692825,9.88325,6.194225
4.670125,102.2698,4.705275,9.89185,6.2027
4.730525,103.31305,4.7189,9.9084,6.23225
4.7692,103.62005,4.744625,10.038225,6.24535
4.80375,105.630625,4.7732,10.056675,6.256125
4.836675,106.30595,4.77755,10.06975,6.270525
4.904175,108.064325,4.786375,10.227475,6.280875
4.9868,108.113475,4.80325,10.233975,6.28875
5.024375,108.123575,4.8131,10.247475,6.305725
5.03875,108.932075,4.8145,10.266975,6.313525
5.04935,108.95335,4.82845,10.31495,6.34135
5.084475,109.59895,4.834425,10.32705,6.348075
5.091775,109.617025,4.862675,10.341625,6.366
5.099525,109.74915,4.882975,10.378025,6.3762
5.114,109.999625,4.91105,10.403175,6.394825
5.125675,111.716525,4.92905,10.4664,6.41165
5.1628,113.16725,4.9402,10.6783,6.439
5.169475,114.3855,4.952775,10.683,6.47605
5.227425,115.126125,5.0221,10.68845,6.52465
5.255625,115.13565,5.027175,10.69595,6.563975
5.303875,117.4668,5.040625,10.704575,6.613575
5.349075,117.8821,5.04595,10.72955,6.62
5.350475,119.312275,5.0508,10.750775,6.640875
5.4086,119.80035,5.055275,10.785375,6.7269
5.467425,120.9984,5.0616,10.81595,6.753275
5.5311,121.15115,5.0655,10.851175,6.772125
5.594675,121.497225,5.0741,10.939725,6.808325
5.648225,121.8838,5.081025,10.95055,6.850375
5.6981,122.34675,5.0856,10.9549,6.938825
5.6999,122.347975,5.140525,10.96095,6.965425
5.727225,122.36095,5.150125,10.98695,6.984375
5.73565,122.773225,5.1581,11.00925,7.1643
5.74295,123.4921,5.172825,11.048275,7.242875
5.76085,124.208525,5.188,11.12745,7.249125
5.7627,124.332025,5.289275,11.1772,7.2802
5.7782,125.3946,5.303375,11.242125,7.297925
5.8286,125.540525,5.336525,11.275325,7.385525
5.844175,126.2824,5.356925,11.290125,7.397225
5.8587,126.645625,5.364875,11.50185,7.468425
5.8883,126.681,5.38785,11.53335,7.62475
5.91275,127.78695,5.59155,11.55165,7.740625
5.925225,127.826975,5.6022,11.60375,7.7594
5.92865,127.847625,5.606875,11.620975,7.78495
5.9465,129.73415,5.613975,11.65075,7.795125
5.996125,130.045325,5.61985,11.664025,7.8057
6.08105,130.552875,5.6281,11.705525,7.808225
6.092175,130.87635,5.65785,12.127175,7.81815
6.1555,130.881775,5.668625,12.136975,7.83095
6.205675,130.8936,5.6725,12.1549,7.84685
6.2923,131.690325,5.689125,12.16085,7.855725
6.32935,132.2169,5.691775,12.165975,7.875275
6.337625,132.760675,5.69815,12.19575,8.029775
6.3544,133.523575,5.71975,12.436875,8.0508
6.377975,133.9204,5.7561,12.904475,8.07505
6.39675,135.013575,5.768625,12.9114,8.098225
6.40725,135.409475,5.86155,12.91635,8.11305
6.436625,137.102625,5.879675,12.918875,8.2924
6.4671,137.472125,5.883725,12.922575,8.29995
6.5211,138.0158,5.8878,12.926925,8.305625
6.5727,140.16865,5.895225,12.932725,8.3191
6.61015,140.398525,5.899225,12.941675,8.331475
6.61755,140.66635,5.903825,12.9448,8.344375
6.65105,140.742475,5.91205,12.95045,8.3561
6.695775,141.92275,5.922775,13.30425,8.36395
6.716075,142.80025,5.932075,13.307325,8.383175
6.745125,143.044775,5.937325,13.311225,8.39965
6.75625,143.288075,5.945575,14.24655,8.4216
6.776525,143.3752,5.949975,14.2512,8.42915
6.833725,144.41605,5.953975,14.25605,8.439275
6.9962,144.781925,5.964825,14.260825,8.447275
7.125,147.599,5.968475,14.281175,8.45325
7.162425,147.655,5.971475,14.290375,8.45905
7.16795,148.3151,5.982175,14.314675,8.495625
7.1987,148.8064,5.984575,14.357,8.504
7.235175,148.82475,5.99105,14.367975,8.510625
7.2567,148.91185,5.998775,14.406375,8.51805
7.25855,150.583375,6.0064,14.42965,8.52905
7.29035,150.670125,6.01185,14.440725,8.5481
7.365875,151.070225,6.021875,14.4548,8.5735
7.388675,151.6649,6.028025,14.466325,8.75345
7.49555,152.04625,6.042375,14.5646,8.779225
7.508325,152.614675,6.05035,14.5723,8.796475
7.511675,153.2988,6.05635,14.5854,8.81755
7.526125,153.853225,6.059975,14.61025,8.825625
7.545325,154.57185,6.0705,14.62185,8.8373
7.681,154.88825,6.079775,14.626475,8.8512
7.707825,154.92855,6.08715,14.644425,8.863625
7.7401,154.97165,6.10545,14.799925,8.882175
7.744425,155.457675,6.1188,14.988975,8.9242
7.7598,155.64055,6.14665,15.005675,8.952
7.781975,156.842625,6.1674,15.014525,8.975325
7.7909,156.93615,6.1798,15.0213,8.993175
7.813975,157.0116,6.18675,15.0254,9.055125
7.8287,157.1687,6.200875,15.035825,9.1111
7.85555,157.268775,6.207675,15.056525,9.1473
7.891675,157.413225,6.2158,15.390375,9.179275
7.9125,158.032875,6.228475,15.4083,9.418625
7.915675,159.415425,6.247375,15.42605,9.42535
7.95525,159.709325,6.278025,15.437925,9.4322
7.968125,159.8123,6.29165,15.4837,9.4334
