SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
300.134975,301.497025,300.0044,300.056975,300.0179,300.061425
300.1688,302.9218,300.0343,300.07255,300.1382,300.102275
300.338875,305.14035,300.066225,300.09365,300.178875,300.15585
300.405025,307.1052,300.083925,300.109475,300.205475,300.460375
300.4455,307.4139,300.145825,300.13345,300.22505,300.578925
300.469675,312.5048,300.181875,300.163525,300.2387,301.0032
301.00285,312.58865,300.204075,300.196175,300.262125,301.014175
301.047475,315.087325,300.22735,300.21975,300.341825,301.435675
301.070375,316.11745,300.25095,300.24265,300.37195,301.574875
301.341075,317.27,300.275625,300.260375,300.445175,301.66585
301.4043,318.458825,300.297325,300.28985,300.483825,301.671975
301.4429,321.983775,300.3178,300.459825,300.6545,301.685675
301.462475,322.1336,300.333475,300.47645,300.7118,301.953075
301.4923,322.9061,300.3444,300.486975,300.7646,302.0131
301.7112,324.17975,300.361675,300.495175,300.843575,302.0491
301.72715,324.870225,300.38695,300.503975,300.9656,302.46435
301.8643,325.081825,300.405725,300.5271,300.973675,302.47275
301.898575,327.8742,300.419225,300.572425,300.97845,302.50015
302.009325,329.1985,300.4747,300.5824,301.096225,302.721325
302.10385,329.6374,300.53,300.589675,301.12315,302.790875
302.138325,329.955475,300.558625,300.62095,301.3406,302.80865
302.47915,333.107075,300.5932,300.6371,301.3811,303.335275
302.53675,336.2991,300.616125,300.64735,301.4115,303.712225
302.569475,336.795975,300.6412,300.649475,301.441825,303.77425
302.80095,336.901675,300.657975,300.6548,301.47595,304.0889
303.30305,337.0658,300.67275,300.660475,301.547675,304.352875
303.4848,337.24965,300.697525,300.663975,301.6925,304.41485
303.85535,337.801925,300.721875,300.675275,301.7653,304.532725
304.3773,338.312825,300.72845,300.7068,302.035225,304.78615
304.490575,338.54375,300.757575,300.72285,302.10025,304.8006
304.610125,340.762175,300.796025,300.766125,302.204875,305.120825
304.767925,342.9081,300.832675,301.002975,302.253075,305.169
304.819525,343.2345,300.847675,301.0137,302.3086,305.3149
305.01685,343.314825,300.866375,301.041375,302.36775,305.36515
305.08775,346.396075,300.887575,301.048625,302.397175,305.701875
305.130625,348.347875,300.897,301.06005,302.417875,305.719325
305.1658,348.863125,300.901625,301.07095,302.451825,305.755125
305.430775,351.09935,300.9277,301.075275,302.485325,305.86615
305.4858,353.3674,300.954275,301.0877,302.5169,305.99095
305.717825,357.0889,300.983,301.1069,302.528925,306.272825
305.738175,357.299375,300.998025,301.1224,302.547,306.468175
305.74285,358.671175,301.011275,301.1332,302.611025,306.478275
305.79825,358.692,301.0273,301.152275,302.686625,306.50545
305.81615,359.537975,301.0409,301.164975,302.74495,306.555
306.136675,361.3952,301.055325,301.197075,302.818875,306.624775
306.154025,361.96925,301.0856,301.2064,302.828575,306.645675
306.213725,362.428575,301.111175,301.23255,302.83925,306.943
306.284725,362.440525,301.1423,301.24345,302.900875,307.127825
306.32005,363.0078,301.2411,301.250975,302.927275,307.17735
306.34055,364.1748,301.2889,301.259425,303.0951,307.213775
306.354125,365.847675,301.304425,301.267025,303.280375,307.2268
306.446225,368.793275,301.33655,301.2849,303.51515,307.24785
306.4576,369.061125,301.3633,301.334875,303.624775,307.265425
306.57795,372.7714,301.36485,301.354275,303.67285,307.328075
306.6995,374.054925,301.384675,301.40515,303.73405,307.42625
306.74445,374.833625,301.407175,301.444825,303.890025,307.45225
306.8083,375.785625,301.436225,301.47115,304.01595,307.473625
306.86735,380.82405,301.4563,301.492625,304.035125,307.552825
306.9277,386.9581,301.51155,301.52335,304.06125,307.575225
306.9665,388.102025,301.543825,301.575475,304.2098,307.689
306.9847,389.132675,301.554925,301.614325,304.499825,307.72465
307.12905,390.34645,301.589775,301.667225,304.52375,307.75585
307.13975,397.0324,301.60415,301.6692,304.544175,307.791275
307.955875,399.3379,301.62465,301.69125,304.82155,307.8244
308.001975,401.950925,301.64505,301.70175,305.012975,307.833775
308.017675,403.32145,301.65375,301.714175,305.01765,307.91125
308.035975,403.403525,301.66685,301.729225,305.1278,307.97765
308.183775,403.870975,301.696975,301.742125,305.16555,308.02825
308.230525,405.9168,301.7149,301.75175,305.381675,308.057225
308.571575,407.6498,301.755825,301.760625,305.5426,308.06865
308.808675,410.0066,301.7773,301.7806,305.55535,308.148975
308.8852,410.213975,301.804725,301.802975,305.665275,308.157075
308.964875,414.114975,301.8259,301.89285,305.67725,308.210975
308.98645,414.21765,301.833025,301.919225,305.80985,308.2165
309.140175,414.9016,301.871225,301.967375,305.815725,308.253675
309.172425,415.395125,301.89795,301.97135,305.944075,308.338875
309.4752,415.403775,301.905925,301.9837,306.113875,308.3557
309.743075,415.73805,301.940175,302.004775,306.127275,308.387825
310.0371,419.4389,301.9975,302.033825,306.141925,308.5663
310.109275,420.3376,302.031925,302.074225,306.1505,308.621225
310.440175,420.572425,302.068375,302.10235,306.299725,308.6733
310.4632,420.5981,302.109575,302.1119,306.31195,308.96765
310.676025,422.047675,302.13425,302.1181,306.320575,309.157475
310.9304,422.565875,302.155325,302.125225,306.40795,309.192125
311.10225,422.824075,302.181525,302.13385,306.4161,309.21815
311.32695,422.893625,302.21765,302.144125,306.483675,309.389575
311.5446,423.220175,302.23745,302.1514,306.492625,309.5295
311.698325,423.309325,302.2745,302.176025,306.644025,310.224475
311.8104,423.510475,302.291,302.180075,306.6936,310.453575
312.057175,423.842875,302.31305,302.182025,306.792,310.5936
312.4578,423.858575,302.331525,302.1889,306.9285,310.6285
312.504125,425.798675,302.352,302.207,306.96695,310.66395
312.528925,427.417875,302.370175,302.220075,306.98695,310.67475
312.589125,427.78635,302.380575,302.440475,306.9949,310.760725
312.6781,428.5941,302.389525,302.5256,307.080925,310.975375
312.7356,431.180025,302.41145,302.565775,307.095725,311.102925
312.8588,436.187525,302.4356,302.63945,307.1032,311.309125
313.02895,436.5822,302.472475,302.65995,307.11285,311.48805
313.234225,438.9423,302.5059,302.6641,307.139075,311.7449
313.429475,440.50445,302.54915,302.697625,307.146225,311.7537
313.4855,442.86615,302.582575,302.72065,307.17025,311.7721
313.604775,444.60765,302.597275,302.753825,307.252125,311.7996
313.6445,445.563025,302.613025,302.777525,307.302625,311.806125
313.8807,452.579375,302.617875,302.797075,307.315425,311.9674
314.014075,455.091175,302.6612,302.811925,307.399875,312.4829
314.1135,456.7423,302.6639,302.824575,307.543925,312.52225
314.286,460.80605,302.7036,302.8325,307.668125,312.533925
314.327125,464.90195,302.76165,302.8457,307.69385,312.581425
314.39755,465.981875,302.781425,302.892775,307.7206,312.60515
314.47535,469.98325,302.805525,303.003675,307.7421,312.6186
314.545675,473.8768,302.88655,303.34015,308.1322,312.621925
314.645775,473.96365,302.904675,303.405125,308.2496,312.66245
314.835425,477.08965,302.945225,303.5983,308.37055,312.673775
314.861475,477.8035,302.9761,303.642325,308.627975,312.69675
314.928175,478.564025,302.993725,303.665625,308.7961,312.83375
314.98615,488.874825,303.02135,303.68195,308.8624,313.083475
315.7163,489.3852,303.05425,303.72405,308.930925,313.091275
315.734725,489.45135,303.090675,303.73385,308.98205,313.473575
315.75805,489.990325,303.138425,303.749825,309.09515,313.570175
315.778625,490.10105,303.17255,303.7805,309.304075,313.76495
315.7898,490.5137,303.206025,303.867425,309.5009,313.815175
315.840175,492.088075,303.239225,303.889625,309.56165,313.875925
315.92075,494.57555,303.265775,303.911925,309.69985,314.10825
316.090025,494.74525,303.286875,303.945175,309.743725,314.291125
316.10195,494.8058,303.314575,303.962625,309.790425,314.309975
316.11665,499.266675,303.3326,303.977575,309.806125,314.84265
316.313,500.55635,303.39035,304.030875,309.8171,314.866075
316.374025,503.11725,303.433625,304.0473,309.838825,315.145675
