SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC08a
200.074725,200.032875,200.174175,200.000025
200.4027,200.049025,200.407125,200.008275
200.51575,200.141375,200.42115,200.020125
200.563325,200.36195,200.4362,200.037
201.27805,200.367725,200.45085,200.050325
201.500425,200.4685,200.462,200.0813
202.429625,200.87035,200.475625,200.110525
202.533325,201.126275,200.492975,200.190825
202.613125,201.1635,200.547625,200.232925
202.88705,201.1873,200.57855,200.336
203.2045,201.239675,200.7725,200.35645
203.8196,201.30725,200.958325,200.371975
203.894925,201.3126,201.000975,200.39275
204.485875,201.43805,201.114775,200.4049
205.313,201.494525,201.184225,200.4251
205.673325,201.6242,201.2178,200.4342
205.7414,201.653425,201.2561,200.444275
205.985375,201.676825,201.282775,200.4524
206.026875,201.692575,201.3163,200.461125
206.041,201.7461,201.382275,200.486725
206.0739,201.95515,201.42425,200.497075
206.09995,202.126875,201.457975,200.50295
206.606875,202.131825,201.477475,200.51265
206.9481,202.209925,201.614975,200.538025
208.077225,202.23225,201.634525,200.5779
208.247275,202.2669,201.6521,200.609375
208.363975,202.344,201.667575,200.624775
209.064275,202.351525,201.72865,200.67815
209.1358,202.46605,201.769875,200.698825
209.979825,202.508975,201.916075,200.715825
210.031525,202.5621,201.9274,200.73565
210.3046,202.799125,201.94065,200.751025
210.38965,202.822325,202.134375,200.7619
210.500425,202.8511,202.161925,200.777475
210.655625,203.07545,202.168075,200.905925
211.575225,203.230475,202.2162,200.9219
211.904325,203.27505,202.281675,200.94075
212.0055,203.3143,202.300125,200.9485
212.046625,203.340275,202.3225,200.956725
213.13135,203.40665,202.340775,200.9642
213.58775,203.41225,202.368025,200.968475
213.981425,203.502675,202.41555,201.022675
214.362025,203.7215,202.451675,201.07255
214.400625,203.8071,202.47505,201.106125
214.723175,203.8118,202.491675,201.1434
215.035575,203.842125,202.51405,201.1593
216.575825,203.9512,202.532525,201.174325
217.340075,203.99185,202.562325,201.178575
217.488475,204.231025,202.595125,201.1934
217.675425,204.236875,202.611625,201.20275
218.0483,204.31835,202.632575,201.224675
218.053075,204.4287,202.66065,201.2417
219.0752,204.508825,202.684925,201.254475
220.1712,204.589025,202.686475,201.264025
220.649675,204.603,202.70725,201.283875
220.8075,204.817375,202.75095,201.298925
221.137275,204.829525,202.83395,201.33765
221.139975,204.837975,202.856175,201.370625
221.16595,204.87535,202.870425,201.371675
221.8218,204.95735,202.9418,201.439175
221.917475,205.104825,202.966875,201.45835
221.960575,205.28985,202.989375,201.471675
222.013275,205.3361,203.04885,201.4922
222.04235,205.35935,203.07665,201.514575
222.0998,205.38595,203.089425,201.525875
222.231925,205.54115,203.127975,201.6012
222.2999,205.590925,203.18595,201.6233
222.3966,205.622075,203.211275,201.634325
222.661025,205.8385,203.2411,201.6411
222.8581,205.879375,203.2527,201.6478
222.866725,205.9393,203.27345,201.653675
222.878625,205.9478,203.2884,201.66205
222.916175,205.998225,203.314225,201.668575
222.990725,206.26855,203.327275,201.715875
223.066225,206.375775,203.3521,201.7183
224.1611,206.389575,203.3684,201.72505
224.63965,206.4079,203.393775,201.741825
224.89425,206.51505,203.409225,201.7661
225.01805,206.628025,203.430975,201.8678
225.170975,206.8678,203.448375,201.9134
225.289925,206.882825,203.484475,201.931975
225.31085,206.8995,203.512325,201.93915
225.512125,206.9794,203.525325,201.9441
225.79765,207.20565,203.544625,201.94705
225.8766,207.4067,203.57465,201.95355
225.912975,207.532075,203.583975,201.9661
226.141525,207.6989,203.597675,201.9787
226.828025,207.844225,203.6065,201.996075
227.124925,207.852775,203.615075,202.025825
227.354575,207.862175,203.6243,202.1278
227.873975,207.89375,203.6554,202.139175
228.0794,207.918325,203.689325,202.14495
228.137975,207.9477,203.707425,202.1705
228.1964,208.0134,203.71395,202.177675
228.23865,208.028075,203.733625,202.187625
228.60555,208.0546,203.771375,202.1983
228.661625,208.2062,203.77655,202.213075
228.764525,208.22795,203.7994,202.24425
229.248675,208.298425,203.83625,202.2592
229.50895,208.482675,203.897325,202.26975
229.532725,208.524575,203.915175,202.274025
229.586775,208.61765,203.940575,202.295925
229.97015,208.687175,203.9679,202.304625
230.09745,208.702825,204.06005,202.319775
230.439625,208.78885,204.08365,202.3295
231.25525,208.80275,204.108425,202.35765
231.46595,208.9208,204.190675,202.373925
231.511075,208.9363,204.27695,202.40295
231.54345,208.966475,204.301175,202.429975
231.630725,209.011875,204.4329,202.47865
231.70275,209.083125,204.4952,202.49005
232.0696,209.19055,204.61055,202.5023
232.5272,209.254325,204.98125,202.50585
232.6234,209.307025,205.02595,202.513475
232.7109,209.4274,205.316475,202.525825
233.029375,209.4363,205.350325,202.54545
233.2803,209.460975,205.7249,202.5603
233.34205,209.556725,206.006,202.5636
233.748775,209.595625,206.04135,202.577075
234.212675,209.602,206.076275,202.5969
234.334025,209.6171,206.09245,202.60545
234.3694,209.6653,206.12795,202.612125
234.3972,209.6827,206.153,202.622475
234.41915,209.790975,206.1793,202.633075
234.458175,209.797875,206.200025,202.6524
234.655175,209.89555,206.21965,202.6612
234.7386,209.9161,206.368925,202.675325
234.891075,210.0014,206.39105,202.735825
235.00575,210.053825,206.43035,202.781075
235.0212,210.061675,206.482275,202.793075
235.204525,210.085625,206.60045,202.80895
235.419975,210.1485,206.7565,202.8194
235.588925,210.187075,206.870875,202.8222
235.823775,210.2375,206.895725,202.829625
236.010925,210.28635,206.934425,202.837525
236.43205,210.469025,208.0816,202.844425
236.865975,210.475375,208.192225,202.85465
237.3966,210.58985,208.24975,202.863225
237.7436,210.6838,208.268825,202.869625
237.8924,210.70305,208.2906,202.87715
237.98765,210.8699,208.3054,202.884
238.0372,210.890375,208.35225,202.893075
238.039975,210.93865,208.403325,202.900625
238.110025,210.980425,208.484725,202.9218
238.28625,211.228975,208.5836,202.952425
238.912025,211.29595,208.613,202.9738
238.95895,211.30355,208.6612,202.997925
239.0964,211.314225,208.700825,203.0145
239.216475,211.4021,208.715825,203.021025
239.24945,211.407575,208.749375,203.059375
239.62435,211.45565,208.780925,203.097775
239.8752,211.4608,208.90075,203.114675
240.85205,211.529575,208.923275,203.1269
241.156,211.587375,208.948125,203.141025
241.9958,211.598575,208.97865,203.15495
242.275375,211.76515,209.043975,203.19165
242.814875,211.7894,209.065,203.276725
242.873675,211.8568,209.088525,203.284975
243.026775,211.943475,209.1337,203.3327
243.3108,211.958875,209.162,203.35605
243.353675,212.108025,209.2143,203.3736
243.605275,212.138125,209.24685,203.3863
243.630025,212.386075,209.275375,203.395725
243.64925,212.4312,209.3367,203.399475
243.75785,212.61935,209.339325,203.405775
244.28745,212.732975,209.36095,203.415125
244.378125,212.77925,209.37765,203.423975
244.437125,212.792425,209.396925,203.436625
244.479375,212.856,209.41115,203.448875
244.6426,212.87985,209.434475,203.46275
244.72875,213.0287,209.444325,203.4735
244.901825,213.06395,209.455375,203.475125
245.28225,213.1023,209.4603,203.488725
245.89435,213.142375,209.473225,203.497025
246.4413,213.1967,209.61885,203.5176
246.60655,213.2448,209.63945,203.527925
246.69155,213.305225,209.65545,203.565825
247.005575,213.434875,209.667275,203.57585
247.07005,213.5614,209.678,203.57745
247.104975,213.61315,209.705025,203.584325
247.12065,213.664,209.744375,203.59195
247.735725,213.692,209.7639,203.626025
247.918875,213.7123,209.79095,203.655225
248.7617,213.821775,209.9434,203.6902
249.006275,213.831625,209.96715,203.7018
249.218725,213.9482,209.988125,203.719925
249.304025,214.055875,210.0001,203.730775
249.408125,214.17865,210.011075,203.744125
249.438425,214.2136,210.02245,203.75745
250.054175,214.2541,210.040575,203.7711
250.4301,214.334875,210.05375,203.8194
250.447525,214.3572,210.068375,203.847325
250.6403,214.3935,210.07495,203.96895
251.071475,214.4616,210.095325,204.0042
251.124725,214.597575,210.113925,204.028025
251.59265,214.653875,210.123675,204.04725
