SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC06a,SPK_SPKC09a,SPK_SPKC13a
400.0699,402.5963,400.0924,400.002725,400.054325
400.2874,402.8466,400.131475,400.05195,400.158475
400.383025,404.496275,400.224025,400.2658,400.2893
400.4282,404.6574,400.438075,400.309975,400.312975
400.431675,406.32535,400.49165,400.368125,400.32055
400.4617,406.50865,400.536475,400.38385,400.37775
400.4778,407.761075,400.5588,400.40825,401.32685
400.495275,408.993,400.602725,400.464925,402.717975
400.6518,409.55105,400.659025,400.507575,402.812625
400.687325,409.734675,400.860075,400.5576,403.0517
401.00345,410.303625,400.977275,400.63425,403.56745
401.01875,410.473275,401.116925,400.82925,405.237875
401.084425,411.442125,401.277075,400.93355,405.93675
401.139975,411.513225,401.3419,401.151675,406.00315
401.170525,413.701275,401.389375,401.2494,406.135075
401.320725,414.430325,401.4835,401.303975,406.68045
401.485275,414.44975,401.52335,401.34345,406.7254
401.54695,414.471775,401.578875,401.461125,406.7426
401.651,414.52305,401.702475,401.57195,406.804825
401.92415,415.504075,401.75165,401.605875,406.8859
402.2054,416.47875,401.778375,401.7772,406.9571
402.4866,416.590575,401.798975,402.2783,407.031425
402.536975,418.02985,401.89685,402.32885,407.0823
402.824675,418.1074,401.940375,402.399475,407.19945
403.116325,418.41655,401.974325,402.5262,408.138075
403.20165,419.327675,402.01435,402.675275,408.26295
403.418975,419.3854,402.05495,402.7145,408.43115
403.462325,421.6912,402.115575,402.750225,408.705375
403.6032,423.316075,402.20775,402.88175,408.72205
403.646575,423.487875,402.492575,402.947875,408.937025
403.73275,424.296125,402.659625,402.95305,409.10165
403.7723,426.01205,402.708125,403.5219,409.29025
404.112,426.30515,402.788475,403.545525,409.4108
404.1729,426.307475,402.869675,403.57355,409.693025
404.190425,426.389375,402.911675,403.590425,410.354325
404.29405,426.6223,403.045425,403.72115,410.4117
404.36815,427.5808,403.22975,404.0666,410.4958
404.8749,427.967225,403.278825,404.148975,410.598975
404.97855,428.30875,403.681775,404.183975,410.679325
405.000525,433.225675,403.8011,404.332225,411.661525
405.0744,433.35605,403.8916,404.4491,411.709275
405.62425,433.4162,403.89315,405.0518,411.971775
405.78645,434.468875,403.9358,405.5713,411.984025
405.90555,436.343475,404.3079,405.8243,412.161575
405.95345,437.89775,404.358125,405.8409,412.22735
406.04875,438.608725,404.43135,405.858425,412.3033
