SPK_SPKC01a,SPK_SPKC09a
0.02295,0.04875
0.121975,0.0803
0.146325,0.11515
0.2008,0.18425
0.270275,0.2367
0.320225,0.27525
0.36835,0.3399
0.467275,0.381475
0.49165,0.41685
0.52755,0.474375
0.641525,0.500025
0.7578,0.597675
0.791775,0.667225
0.866975,0.699875
0.868275,0.7321
0.90785,0.789975
0.9804,0.8302
1.223725,0.883525
1.3166,0.93405
1.385875,0.9891
1.49795,1.0483
1.604675,1.1386
1.6648,1.20925
1.78865,1.2289
1.837375,1.264675
1.956075,1.312525
2.130075,1.37375
2.342725,1.41825
2.52715,1.458725
2.72925,1.508075
2.8894,1.5504
2.93755,1.60845
2.98515,1.61565
3.038975,1.62075
3.1343,1.6607
3.137225,1.682275
3.51725,1.738475
3.6061,1.769775
3.726725,1.800675
3.830125,1.81745
3.89065,1.835575
4.07865,1.8649
4.1873,1.8914
4.21975,1.92325
4.2418,1.935175
4.41495,1.959025
4.52555,1.971975
4.5447,2.002975
4.6898,2.023475
4.90555,2.05
5.0957,2.076875
5.16675,2.093275
5.193225,2.116275
5.1985,2.13645
5.2169,2.149075
5.234475,2.15385
5.245275,2.1666
5.247275,2.19135
5.33045,2.218125
5.389725,2.259825
5.41745,2.273375
5.4463,2.302725
5.4884,2.368525
5.4949,2.4091
5.53205,2.437275
5.555675,2.459
5.5926,2.493925
5.605675,2.5392
5.726,2.573025
5.8371,2.588775
5.85435,2.615975
5.893,2.691125
5.903075,2.6978
5.912675,2.74685
5.9243,2.7669
5.9633,2.781325
6.00275,2.78735
6.01955,2.795025
6.080475,2.80545
6.174775,2.816175
6.281925,2.850075
6.37905,2.882975
6.425375,2.926225
6.53685,2.928725
6.5734,2.95195
6.597125,2.97395
6.64325,3.01015
6.77935,3.0336
6.87655,3.0626
6.925075,3.097725
7.036875,3.114625
7.0778,3.14275
7.197475,3.171225
7.216975,3.180775
7.25725,3.2648
7.3269,3.292925
7.41275,3.321175
7.4818,3.3537
7.652025,3.394575
7.707525,3.419575
7.76845,3.477725
7.924475,3.501825
8.114675,3.512375
8.1361,3.535275
8.152025,3.557325
8.16235,3.58825
8.21935,3.64165
8.288325,3.660775
8.3166,3.682075
8.36485,3.7003
8.376225,3.70575
8.40115,3.71165
8.415525,3.720625
8.42215,3.734875
8.43375,3.74615
8.445725,3.76285
8.487275,3.772775
8.507,3.7856
8.5866,3.816175
8.603025,3.848775
8.71195,3.873425
8.803825,3.93545
8.831075,3.951675
8.8639,3.970375
8.90145,3.974775
8.91705,3.995825
8.925775,4.01685
8.9309,4.038625
8.93795,4.070425
8.951375,4.087175
8.9603,4.129575
8.969825,4.192
9.00175,4.23265
9.032275,4.272475
9.04025,4.320425
9.0575,4.378925
9.0684,4.414075
9.299575,4.463275
9.422475,4.49175
9.4977,4.548925
9.53075,4.603225
9.540125,4.6575
9.584225,4.681025
9.7975,4.715
9.842375,4.736725
9.857075,4.7648
9.8585,4.823925
9.91125,4.864225
9.913025,4.912025
9.9723,4.956825
9.98635,5.007775
10.00115,5.021475
10.011275,5.031375
10.013175,5.04815
10.040825,5.065575
10.077025,5.0814
10.09685,5.11185
10.104025,5.194525
10.111925,5.2079
10.134525,5.23095
10.234,5.24405
10.253425,5.266925
10.28655,5.29585
10.338675,5.323025
10.446325,5.35665
10.54305,5.392075
10.570425,5.421725
10.736925,5.46615
10.7476,5.47735
10.792975,5.50765
10.9031,5.531375
10.965025,5.553425
10.975275,5.597575
11.00965,5.6463
11.2399,5.68155
11.259925,5.7039
11.318075,5.7319
11.42865,5.7793
11.4404,5.82145
11.45255,5.841875
11.542,5.8668
11.67135,5.87795
11.768375,5.905275
11.777625,5.93565
11.81705,5.9915
12.0821,6.029675
12.119225,6.055775
12.31825,6.08465
12.46615,6.1057
12.48735,6.138925
12.54805,6.148825
12.699575,6.181725
12.8337,6.214875
12.970625,6.248475
12.98905,6.26105
13.0687,6.283675
13.218525,6.317075
13.3154,6.336625
13.346975,6.363975
13.382825,6.390875
13.5386,6.433775
13.61615,6.47355
13.68775,6.5402
14.015125,6.565275
14.2241,6.5843
14.261075,6.605975
14.285125,6.626075
14.286275,6.645325
14.34015,6.662175
14.362875,6.6793
14.3996,6.6987
14.414625,6.70325
14.41855,6.720625
14.449,6.73945
14.463175,6.748725
14.49205,6.75345
14.5109,6.76
14.52725,6.77675
14.5534,6.79425
14.627675,6.814875
14.645825,6.9027
14.685875,6.923475
14.7163,6.985725
14.7263,7.040775
14.7327,7.07215
14.80655,7.103175
14.8395,7.1348
14.86535,7.1359
14.913075,7.179975
14.951975,7.2143
14.9758,7.249775
15.060075,7.26815
15.0685,7.30375
15.08635,7.33985
15.13475,7.36595
15.197575,7.391675
15.386275,7.4101
15.4366,7.461925
15.465925,7.51125
15.53155,7.537075
15.556675,7.5649
15.585125,7.618425
15.698925,7.651425
15.8031,7.6937
15.81635,7.74405
15.902875,7.778
15.951925,7.813825
15.95945,7.845025
15.995625,7.866175
16.002025,7.907025
16.045525,7.926925
16.6711,7.9497
16.900025,7.97955
17.03595,8.014525
17.133975,8.036225
17.4805,8.063275
17.963025,8.091225
17.976775,8.1177
18.0436,8.14215
18.4543,8.1687
18.545325,8.202425
18.779075,8.248125
18.790925,8.289
18.82165,8.311025
18.851175,8.33725
19.187275,8.353975
19.292975,8.430625
20.4068,8.457475
20.725225,8.4881
21.282675,8.495425
21.73345,8.50915
21.885,8.52505
22.13575,8.543775
22.279625,8.55685
22.312625,8.5731
22.358925,8.590325
22.50725,8.598925
22.73815,8.6165
22.810175,8.63425
22.914075,8.661325
23.04525,8.70935
24.36125,8.7254
24.717975,8.7545
25.165825,8.77965
25.56865,8.795725
25.83945,8.809725
26.432125,8.8225
26.471825,8.837025
26.645875,8.868625
27.023175,8.91185
27.046775,8.9275
27.06195,8.941125
27.084525,8.9681
27.11975,9.0208
27.161375,9.063775
27.188075,9.07995
27.236375,9.1228
27.268925,9.158825
27.2951,9.19485
27.3095,9.225475
27.323625,9.2356
27.33215,9.25025
27.4931,9.2639
27.5208,9.28065
27.5477,9.295225
27.560525,9.3092
27.6177,9.33005
27.620975,9.34825
27.643825,9.3652
27.6784,9.38635
27.691175,9.3993
27.711225,9.418675
27.72685,9.444925
27.74105,9.466925
27.75355,9.489925
27.76215,9.50515
27.777825,9.524675
27.796275,9.5349
27.806775,9.547825
27.84415,9.559575
27.866,9.5786
27.875575,9.6022
27.89855,9.624525
27.93835,9.6785
27.975,9.727425
27.993925,9.762575
28.02705,9.774175
28.03845,9.7818
28.071425,9.7911
28.094025,9.793625
28.230925,9.801425
28.491325,9.817375
28.494225,9.8449
28.51825,9.8598
28.52985,9.87895
28.5645,9.898525
28.5932,9.909075
28.627,9.92995
28.692825,9.9418
28.71465,9.9624
28.7506,9.983825
28.7717,10.011475
28.871625,10.032225
28.88815,10.068325
28.905525,10.085825
28.9347,10.101225
28.9584,10.1174
28.976025,10.140125
28.9866,10.159
29.021425,10.172575
29.0287,10.18425
29.080975,10.20765
29.088425,10.2269
29.095,10.23715
29.113575,10.259975
29.119025,10.277975
29.148575,10.29075
29.1732,10.309325
29.215425,10.3238
29.4355,10.33495
29.448325,10.347675
29.477375,10.376225
29.4988,10.38955
29.52195,10.40065
29.562025,10.419375
29.58545,10.4298
29.646175,10.4433
29.6957,10.454125
29.7217,10.470675
29.78595,10.49285
29.800825,10.515525
29.88585,10.536225
29.909375,10.608125
30.0132,10.628475
30.1372,10.64475
30.179525,10.66765
30.214025,10.678875
30.47045,10.68645
30.609775,10.6905
30.82955,10.697425
31.062,10.700575
31.1748,10.707925
31.20305,10.712675
31.221875,10.716525
31.251475,10.7224
31.25795,10.727725
31.269675,10.731975
31.291,10.743475
31.29935,10.750175
31.30205,10.7559
31.304325,10.768175
31.32415,10.77915
31.42925,10.7999
31.538075,10.813775
31.55745,10.83535
31.572475,10.8519
31.5903,10.86255
31.62215,10.869825
31.63005,10.878475
31.667475,10.883475
31.679575,10.88835
31.7104,10.90005
31.7478,10.90655
31.7582,10.9088
31.908325,10.924025
31.996575,10.927275
32.0139,10.933275
32.032,10.951875
32.128675,10.96905
32.16705,10.98215
32.1963,10.9943
32.259125,11.0133
32.419525,11.021625
32.60615,11.025075
32.719175,11.0302
32.80795,11.035575
32.86785,11.0427
32.886325,11.0522
32.983225,11.0674
33.02095,11.071325
33.0431,11.083125
33.0559,11.088675
33.086175,11.094875
33.119275,11.1019
33.138175,11.1071
33.150125,11.1372
33.167325,11.151125
33.1998,11.186375
33.317825,11.208775
33.341925,11.226925
33.477125,11.23335
33.539275,11.23485
33.5901,11.248275
33.624725,11.269825
33.685925,11.3002
33.904775,11.309
33.9174,11.316675
33.942875,11.3264
33.9902,11.3388
34.011475,11.35525
34.131875,11.38435
34.1459,11.3989
34.1554,11.41295
34.279675,11.42305
34.306725,11.432725
34.5991,11.4436
35.038325,11.467825
35.09425,11.484975
35.95775,11.501875
35.9946,11.510675
36.466525,11.52015
36.48655,11.53225
36.5081,11.53865
36.564575,11.545675
36.58575,11.552775
36.59385,11.5675
36.621975,11.574875
36.838825,11.601625
36.88175,11.649325
36.9559,11.6862
37.005,11.72005
37.008525,11.744875
37.01545,11.759075
37.03335,11.767925
37.0398,11.77725
37.048325,11.800775
37.05645,11.824
37.064075,11.826475
37.08405,11.843925
37.142425,11.858525
37.3279,11.870875
37.376,11.88085
37.9971,11.891825
38.611125,11.90135
38.909575,11.91345
39.14485,11.92225
39.23625,11.931425
39.437375,11.949725
39.96265,11.965675
40.24305,11.981575
40.32275,11.993175
40.502925,12.012
40.681725,12.038
41.024975,12.056875
41.065475,12.06655
41.122475,12.081275
41.2061,12.090675
41.3709,12.10805
41.417875,12.12615
41.55865,12.1554
41.6063,12.1567
41.8404,12.16495
41.901775,12.171125
41.9477,12.178
42.167875,12.18605
42.279325,12.1959
42.36785,12.2019
42.602075,12.2159
42.7862,12.221875
42.822375,12.2321
42.9662,12.246625
43.002975,12.266375
43.023725,12.27315
43.15025,12.28045
43.2091,12.2877
43.506325,12.295
43.556575,12.30325
43.62135,12.31385
43.975575,12.319475
44.2238,12.3272
44.296225,12.331725
44.635175,12.335
44.797975,12.3449
44.86075,12.35365
45.06155,12.3687
45.317325,12.37715
45.3734,12.3843
45.525025,12.391575
45.7603,12.399025
45.863275,12.413975
46.07215,12.44205
46.09655,12.470075
46.179075,12.47505
46.211775,12.496225
46.251175,12.5064
46.28675,12.53465
46.422075,12.542475
46.4717,12.554925
46.6134,12.5665
46.71975,12.57525
46.883325,12.59905
47.067875,12.620575
47.1911,12.642025
47.3958,12.69535
47.4994,12.737275
47.50275,12.7477
47.5856,12.7532
47.59745,12.7603
47.65345,12.7656
47.7381,12.7746
47.869475,12.7927
47.952425,12.80405
48.143775,12.82355
48.226125,12.841675
48.278775,12.856575
48.44905,12.889175
48.714525,12.89455
48.8401,12.908775
48.855175,12.92575
48.9051,12.939375
49.071225,12.97175
49.293225,12.977525
49.322725,13.03405
49.35015,13.056625
49.4202,13.07265
49.6461,13.0893
49.84435,13.0976
49.95825,13.114725
49.9936,13.12715
50.047425,13.1614
50.32755,13.23875
50.4752,13.266225
50.532175,13.273075
50.66915,13.281775
50.75755,13.294025
50.929575,13.301625
51.20265,13.306925
51.436275,13.31405
51.51535,13.315575
51.6721,13.320225
51.701025,13.327025
51.86665,13.34605
51.888025,13.36485
51.932625,13.386375
51.967375,13.397475
51.998025,13.405575
52.264975,13.409275
52.335275,13.412775
52.390175,13.422925
52.39125,13.42715
52.499925,13.430875
52.637225,13.433825
52.67695,13.43795
52.83015,13.4417
52.967075,13.457525
53.0358,13.461225
53.174375,13.466575
53.2028,13.477925
53.22455,13.491375
53.316175,13.496925
53.5832,13.504425
53.617875,13.5155
53.8893,13.523725
54.009175,13.5343
54.094225,13.5414
54.193,13.55745
54.398575,13.5742
54.43275,13.588025
54.5069,13.6008
54.574475,13.6138
54.6478,13.6213
54.65705,13.62725
55.028225,13.632325
55.0714,13.6377
55.1353,13.6423
55.295425,13.64995
55.3271,13.663925
55.36495,13.67975
55.483075,13.68215
55.55775,13.685
55.58025,13.68885
55.678125,13.69125
55.69095,13.694675
55.73445,13.70045
55.762975,13.712575
55.79515,13.71565
55.8033,13.7422
55.822425,13.752625
55.90585,13.7597
55.998525,13.774475
56.123275,13.784225
56.1744,13.793375
56.24825,13.8045
56.308825,13.814025
56.42865,13.82415
56.499375,13.835525
56.53165,13.840975
56.565125,13.84945
56.59115,13.865625
56.6019,13.8701
56.7283,13.871175
56.768775,13.87395
56.94165,13.883475
56.98495,13.904575
57.0333,13.907525
57.08865,13.91045
57.238625,13.91995
57.2906,13.92615
57.339625,13.93055
57.379725,13.93785
57.4262,13.9412
57.593875,13.95115
57.600675,13.95645
57.629,13.960925
57.703225,13.97215
57.777475,13.979275
57.8284,13.989125
57.852275,14.01385
58.002275,14.024575
58.079975,14.043325
58.1763,14.0789
58.190075,14.10435
58.2309,14.1575
58.275325,14.158925
58.33215,14.20965
58.385125,14.2346
58.4093,14.2451
58.452625,14.261625
58.508375,14.277275
58.5967,14.296075
58.63965,14.31235
58.7456,14.330975
58.795075,14.3429
58.85915,14.35205
58.9283,14.366575
58.945375,14.3766
59.01165,14.3942
59.05095,14.410875
59.0932,14.422925
59.120325,14.4312
59.161075,14.442875
59.20245,14.454275
59.215225,14.46485
59.238775,14.475425
59.297275,14.490225
59.34195,14.49655
59.5472,14.508325
59.644375,14.533175
59.695325,14.541725
59.78325,14.553925
59.9068,14.561225
59.9538,14.56845
59.972475,14.579875
59.98175,14.6111
60.019775,14.61945
60.087375,14.6246
60.217375,14.626325
60.2772,14.6352
60.328175,14.6424
60.362725,14.6462
60.379875,14.65145
60.3899,14.65745
60.4064,14.660625
60.497025,14.6655
60.5189,14.673175
60.536525,14.687975
60.555125,14.6938
60.5741,14.7096
60.619375,14.727
60.6581,14.741175
60.663725,14.7534
60.813925,14.798625
60.8519,14.82725
60.934475,14.9225
61.049825,15.10235
61.109675,15.18865
61.1312,15.266175
61.207225,15.321425
61.27935,15.365675
61.3451,15.39355
61.375325,15.41015
61.4147,15.443625
61.427675,15.465575
61.4667,15.4965
61.5571,15.509625
61.7364,15.522175
61.77765,15.53535
61.820375,15.548925
61.84885,15.576625
61.8656,15.60425
61.885625,15.664425
61.959575,15.691575
61.997075,15.71225
62.003775,15.76365
62.035,15.803375
62.052475,15.843075
62.134325,15.857175
62.15135,15.874775
62.15825,15.88595
62.177125,15.898
62.18795,15.908775
62.215325,15.918975
62.22125,15.927325
62.229725,15.938825
62.23655,15.956275
62.239325,15.99005
62.258625,16.131875
62.262675,16.207975
62.269075,16.241275
62.2745,16.2706
62.29395,16.310675
62.332525,16.331725
62.3464,16.359025
62.356975,16.383725
62.358975,16.396275
62.395425,16.414425
62.419225,16.426625
62.44795,16.4386
62.4632,16.46125
62.478025,16.483975
62.484325,16.511675
62.486625,16.527525
62.50405,16.5503
62.54615,16.55635
62.581,16.5854
62.6676,16.614375
62.7011,16.630075
62.725125,16.633825
62.753225,16.6591
62.808725,16.685775
62.858575,16.70645
62.892375,16.729125
62.918225,16.760075
62.965425,16.786075
62.987,16.82265
62.98975,16.857625
63.02105,16.885725
63.10635,16.91125
63.181575,16.936725
63.234025,16.96785
63.28865,16.9971
63.3133,17.05505
