SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC13a
300.001725,300.011075,300.014275,300.018175,300.050225,300.019025
300.027875,300.03645,300.026125,300.0326,300.157825,300.038975
300.046725,300.0497,300.048325,300.03785,300.405625,300.05635
300.05945,300.06475,300.0564,300.04245,300.482925,300.06935
300.073225,300.071325,300.0663,300.055425,300.5359,300.099475
300.089825,300.077675,300.076725,300.073175,300.80715,300.13795
300.102725,300.09,300.093625,300.09385,300.829125,300.197625
300.1232,300.100075,300.10645,300.1142,300.85675,300.2398
300.149025,300.114375,300.128325,300.131525,300.871475,300.298025
300.170925,300.1295,300.157625,300.1439,300.8873,300.375275
300.19405,300.146475,300.187925,300.17115,300.895975,300.41505
300.27875,300.174675,300.22795,300.181125,300.948675,300.464975
300.357625,300.19895,300.28025,300.19775,300.983425,300.50655
300.408625,300.23845,300.3123,300.2203,301.017775,300.529375
300.427225,300.275425,300.34925,300.276975,301.03315,300.605325
300.43765,300.325575,300.3871,300.36175,301.1788,300.6463
300.443675,300.378925,300.41125,300.382225,301.181975,300.749025
300.450625,300.4091,300.424275,300.3929,301.366525,300.8047
300.457675,300.42915,300.436475,300.399925,301.397625,300.836125
300.463725,300.44355,300.4471,300.409675,301.43835,300.847
300.46915,300.452025,300.45495,300.413125,301.509075,300.873875
300.475225,300.4586,300.467175,300.419025,301.523275,300.959575
300.481225,300.467475,300.474125,300.424125,301.543175,301.021225
300.4911,300.47365,300.49,300.431225,301.570125,301.075225
300.4999,300.48185,300.512675,300.439875,301.6111,301.09735
300.5119,300.487625,300.53525,300.446875,301.803675,301.107825
300.528225,300.4968,300.5575,300.4532,302.140875,301.202425
300.5468,300.50365,300.5729,300.463075,302.33395,301.2355
300.56295,300.5107,300.617575,300.496175,302.656225,301.2665
300.638325,300.518375,300.6657,300.5044,302.710375,301.30095
300.6927,300.52685,300.730575,300.521375,302.857675,301.352775
300.75745,300.538175,300.76675,300.556175,303.3336,301.396075
300.786575,300.547975,300.791075,300.568775,303.5433,301.494125
300.80935,300.560375,300.855025,300.590575,304.213925,301.536675
300.8255,300.5764,300.865475,300.614425,304.255025,301.5481
300.8521,300.59675,300.878225,300.630125,304.28775,301.5896
300.863875,300.645425,300.8927,300.6465,304.35055,301.616725
300.87135,300.7307,300.91585,300.663075,305.01605,301.640625
300.877275,300.77125,300.945175,300.707475,305.1223,301.72285
300.88435,300.807575,300.975775,300.73925,305.425975,301.73075
300.89655,300.831875,301.00405,300.77015,305.5225,301.760275
300.903325,300.841475,301.0335,300.7887,305.54545,301.7918
300.917825,300.8523,301.0808,300.81575,305.6663,302.076975
300.9314,300.862325,301.1161,300.822225,305.72365,302.130375
300.952375,300.876775,301.14355,300.834475,305.7285,302.3081
300.999775,300.885375,301.156775,300.842975,305.732075,302.355575
301.03835,300.8929,301.19525,300.84835,305.74095,302.416725
301.07405,300.8982,301.217575,300.8522,305.775625,302.5551
301.161275,300.9069,301.23845,300.8611,305.785175,302.6013
301.196175,300.91455,301.24645,300.865275,305.79865,302.611525
301.22525,300.925725,301.263275,300.8748,305.842325,302.646225
301.243375,300.93945,301.27905,300.88225,305.8771,302.66695
301.252575,300.9539,301.287125,300.90915,305.952525,302.7383
301.258275,300.987975,301.304725,300.925275,306.02345,302.79505
301.265975,301.0146,301.3186,300.93405,306.07125,302.845425
301.2738,301.03885,301.3445,300.962575,306.11255,302.88775
301.28025,301.06035,301.358875,301.122825,306.13425,302.9425
301.288575,301.09875,301.399725,301.1579,306.243575,302.9728
301.299,301.1284,301.425975,301.197375,306.2655,303.020625
301.31165,301.15365,301.45335,301.20955,306.289775,303.0764
301.32785,301.170875,301.474925,301.22115,306.327025,303.1155
301.357625,301.187375,301.493725,301.232125,306.3499,303.119975
301.422475,301.2033,301.5084,301.24425,306.4834,303.18985
301.454825,301.211625,301.5256,301.26065,306.5507,303.2581
301.4786,301.2251,301.53575,301.269775,306.566775,303.40035
301.49295,301.2381,301.54405,301.28845,306.63155,303.459825
301.5161,301.24795,301.56605,301.304875,306.6644,303.491975
