SPK_SPKC06c,SPK_SPKC08a,700.008825,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC15b
700.012575,700.018825,700.022675,700.0079,700.007925,700.000675,700.026075
700.01985,701.607875,700.2957,700.0497,700.0497,700.011675,700.04785
700.2495,702.546375,700.323725,700.06415,700.064175,700.014325,700.1062
700.272125,702.562375,700.35295,700.086625,700.086625,700.0191,700.1374
700.315125,702.58135,701.607875,700.160625,700.160625,700.1979,700.163825
700.347425,703.4851,702.304975,700.19635,700.19635,700.248325,700.167225
700.36665,704.149725,703.6108,700.217725,700.217725,700.27115,700.189125
700.38745,704.518925,704.1497,700.232225,700.232225,700.365625,700.19855
700.396375,705.36185,705.2517,700.24425,700.24425,700.43945,700.207175
700.40055,705.395525,705.2821,700.2569,700.256925,700.462925,700.2189
700.406375,705.667375,705.424775,700.2695,700.2695,700.707275,700.226375
700.440475,705.697875,705.678075,700.274875,700.284025,700.738925,700.241675
700.46365,705.89155,705.707625,700.284025,700.289225,700.825075,700.25495
700.508475,706.141425,707.324475,700.289225,700.2948,701.0767,700.2763
700.55515,706.5179,707.4853,700.291775,700.298475,701.2648,700.31775
700.5828,706.5377,707.996975,700.2948,700.3041,701.605875,700.31995
700.667775,706.662125,708.942075,700.298475,700.31035,701.87235,700.3397
700.74,707.634925,709.886575,700.304125,700.325275,701.8778,700.358775
700.756,707.8165,710.447575,700.31035,700.334875,702.02775,700.428325
700.826025,712.1685,710.5972,700.3154,700.34595,702.16675,700.463425
700.95635,714.55385,711.709975,700.321625,700.400725,702.18305,700.504925
700.9864,715.60775,714.1553,700.325275,700.43775,702.1949,700.5237
701.00675,718.572975,714.873425,700.329575,700.48285,702.27095,700.5353
701.021925,718.858175,715.870625,700.334875,700.5256,702.482675,700.5412
701.0267,719.382675,717.11385,700.34595,700.56835,702.542125,700.562425
701.05345,719.387025,717.280575,700.35315,700.588425,702.58005,700.59275
701.0778,719.396675,717.890475,700.3664,700.62605,702.846225,700.614675
701.089325,719.561225,718.654375,700.400725,700.6457,702.9015,700.64015
701.10725,720.1128,719.52605,700.437725,700.6601,702.9893,700.662075
701.1399,720.1413,720.76715,700.482825,700.673075,703.02435,700.68945
701.155425,720.3082,720.782975,700.525575,700.694025,703.05055,700.719325
701.1806,720.316475,721.341825,700.56835,700.704275,703.230725,700.806325
701.201525,720.32365,721.407175,700.588425,700.774725,703.4185,700.8704
701.2465,720.513725,721.472575,700.612675,700.79915,703.446875,700.887425
701.2712,720.767175,721.839625,700.62605,700.816325,703.487425,700.9153
701.608825,721.38825,721.8595,700.6457,700.8617,703.509475,700.928375
701.626125,724.48555,722.418725,700.660075,700.883875,703.52185,700.95005
701.647175,724.619475,722.4261,700.673075,700.934825,703.583375,700.9694
701.878775,726.55155,724.001025,700.694,700.958525,703.5955,701.026875
701.942625,726.676375,724.016825,700.7043,700.9813,703.638125,701.054725
701.967225,726.7133,724.539375,700.71175,701.010925,703.97715,701.0575
701.9874,726.8562,724.654425,700.724725,701.019925,704.188875,701.095825
702.0181,727.770275,725.982125,700.73355,701.04775,704.481,701.103375
702.0482,729.0931,726.845975,700.75,701.084325,704.520425,701.1553
702.1009,732.15925,727.683325,700.774725,701.12965,704.59715,701.1738
702.131725,732.50765,727.7392,700.799125,701.165575,704.60425,701.19775
702.167875,732.653175,730.413925,700.816325,701.191525,704.948575,701.238275
702.183825,733.282825,731.14195,700.861675,701.230025,704.973325,701.285175
702.19585,733.61165,731.206575,700.88385,701.2597,704.99005,701.3204
702.238975,733.64025,731.333725,700.903225,701.2876,705.009775,701.35875
702.272,735.2487,732.257075,700.934825,701.402725,705.069775,701.39225
702.29245,735.736075,732.607725,700.9585,701.4551,705.25345,701.4299
702.30565,735.74305,732.653175,700.981275,701.5054,705.37335,701.486725
702.344475,736.035425,733.439625,700.992975,701.528375,705.388075,701.502275
702.3831,738.726875,733.61165,701.010925,701.546025,705.4458,701.51645
702.395725,738.81445,733.69055,701.019925,701.556775,705.66755,701.529475
702.425925,739.01805,734.222175,701.04775,701.569175,706.0103,701.547475
702.4463,739.76245,735.654625,701.060425,701.58555,706.0725,701.5556
702.56575,739.827375,735.743025,701.084325,701.6043,706.1843,701.5588
702.653475,740.035,736.009175,701.110725,701.62405,706.25215,701.5951
702.856425,740.466225,737.7287,701.12965,701.65055,706.265725,701.625925
702.878025,745.1073,738.05905,701.165575,701.73605,706.28745,701.645375
702.902275,745.436525,738.755325,701.191525,701.859975,706.57385,701.693175
702.98995,746.9515,740.035025,701.230025,701.873725,706.5824,701.69725
703.051675,747.611725,742.11885,701.2597,701.88355,706.63475,701.737
703.214475,748.041375,744.736825,701.2876,701.9015,706.6531,701.7722
703.231275,748.06245,744.82665,701.402725,701.907175,706.694375,701.81875
703.238425,748.515475,745.8291,701.455075,701.923,706.760925,701.823925
703.257875,748.5714,746.0565,701.505375,701.92615,706.770675,701.862
703.3064,748.587425,746.946025,701.528375,701.9338,706.8558,701.865875
703.4075,748.96475,747.9306,701.546025,701.936875,707.05395,701.89045
703.42425,749.421875,748.291,701.556775,701.9457,707.257625,701.907325
