SPK_SPKC12a,SPK_SPKC13b
500.011125,500.00445
500.025725,500.05085
500.038375,500.0966
500.050875,500.191475
500.063175,500.208075
500.07605,500.2638
500.088825,500.397225
500.1093,500.4217
500.1222,500.496075
500.133175,500.918275
500.145725,500.942675
500.16215,500.9915
500.178925,501.1051
500.194925,501.1857
500.208125,501.225775
500.25445,501.249125
500.263825,501.28375
500.270925,501.310825
500.295,501.41735
500.30785,501.441525
500.32705,501.449925
500.329075,501.65105
500.342225,501.7273
500.35815,501.739975
500.36665,501.7469
500.384875,501.79725
500.4031,501.85785
500.4217,501.903325
500.441375,501.92985
500.4614,502.017475
500.488025,502.06225
500.498675,502.167
500.53765,502.374425
500.556325,502.3843
500.5742,502.495475
500.591175,502.5083
500.609875,502.537375
500.63325,502.64655
500.66045,502.667275
500.69785,502.7007
500.718125,502.7877
500.7429,502.81725
500.758275,502.832825
500.783575,502.863325
500.809125,502.885375
500.8323,502.907625
500.843325,502.938225
500.8781,502.959575
500.896275,502.9785
500.91835,503.126325
500.923375,503.1364
500.9427,503.14615
500.97845,503.20345
500.99625,503.292675
501.0163,503.31095
501.0377,503.314425
501.05555,503.32675
501.071525,503.33405
501.090925,503.3575
501.105125,503.444575
501.130475,503.5051
501.1644,503.55165
501.1783,503.592475
501.2034,503.70755
501.2258,503.745775
501.24915,503.805875
501.27265,503.83025
501.29795,503.843675
501.330625,503.871125
501.349525,503.892825
501.396575,503.951875
501.44995,503.958375
501.484175,504.17615
501.516475,504.2276
501.5374,504.349525
501.589475,504.389875
501.60435,504.5132
501.62425,504.53515
501.640725,504.5405
501.672475,504.598
501.693,504.640475
501.71715,504.6593
501.727325,504.7277
501.74695,504.74065
501.769225,504.7664
501.79725,504.87115
501.8235,504.90995
501.843375,504.953
501.874575,505.099325
501.900375,505.1724
501.929875,505.215
501.963,505.317425
502.0175,505.39485
502.0917,505.4092
502.105525,505.45175
502.122725,505.577325
502.1885,505.638925
502.2044,505.673175
502.217925,505.679525
502.232675,505.6973
502.24615,505.727825
502.268175,505.856
502.291875,505.871825
502.309125,505.94685
502.33245,505.96085
502.386325,506.051825
502.428175,506.0995
502.49675,506.116175
502.510525,506.28165
502.527175,506.319925
502.545375,506.342675
502.567025,506.367525
502.592575,506.50625
502.60115,506.658125
502.624375,506.678
502.6673,506.697825
502.681975,506.705175
502.700725,506.748725
502.72025,506.7649
502.742675,507.07055
502.76155,507.071925
502.796625,507.076375
502.838225,507.0914
502.847375,507.103775
502.86265,507.13825
502.8854,507.16375
502.916075,507.3844
502.93825,507.4079
502.952325,507.430075
502.983225,507.435225
503.0072,507.44825
503.0307,507.5411
503.069525,507.855025
503.089525,507.904725
503.10075,508.066275
503.1462,508.27145
503.1633,508.3098
503.178725,508.357375
503.212,508.369575
503.259975,508.441575
503.278325,508.447725
503.33405,508.45825
503.3465,508.460475
503.3575,508.465375
503.390575,508.55745
503.408725,508.6288
503.432875,508.683375
503.48975,508.691375
503.511825,508.7051
503.5318,508.71005
503.5482,508.9349
503.57815,508.944175
503.5978,508.9988
503.631525,509.2732
503.6485,509.3284
503.685925,509.332175
503.694775,509.34375
503.73215,509.44035
503.756025,509.515975
503.768,509.53745
503.78445,509.5699
503.812475,509.593275
503.830325,509.601775
503.8498,509.668325
503.90165,509.898275
503.9214,509.907525
503.936875,509.980125
503.9584,510.043975
503.987075,510.093475
504.00925,510.109075
504.02175,510.1727
504.042675,510.296325
504.06515,510.311125
504.08875,510.33495
504.13405,510.4781
504.177525,510.48435
504.1963,510.5468
504.21445,510.590775
504.2592,510.600975
504.28435,510.62185
504.3495,510.623575
504.373975,510.847275
504.389875,510.864325
504.41535,510.89345
504.4427,510.937275
504.456725,510.96965
504.477875,510.99265
504.497225,511.037325
504.545675,511.0563
504.562675,511.1318
504.569925,511.181925
504.584825,511.199725
504.59035,511.4158
504.598,511.54405
504.60025,511.56205
504.618575,511.572125
504.640525,511.60575
504.6606,511.682225
504.685025,511.7955
504.704,511.820825
504.720325,511.949875
504.7326,512.18205
504.733875,512.23165
504.763075,512.288825
504.766375,512.337475
504.7787,512.41655
504.799925,512.572275
504.86095,512.639275
504.876525,512.76295
504.900475,512.79855
504.98285,512.840425
505.0402,512.9376
505.068425,512.988175
505.111625,513.021525
505.117525,513.04205
505.12225,513.338525
505.13025,513.643075
505.136,513.72815
505.166525,513.755975
505.18015,513.775725
505.181375,513.987425
505.18765,514.005475
505.19465,514.05405
505.205025,514.14315
505.2206,514.18805
505.23995,514.362525
505.255425,514.384575
505.275925,514.435425
505.3213,514.451525
505.3481,514.46675
505.372375,514.579225
505.378525,514.764025
505.408275,514.7788
505.417175,514.785675
505.418275,514.877325
505.4234,514.8972
505.427375,514.9877
505.4429,515.00645
505.45185,515.013125
505.4581,515.04135
505.468275,515.0611
505.4919,515.08525
505.508475,515.086525
505.525025,515.0951
505.5449,515.2119
505.562425,515.24525
505.594825,515.28485
505.617525,515.3056
505.671975,515.310075
505.679525,515.330075
505.689625,515.348525
505.697325,515.3522
505.706025,515.398025
505.71135,515.412675
505.748725,515.414
505.767225,515.4208
505.78795,515.440725
505.801625,515.44915
505.827725,515.474475
505.856,515.4921
505.876675,515.528625
505.898425,515.535975
505.9006,515.547175
505.912075,515.563375
505.935375,515.576525
505.954425,515.58385
505.9631,515.59025
505.981575,515.62575
505.9969,515.64375
506.0152,515.65885
506.051875,515.667175
506.0739,515.6793
506.1315,515.68165
506.15475,515.70455
506.1674,515.723875
506.18075,515.7606
506.203925,515.7646
506.223775,515.776475
506.2437,515.8031
506.27805,515.807575
506.282975,515.850625
506.285225,515.8657
506.2948,515.8773
506.310525,515.887125
