SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
100.0165,100.001325,100.16735,100.002075,100.0008,100.151625,100.017325,100.1665
100.049525,100.033175,100.1845,100.051025,100.017125,100.191,100.038275,100.199575
100.073775,100.095725,100.202625,100.0585,100.051625,100.289475,100.058625,100.225175
100.104775,100.153375,100.2962,100.10525,100.0847,100.43685,100.081125,100.41845
100.123925,100.163175,100.3609,100.12295,100.106975,100.455125,100.104575,100.4471
100.185325,100.171375,100.437525,100.142375,100.1213,100.584125,100.115,100.46645
100.188675,100.1802,100.457375,100.150875,100.144275,100.68455,100.136375,100.532125
100.1974,100.215025,100.4788,100.161975,100.153175,100.811525,100.155825,100.656
100.2094,100.235075,100.4846,100.17675,100.172675,100.843,100.162925,100.666475
100.227075,100.26595,100.5103,100.191525,100.1819,101.05565,100.181575,100.676975
100.24555,100.270575,100.615075,100.232925,100.18485,101.13625,100.189475,100.70215
100.34905,100.297675,100.696475,100.242725,100.190925,101.8121,100.2048,100.727
100.368925,100.3126,100.72785,100.30385,100.195975,101.905825,100.218825,100.741525
100.391575,100.323625,100.757475,100.38125,100.203275,101.916875,100.235325,100.7511
100.420875,100.4033,100.80815,100.40465,100.211525,101.9844,100.262275,100.76985
100.4536,100.43465,100.844875,100.411975,100.2154,102.265125,100.297925,100.78555
100.462325,100.444675,100.86005,100.42945,100.225025,102.2792,100.3208,100.8071
100.484,100.451375,100.887725,100.4474,100.241525,102.336775,100.336075,100.8203
100.663475,100.455925,100.951425,100.45045,100.258275,102.3747,100.355025,100.84955
100.698925,100.46855,101.02725,100.458025,100.35255,102.606025,100.380375,100.878975
100.724175,100.4721,101.05405,100.544375,100.376075,102.62065,100.3996,101.019375
100.736925,100.47825,101.07655,100.610525,100.391375,102.70835,100.414175,101.0554
100.83965,100.48945,101.098425,100.629725,100.418825,102.79,100.417825,101.111225
100.87195,100.496225,101.11135,100.632775,100.429475,103.0162,100.434025,101.179675
100.90305,100.5042,101.128675,100.645375,100.440925,103.4139,100.44765,101.292525
100.951425,100.524025,101.1503,100.666825,100.457375,103.4624,100.45555,101.3462
100.974925,100.5408,101.2024,100.70065,100.489925,103.521525,100.46645,101.37515
101.007025,100.54395,101.2457,100.71385,100.511525,103.536075,100.476875,101.413475
101.031375,100.559725,101.289425,100.73695,100.53195,103.6223,100.49135,101.451625
101.046475,100.580275,101.34145,100.766675,100.5565,103.637,100.525625,101.4775
101.05425,100.6102,101.379025,100.780875,100.5781,103.717325,100.548675,101.58095
101.26635,100.63585,101.53315,100.814075,100.6008,103.818025,100.56995,101.594325
101.294725,100.651375,101.629975,100.8215,100.619525,103.954925,100.588275,101.630925
101.327525,100.684275,101.6449,100.839175,100.638125,104.25575,100.607375,101.6773
101.3597,100.692,101.67205,100.862,100.651575,104.27985,100.627675,101.7125
101.370625,100.706175,101.7256,100.882175,100.65785,104.37235,100.651975,101.781225
101.54995,100.713125,101.78265,100.9028,100.664875,104.440875,100.669175,101.8334
101.594025,100.746975,101.838775,100.931325,100.671725,104.660725,100.6788,101.8558
101.613025,100.7622,101.9064,100.9458,100.67955,104.818225,100.694675,101.932725
101.67985,100.77455,101.937225,100.947625,100.684575,105.071275,100.7061,101.970075
101.70585,100.787125,101.940025,100.97535,100.694375,105.2457,100.72115,101.994525
101.811825,100.794425,101.98945,101.01855,100.702875,105.30715,100.73935,102.035525
101.831575,100.810125,102.039575,101.026275,100.717875,105.3736,100.75295,102.05155
101.8619,100.826175,102.092975,101.047875,100.7305,105.431875,100.7678,102.07045
101.870825,100.8318,102.138575,101.053575,100.75015,105.75225,100.776925,102.07295
102.022275,100.846025,102.1649,101.05795,100.7623,105.83875,100.788525,102.107175
102.057875,100.85765,102.171275,101.070425,100.77995,106.010775,100.804925,102.135525
102.14775,100.87915,102.201625,101.07275,100.79295,106.086225,100.815025,102.15125
102.341475,100.888625,102.238875,101.1163,100.8126,106.14875,100.821375,102.19005
102.39755,100.895125,102.2875,101.1391,100.82185,106.222525,100.83,102.23235
102.519275,100.929225,102.33335,101.152075,100.837025,106.3351,100.8421,102.244375
102.53305,101.063025,102.3693,101.17185,100.8431,106.40705,100.853075,102.326075
102.704725,101.0691,102.41025,101.179825,100.84565,106.6065,100.8616,102.357
102.713475,101.07405,102.4468,101.1995,100.854075,106.698025,100.86835,102.3651
102.7404,101.081475,102.485575,101.233825,100.8644,106.722225,100.8866,102.372925
102.758925,101.087325,102.5319,101.258525,100.881625,106.79085,100.898475,102.415925
102.96195,101.099025,102.5631,101.278975,100.894625,106.805725,100.914875,102.4406
103.003225,101.1052,102.59245,101.28835,100.91515,106.84875,100.94385,102.4526
103.058425,101.128075,102.633675,101.31485,100.93895,106.8851,100.96945,102.45535
103.086975,101.141475,102.66635,101.3387,100.952875,106.955175,100.9934,102.510375
103.13535,101.14725,102.74695,101.399775,100.9728,107.1084,101.0069,102.511675
103.14885,101.168,102.80435,101.403525,101.008175,107.384,101.01535,102.546325
103.21045,101.17515,102.8402,101.493025,101.0412,107.530175,101.01955,102.5668
103.224525,101.18315,102.873975,101.519425,101.052025,107.56165,101.029375,102.58315
103.29875,101.188275,102.9094,101.554375,101.06465,107.77465,101.04355,102.6051
103.33795,101.226825,102.989625,101.5843,101.081575,107.834625,101.05725,102.626875
103.346975,101.240275,103.0683,101.6243,101.0885,107.983675,101.074575,102.653175
103.354825,101.2539,103.12455,101.635725,101.0969,108.016025,101.088675,102.702875
103.496625,101.268625,103.1582,101.70935,101.104075,108.114525,101.10955,102.7346
103.505975,101.275625,103.206375,101.7565,101.119,108.277225,101.13285,102.759025
103.516,101.30665,103.242175,101.810275,101.1362,108.315775,101.1518,102.789475
103.575075,101.344675,103.353025,101.847375,101.16975,108.46835,101.16935,102.826325
103.67425,101.37805,103.39455,101.86535,101.176375,108.5765,101.17335,102.8762
103.697625,101.37995,103.43165,101.884175,101.185525,108.6255,101.178725,102.904325
103.7122,101.3916,103.46435,101.89075,101.207475,108.69925,101.18935,102.9304
103.8617,101.39995,103.50875,101.923075,101.219075,108.71605,101.19775,102.96095
103.94415,101.407675,103.5448,101.9674,101.246525,108.843875,101.20335,102.99205
104.04495,101.415025,103.581025,101.97545,101.26045,108.999375,101.208325,102.995
104.092375,101.424925,103.6948,101.99635,101.2786,109.180725,101.220375,103.0214
104.113125,101.435,103.736525,102.0004,101.29105,109.23335,101.23865,103.099125
104.14645,101.472125,103.790775,102.019475,101.30375,109.3908,101.2522,103.1256
104.179425,101.4902,103.8228,102.035375,101.327175,109.612825,101.286125,103.15025
104.22625,101.497325,103.8739,102.05845,101.338125,109.983125,101.2948,103.1556
104.290225,101.5055,103.9049,102.06485,101.353275,110.029,101.3161,103.2064
104.32165,101.5129,103.954675,102.08115,101.37295,110.497325,101.327725,103.243225
104.3545,101.528575,103.982725,102.1071,101.39625,110.531925,101.334775,103.27575
104.468825,101.53435,104.02225,102.129075,101.423425,110.53885,101.34715,103.3007
104.567925,101.54325,104.0643,102.1614,101.436725,110.6047,101.368225,103.346025
104.578375,101.559275,104.25755,102.178675,101.463,110.773625,101.385475,103.37505
104.61075,101.56775,104.294925,102.198775,101.487175,110.801875,101.40175,103.392225
104.6232,101.577375,104.34315,102.223525,101.51015,110.955775,101.418825,103.411425
104.719875,101.584975,104.374775,102.24795,101.539575,111.1025,101.446325,103.432025
104.7335,101.600975,104.420125,102.2664,101.5599,111.6524,101.465525,103.44495
104.74355,101.62395,104.496525,102.294225,101.609675,111.6611,101.4689,103.454225
104.820725,101.651875,104.525,102.313175,101.63755,112.487275,101.487375,103.485925
104.83115,101.65935,104.62265,102.352975,101.665725,112.501675,101.50205,103.521175
104.845625,101.671075,104.667975,102.369625,101.683325,112.586575,101.51735,103.572125
104.895525,101.6873,104.726075,102.393025,101.699075,112.864775,101.529675,103.599875
104.94315,101.69705,104.774975,102.435825,101.727875,112.940625,101.5467,103.615075
104.9964,101.716825,104.8232,102.455925,101.7392,112.962975,101.576025,103.636775
105.0638,101.7302,104.899875,102.489825,101.7952,113.17985,101.59485,103.66785
105.1014,101.749525,104.966875,102.521325,101.81205,113.649225,101.61055,103.709
105.12925,101.757025,105.01135,102.534075,101.842825,113.783125,101.627625,103.7316
105.193825,101.77745,105.055875,102.564675,101.876775,113.878075,101.645775,103.749475
105.219125,101.789775,105.11535,102.590225,101.8981,114.0408,101.6701,103.7685
105.30105,101.798875,105.16115,102.62445,101.91685,114.12915,101.69035,103.7961
105.31235,101.8427,105.2008,102.643225,101.9465,114.2679,101.709575,103.81725
105.325725,101.85065,105.251425,102.646725,101.97075,114.45975,101.725475,103.8496
105.361975,101.87985,105.309175,102.697825,101.99395,114.48825,101.73835,103.86885
105.46405,101.890075,105.36335,102.743625,102.009375,114.8114,101.758075,103.89745
105.47585,101.900425,105.43025,102.768225,102.0527,115.11805,101.79965,103.92885
105.48715,101.910275,105.471175,102.80265,102.07275,115.175475,101.813425,103.999625
