SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
200.043825,200.036575,200.016325,200.207575,200.1604,200.3101,200.002475
200.2119,200.2223,200.03105,200.9668,200.23685,200.493325,200.03605
200.292575,200.339325,200.04925,201.1853,200.23895,200.79025,200.05885
200.43945,200.484525,200.0609,201.558525,200.3355,201.065475,200.08065
200.53725,200.663675,200.092875,202.05075,200.65345,201.111075,200.111125
200.5403,201.097575,200.1155,202.19225,201.115325,201.1252,200.1337
200.54425,201.234175,200.14805,202.719425,201.149825,201.250075,200.1544
200.737725,201.238525,200.167425,202.788675,201.192,201.378875,200.16395
200.807175,201.26005,200.195325,203.22915,201.2706,201.5586,200.20065
201.1048,201.404975,200.22875,203.90675,201.313825,201.71085,200.212125
201.16665,201.56175,200.250125,204.368675,201.350925,201.77975,200.235425
201.2523,201.58995,200.265925,204.4443,201.712725,201.80025,200.238925
201.417975,201.5991,200.28355,204.64795,201.77975,202.376475,200.2911
201.568025,201.646725,200.298975,204.78205,201.8002,202.4178,200.302125
201.5721,201.7008,200.324025,204.9949,202.04125,202.64885,200.310075
201.6396,201.76335,200.37195,205.0943,202.057875,203.083725,200.383425
201.744375,201.775125,200.39575,205.10705,202.069375,203.273325,200.405625
201.90135,201.794325,200.402875,205.10925,202.081625,203.4085,200.44105
201.95135,201.8093,200.40955,205.533975,202.094575,203.873675,200.45135
201.99205,201.9139,200.43205,205.785175,202.1036,204.0452,200.4613
202.07985,202.01575,200.436025,205.93415,202.115025,204.11935,200.495625
202.09005,202.061975,200.46185,205.972925,202.133875,204.225225,200.507725
202.34475,202.1223,200.47375,206.2504,202.149225,204.350125,200.5334
202.42365,202.1662,200.51365,206.2776,202.292475,204.459625,200.542325
202.477425,202.209525,200.5353,206.59655,202.311975,204.871325,200.55575
202.5508,202.24855,200.55755,206.78115,202.325625,204.978225,200.56495
202.5811,202.297575,200.569425,206.808975,202.45855,205.229325,200.5874
202.62225,202.4444,200.618775,206.8108,202.4955,205.25765,200.598475
203.0187,202.4804,200.636625,207.28145,202.6179,205.2676,200.63705
203.14495,202.534175,200.6521,207.8668,202.777625,205.330825,200.646375
203.34715,202.53705,200.6735,208.073275,202.854375,205.4401,200.67005
203.3902,202.61605,200.6989,209.57715,202.911225,205.45915,200.71
203.488225,202.660875,200.731525,209.711425,202.9491,205.585825,200.734725
203.569325,202.698975,200.739925,209.7333,202.976825,205.589325,200.7439
203.7218,202.84275,200.74435,210.06515,202.99565,205.636475,200.755
203.806875,203.054975,200.7495,210.10505,203.0417,205.880725,200.7654
203.93145,203.176575,200.75805,210.5784,203.073575,205.9078,200.80475
203.964425,203.2435,200.7854,210.6341,203.1392,205.9104,200.81755
203.974575,203.274625,200.84465,211.219375,203.19175,205.965075,200.831575
204.025125,203.438975,200.92265,211.756775,203.22465,206.083275,200.85495
204.1129,203.49125,200.979575,211.878025,203.24005,206.14425,200.87725
204.190125,203.508375,201.0168,212.34245,203.26575,206.24105,200.900475
204.269675,203.521,201.043875,212.479075,203.345425,206.2505,200.910625
204.2984,203.70495,201.07045,212.895775,203.3749,206.279675,200.9364
204.364675,203.720525,201.09455,212.8986,203.4024,206.344775,200.973375
204.458075,203.74535,201.113225,213.227825,203.49895,206.39615,200.9874
204.61505,203.803675,201.13585,213.2342,203.5529,206.54195,201.00745
204.75755,203.915075,201.1991,213.50215,203.717525,206.59245,201.049825
204.7778,203.9836,201.2292,214.280075,204.08165,206.729325,201.079
204.834625,203.995075,201.2537,214.36165,204.1324,206.79805,201.088325
204.873425,204.1487,201.276325,214.364,204.3307,206.8611,201.105025
204.89895,204.340275,201.303325,214.8461,204.452775,206.90355,201.131875
204.97775,204.354375,201.330075,214.921175,204.533625,207.068775,201.1498
205.156,204.558425,201.37005,214.951025,204.731725,207.145075,201.15995
205.221175,204.625125,201.398325,215.198725,204.76155,207.19685,201.17565
205.3593,205.051175,201.4242,215.49105,204.871325,207.72175,201.199425
205.5671,205.0753,201.442425,215.508675,204.9062,207.790925,201.24635
205.644775,205.175075,201.50445,215.9379,204.9977,208.18305,201.296625
205.7121,205.185575,201.5313,216.422175,205.03275,208.42675,201.383075
205.818125,205.213325,201.536975,216.997475,205.192975,208.6685,201.397275
205.908775,205.2338,201.580725,217.345525,205.25765,208.678425,201.43635
206.016275,205.270625,201.601875,217.438625,205.404875,208.761025,201.537275
206.17565,205.399925,201.638075,217.47255,205.57725,208.83625,201.55115
206.282525,205.6355,201.661275,217.604225,205.67335,208.946175,201.579775
206.3573,205.733925,201.68015,217.615675,205.694775,209.6468,201.590725
206.43055,205.82645,201.709775,217.621375,205.782875,209.771725,201.64885
206.4519,205.935225,201.7299,218.728025,205.80675,210.116925,201.655475
206.4949,206.09555,201.7559,219.090375,205.835625,210.209375,201.67105
206.517075,206.116125,201.78065,219.451,205.851475,210.2363,201.6796
206.636375,206.179975,201.803525,219.83755,205.8738,210.267925,201.682125
206.6374,206.198025,201.8257,220.295075,205.903875,210.4112,201.68615
206.641075,206.2191,201.858525,220.33485,205.910375,210.440775,201.73865
206.645325,206.229575,201.878475,221.245225,206.0111,210.5396,201.7451
206.6875,206.327625,201.9644,221.713725,206.031825,210.645675,201.76855
206.700525,206.382225,201.98885,221.726325,206.123275,210.695725,201.7717
206.859675,206.4666,202.00895,221.7545,206.142775,210.7893,201.788225
207.15325,206.50645,202.025375,222.61425,206.1486,210.8239,201.806375
207.23215,206.53335,202.033875,223.00695,206.169575,210.832725,201.8157
207.524225,206.567275,202.067575,223.349375,206.192375,210.863875,201.8248
207.67825,206.56985,202.0689,223.7017,206.210075,210.964275,201.831425
207.846775,206.626275,202.079975,223.7091,206.2433,211.0601,201.9807
207.985575,206.64285,202.1019,224.7707,206.25045,211.1032,201.9886
208.09505,206.66735,202.124325,226.01565,206.331775,211.120175,202.031025
208.103,206.763475,202.1472,226.0622,206.344725,211.19605,202.039775
208.1066,206.8207,202.185825,226.42125,206.50285,211.31255,202.063175
208.236675,206.85915,202.208675,226.4446,206.52595,211.5288,202.0968
208.484625,206.891575,202.2299,226.7317,206.55905,212.19685,202.122975
208.498525,206.91875,202.2444,227.0821,206.567825,212.3101,202.251125
208.54395,206.97325,202.266425,227.26505,206.624475,212.3309,202.2609
208.6152,207.040175,202.28285,227.4588,206.6477,212.57435,202.27275
208.786575,207.053325,202.308425,227.5397,206.6732,213.054275,202.3231
208.851275,207.0546,202.347925,227.601675,206.6911,213.163775,202.3325
208.95,207.08425,202.375625,228.05695,206.708975,213.263125,202.364825
209.200675,207.109025,202.395,228.66395,206.72115,213.3346,202.414725
209.3762,207.133275,202.4163,228.893975,206.751775,213.47525,202.445525
209.383625,207.1786,202.43015,229.395925,206.760075,213.4876,202.454125
209.4683,207.21235,202.443675,229.835225,206.7784,213.7268,202.475825
209.50625,207.262575,202.46145,229.902525,206.8753,213.820725,202.526925
209.599425,207.495325,202.47875,229.981925,206.889175,214.042,202.5672
209.679425,207.528025,202.5115,230.196225,206.898475,214.05925,202.585875
209.707475,207.757275,202.550475,230.718175,206.9319,214.16215,202.5965
209.8151,208.445425,202.573075,230.88345,206.948125,214.346925,202.607425
210.06045,208.457675,202.601325,230.926925,206.955175,214.3772,202.655975
210.064275,208.5897,202.614225,231.551325,206.9705,214.534475,202.666825
210.067225,208.60745,202.6167,231.5895,206.983425,214.7093,202.685725
210.071775,208.76715,202.640775,231.693325,207.05235,214.832375,202.69045
210.07445,208.842025,202.69485,232.432025,207.0816,214.94725,202.74135
210.140025,208.89785,202.7116,232.48515,207.160675,215.1019,202.754475
210.182375,208.974775,202.73065,232.93395,207.1781,215.269275,202.7727
210.232275,209.317675,202.74795,233.2074,207.223925,215.31855,202.818025
210.416725,209.3426,202.758125,233.285325,207.322475,215.3252,202.830425
210.42715,209.577525,202.763275,233.3314,207.374825,215.430225,202.835925
210.50575,209.86575,202.7754,234.686275,207.42395,215.44055,202.84635
210.5093,210.18015,202.8021,236.76215,207.55495,215.49515,202.87455
210.512075,210.240625,202.816225,237.012225,207.577575,215.50645,202.88255
210.514625,210.26015,202.838875,238.8914,207.606325,215.585225,202.892425
210.5171,210.269475,202.859125,239.141325,207.62115,215.591425,202.9015
210.519525,210.32695,202.9057,239.43875,207.67035,215.641175,202.91035
210.68205,210.33145,202.91705,240.03635,207.684825,215.7291,202.95235
210.873,210.3713,202.934575,241.515925,207.7496,215.74955,202.9735
210.87545,210.37705,202.9491,242.04375,207.7657,215.85645,202.99535
210.9731,210.403725,202.9899,242.156175,207.94565,216.167825,203.027225
211.021075,210.415175,203.00135,242.25685,207.97425,216.51565,203.03565
211.116475,210.4409,203.0185,242.5527,208.1437,216.5286,203.047775
211.304825,210.492725,203.0352,242.77575,208.180575,216.56075,203.079475
211.639175,210.631525,203.051825,243.742225,208.312425,216.6342,203.1405
211.81405,210.71825,203.06755,244.40155,208.386475,216.6702,203.164075
211.971725,210.830325,203.0707,244.629,208.426675,216.754875,203.194425
212.107075,210.839375,203.113975,244.638675,208.441825,217.070825,203.244
