SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC12a
200.01565,201.488075,201.3791,200.173325,200.17775
200.1139,203.2732,201.39815,200.4185,200.287225
200.24575,203.813475,201.48815,200.934275,200.43145
200.268275,204.566,201.523275,201.3997,200.680925
200.632525,206.6648,201.5735,201.468525,200.810025
200.6588,211.130575,201.607825,201.704425,200.840325
200.764125,214.249725,201.6349,201.778825,200.900025
200.885775,229.490025,201.638175,202.4421,200.934125
200.994675,229.81615,201.65605,202.887925,201.0198
201.0391,230.322275,201.66855,203.246225,201.027625
201.1235,233.79845,201.6722,203.4405,201.080325
201.191275,235.506875,201.682275,203.483,201.125075
201.288025,237.20185,201.695875,203.51535,201.24405
201.3499,237.5466,201.733475,203.6035,201.4685
201.754775,241.196325,201.7402,203.6524,201.469525
201.99015,241.643275,201.7555,204.1459,201.497975
202.128825,241.83425,201.78585,204.6765,201.54605
202.162025,246.014325,201.806,204.7167,201.565725
202.267525,247.213925,201.83055,204.727825,201.597575
202.672875,247.333475,201.8346,204.785275,201.61355
203.000675,248.388175,201.840925,205.312475,201.624025
203.853025,250.736575,201.95755,205.441,201.661875
204.174875,263.8849,202.0434,205.70385,201.706
204.343525,270.862825,202.09615,206.924225,201.778725
204.719,273.325375,202.153625,207.483975,201.806175
205.09135,283.0715,203.245525,207.8506,201.896925
206.3832,286.313975,203.2733,208.10035,201.9839
206.475925,287.87105,203.289125,208.4526,201.98575
206.667725,290.3951,203.3321,208.717225,202.0312
206.71545,291.53585,203.3642,208.7459,202.24595
207.3479,292.2803,203.487325,209.112,202.2657
207.406125,295.90245,203.491575,209.1606,202.309825
207.484125,295.92425,203.536975,210.569525,202.426175
207.512225,299.041325,203.561425,210.57315,202.59555
207.6595,301.7249,203.6547,210.61475,202.6801
207.73945,310.449425,203.698375,210.709975,202.733325
207.9908,310.65705,203.710775,210.935225,202.78365
208.17205,311.865025,203.73775,211.021675,202.887925
208.32155,322.96135,203.75525,211.827425,202.932475
208.44665,325.774125,203.789825,211.882925,202.95045
208.549075,327.10955,203.850425,211.94385,203.02675
208.6286,327.84745,203.90345,211.986675,203.246225
208.72985,329.912525,204.04315,212.413925,203.28855
208.78,330.831825,204.050175,213.0872,203.33755
208.8743,331.21175,204.053625,213.157975,203.367375
209.0286,332.65605,204.094825,213.2629,203.40875
209.091975,333.19675,204.129625,213.292375,203.440475
209.156625,333.4124,204.152725,213.410325,203.47935
209.32595,333.860375,204.216825,213.492425,203.483
209.351675,334.808625,204.3349,213.607225,203.51535
209.432625,335.3399,204.3403,213.97505,203.519475
209.5483,335.85465,204.481625,214.273575,203.5574
