SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a
200.0031,200.011875,200.024825,200.013825,200.016925
200.023225,200.125025,200.07665,200.046875,200.0342
200.0407,200.3805,200.165425,200.061475,200.097225
200.061675,200.3819,200.206575,200.09115,200.259025
200.073275,200.48685,200.29725,200.1023,200.275125
200.10745,200.576575,200.308325,200.1112,200.310275
200.149175,200.5889,200.35535,200.12375,200.439725
200.17015,200.602625,200.44505,200.1364,200.4639
200.19725,200.666175,200.49745,200.1503,200.548375
200.23225,200.683525,200.523225,200.1785,200.57125
200.27645,200.752325,200.52845,200.1902,200.5856
200.322075,200.855875,200.54715,200.226925,200.613175
200.3946,200.8967,200.549125,200.239175,200.625225
200.3985,200.950075,200.557675,200.26145,200.7248
200.41935,200.986475,200.581,200.2734,200.745
200.423125,200.9882,200.58975,200.282025,200.781
200.481325,201.05275,200.6232,200.3205,200.82
200.512275,201.180275,200.633925,200.336475,200.85365
200.581375,201.20905,200.719725,200.3671,200.880875
200.6268,201.2454,200.774875,200.390125,200.909025
200.662,201.3021,200.79015,200.401025,200.918125
200.683425,201.311625,200.811,200.409425,200.971775
200.71375,201.318,200.818625,200.422775,201.0002
200.73335,201.32635,200.85385,200.434675,201.0116
200.7668,201.3367,200.861975,200.4567,201.0489
200.7839,201.3487,200.87045,200.481425,201.192425
200.837875,201.394975,200.88835,200.50885,201.20775
200.852125,201.400125,200.890775,200.536675,201.24285
200.881425,201.427875,200.9327,200.542425,201.267625
200.9047,201.437375,200.9594,200.552025,201.292775
200.938375,201.506725,200.9847,200.56395,201.30245
200.95565,201.5225,201.000025,200.57165,201.34435
200.9664,201.5476,201.022325,200.598725,201.470975
200.973425,201.6769,201.043325,200.610875,201.548475
200.988725,201.72855,201.08135,200.646125,201.598425
201.01805,201.749175,201.12565,200.652775,201.60465
201.024325,201.8364,201.146425,200.666525,201.704975
201.038825,201.8962,201.192225,200.684,201.8105
201.04835,202.074275,201.270625,200.697275,201.828225
201.05835,202.3115,201.308125,200.711575,201.844425
201.07785,202.39615,201.341125,200.73005,202.0006
201.105675,202.447475,201.35135,200.74245,202.151725
201.116025,202.4753,201.362525,200.757525,202.196575
201.1367,202.482075,201.395175,200.7665,202.25085
201.151025,202.6178,201.451475,200.783775,202.3503
201.161475,202.6771,201.5516,200.799925,202.4642
201.24485,202.74115,201.58405,200.8276,202.63245
201.268,202.856825,201.597075,200.838675,202.654225
201.2774,202.90975,201.605925,200.84595,202.807725
201.3082,202.98625,201.63855,200.8815,202.860925
201.409975,203.06945,201.6661,200.9014,202.96845
201.440725,203.350125,201.7247,200.91,203.07505
201.466975,203.787625,201.7551,200.922375,203.1293
201.479,203.880825,201.9869,200.945275,203.214625
201.499225,203.9496,202.001725,200.9708,203.234725
201.5079,204.254925,202.09055,201.011475,203.2736
201.564625,204.381125,202.105475,201.030175,203.37185
201.5793,204.54865,202.122225,201.051575,203.592925
201.6008,204.55305,202.134275,201.062075,203.74285
201.6425,204.590175,202.162725,201.0743,203.78825
201.70945,204.765925,202.184175,201.0938,203.813475
201.74145,204.7779,202.196075,201.1052,203.8829
201.75095,205.30115,202.246675,201.1129,203.9662
201.762325,205.38785,202.353,201.1391,204.021975
201.780575,205.444125,202.3635,201.15785,204.0857
201.8367,205.507725,202.425975,201.16975,204.218
201.8734,205.640275,202.439925,201.180775,204.250625
201.88715,205.663575,202.457625,201.204625,204.36045
201.89645,205.683975,202.601575,201.215825,204.363275
201.92645,205.846475,202.848225,201.22605,204.40885
201.949675,205.987475,202.882625,201.23605,204.4548
201.966475,206.030325,202.8997,201.248375,204.4682
201.98385,206.194425,202.910925,201.258075,204.48475
202.01315,206.245,202.96375,201.282575,204.55845
202.04335,206.294325,202.986175,201.29855,204.66205
202.1002,206.631975,203.0543,201.319,204.795675
202.128325,206.6548,203.087975,201.329775,204.8232
202.13165,206.676925,203.120825,201.373075,204.926775
202.159425,206.7001,203.149675,201.384975,205.041175
202.229075,206.909475,203.1744,201.4216,205.15035
202.2575,206.965575,203.18735,201.434125,205.200075
202.26345,206.98165,203.197925,201.468025,205.220625
202.2705,207.07265,203.26655,201.478425,205.242725
202.284125,207.1322,203.277275,201.491075,205.2745
202.3149,207.2247,203.38505,201.50125,205.35105
202.334575,207.245925,203.417175,201.51715,205.447475
202.374425,207.419325,203.458175,201.531925,205.454175
202.387525,207.569425,203.5226,201.540575,205.566175
202.4438,207.6039,203.534875,201.561875,205.621075
202.499275,207.787425,203.546975,201.57495,205.771175
202.606625,207.801025,203.63005,201.62275,205.85025
202.616275,207.87435,203.666225,201.6517,205.935425
202.717125,207.958525,203.6954,201.676675,206.028075
202.7479,208.03675,203.739875,201.69195,206.23805
202.769525,208.1255,203.849575,201.707325,206.3982
202.787675,208.316225,203.872675,201.740475,206.428475
202.803375,208.4394,203.895225,201.763525,206.4544
202.925,208.5314,203.919175,201.7735,206.468275
202.958375,208.5551,203.971725,201.789,206.488775
202.978525,208.742325,204.023825,201.80575,206.62145
203.03305,208.759225,204.0765,201.81925,206.81325
203.05435,208.99225,204.1273,201.83595,206.854225
203.0658,209.145975,204.1493,201.850275,206.926725
203.0766,209.172425,204.221725,201.860875,207.08355
203.110975,209.40865,204.332525,201.8721,207.23745
203.14015,209.434225,204.409475,201.8875,207.321625
203.18905,209.7882,204.42105,201.902075,207.34995
203.210825,209.951825,204.5297,201.91815,207.506775
203.361125,210.109125,204.543725,201.9359,207.741425
203.37025,210.1353,204.5677,201.94845,207.79205
203.42015,210.3077,204.615875,201.9639,208.067475
203.50355,210.350525,204.818625,201.9728,208.23565
203.516525,210.355725,204.94815,202.011875,208.5444
203.530925,210.363875,204.962175,202.0292,208.6923
203.5557,210.424825,204.992125,202.0416,208.731825
203.5846,210.585525,205.00445,202.053025,208.994975
203.586,210.603725,205.025,202.066275,209.0421
203.658975,210.62975,205.03955,202.075925,209.17575
203.709475,210.64115,205.0537,202.146625,209.241
203.741025,210.646975,205.116075,202.214325,209.29285
203.789,210.6551,205.132725,202.225125,209.310025
203.801125,210.838225,205.168175,202.238525,209.3388
203.8294,210.91885,205.180875,202.2563,209.365225
203.899575,210.932325,205.256075,202.268175,209.403225
203.96825,211.0336,205.27515,202.277825,209.42375
204.04295,211.266675,205.284775,202.2922,209.6666
204.07215,211.276325,205.292325,202.31,209.7539
204.1178,211.466475,205.314725,202.319325,209.797975
204.133975,211.62325,205.343925,202.331625,209.821675
204.152475,211.707025,205.42755,202.342325,209.8554
204.15605,211.96465,205.483225,202.375475,209.96435
204.21185,212.087775,205.54135,202.38165,210.024375
204.2384,212.112925,205.607425,202.398475,210.076825
204.288875,212.1183,205.622125,202.413,210.2841
204.30535,212.191125,205.6311,202.44725,210.371175
204.347175,212.30935,205.6602,202.476175,210.395925
204.362825,212.455575,205.709075,202.492925,210.44535
204.38285,212.492975,205.7396,202.50835,210.465125
204.410525,212.53785,205.772175,202.51835,210.538575
204.43655,212.589075,205.79375,202.52975,210.5796
204.4553,212.602525,205.818625,202.543925,210.5901
204.481275,212.60455,205.868525,202.555,210.6746
204.50595,212.687175,205.900175,202.566975,210.719075
204.55355,212.738925,205.92455,202.57645,210.810425
204.588375,212.804975,205.949675,202.5866,210.8386
204.615325,212.810725,205.9787,202.617675,210.912975
204.62185,212.853475,205.987325,202.6322,210.968775
204.6447,213.024925,206.005975,202.640125,211.02845
204.67645,213.301525,206.099525,202.655,211.084575
204.725325,213.349075,206.156875,202.669575,211.254525
204.7444,213.529725,206.29815,202.681125,211.4965
204.771075,213.80785,206.345825,202.689475,211.87925
204.807125,214.0805,206.360375,202.700375,212.0587
204.924025,214.178,206.382075,202.71265,212.1604
204.9301,214.184,206.3978,202.725325,212.1985
204.946075,214.19905,206.4279,202.743325,212.251275
204.97735,214.212275,206.52445,202.752475,212.258775
204.994125,214.2657,206.532775,202.7639,212.318675
205.046275,214.381,206.6003,202.778275,212.342425
205.0746,214.38815,206.6126,202.7978,212.64945
205.0825,214.39545,206.6697,202.81025,212.660675
205.1107,214.4119,206.67925,202.821875,212.663
205.164425,214.442525,206.68975,202.828425,212.683
205.1756,214.54735,206.701225,202.841925,212.718025
205.22185,214.588875,206.745625,202.858275,212.764575
205.225075,214.6954,206.7704,202.870075,212.793275
205.2496,214.708075,206.7954,202.8764,212.925
205.26395,214.9005,206.83565,202.890325,212.99535
205.2809,214.9057,206.8463,202.9215,213.1022
205.2982,215.05505,206.85165,202.929,213.333425
205.30755,215.104225,206.861375,202.940825,213.415825
205.340975,215.8217,206.931825,202.9539,213.514325
205.416525,216.081975,206.99565,202.973075,213.57155
205.457075,216.191025,207.01055,202.99955,213.61975
205.499125,216.223325,207.103375,203.0076,213.641125
205.5766,216.28335,207.11775,203.0142,213.739625
205.610825,216.297325,207.13085,203.02245,213.766225
205.6144,216.3028,207.14,203.03465,213.808375
205.631675,216.3087,207.281975,203.04235,213.85985
205.701875,216.3815,207.343525,203.066,213.8713
205.7277,216.40045,207.36545,203.072,213.8931
205.7475,216.4515,207.380925,203.078825,214.1015
205.78055,216.509425,207.3904,203.09675,214.226525
205.796875,216.669975,207.4244,203.10295,214.263425
205.8172,216.7465,207.4376,203.112125,214.284925
205.8929,216.759175,207.4618,203.12765,214.305875
205.91775,216.796875,207.481775,203.1401,214.3245
205.9495,216.959,207.52285,203.15655,214.349125
205.972175,217.0282,207.545,203.210925,214.357975
205.997625,217.1502,207.5625,203.2281,214.375875
206.0562,217.20245,207.581825,203.240025,214.486275
206.09375,217.391925,207.610975,203.25485,214.504975
206.11865,217.453475,207.652775,203.2983,214.5837
206.158975,217.61535,207.66895,203.318,214.690525
206.2107,217.67285,207.692025,203.3296,214.769
206.232725,217.74795,207.708575,203.352675,214.85475
206.27815,217.767225,207.716025,203.3718,215.02065
206.336425,218.255175,207.769,203.4027,215.334125
206.385575,218.273425,207.790575,203.431325,215.357525
206.3905,218.49605,207.8216,203.4433,215.40315
206.39585,218.5744,207.835675,203.471925,215.53845
206.4669,218.619275,207.856175,203.481675,215.559
206.511775,218.674025,207.867,203.498275,215.589125
206.565275,218.7387,207.90215,203.5114,215.754775
206.66565,218.895125,207.983775,203.56405,215.8645
206.681275,218.90745,208.19185,203.58775,216.1288
206.687675,218.96875,208.26295,203.61495,216.146125
206.7616,218.998325,208.3061,203.6466,216.248525
206.7781,219.033525,208.3356,203.678825,216.313925
206.8305,219.078,208.40365,203.70775,216.34695
206.932325,219.159125,208.458,203.72395,216.463575
206.977625,219.19235,208.4781,203.762825,216.5371
207.16035,219.3407,208.511975,203.779,216.843475
207.23615,219.371175,208.559025,203.798175,216.9465
207.255675,219.516225,208.608575,203.814875,217.137225
207.273975,219.5193,208.653825,203.86125,217.16505
207.331225,219.5385,208.78125,203.9044,217.226375
207.344,219.573275,208.7917,203.941925,217.246
207.372,219.58875,208.806325,203.949925,217.267825
207.419925,219.719875,208.8138,203.960275,217.30785
207.4544,219.9129,208.868225,203.987625,217.3226
207.4897,219.961025,208.893325,204.01005,217.3362
207.517,220.143675,208.9028,204.038675,217.48355
207.52955,220.2294,208.966325,204.0539,217.530875
207.5885,220.509975,208.979425,204.0956,217.570625
207.602575,220.5653,209.010475,204.111775,217.688525
207.64165,220.658325,209.032775,204.14435,217.73835
207.678225,221.1012,209.0395,204.154125,217.7918
