SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC16a
0.064225,0.025925,0.0074
0.0791,0.052075,0.017125
0.086425,0.060925,0.03765
0.137825,0.068375,0.054725
0.1681,0.07675,0.060625
0.35785,0.0835,0.06805
0.45685,0.099825,0.077125
0.4796,0.1048,0.101225
0.501825,0.1122,0.110225
0.6469,0.114875,0.1186
0.654825,0.1252,0.14295
0.68845,0.1335,0.1557
0.856925,0.384675,0.1698
0.987,0.39775,0.18275
1.024725,0.4074,0.20345
1.1364,0.529125,0.231825
1.140225,0.63265,0.25145
1.14245,0.726825,0.2638
1.19445,0.737525,0.27535
1.22345,0.807725,0.2874
1.234175,0.817,0.293925
1.28395,0.881125,0.3092
1.3036,0.917425,0.320225
1.348925,0.923275,0.332475
1.440175,1.002475,0.3456
1.470425,1.0067,0.35945
1.48735,1.03255,0.373925
1.510125,1.052175,0.381625
1.520325,1.11255,0.405175
1.5501,1.145775,0.421
1.561225,1.15455,0.432675
1.574875,1.16905,0.44505
1.58225,1.2201,0.4586
1.5887,1.24625,0.47735
1.6046,1.25225,0.4936
1.608025,1.28175,0.514525
1.636975,1.285275,0.5254
1.71155,1.30905,0.5375
1.80555,1.335025,0.5502
1.850875,1.441025,0.5582
1.866425,1.451625,0.567725
1.924625,1.463825,0.580575
2.181225,1.4767,0.597325
2.3725,1.482275,0.610125
2.431925,1.4936,0.617675
2.485325,1.535975,0.624725
2.62825,1.56945,0.637575
2.673175,1.626,0.64205
2.746025,1.667225,0.6508
2.836775,1.68185,0.66055
2.861925,1.7026,0.670225
3.1578,1.7076,0.6848
3.725225,1.7148,0.695575
3.75595,1.7251,0.704275
3.760525,1.736975,0.713125
3.8204,1.746525,0.7257
3.8302,1.77235,0.7385
3.9574,1.80295,0.750975
4.007625,1.822575,0.766175
4.025625,2.00845,0.780275
4.13555,2.013675,0.79835
4.16735,2.047425,0.799575
4.23885,2.325575,0.8058
4.255925,2.350675,0.817975
4.30435,2.646925,0.83
4.434075,2.86295,0.843825
4.642375,2.87855,0.852325
4.66115,2.8905,0.873975
4.680575,2.90345,0.895925
4.81915,2.9207,0.940025
4.8271,3.11735,0.949375
4.930725,3.125425,0.9642
4.949425,3.130325,0.98745
5.206575,3.1421,0.997875
5.218825,3.150375,1.015325
5.2994,3.162,1.037225
5.35115,3.17195,1.063
5.36285,3.202475,1.07295
5.3709,3.436275,1.086875
5.385875,3.51285,1.090775
5.40385,3.534875,1.098575
5.64795,3.5629,1.1083
5.68565,3.566775,1.1264
5.8198,3.575175,1.1381
5.8475,3.593425,1.147375
5.889675,3.5995,1.158125
5.9087,3.642525,1.17525
5.9258,3.670625,1.1874
6.002575,3.76595,1.203725
6.030325,3.7752,1.2088
6.213075,3.77855,1.225875
6.299675,3.7968,1.239675
6.328875,3.806,1.259075
6.34355,3.821675,1.272025
6.391025,3.826525,1.28415
6.40785,3.833075,1.296725
6.4697,3.850425,1.3038
6.60205,4.019275,1.305025
6.644975,4.029925,1.3118
6.6599,4.033825,1.325625
6.67185,4.036925,1.33415
6.9272,4.056125,1.345425
6.972775,4.07485,1.35565
6.9822,4.08155,1.36965
7.0292,4.090525,1.3829
7.1385,4.09975,1.39735
7.320625,4.106325,1.4118
7.3502,4.131525,1.4308
7.6014,4.14075,1.4604
7.6285,4.163225,1.469225
7.652425,4.178825,1.483825
7.6592,4.206775,1.50485
7.7844,4.209575,1.52915
7.835,4.21465,1.534375
7.877825,4.22645,1.54765
7.90465,4.232925,1.55715
7.9715,4.236575,1.5712
8.11455,4.244325,1.58285
8.23995,4.249975,1.6029
8.326125,4.260375,1.610725
8.33875,4.2684,1.620425
8.351175,4.278775,1.632
8.37355,4.28545,1.634925
8.39555,4.29135,1.641
8.41375,4.3086,1.6536
8.4319,4.373975,1.66355
8.46715,4.669825,1.673175
8.4778,4.692825,1.6837
8.483325,4.826275,1.695375
8.517875,4.83925,1.704
8.602325,4.85395,1.7099
8.706675,4.860475,1.7346
8.73825,4.869375,1.765725
8.764925,4.888375,1.77945
8.836875,4.91705,1.78955
8.9066,4.96785,1.798475
8.994475,5.12025,1.812975
9.011225,5.158175,1.8227
9.046525,5.161125,1.829725
9.122625,5.16495,1.84475
9.146275,5.1699,1.852675
9.2635,5.17225,1.8659
9.28215,5.17515,1.877375
9.3366,5.18215,1.889075
9.36115,5.200075,1.904975
9.382975,5.235025,1.916
9.733425,5.24935,1.93085
9.81535,5.253325,1.94805
9.89345,5.27905,1.957875
9.9137,5.283525,1.967625
10.2858,5.29365,1.9775
10.4976,5.296875,1.9857
10.5194,5.301175,1.998675
10.68765,5.30445,2.010525
10.8153,5.317975,2.023775
10.8927,5.323775,2.0335
11.109625,5.327975,2.045525
11.729375,5.338025,2.053125
12.58325,5.366125,2.0682
12.688575,5.390275,2.0807
12.876,5.3994,2.092875
13.03545,5.421925,2.11805
13.0589,5.551875,2.126525
13.08065,5.61185,2.139425
13.093775,5.6511,2.1522
13.211075,5.65905,2.16585
13.215325,5.6776,2.1776
13.270325,5.68185,2.185775
13.29555,5.8928,2.202825
13.33975,5.9822,2.221175
13.397275,6.007125,2.232175
13.403725,6.0154,2.246675
13.4451,6.04525,2.25975
13.47035,6.2762,2.2785
13.54215,6.2803,2.290125
13.548875,6.2884,2.308275
13.666475,6.291325,2.32055
13.669175,6.296225,2.33685
13.690525,6.30245,2.347425
13.701275,6.30545,2.359775
13.704275,6.31985,2.374275
13.767075,6.324725,2.406125
13.7742,6.3318,2.420425
13.84465,6.3348,2.431125
13.8587,6.360125,2.444425
13.87045,6.379025,2.461425
13.9254,6.3844,2.464975
14.024125,6.635225,2.472875
14.045375,6.6385,2.490475
14.055025,6.64895,2.501025
14.068925,6.656225,2.522475
14.0901,6.66265,2.5345
14.227525,6.665225,2.546875
14.33295,6.667725,2.560575
14.356175,6.669925,2.581525
14.363525,6.67625,2.5913
14.4153,6.68765,2.603475
14.44485,6.721275,2.6194
14.50025,6.73335,2.6427
14.515525,6.74175,2.657975
14.565075,6.75535,2.665775
14.613575,6.933675,2.6801
14.6578,6.9395,2.700625
14.76385,6.943375,2.712175
14.80755,6.961,2.725175
14.821925,6.9649,2.7389
14.901725,6.979575,2.756775
14.9687,6.99075,2.771875
15.0883,7.007225,2.78555
15.1791,7.015425,2.79435
15.191975,7.019275,2.817225
15.273225,7.02365,2.831425
15.39455,7.030225,2.84195
15.68465,7.043825,2.853025
15.707625,7.053575,2.862775
15.756375,7.056,2.866525
15.78115,7.058625,2.8803
15.92475,7.06185,2.88725
16.140375,7.0644,2.892675
16.1763,7.067725,2.9053
16.27915,7.0724,2.9173
16.318475,7.079875,2.935325
16.568875,7.08475,2.9537
16.62055,7.087375,2.9711
16.9374,7.090225,2.992225
16.97435,7.0938,2.999625
17.0209,7.100925,3.01935
17.02755,7.10345,3.035425
17.212275,7.106725,3.04905
17.315675,7.10925,3.065025
17.366975,7.111575,3.080425
17.37655,7.115325,3.0962
17.38235,7.130975,3.11605
17.395725,7.157825,3.1398
17.418725,7.24155,3.1563
17.4854,7.244675,3.16175
17.543375,7.248525,3.198025
17.645675,7.255625,3.207175
17.6529,7.258,3.223325
17.6891,7.2703,3.2371
17.6993,7.282025,3.25335
17.726225,7.293575,3.282325
17.80305,7.307875,3.29275
17.821175,7.322375,3.307925
17.82555,7.3544,3.3221
17.967725,7.3582,3.344975
18.022275,7.362475,3.366875
18.05545,7.3653,3.3811
18.069225,7.372425,3.394025
18.0732,7.3794,3.40805
18.111525,7.3824,3.411925
18.21385,7.38685,3.420425
18.33415,7.4199,3.43595
18.37995,7.528125,3.447225
18.434675,7.5382,3.464075
18.459675,7.54135,3.473975
18.492725,7.549675,3.4826
18.528025,7.5557,3.493025
18.5397,7.5727,3.507475
18.592275,7.58765,3.5179
18.6332,7.60425,3.5311
18.690975,7.6074,3.5439
18.717525,7.613375,3.554875
18.744675,7.630425,3.562625
18.78005,7.65585,3.569925
18.7956,7.666875,3.58505
18.845,7.6776,3.60895
19.0445,7.682075,3.624875
19.1466,7.86235,3.636725
19.185225,7.96845,3.665575
19.2335,8.03985,3.67575
19.42315,8.055125,3.6954
19.4466,8.083975,3.711725
19.7937,8.2646,3.73445
19.8107,8.28275,3.747525
20.1588,8.31725,3.781025
20.21295,8.327625,3.79625
20.251375,8.384575,3.80675
20.317025,8.39925,3.819275
20.3485,8.4396,3.83285
20.359675,8.443225,3.846425
20.4035,8.471275,3.858375
20.45475,8.515475,3.8764
20.472375,8.562025,3.8911
20.54345,8.710075,3.9042
20.572975,8.718825,3.931575
20.627775,8.726875,3.93995
20.849425,8.7425,3.9522
20.91295,8.7665,3.973525
20.939825,8.777925,3.983125
20.949875,8.7933,3.999825
20.9846,8.823425,4.018475
21.157275,8.8322,4.03075
21.176775,8.845475,4.057675
21.335075,8.936525,4.0678
21.363125,8.963225,4.08125
21.3912,9.01925,4.088625
21.4581,9.16185,4.122
21.47625,9.3169,4.14135
21.4817,9.433375,4.1535
21.663875,9.729375,4.1681
21.73295,9.7468,4.183425
21.83665,9.763525,4.214325
21.851425,9.796075,4.224
21.91405,9.92095,4.234525
21.929275,9.924575,4.246625
21.945075,9.931075,4.255825
21.96205,10.47375,4.270925
22.01055,10.520825,4.282625
22.0196,10.55975,4.291475
22.055775,10.780725,4.307325
22.0674,10.8023,4.3162
22.085925,10.809875,4.327175
22.102825,10.8129,4.339725
22.1305,10.816575,4.354775
22.239875,10.823225,4.37015
22.2947,10.828625,4.382325
22.3263,10.8318,4.3927
22.4051,10.871825,4.407475
22.43705,10.89635,4.408775
22.55145,10.902525,4.42645
22.559725,11.048325,4.4439
22.610625,11.081175,4.455075
22.653525,11.085,4.465675
22.694225,11.1035,4.4779
22.8201,11.116275,4.49235
22.823275,11.123175,4.505325
22.831525,11.12795,4.515975
22.927325,11.138475,4.5296
22.954375,11.14445,4.5458
22.9593,11.152675,4.55705
22.969325,11.193325,4.573
22.979625,11.196125,4.582875
23.0026,11.20745,4.593625
23.0291,11.230275,4.60835
23.179525,11.501575,4.623125
23.22535,11.50705,4.640475
23.267625,11.734525,4.657525
23.38795,11.7386,4.670525
23.71145,11.80925,4.687525
24.007175,11.9314,4.702825
24.031825,11.9369,4.7204
24.5198,12.451975,4.73165
24.52355,12.66205,4.745775
24.544325,12.77225,4.76245
24.6041,13.014125,4.777375
24.6453,13.022825,4.788375
24.9628,13.0685,4.80045
25.059925,13.0974,4.815925
25.183125,13.1326,4.830975
25.18535,13.19855,4.8389
25.22845,13.245475,4.8476
25.26965,13.27465,4.86525
25.5693,13.329375,4.88645
25.587825,13.378,4.897
25.6748,13.4512,4.906175
25.723475,13.466775,4.916975
25.73215,13.569925,4.930425
25.75545,13.60805,4.93815
25.7941,13.65035,4.954675
25.830525,13.682975,4.983
25.8572,13.688625,4.998875
25.8589,13.76445,5.0111
25.867725,13.782775,5.0377
25.9033,13.809675,5.056225
25.966325,13.899475,5.076075
26.0998,13.92125,5.089125
26.112675,13.932975,5.1079
26.150125,13.9497,5.120075
26.172125,13.965475,5.127125
26.229875,13.988325,5.137625
26.234475,14.01015,5.161675
26.24035,14.09745,5.18205
26.377925,14.10305,5.2015
26.46525,14.118025,5.2096
26.5391,14.1307,5.218025
26.54775,14.1693,5.226925
26.578025,14.25825,5.23675
26.66975,14.276025,5.24025
26.6744,14.28675,5.244275
26.7428,14.314525,5.25935
26.772075,14.330675,5.270125
26.82785,14.401275,5.295525
26.868675,14.425975,5.3168
27.3686,14.4354,5.3338
27.565225,14.45365,5.347025
27.855275,14.47215,5.35515
27.9375,14.4768,5.3631
27.991775,14.482025,5.374075
28.0125,14.4905,5.386125
28.13225,14.4975,5.39545
28.456225,14.54015,5.431
28.46815,14.5551,5.4434
29.023475,14.5699,5.4776
29.03035,14.58385,5.487875
29.072,14.6735,5.501725
29.39615,14.707275,5.5107
29.49465,14.716425,5.527075
29.536375,14.7326,5.54
29.63805,14.74695,5.552775
29.68185,14.8858,5.560425
29.685425,15.09995,5.5773
29.70495,15.42135,5.599525
29.755025,15.427875,5.60265
29.766075,16.2952,5.631725
29.7943,16.311675,5.63545
29.841375,16.31585,5.661425
29.868375,16.32755,5.673875
29.890775,16.3426,5.676025
29.92385,16.570325,5.687675
30.1324,16.57815,5.70165
30.154375,16.586025,5.716425
30.178475,16.5927,5.729525
30.27315,16.60455,5.738475
30.31645,16.608775,5.7511
30.338075,16.62575,5.75315
30.386925,16.63155,5.762675
30.402175,16.6391,5.7757
30.4817,16.64275,5.789625
30.5721,16.646975,5.801
30.604625,16.653075,5.813825
30.8061,16.659975,5.82595
30.912375,16.66945,5.837
30.957875,16.6738,5.85
31.011175,16.691,5.864125
31.068675,16.701375,5.883375
31.125225,16.72155,5.8944
31.215825,16.924625,5.905075
31.402775,16.929325,5.91945
31.473625,16.933575,5.937025
31.851425,16.941125,5.956625
32.07015,16.947975,5.964575
32.073225,16.9524,5.975125
32.277075,16.96075,5.984875
32.339475,16.963325,5.99005
32.3542,16.968,6.002525
32.4058,16.97105,6.0166
32.4226,16.97785,6.052025
32.60595,16.981025,6.069325
32.88385,16.99505,6.091225
33.0306,17.0055,6.105375
33.399575,17.00835,6.1173
33.473175,17.016325,6.13435
33.503725,17.023175,6.147325
33.539475,17.031475,6.16065
33.776675,17.051575,6.1699
33.791625,17.1779,6.1805
33.90845,17.18775,6.199775
33.9585,17.1943,6.21025
34.10515,17.2046,6.229825
34.206475,17.208375,6.2422
34.220175,17.215375,6.2546
34.26485,17.231925,6.269575
34.366325,17.238425,6.279025
34.39025,17.246825,6.29305
34.39285,17.2506,6.3053
34.4302,17.2534,6.31385
34.6104,17.2565,6.326975
34.64845,17.2685,6.3368
34.7934,17.2721,6.34285
34.92645,17.275925,6.3494
34.948175,17.27985,6.35245
35.00905,17.2823,6.36855
35.16745,17.2859,6.3794
35.313525,17.2889,6.39015
35.53315,17.2916,6.40265
35.66955,17.2938,6.4175
35.860575,17.297925,6.433125
35.8897,17.301275,6.474275
35.987975,17.305825,6.499775
36.023725,17.3089,6.50935
36.068075,17.3147,6.51785
36.115825,17.329175,6.54045
36.12945,17.3322,6.555875
36.167075,17.34745,6.57765
36.22375,17.3514,6.591625
36.2976,17.355575,6.6092
36.341,17.359775,6.61855
36.380725,17.3634,6.637725
36.436575,17.373025,6.648625
36.44585,17.3781,6.655475
36.54035,17.3869,6.65925
36.561075,17.3915,6.6684
36.692375,17.428975,6.703075
36.780425,17.450325,6.71165
36.791975,17.47485,6.719525
36.803775,17.565825,6.729075
36.841875,17.605225,6.73845
37.004525,17.63185,6.7512
37.019525,17.675075,6.7621
37.05645,17.71595,6.77535
37.099325,17.7208,6.791975
37.10235,17.741375,6.8173
37.107275,17.791775,6.833325
37.157975,17.83245,6.85595
37.205875,17.863825,6.8733
37.3495,17.887575,6.889125
37.359075,18.000325,6.902375
37.381125,18.0582,6.919425
37.4034,18.0885,6.930925
37.555375,18.113025,6.943825
37.5942,18.162025,6.955975
37.619175,18.1817,6.962875
37.723625,18.3456,6.983325
37.754775,18.360125,6.9921
37.83125,18.470075,7.004275
38.1045,18.57635,7.01255
38.1412,18.627325,7.0242
38.196725,18.713775,7.034925
38.3613,18.72615,7.044625
38.413925,18.755725,7.0573
38.44465,18.785675,7.0754
38.827425,19.0368,7.083925
39.16215,19.04745,7.09295
39.8757,19.05405,7.10615
39.9189,19.144425,7.11575
40.0433,19.4,7.128075
40.0912,19.410825,7.14245
40.341875,19.414375,7.173875
40.382825,19.41795,7.189825
40.38815,19.426825,7.194725
40.408775,19.43,7.206925
40.446725,19.433825,7.222225
40.4869,19.438875,7.233875
40.504625,19.442975,7.241325
40.51885,19.447925,7.2487
40.560375,19.460575,7.2582
40.62835,19.464025,7.26885
40.669175,19.477825,7.28125
40.694075,19.496875,7.2968
40.71825,19.5062,7.306475
40.7636,19.519075,7.315125
40.775275,19.52465,7.33125
40.8099,19.6484,7.3805
40.8166,19.76295,7.390525
40.882625,19.768125,7.403025
40.972375,19.775525,7.413775
40.99805,19.7802,7.422725
41.00845,19.784975,7.431425
41.02155,19.7947,7.4367
41.043675,19.806475,7.4558
41.083575,19.813775,7.4739
41.5793,19.8161,7.50965
41.629025,19.822625,7.524675
42.13475,19.83165,7.5302
42.21595,19.8396,7.546025
42.83985,19.8465,7.556825
42.926675,20.0577,7.56225
42.9678,20.062225,7.568425
43.54685,20.099,7.575725
43.57305,20.120575,7.582325
43.62055,20.1233,7.591075
43.8688,20.135,7.593675
43.8867,20.1375,7.6157
43.9328,20.142225,7.628025
43.98635,20.14705,7.64205
44.0778,20.1545,7.651
44.15365,20.157775,7.65995
44.190525,20.169275,7.678475
44.207225,20.180675,7.69185
44.481625,20.191125,7.70125
44.51595,20.202625,7.71405
44.550225,20.20655,7.726175
44.7,20.217175,7.7397
45.00115,20.238875,7.75335
45.050325,20.243525,7.7729
45.077825,20.24845,7.7849
45.0993,20.2614,7.788125
45.31035,20.265275,7.798375
45.3785,20.268925,7.8074
45.399675,20.2726,7.821775
45.407725,20.27545,7.833325
45.49915,20.27935,7.844125
45.610375,20.282725,7.85365
45.751175,20.2907,7.8642
45.8297,20.2955,7.873925
45.84105,20.3058,7.88345
45.95225,20.310825,7.892975
45.959525,20.314325,7.902025
45.977725,20.327175,7.90945
46.299475,20.3342,7.91845
46.342675,20.34255,7.92915
46.364325,20.3452,7.937175
46.39445,20.353625,7.9517
46.597775,20.362725,7.961225
46.6026,20.367125,7.973725
46.660525,20.3707,7.985525
46.76195,20.3776,8.000525
46.89765,20.38885,8.005725
46.947425,20.47745,8.0087
47.0613,20.507425,8.019
47.1046,20.580575,8.03295
47.122425,20.592375,8.04055
47.34995,20.853775,8.049425
47.45015,20.891075,8.06625
47.467175,20.917225,8.093725
47.676175,20.975425,8.111425
47.822775,20.979875,8.125875
