SPK_SPKC02a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC15a
200.0109,200.00995,200.0614,200.127125
200.406175,200.023575,200.117125,200.1379
200.659525,200.05435,200.12755,200.198675
200.947775,200.071475,200.140875,200.26195
201.156575,200.0857,200.160125,200.3255
201.521325,200.100475,200.277225,200.410725
201.960575,200.10845,200.2935,200.423975
202.231725,200.11565,200.307125,200.52165
202.2927,200.141025,200.325825,200.611275
202.797175,200.18335,200.339825,200.6492
203.076375,200.213575,200.3561,200.682125
203.1686,200.2296,200.384125,200.827925
203.355325,200.25185,200.4156,200.873475
203.4482,200.2592,200.433225,200.988525
203.675175,200.26885,200.45625,201.03365
203.828425,200.27695,200.474,201.06545
203.978525,200.283975,200.486525,201.093475
204.1172,200.290225,200.50595,201.1439
204.535425,200.305325,200.520125,201.1686
204.77425,200.318475,200.5675,201.191925
205.077825,200.334575,200.6805,201.213675
205.4149,200.34975,200.7132,201.29465
205.6428,200.362925,200.7632,201.319975
206.03315,200.37815,200.797725,201.358325
206.556375,200.392625,200.816875,201.39095
206.6904,200.40375,200.831475,201.4024
206.948325,200.4222,200.87335,201.41385
207.079875,200.43595,200.882475,201.4264
207.3249,200.44995,200.907425,201.475725
208.684775,200.4534,200.9099,201.6634
208.858725,200.4666,200.91525,201.793225
209.7471,200.481675,200.924575,201.911675
210.0068,200.505525,200.94485,201.9181
210.259075,200.520925,201.0017,201.92925
210.423575,200.562425,201.03725,201.94405
210.74555,200.5886,201.0743,202.04
210.873975,200.61395,201.131175,202.08175
210.982775,200.629725,201.14895,202.15155
211.4298,200.6459,201.156375,202.1774
211.481375,200.66,201.160425,202.24715
211.518975,200.6867,201.176225,202.272375
212.431625,200.7871,201.187375,202.326675
213.050175,200.82725,201.20115,202.34855
213.100575,200.84555,201.2178,202.3804
213.229775,200.876475,201.2596,202.402775
213.283525,200.90295,201.283575,202.4185
213.401875,200.922175,201.32235,202.425325
213.503275,200.923825,201.3564,202.7391
213.528625,200.94995,201.3716,202.87695
213.743175,200.96525,201.383975,202.92355
213.810425,200.98555,201.4143,202.9434
214.267325,201.014125,201.42225,202.9758
214.640975,201.048075,201.455425,203.1506
214.6586,201.06585,201.479,203.21425
214.76285,201.082525,201.498025,203.221075
214.87195,201.110575,201.516575,203.225125
214.94105,201.138525,201.540275,203.2291
215.221025,201.159275,201.558975,203.235475
216.263675,201.1784,201.576325,203.2722
216.4104,201.20025,201.59815,203.36655
216.632175,201.220925,201.616625,203.388775
216.76925,201.239825,201.634175,203.440125
217.1092,201.267875,201.6512,203.4519
217.44025,201.2883,201.67925,203.570475
217.577325,201.308175,201.7094,203.61015
217.7313,201.333975,201.7247,203.662275
217.815,201.351525,201.7528,203.764325
218.236925,201.3737,201.8196,203.8061
218.5007,201.403675,201.842875,203.832875
218.676025,201.422425,201.882625,203.853975
218.9507,201.443325,201.888925,203.872675
219.335675,201.456,201.9057,203.921
219.677775,201.474025,201.9192,203.994075
219.69015,201.4789,201.9348,204.027875
220.040925,201.494725,201.96815,204.163825
220.312075,201.503275,201.980625,204.235275
220.347675,201.506,202.000825,204.277475
220.53505,201.5173,202.016325,204.3289
221.320925,201.525725,202.032975,204.39715
221.73705,201.541275,202.0457,204.692925
221.837825,201.563025,202.056375,204.713575
221.945825,201.57685,202.07465,204.73965
221.959275,201.59415,202.1195,204.9027
222.0359,201.615075,202.133775,204.998475
222.236725,201.63505,202.149725,205.021775
222.52125,201.653275,202.168375,205.116125
222.65605,201.667025,202.18745,205.152975
222.9206,201.678525,202.199875,205.3791
222.977975,201.6957,202.230325,205.42095
223.208825,201.71315,202.2334,205.46185
223.625275,201.73255,202.236825,205.470075
223.721475,201.751475,202.2556,205.525
224.11385,201.763175,202.276875,205.62965
224.2596,201.796025,202.297325,205.6868
224.279625,201.81705,202.30315,205.7112
224.656475,201.829425,202.32505,205.742075
225.156275,201.8546,202.3319,205.7679
225.223525,201.871175,202.351225,205.8833
225.573225,201.8956,202.364625,205.934675
225.642175,201.9133,202.373275,206.008675
225.74,201.9221,202.40845,206.04595
225.982225,201.93375,202.425,206.146925
226.244425,201.94625,202.445275,206.164325
226.39745,201.96115,202.457575,206.314
