SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC06c,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC09c,SPK_SPKC11b,SPK_SPKC11c,SPK_SPKC02c
0.7748,0.058425,1.00675,0.337275,0.02145,0.017575,0.015925,0.030675,0.005525,0.095725,0.0534,0.0429,0.24605,0.084125,0.033275
1.417525,0.22305,1.2281,0.566225,0.040825,0.234575,0.024475,0.058475,0.027375,0.422475,0.072325,0.100875,0.453025,0.156875,0.13295
1.875125,0.247975,1.65225,0.7249,0.050225,0.27835,0.03435,0.06795,0.051725,0.4501,0.121425,0.233075,0.485825,0.344875,0.157725
2.9979,0.294525,1.928,0.883925,0.1531,0.577875,0.043125,0.073775,0.17855,0.636175,0.1696,0.2809,0.530575,0.3932,0.191275
6.1643,0.322375,2.051475,0.910625,0.200525,0.847975,0.0626,0.07795,0.229725,0.679625,0.22,0.438325,0.654225,0.4351,0.223075
7.7969,0.353125,2.7565,1.08055,0.21565,0.8732,0.075475,0.082075,0.2731,1.04025,0.268725,0.579625,0.710225,0.719425,0.248
7.86755,0.393475,2.84135,1.105975,0.226675,2.711425,0.090575,0.093,0.28255,1.197925,0.294625,0.8481,0.7575,0.9249,0.2709
8.294325,0.43045,3.1767,1.219175,0.2397,3.17685,0.1066,0.100275,0.29295,1.337575,0.3548,0.882075,0.79445,0.961425,0.294525
8.427,0.45945,3.427425,1.496475,0.317,3.3616,0.14605,0.111675,0.304975,1.39945,0.372425,0.94795,0.9108,1.2115,0.3224
8.571375,0.477925,3.54585,1.84885,0.345375,3.4013,0.161125,0.1189,0.320875,1.513075,0.3986,1.037425,0.94085,1.471075,0.325475
8.67035,0.509925,4.103275,1.9429,0.381575,4.284175,0.174675,0.12695,0.384175,1.611625,0.466775,1.2256,0.9972,1.60425,0.353125
8.769575,0.518975,4.3054,2.20345,0.388325,4.527425,0.1856,0.137925,0.434875,1.69925,0.51095,1.391475,1.012325,1.745525,0.3721
9.078775,0.557675,4.866,2.442325,0.402875,4.53085,0.213275,0.16405,0.47865,2.118575,0.55575,1.49465,1.02715,1.777,0.393475
11.440575,0.5688,7.441125,2.940725,0.4664,4.76685,0.237025,0.223225,0.49,2.14815,0.603875,1.6509,1.0513,1.93745,0.43045
13.382275,0.60195,7.519125,3.219125,0.4927,4.782425,0.2511,0.2435,0.52065,2.354375,0.709275,1.88625,1.05235,2.062325,0.45945
14.659625,0.62795,8.153425,3.32685,0.50665,5.03615,0.263725,0.266525,0.565575,2.402675,0.737875,2.11655,1.108625,2.072475,0.47795
14.86495,0.656975,9.115675,3.522025,0.522775,5.2109,0.289725,0.279525,0.598475,2.499175,0.774925,2.260575,1.138325,2.08955,0.50995
15.94245,0.70905,9.598825,3.7165,0.534325,5.507325,0.29115,0.298575,0.647525,2.556375,0.822625,2.351125,1.191625,2.13155,0.518975
17.02155,0.72475,10.064325,3.893425,0.545375,6.001975,0.317175,0.30755,0.6592,2.58445,0.90665,2.492675,1.217425,2.313525,0.557675
17.0616,0.8201,10.474275,4.134525,0.6761,6.090125,0.336675,0.33265,0.679175,2.83115,0.9212,2.52155,1.23275,2.394675,0.5688
18.376475,0.831975,10.71025,4.236375,0.691675,6.331275,0.345925,0.358025,0.7054,3.2357,0.942275,2.59385,1.2937,2.420725,0.60195
18.86595,0.88855,10.899575,4.7917,0.712325,6.422025,0.36695,0.373675,0.79675,3.3478,0.967325,2.6424,1.3695,2.490425,0.627975
19.1993,0.904525,11.145575,5.176,0.72775,6.61635,0.43775,0.39255,0.8121,3.764275,0.99225,2.697975,1.861675,2.54995,0.656975
19.203625,0.914425,11.559775,5.443125,0.746725,6.773475,0.460225,0.397275,0.83915,4.041675,1.06955,2.71105,1.891225,2.69935,0.70905
19.36625,0.93415,11.591625,5.62125,0.7651,6.9585,0.4798,0.404975,0.86005,4.2016,1.107125,2.733975,2.07665,2.77555,0.724775
19.68325,0.97655,12.165575,5.80675,0.77425,7.13125,0.504475,0.41565,0.873925,4.284325,1.148575,2.792675,2.108775,2.793075,0.8201
20.60285,1.023875,12.3056,6.468575,0.799025,7.17655,0.517275,0.433125,0.9001,4.338,1.16465,2.812375,2.1619,2.9288,0.831975
21.4974,1.186175,12.946975,6.5182,0.81095,7.4246,0.548875,0.4465,0.9023,4.3871,1.26945,2.8847,2.268275,3.0018,0.888575
22.389175,1.2296,13.317975,6.704225,0.824475,7.7759,0.5732,0.47335,0.904575,4.426925,1.29335,2.96585,2.401175,3.29245,0.904525
23.569275,1.2483,13.43025,6.889575,0.8499,7.87905,0.592125,0.491075,0.912375,4.79635,1.44895,3.1908,2.478925,3.518925,0.914425
23.640775,1.28495,13.6501,7.106625,0.916925,7.9982,0.622325,0.540925,0.949325,4.844325,1.4871,3.2469,2.5085,3.693325,0.93415
23.9823,1.340175,13.7878,7.151225,0.994875,8.34915,0.6986,0.5778,0.9653,5.078975,1.564075,3.2984,2.587575,3.914175,0.976575
26.28295,1.368975,14.074325,7.245625,1.0078,8.483275,0.746175,0.58765,0.986275,5.41715,1.641425,3.335125,2.6107,3.93405,1.023875
27.786875,1.37865,14.433775,7.385925,1.059125,8.541975,0.780125,0.672525,1.022975,5.44485,1.66845,3.388075,2.7549,3.953575,1.102375
28.050725,1.38475,15.180225,7.4968,1.0786,8.683675,0.80525,0.7,1.028225,5.758275,1.768925,3.41145,2.805625,3.980175,1.1157
28.1432,1.405125,16.113375,7.5922,1.17165,8.9159,0.8183,0.717375,1.084175,5.81125,1.80485,3.45695,2.906275,4.114175,1.1862
28.43075,1.53965,16.713575,7.789025,1.23045,9.303025,0.83,0.730325,1.092075,5.885675,1.836825,3.513275,2.922,4.140425,1.2296
28.504275,1.546125,17.389725,8.2433,1.27355,9.8211,0.85045,0.743875,1.10405,6.06725,1.87525,3.5702,2.9628,4.29385,1.2483
28.6003,1.5552,18.134925,8.4101,1.337425,9.83005,0.866425,0.754125,1.219625,6.295,1.9016,3.59845,2.991475,4.347725,1.28495
31.428775,1.581325,18.314975,8.7953,1.358225,10.839925,0.916075,0.765075,1.2642,6.515225,1.924175,3.692725,3.01125,4.50575,1.3402
33.264025,1.592925,20.1184,9.31885,1.375325,10.96755,0.951975,0.774975,1.274975,6.6183,1.992075,3.93405,3.047225,4.63415,1.35085
33.367,1.623,20.25745,9.717375,1.40555,10.98585,0.969225,0.79235,1.28525,6.653925,2.01115,3.981275,3.139425,4.692175,1.368975
33.563975,1.6406,21.5516,10.044625,1.420525,11.4276,0.989475,0.83635,1.2904,6.938875,2.0473,4.112875,3.154975,4.874825,1.378675
33.7874,1.69655,22.07595,10.17555,1.504,11.799425,1.0644,0.84845,1.3167,6.987525,2.0658,4.221125,3.3817,5.020075,1.384775
34.37885,1.72955,23.0255,10.273725,1.520425,12.537625,1.075425,0.87635,1.329375,7.001925,2.16365,4.288875,3.4077,5.1859,1.405125
34.860625,1.736175,23.456,10.320725,1.538325,12.6578,1.102725,0.929425,1.33705,7.0792,2.215325,4.3643,3.411225,5.272875,1.476975
35.210225,1.797625,23.64325,10.674675,1.5868,13.249225,1.121325,0.938875,1.347825,7.28785,2.2445,4.417,3.4483,5.31915,1.53965
35.3311,1.827125,24.45945,11.22775,1.593775,13.440875,1.169775,0.947775,1.356125,7.328725,2.269275,4.49725,3.499325,5.386225,1.546125
35.504125,1.86245,24.723225,11.299825,1.6164,13.621325,1.191475,0.95495,1.3624,7.395375,2.316925,4.541975,3.538625,5.47225,1.5552
35.68145,1.908,24.873475,11.878775,1.636375,14.05175,1.22585,0.97135,1.367725,7.4377,2.381075,4.5793,3.5621,5.548975,1.581325
38.319825,1.949425,25.0631,12.10205,1.6741,14.386325,1.289325,0.99645,1.40005,7.552075,2.4338,4.6947,3.588775,5.704525,1.592925
38.4405,1.96815,26.251625,12.170975,1.738975,14.40095,1.352525,1.00865,1.40705,7.960175,2.460825,4.75475,3.6376,5.72385,1.623025
38.5994,2.03175,26.4381,12.3018,1.76325,14.73205,1.38215,1.146525,1.45245,8.11275,2.52485,4.934075,3.66425,5.754025,1.640625
