SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
0.149825,0.0126,0.0271,0.1497,0.05055,1.183,0.035525,0.024425,0.06335
1.018025,0.03775,0.1368,0.15395,0.093225,2.3725,0.0572,0.053925,0.116025
1.40175,0.04215,0.29275,0.248775,0.15415,11.168775,0.07475,0.08315,0.165175
1.703825,0.050425,0.3914,0.3316,0.224425,17.62525,0.09145,0.1049,0.19355
2.034825,0.0635,0.49945,0.3932,0.26265,20.180075,0.112025,0.138,0.232775
2.184475,0.077625,0.602025,0.418825,0.277475,23.057125,0.128275,0.1603,0.258875
2.525175,0.099625,0.66725,0.45975,0.313225,23.863875,0.145075,0.178425,0.277675
2.5769,0.133075,0.763125,0.5694,0.340975,25.49755,0.158725,0.1926,0.291325
2.703075,0.14285,0.855225,0.597375,0.383625,25.8594,0.171575,0.21655,0.390825
2.8235,0.1608,0.9683,0.59895,0.4143,26.0954,0.193275,0.263825,0.4592
7.249525,0.183875,1.16115,0.671775,0.458675,26.12695,0.213575,0.2899,0.529775
7.3557,0.196125,1.19385,0.675225,0.530075,26.779425,0.23885,0.3069,0.63315
8.069975,0.20775,1.425425,0.70905,0.556075,27.605925,0.267625,0.353975,0.704425
8.9863,0.21635,1.743325,0.776325,0.59775,27.622225,0.288075,0.383775,0.766925
9.700275,0.227975,1.757525,0.8252,0.6761,27.9164,0.305075,0.4218,0.815425
10.3212,0.261925,1.7864,0.866675,0.71825,27.947625,0.319525,0.5203,0.8537
10.76475,0.277875,1.84745,1.007575,0.78455,28.092925,0.33945,0.55975,0.900975
10.884125,0.288725,2.0329,1.20675,0.80725,28.16035,0.35915,0.590225,0.971525
11.0604,0.301075,2.116825,1.2202,0.8472,28.212675,0.379175,0.63715,1.003475
11.582125,0.3132,2.494825,1.278625,0.88145,28.2262,0.393375,0.678225,1.0498
11.990425,0.324725,2.6404,1.369325,0.923775,28.255925,0.4113,0.722675,1.121075
12.676125,0.340275,2.747775,1.409775,0.9828,28.30395,0.440775,0.74805,1.1617
13.1928,0.348525,2.779175,1.43055,1.023125,28.411725,0.464575,0.789175,1.17875
13.2392,0.35795,2.8376,1.60125,1.097525,28.529275,0.4874,0.828775,1.18145
14.206875,0.3649,2.867325,1.735475,1.140225,28.573575,0.505725,0.8572,1.2028
14.234025,0.373825,2.88905,1.825575,1.182925,28.73925,0.526025,0.902475,1.24565
14.451425,0.381475,2.93165,1.850375,1.216075,28.7976,0.55145,0.952625,1.270725
14.63435,0.391175,2.949025,1.852925,1.2379,28.900775,0.553825,0.9718,1.274375
14.785975,0.399725,2.98945,1.8577,1.276975,29.075975,0.569775,0.974625,1.29005
14.996875,0.408175,3.0846,1.936925,1.321775,29.14805,0.594875,1.026775,1.342875
15.316925,0.420225,3.0999,2.00055,1.34195,29.36095,0.617375,1.069675,1.385825
15.801375,0.430175,3.1315,2.052775,1.3752,29.42655,0.635925,1.1037,1.425425
16.46035,0.444,3.316275,2.202425,1.411325,29.469475,0.6627,1.140975,1.45885
16.6203,0.45545,3.518275,2.293475,1.448275,29.5197,0.676825,1.160825,1.53195
17.4725,0.46615,3.550225,2.3114,1.487475,29.627325,0.689925,1.19885,1.542875
17.788825,0.477525,3.580475,2.323525,1.513825,29.71145,0.7194,1.21675,1.544625
18.3578,0.49695,3.6186,2.39365,1.56255,29.797425,0.7345,1.239075,1.666125
18.714075,0.51145,3.64125,2.414275,1.595325,29.86485,0.777875,1.27735,1.7257
19.1134,0.520425,3.65565,2.692475,1.62315,29.913625,0.81915,1.32865,1.758075
19.51615,0.52875,3.916975,2.7368,1.650625,29.999325,0.852475,1.372375,1.82425
19.73585,0.5389,4.0595,2.9245,1.673825,30.07895,0.8682,1.4055,1.876225
19.792025,0.5563,4.0773,2.9441,1.716925,30.139525,0.897775,1.431925,1.89575
19.980525,0.565275,4.136275,2.9515,1.75195,30.1958,0.91265,1.4688,1.9411
20.12735,0.572525,4.16045,3.03835,1.786225,30.325675,0.9296,1.512025,2.018475
20.45095,0.581025,4.3066,3.114275,1.826575,30.38775,0.9499,1.539725,2.044925
21.534875,0.588575,4.341975,3.136575,1.86565,30.4583,0.974625,1.566725,2.09755
21.673825,0.59765,4.3564,3.157525,1.893275,30.4993,0.999525,1.58355,2.128375
21.884475,0.6064,4.42755,3.17115,1.93805,30.6156,1.01995,1.618475,2.1775
22.014325,0.6146,4.4484,3.19565,1.9598,30.69125,1.036975,1.636825,2.19965
22.11645,0.6281,4.52015,3.222025,1.992775,30.835075,1.066275,1.684,2.233475
22.30225,0.6459,4.53105,3.252925,2.0402,30.971625,1.0929,1.70785,2.268775
22.610525,0.666425,4.572875,3.304825,2.08775,31.01855,1.118075,1.7288,2.34005
23.010125,0.682875,4.7192,3.332,2.090325,31.148375,1.140975,1.745625,2.407225
23.2919,0.69275,4.896375,3.44135,2.136875,31.206375,1.165475,1.761675,2.452225
23.354125,0.70725,4.9136,3.4501,2.17335,31.2945,1.185525,1.785825,2.49165
23.429275,0.7207,5.02415,3.53275,2.21025,31.358375,1.202575,1.816475,2.5115
23.710125,0.732825,5.125325,3.542025,2.237975,31.433125,1.22075,1.8563,2.5141
23.863375,0.744425,5.14555,3.574475,2.268375,31.502525,1.236025,1.8927,2.5411
24.4226,0.7642,5.175375,3.58165,2.329225,31.548925,1.267325,1.9257,2.584025
24.57525,0.777525,5.2527,3.5975,2.374075,31.6158,1.283225,1.9407,2.625375
24.779725,0.791975,5.3355,3.629575,2.4293,31.70865,1.2978,1.959,2.684475
25.05085,0.8016,5.44065,3.68065,2.4714,31.78545,1.310375,1.973225,2.730675
25.49135,0.8207,5.496625,3.6919,2.51905,31.832325,1.36535,1.9756,2.77305
25.565775,0.834325,5.519075,3.7035,2.5592,31.9222,1.4066,2.005125,2.840375
25.736475,0.854525,5.7224,3.742825,2.6069,32.01125,1.450325,2.028175,2.8775
25.817075,0.86985,6.1449,3.7689,2.64305,32.09835,1.4713,2.05445,2.88865
25.9567,0.884425,6.24325,3.80895,2.6727,32.132675,1.4971,2.0811,2.9263
26.1598,0.9034,6.4165,3.85055,2.711525,32.278275,1.517825,2.101675,2.9419
26.2133,0.917575,6.597,3.89465,2.7699,32.3352,1.53925,2.12545,2.95375
26.35575,0.933475,6.688825,3.90255,2.839825,32.386175,1.571425,2.145375,2.96615
26.699275,0.94665,6.811725,3.9155,2.88825,32.453475,1.5866,2.1803,3.047975
27.301475,0.967525,6.9083,3.9879,2.918175,32.500075,1.596525,2.200225,3.0746
27.53795,0.986575,7.00745,3.996575,2.950325,32.566175,1.61645,2.2303,3.1499
27.61275,1.00285,7.0837,4.071375,2.9532,32.6236,1.625325,2.2702,3.200325
27.7661,1.0255,7.1471,4.08275,2.974,32.657525,1.651575,2.311825,3.33535
28.4005,1.053375,7.33195,4.12275,2.99315,32.697725,1.7054,2.338575,3.389575
28.68365,1.065825,7.369375,4.134425,3.0412,32.7293,1.7496,2.367125,3.424
29.078,1.095625,7.561725,4.1415,3.068225,32.789725,1.76765,2.389275,3.45505
29.273125,1.108675,7.72085,4.169025,3.076025,32.82585,1.78205,2.413425,3.5071
29.32525,1.1348,7.7481,4.196575,3.08795,32.874825,1.8038,2.43685,3.562825
29.376875,1.1506,7.78135,4.250475,3.1095,32.935475,1.814675,2.491025,3.6004
29.490025,1.172925,7.801975,4.42875,3.169375,32.961725,1.843075,2.541075,3.6405
