SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC07d,SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC14a
100.02845,100.041875,100.105475,100.57755,100.00515,100.032875,100.010075,100.65945
100.036425,100.0837,100.126175,100.675375,100.561125,100.061675,100.038325,100.82485
100.06155,100.16585,100.3511,100.861125,100.58145,100.1415,100.048925,101.055925
100.075025,100.193625,100.8032,101.637,100.6445,100.156425,100.11405,101.09185
100.081125,100.2066,100.87415,102.7308,100.68675,100.216375,100.1263,101.169475
100.08515,100.216475,101.197,103.30165,100.7179,100.2655,100.15375,101.21855
100.0996,100.226425,101.289175,103.407225,100.73675,100.2741,100.202225,101.46905
100.145975,100.2341,102.075625,103.834775,100.760775,100.29185,100.2148,101.51765
100.172075,100.240325,102.315475,104.50815,100.79745,100.3356,100.219375,101.58185
100.180725,100.2502,102.903575,104.552925,100.827775,100.349925,100.2395,101.9969
100.187775,100.256,102.905525,104.7428,100.84955,100.4046,100.2501,102.080325
100.1945,100.260575,103.542675,104.925825,100.8642,100.455875,100.27995,102.23975
100.20235,100.266075,103.545675,105.236125,100.881975,100.49155,100.307175,102.332575
100.2119,100.26925,103.63945,105.53745,100.8989,100.49975,100.362075,102.445
100.2238,100.273,103.641175,105.916825,100.924425,100.509,100.493325,102.60755
100.232275,100.277625,103.72345,106.4626,100.955475,100.5416,100.519625,102.651625
100.239875,100.2814,103.803425,106.81145,101.018025,100.594725,100.5544,102.851075
100.248125,100.293475,104.1968,106.995775,101.03935,100.69905,100.597875,102.917125
100.2579,100.2998,104.19805,107.2773,101.067575,100.745725,100.6016,103.20165
100.2714,100.3078,104.575625,107.498525,101.08795,100.763075,100.662125,103.36315
100.2859,100.315175,104.84945,107.71755,101.110275,100.861125,100.770675,103.8434
100.36125,100.3199,105.1444,107.794975,101.123325,100.88625,100.825175,103.8779
100.374375,100.327075,105.334025,107.80495,101.1462,100.925675,100.8507,103.94665
100.3887,100.3409,105.523425,107.85765,101.165325,100.96955,100.914725,104.078825
100.397975,100.355725,105.777225,107.866975,101.174225,100.98975,100.9403,104.231275
