SPK_SPKC05a,SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC14a
300.0439,300.009475,300.012725,300.010525
300.127375,300.01345,300.0285,300.045975
300.148925,300.10245,300.043775,300.067575
300.213825,300.12655,300.07335,300.0888
300.2586,300.177725,300.115375,300.11425
300.27615,300.203625,300.1441,300.1509
300.28175,300.237275,300.182975,300.172025
300.33075,300.30735,300.27445,300.19485
300.376175,300.33195,300.2928,300.216325
300.494425,300.360125,300.31675,300.236525
300.524225,300.3947,300.345175,300.252725
300.56205,300.4279,300.376625,300.26615
300.602225,300.45935,300.4184,300.2814
300.67035,300.48165,300.4557,300.30745
300.683525,300.499525,300.476525,300.324475
300.73205,300.516925,300.495325,300.34615
300.777975,300.5699,300.540175,300.363225
300.831275,300.603725,300.583075,300.38215
300.881475,300.621525,300.6172,300.406925
300.923375,300.645175,300.64025,300.422575
301.00475,300.730525,300.660575,300.449275
301.057225,300.75695,300.76555,300.4667
301.069275,300.783975,300.8007,300.49685
301.1185,300.80575,300.85965,300.526025
301.142675,300.833475,300.9242,300.547025
301.183675,300.8654,300.937375,300.5613
301.28575,300.8872,300.966825,300.57565
301.355,300.917425,300.990825,300.602425
301.451825,300.93755,301.022925,300.6214
301.470475,300.974925,301.0677,300.643475
301.519475,301.005925,301.1014,300.667525
301.58325,301.03415,301.129725,300.68245
301.626425,301.079725,301.18585,300.708975
301.7643,301.11905,301.2097,300.7284
301.9092,301.1507,301.241075,300.746725
302.054575,301.179625,301.301225,300.7841
302.128475,301.230925,301.32885,300.8014
302.178875,301.25765,301.389125,300.813275
302.254175,301.326,301.406625,300.82715
302.398275,301.388325,301.443525,300.8475
302.475775,301.4351,301.45805,300.8699
302.524525,301.478225,301.497175,300.891775
302.54155,301.520225,301.511525,300.908625
302.56475,301.5658,301.537525,300.93455
302.61335,301.597475,301.554825,300.948925
302.64275,301.635425,301.590525,300.97245
302.7217,301.6908,301.631125,300.9916
302.777475,301.73025,301.71635,301.01365
302.7904,301.7986,301.72835,301.0459
302.83465,301.8296,301.7682,301.061325
302.91625,301.87555,301.86905,301.081075
302.960475,301.8949,301.9016,301.130425
302.9744,301.968775,301.93695,301.1435
303.007075,302.019825,301.97055,301.16545
303.04785,302.04215,302.004025,301.182625
303.086175,302.10745,302.023675,301.2015
303.1667,302.165825,302.0383,301.215825
303.22995,302.2043,302.1613,301.2311
303.268075,302.2339,302.186325,301.255
303.307575,302.25545,302.241475,301.276725
303.3331,302.292875,302.282,301.303825
303.368225,302.345375,302.30215,301.325025
303.4399,302.3951,302.325225,301.3423
303.47645,302.4505,302.395125,301.36315
303.555475,302.50985,302.46515,301.39765
303.5695,302.5686,302.5326,301.41385
303.600525,302.5908,302.59925,301.42755
303.626475,302.62535,302.6289,301.45195
303.6614,302.658925,302.65825,301.48075
303.698425,302.70645,302.68065,301.5053
303.727,302.763225,302.7515,301.527075
303.82645,302.8326,302.7627,301.546175
303.871925,302.868175,302.796625,301.5678
303.9208,302.895625,302.820725,301.5789
303.931,302.918225,302.83005,301.583425
303.970375,302.9444,302.89445,301.605225
304.015275,302.9774,302.99195,301.620375
304.037725,302.99885,303.067,301.635825
304.22895,303.03,303.087375,301.66675
304.288575,303.104175,303.108075,301.6813
304.322525,303.1476,303.174875,301.7107
304.3555,303.166875,303.297275,301.7319
304.417325,303.218825,303.31995,301.756375
304.448425,303.25065,303.345425,301.7823
304.623925,303.291725,303.412575,301.799725
304.654575,303.313225,303.443625,301.81685
304.674325,303.3398,303.463125,301.838175
304.887775,303.3745,303.6294,301.86305
304.948625,303.40715,303.710625,301.8848
304.968925,303.438675,303.737275,301.9077
305.179325,303.46325,303.7745,301.9322
305.215475,303.497275,303.79965,301.95505
305.279075,303.527,303.841825,301.9742
305.301025,303.56685,303.878125,301.99775
305.3804,303.5985,303.905325,302.02705
305.391725,303.63325,303.9874,302.0472
305.41955,303.67125,304.044525,302.070275
305.49155,303.690575,304.094975,302.093675
305.5216,303.724925,304.128825,302.110375
305.588675,303.756025,304.16485,302.130375
305.6257,303.8027,304.2103,302.150225
305.702775,303.8175,304.28665,302.17115
305.7424,303.855925,304.2981,302.200475
305.79775,303.902475,304.35365,302.23115
305.850075,303.9328,304.3916,302.244375
305.988025,303.9756,304.44595,302.2606
306.024175,304.0136,304.467725,302.28005
306.06465,304.057525,304.5029,302.31525
306.12645,304.07965,304.564475,302.3474
306.184375,304.10345,304.610675,302.375
306.232275,304.143025,304.651725,302.403725
306.3236,304.186325,304.677725,302.4347
306.444975,304.20035,304.6973,302.457375
306.654375,304.226925,304.721725,302.477925
306.783375,304.2826,304.7385,302.49875
306.85225,304.302725,304.7574,302.5178
307.3525,304.35905,304.88025,302.538525
307.381325,304.3885,304.911525,302.56325
307.594275,304.421525,304.97475,302.587
307.668475,304.462225,305.01515,302.60715
307.723425,304.47835,305.041325,302.61885
307.913925,304.49195,305.074475,302.643525
308.2667,304.535625,305.116025,302.66135
308.3062,304.572975,305.141175,302.695675
308.34335,304.7049,305.210625,302.716225
308.412575,304.752575,305.278525,302.748275
308.448675,304.7963,305.341075,302.768125
308.478325,304.83705,305.354825,302.78015
308.555175,304.8641,305.3724,302.803075
308.609225,304.90505,305.415725,302.82655
308.652225,304.947075,305.4435,302.854075
308.696925,304.98515,305.471225,302.8826
308.802025,305.0615,305.5053,302.906925
308.820975,305.0942,305.55505,302.91245
308.876225,305.11985,305.586925,302.942375
309.088075,305.137175,305.645675,302.96385
309.172925,305.16895,305.67715,302.978425
309.2767,305.2087,305.69565,303.00295
309.403575,305.239475,305.772225,303.033125
309.440375,305.27165,305.858225,303.0469
309.447725,305.31405,305.890375,303.0771
309.468975,305.3782,305.945475,303.09435
309.48395,305.401325,305.998575,303.11455
309.5532,305.435675,306.055425,303.13905
309.71925,305.472625,306.123975,303.162525
309.760375,305.5003,306.15085,303.184625
309.788575,305.536475,306.176525,303.207875
309.841025,305.559225,306.202675,303.225225
309.9572,305.586,306.239525,303.267525
310.008775,305.626275,306.28615,303.29095
310.029,305.6577,306.36085,303.307925
310.066825,305.690425,306.45185,303.30955
310.0951,305.72255,306.4732,303.326675
310.14775,305.749425,306.523325,303.350325
310.3872,305.752375,306.54805,303.38225
310.549875,305.7923,306.58575,303.405
310.752525,305.83765,306.625525,303.423325
310.781275,305.86305,306.6667,303.448725
310.8788,305.916525,306.709525,303.473975
310.97985,305.9447,306.78325,303.4976
311.0112,306.01605,306.82775,303.5144
311.047375,306.046175,306.8449,303.53075
311.088825,306.080475,306.8852,303.552425
311.159875,306.11055,306.97465,303.569325
311.218025,306.145225,307.03525,303.5835
311.31425,306.1653,307.07185,303.5965
311.37375,306.18525,307.104275,303.6165
311.481975,306.22475,307.1269,303.632075
311.5906,306.2511,307.159,303.655525
311.67385,306.280975,307.213225,303.6612
311.69295,306.31615,307.24065,303.670975
311.739525,306.353675,307.298325,303.685325
311.8786,306.38255,307.3313,303.702875
311.9112,306.40855,307.3494,303.725675
311.933675,306.44015,307.402975,303.74595
312.080625,306.472775,307.46715,303.7707
312.106975,306.4963,307.48075,303.79475
312.169725,306.5382,307.5048,303.821025
312.220775,306.636025,307.56915,303.8361
312.310375,306.65935,307.639175,303.855425
312.35665,306.694225,307.6627,303.8699
312.485175,306.7183,307.689675,303.8952
312.559525,306.7427,307.764175,303.9251
312.619775,306.785675,307.794225,303.947325
312.73335,306.814025,307.826625,303.97405
312.791075,306.835875,307.882075,303.99105
312.89015,306.86175,307.91335,304.004775
313.033275,306.88875,307.990675,304.013875
313.063625,306.936525,308.0462,304.020025
313.1879,306.969,308.079225,304.03895
313.3276,307.0188,308.085975,304.063925
313.379825,307.061725,308.109025,304.0849
313.633125,307.0873,308.15695,304.09765
313.656975,307.144625,308.2084,304.120725
313.6754,307.164175,308.24605,304.13995
313.815325,307.207225,308.2723,304.160775
313.908975,307.253375,308.329225,304.182325
313.9957,307.2891,308.411775,304.200875
314.04725,307.309475,308.47085,304.219475
314.17055,307.32845,308.5044,304.245925
314.35705,307.424975,308.529625,304.2531
314.473525,307.4687,308.561175,304.267025
314.6313,307.5105,308.595225,304.28065
314.6716,307.54805,308.609675,304.310375
314.72295,307.560875,308.6549,304.333075
314.76515,307.607475,308.741825,304.35895
314.78435,307.6435,308.7531,304.384025
314.840825,307.678475,308.88045,304.413025
314.926375,307.6987,308.904625,304.43135
314.95765,307.7306,308.934975,304.448225
314.981575,307.76715,308.970975,304.47355
315.0152,307.7901,309.00035,304.4907
315.062575,307.848125,309.046775,304.5135
315.084175,307.8722,309.1148,304.535475
315.1095,307.898325,309.17965,304.55575
315.1623,307.941675,309.251325,304.571125
315.210175,307.966175,309.302975,304.58915
315.2675,307.97805,309.334125,304.609475
315.284925,307.998375,309.4067,304.634325
315.30965,308.0194,309.43985,304.659625
315.40685,308.0592,309.472275,304.677825
315.4959,308.0841,309.4981,304.700625
315.533825,308.10615,309.55305,304.719925
315.555325,308.12555,309.5849,304.75585
315.5854,308.156025,309.633525,304.774275
315.616975,308.190425,309.658875,304.8034
315.637125,308.214,309.83015,304.8301
315.6695,308.257175,309.866825,304.851075
315.715975,308.28235,309.8989,304.87175
315.791825,308.31155,309.911,304.907125
315.82825,308.35065,309.9667,304.92485
315.851725,308.3985,309.99015,304.945
315.933425,308.437925,310.05395,304.966725
315.987375,308.458625,310.134425,304.9835
316.037575,308.488375,310.155075,305.008325
316.0444,308.5196,310.225175,305.03055
316.142575,308.57,310.2474,305.06065
316.22625,308.591525,310.291875,305.0751
316.251925,308.623375,310.421925,305.10085
316.257375,308.6512,310.445475,305.1124
316.26105,308.68285,310.474675,305.133725
316.28705,308.753,310.5557,305.15455
316.35915,308.7898,310.5783,305.171975
316.3983,308.83035,310.6221,305.19505
316.43955,308.8586,310.740825,305.21885
316.5032,308.890425,310.75965,305.24995
316.51965,308.91755,310.82565,305.270725
316.550525,308.97185,310.84855,305.289725
316.630725,309.001475,310.931925,305.31955
316.6674,309.0574,310.940025,305.343175
316.697925,309.094025,311.039875,305.36195
316.744125,309.15415,311.076975,305.382925
316.935525,309.197175,311.0988,305.40235
317.021025,309.245125,311.1526,305.4247
317.0877,309.263725,311.2357,305.453125
317.1416,309.302025,311.2855,305.469725
317.15765,309.315075,311.316675,305.48075
317.192225,309.367425,311.335275,305.5023
317.236125,309.421075,311.352375,305.535425
317.25875,309.45235,311.382225,305.56595
317.3136,309.475575,311.56195,305.585175
317.3184,309.529575,311.60185,305.599175
317.32325,309.5589,311.704025,305.6276
317.372425,309.61705,311.7343,305.65145
317.3762,309.6542,311.801225,305.669875
317.381325,309.67065,311.870525,305.692675
317.42805,309.7082,311.920075,305.707825
317.5131,309.7217,311.954,305.732825
317.549125,309.78895,311.97805,305.748675
317.6316,309.810175,311.993475,305.76605
317.77965,309.844725,312.042525,305.7931
317.83005,309.8774,312.065775,305.819475
317.995125,309.916725,312.17355,305.8381
318.296775,309.9437,312.178675,305.861775
318.3898,309.947425,312.230325,305.8851
318.4237,309.988225,312.253075,305.9048
318.440725,310.029425,312.286475,305.93345
318.4803,310.053075,312.326375,305.94345
318.56325,310.078575,312.393225,305.973675
318.603275,310.098425,312.433825,305.994975
318.644975,310.15375,312.467625,306.0128
318.695575,310.2001,312.477525,306.035775
318.782575,310.256575,312.532,306.0541
318.889725,310.281875,312.576025,306.08075
318.91625,310.3464,312.627775,306.10625
318.949675,310.370825,312.658025,306.133525
319.001775,310.41605,312.704775,306.1566
319.095675,310.462175,312.72045,306.176875
319.305175,310.475225,312.7454,306.204125
319.669325,310.4906,312.783925,306.226725
319.7644,310.528725,312.885025,306.246625
319.866475,310.5572,312.930525,306.26495
320.018725,310.5823,312.9472,306.288575
320.0595,310.606475,312.961475,306.31855
320.090625,310.6829,313.059125,306.338375
320.13535,310.742525,313.07675,306.3713
320.242575,310.779425,313.2785,306.38755
320.407125,310.828375,313.310975,306.40865
320.460825,310.858675,313.316375,306.443925
320.543375,310.90225,313.34465,306.470225
320.638975,310.943,313.356275,306.493125
320.7545,310.968175,313.3781,306.5201
320.81185,311.012075,313.56165,306.54445
320.878175,311.0561,313.620125,306.568825
320.9437,311.090025,313.644775,306.59145
321.010575,311.113525,313.672725,306.61455
321.099125,311.16255,313.700775,306.638025
321.159925,311.206225,313.7323,306.669675
321.2501,311.21575,313.7474,306.688675
321.3744,311.2779,313.784575,306.708975
321.735025,311.3068,313.799,306.739225
321.779725,311.336975,313.818225,306.764025
322.174225,311.35965,313.844975,306.79265
322.416775,311.38485,313.919675,306.811575
322.43035,311.42365,313.983525,306.84195
322.46665,311.4455,313.996375,306.8731
322.484575,311.524975,314.01595,306.89455
322.52675,311.5879,314.03295,306.91515
322.57145,311.626975,314.08645,306.945275
322.6894,311.649025,314.10235,306.971675
322.740325,311.68555,314.337025,306.9998
322.896375,311.719575,314.3575,307.021725
322.9359,311.76475,314.4015,307.04345
322.95155,311.7944,314.4388,307.0681
322.980525,311.827425,314.52865,307.1053
323.084975,311.8801,314.556325,307.12505
323.13555,311.90715,314.596225,307.164075
323.247025,311.94245,314.646275,307.190375
323.401675,311.996025,314.685775,307.222825
323.549625,312.062025,314.815025,307.227
323.56865,312.09675,314.8642,307.2562
323.59665,312.126075,314.883825,307.2838
323.684875,312.1585,314.8973,307.309575
323.736075,312.2195,314.9214,307.338325
323.8165,312.2281,314.98275,307.35675
323.85105,312.28555,315.05105,307.377575
323.8772,312.33065,315.184575,307.400175
324.001775,312.378125,315.21445,307.42155
324.02685,312.443075,315.2372,307.448325
324.030775,312.505425,315.288075,307.4837
324.077625,312.543175,315.3079,307.509025
324.10905,312.5787,315.32895,307.524075
324.1616,312.625925,315.380675,307.554025
324.20605,312.666175,315.399475,307.575725
324.2742,312.706025,315.414425,307.601375
324.343525,312.720475,315.53995,307.603575
324.5295,312.750125,315.61825,307.62995
324.5704,312.7807,315.676025,307.6535
324.63985,312.80415,315.716725,307.68015
324.707925,312.839725,315.732225,307.691
324.780825,312.9391,315.7526,307.71645
324.796675,313.002275,315.816375,307.7446
324.8438,313.048275,315.89735,307.78175
324.90105,313.050525,315.92155,307.8026
324.98075,313.0788,315.952825,307.827025
325.02425,313.137275,315.990825,307.84245
325.059075,313.2108,316.020825,307.864175
325.1203,313.2503,316.078125,307.88805
325.180825,313.2785,316.139625,307.9184
325.35755,313.3498,316.193525,307.99285
325.54435,313.41175,316.21845,308.03275
325.616775,313.4456,316.276425,308.05125
325.660725,313.54985,316.313875,308.0719
325.69375,313.645675,316.33195,308.092975
325.8777,313.677025,316.35245,308.114675
325.911025,313.706975,316.3833,308.130075
325.960425,313.757475,316.413275,308.155225
326.002025,313.78965,316.46825,308.189925
326.032425,313.830875,316.51425,308.204625
326.0616,313.87575,316.559625,308.21875
326.31315,313.890575,316.67335,308.233775
326.5121,313.9399,316.7058,308.25885
326.54845,313.966175,316.817775,308.279275
326.5873,313.9777,316.9656,308.30095
326.756,314.018725,317.005575,308.3212
326.8025,314.063225,317.0964,308.336875
326.938025,314.1118,317.116275,308.36635
326.983175,314.2005,317.141,308.384975
327.025875,314.2255,317.148,308.398825
327.18035,314.245625,317.175375,308.42595
327.1889,314.26965,317.206025,308.4483
327.3721,314.334975,317.22075,308.46535
327.60755,314.355975,317.255375,308.48925
327.83675,314.398425,317.282175,308.50905
328.0632,314.424725,317.337375,308.52615
328.0816,314.4645,317.45475,308.554575
328.15295,314.48995,317.489675,308.570625
328.2394,314.5037,317.527275,308.5816
328.2721,314.5396,317.564675,308.595775
328.34915,314.55515,317.60125,308.628225
328.3891,314.57235,317.667875,308.64645
328.463075,314.610675,317.6719,308.677425
328.507775,314.675775,317.698925,308.7014
328.548875,314.715575,317.72445,308.724375
328.6042,314.74425,317.772775,308.74
328.691325,314.77545,317.840625,308.756625
328.7284,314.84975,317.88615,308.784925
328.76325,314.890875,317.90715,308.818625
328.905775,314.9214,317.947025,308.842325
328.928925,314.952,317.9621,308.863225
328.972775,314.9883,317.977325,308.883225
328.999075,315.01095,318.0103,308.906325
329.00485,315.036625,318.03705,308.94045
329.098475,315.06165,318.06525,308.976625
329.1775,315.09025,318.09425,308.994475
329.1941,315.109675,318.114875,309.0169
329.236075,315.151,318.142175,309.0375
329.26505,315.170375,318.1774,309.052825
329.335325,315.20035,318.21445,309.0676
329.366525,315.23825,318.2419,309.0926
329.38585,315.27505,318.30425,309.111475
329.405575,315.3007,318.405125,309.135275
329.6085,315.31775,318.474775,309.166325
329.698275,315.342275,318.504375,309.201025
329.7305,315.394775,318.519925,309.232025
329.863,315.437,318.6264,309.261025
329.9409,315.47875,318.668425,309.2938
330.175925,315.517275,318.6898,309.31465
330.220125,315.5466,318.7974,309.345175
330.289575,315.607725,318.83,309.366175
330.422275,315.649775,318.854225,309.4049
330.494375,315.68705,318.88535,309.4377
330.549525,315.72965,318.903425,309.47115
330.6705,315.771325,318.934225,309.5028
330.7227,315.800775,318.9363,309.519425
330.7999,315.847575,319.0069,309.5405
330.86935,315.8837,319.123675,309.5725
331.009275,315.922225,319.171025,309.6061
331.216175,315.964575,319.244125,309.6399
331.2931,316.05245,319.26745,309.710625
331.3994,316.089525,319.2919,309.72495
331.51295,316.118275,319.3039,309.772
331.5428,316.158525,319.347175,309.79185
331.595375,316.181125,319.4283,309.807
331.696875,316.215575,319.431425,309.809625
331.824175,316.2411,319.4938,309.8288
331.913375,316.296075,319.545875,309.845525
332.04795,316.34895,319.559825,309.869375
332.142575,316.394675,319.658875,309.8876
332.322725,316.43225,319.678175,309.91445
332.397075,316.471825,319.716975,309.9342
332.6025,316.5089,319.74035,309.9624
332.78025,316.543825,319.8076,309.992725
332.8144,316.559625,319.8246,310.014775
332.863625,316.56805,319.8412,310.03315
332.925625,316.599,319.865925,310.0523
332.959275,316.621875,319.87835,310.0808
333.005275,316.652675,320.09565,310.095
333.206075,316.67975,320.18595,310.113775
333.251925,316.712325,320.2532,310.130225
333.310525,316.7457,320.2881,310.152625
333.333325,316.778925,320.32355,310.17325
333.408225,316.809075,320.357825,310.19445
333.4798,316.8416,320.464925,310.219425
333.5012,316.907075,320.500475,310.245575
333.5325,316.9698,320.577075,310.265075
333.559725,317.007775,320.67615,310.294575
333.618575,317.10135,320.768275,310.316625
333.64075,317.136325,320.806725,310.3371
333.699125,317.174,320.83985,310.363325
333.838775,317.2034,320.872525,310.393175
333.9223,317.2252,320.938125,310.4317
333.998725,317.272625,320.967275,310.45875
334.042275,317.31015,321.059625,310.477325
334.09645,317.3286,321.127025,310.5065
334.11375,317.35955,321.1446,310.533375
334.165975,317.3926,321.161525,310.5504
334.194675,317.431275,321.17695,310.577825
334.280775,317.482075,321.2729,310.601775
334.309575,317.511175,321.27765,310.6239
334.33885,317.55275,321.299725,310.638025
334.36565,317.609075,321.37285,310.66195
334.42515,317.670875,321.40445,310.7157
334.44745,317.704075,321.47905,310.74075
334.4823,317.756925,321.49625,310.7588
334.51135,317.776525,321.5164,310.778475
334.545375,317.803525,321.6717,310.809175
334.615975,317.85105,321.742875,310.825225
334.661675,317.90745,321.797275,310.843775
334.729925,317.96005,321.8344,310.868475
334.7601,318.026525,321.921,310.8876
334.83115,318.098075,322.054275,310.91035
334.867425,318.14445,322.137825,310.923525
334.94485,318.20375,322.1992,310.9522
334.96175,318.24105,322.225175,310.972725
335.0263,318.2707,322.313475,310.993725
335.052125,318.304225,322.33405,311.04275
335.0958,318.359425,322.3536,311.0583
335.11855,318.41285,322.3781,311.07145
335.19255,318.4488,322.437675,311.0866
335.288775,318.49475,322.475975,311.1142
335.33085,318.524,322.509975,311.135725
335.373425,318.52755,322.537525,311.15745
335.4338,318.574075,322.563025,311.18475
335.49915,318.5918,322.5864,311.210225
335.54335,318.639025,322.636425,311.241375
335.59645,318.6787,322.650675,311.27285
335.8466,318.7298,322.664325,311.295775
335.929675,318.77935,322.678675,311.30815
335.99825,318.807325,322.7643,311.32795
336.14845,318.86375,322.78765,311.363925
336.1884,318.908775,322.861075,311.389275
336.258575,318.9436,322.89465,311.4126
336.4145,319.012175,322.93255,311.434075
336.472425,319.056925,322.98455,311.454125
336.57325,319.129225,323.009625,311.476575
336.64795,319.15895,323.084775,311.505575
336.7595,319.17295,323.128375,311.533225
336.80555,319.19965,323.151925,311.5359
336.874675,319.263,323.170675,311.55575
336.932775,319.3133,323.319,311.574325
337.041025,319.387575,323.378225,311.595925
337.14245,319.442025,323.4108,311.61405
337.19635,319.5047,323.4393,311.6343
337.256,319.577575,323.461475,311.657875
337.320125,319.6871,323.49795,311.675075
337.4976,319.737375,323.573575,311.698225
337.56545,319.75915,323.60995,311.726925
337.78125,319.80495,323.637275,311.7448
338.199425,319.85405,323.66925,311.76525
338.239425,319.87485,323.730425,311.784525
338.29105,319.936275,323.76835,311.80725
338.342475,319.97435,323.82105,311.829925
338.399275,320.009925,323.837175,311.86155
338.5015,320.0526,323.9069,311.8807
338.54845,320.0784,323.9262,311.90885
338.607375,320.13715,323.95,311.934275
338.68645,320.1756,323.99965,311.953525
338.753575,320.213075,324.02725,311.965025
338.790225,320.253875,324.10445,311.994775
338.836575,320.269525,324.14675,312.025725
338.8917,320.292625,324.181575,312.055775
339.167975,320.311675,324.227025,312.07835
339.372975,320.336825,324.3571,312.0924
339.40985,320.353725,324.38185,312.11555
339.447875,320.395575,324.397,312.137175
339.461975,320.414125,324.412325,312.1472
339.510025,320.44655,324.4337,312.159925
339.6258,320.485275,324.543775,312.18565
339.67475,320.509625,324.585525,312.213225
339.737075,320.5394,324.627675,312.22675
339.7543,320.5636,324.6686,312.25645
339.8836,320.6052,324.7095,312.276025
339.908375,320.64605,324.747275,312.294675
339.9553,320.6951,324.78935,312.3285
340.015825,320.733925,324.8164,312.360525
340.051525,320.767425,324.867175,312.37805
340.071875,320.794725,324.92975,312.40835
340.0865,320.8283,324.957625,312.431625
340.14615,320.88295,324.971375,312.4587
340.227425,320.9164,324.996675,312.49465
340.2563,320.950975,325.04285,312.546675
340.290175,320.98415,325.122975,312.5719
340.4372,321.0156,325.155575,312.585225
340.4967,321.037825,325.217625,312.602925
340.53035,321.0624,325.25675,312.6255
340.5725,321.10815,325.26775,312.642775
340.584875,321.170025,325.318975,312.6677
340.60715,321.224075,325.358325,312.690475
340.63735,321.270225,325.37365,312.722775
340.7408,321.3019,325.47795,312.7465
340.780575,321.338425,325.5286,312.769375
340.870175,321.376,325.5642,312.78925
340.90375,321.417525,325.64495,312.808075
340.928675,321.46465,325.685875,312.835775
340.990025,321.560225,325.704,312.85145
341.017225,321.63105,325.74185,312.885725
341.028325,321.65785,325.7719,312.9061
341.0772,321.712225,325.901775,312.92675
341.1505,321.763925,325.923725,312.95715
341.2283,321.803025,325.988725,312.981925
341.279675,321.84765,326.02445,313.009575
341.4198,321.9133,326.0855,313.044125
341.439125,321.9855,326.110025,313.065575
341.449475,322.043925,326.13045,313.099825
341.5587,322.07905,326.14365,313.113975
341.6165,322.1029,326.2201,313.1321
341.66855,322.189525,326.27205,313.1624
341.707,322.2459,326.303975,313.19575
341.770325,322.292575,326.32745,313.22265
341.792325,322.325375,326.332825,313.256625
341.8648,322.3701,326.35115,313.28245
341.9708,322.3945,326.381875,313.3041
342.098275,322.4188,326.410425,313.345925
342.139,322.4851,326.5062,313.363025
342.211875,322.53225,326.535425,313.388
342.232125,322.588425,326.557425,313.4134
342.331875,322.629175,326.60085,313.44635
342.43515,322.663725,326.621875,313.466325
342.4766,322.714625,326.625875,313.509975
342.505625,322.742425,326.66115,313.558675
342.683675,322.78545,326.709675,313.599525
342.764975,322.84595,326.7349,313.66175
343.047675,322.89885,326.8041,313.6824
343.0624,322.9325,326.829575,313.70415
343.162575,322.959975,326.852325,313.723175
343.2017,322.987,326.91145,313.74
343.247075,323.019375,327.095775,313.765325
343.266375,323.050675,327.15975,313.7827
343.30995,323.075125,327.21865,313.8197
