SPK_SPKC10a,SPK_SPKC10b
0.034425,0.439825
0.075925,0.751975
0.3856,0.78655
0.5214,0.80895
0.5605,0.835375
0.562625,1.6366
0.589425,3.409175
0.592175,3.633375
0.690075,4.9595
0.732875,5.005875
0.75525,5.312725
0.7575,5.3767
0.792875,6.5393
0.826975,6.728825
0.927,6.966475
0.978675,8.145325
0.980725,8.176225
1.102025,8.529525
1.10495,8.770875
1.127425,9.1364
1.13985,9.290425
1.14285,9.728825
1.1785,10.616825
1.2234,10.648975
1.240925,10.9683
1.2898,11.154275
1.292225,11.2495
1.320775,12.211175
1.3232,12.282825
1.327925,13.2105
1.3389,20.7257
1.368425,20.97245
1.408425,26.9642
1.4142,30.337125
1.432375,31.293275
1.436875,31.7103
1.448275,31.941275
1.456975,31.975525
1.464625,37.64105
1.46805,38.7362
1.5029,38.762125
1.50535,39.4597
1.508225,39.499575
1.5429,42.857475
1.5461,43.479875
1.56455,43.877025
1.5667,44.1215
1.594775,52.312975
1.6055,52.70195
1.608075,53.776225
1.61805,54.0905
1.62715,54.843925
1.631075,55.07835
1.6726,55.10805
1.705825,57.33185
1.7203,58.21435
1.7379,58.236275
1.750825,58.251675
1.7598,58.934625
1.77065,58.967375
1.781425,58.968475
1.788925,59.72775
1.799125,59.936525
1.8051,60.0074
1.811625,60.10165
1.8354,60.27505
1.845975,60.3125
1.8715,60.35255
1.8813,63.48055
1.889575,63.51
1.909425,63.952975
2.1273,64.087875
2.12985,64.30045
2.170975,64.373425
2.185075,64.53135
2.22385,64.687625
2.23395,64.730425
2.41075,64.8661
2.433375,64.869525
2.438075,65.27885
2.4682,65.362875
2.766475,65.69595
2.76905,66.088375
2.831525,66.320075
2.834575,66.8991
2.85345,67.814925
2.855675,68.3201
2.8602,71.74815
2.865,71.8333
2.886875,72.58425
2.890675,72.83525
2.971175,72.874875
3.005475,73.557275
3.016725,73.90485
3.019425,75.061425
3.06275,75.0881
3.0864,75.320475
3.091225,76.661325
3.095225,77.0843
3.112825,77.1095
3.1246,77.16155
3.175475,77.184925
3.202475,77.2192
3.248175,79.524225
3.270625,79.577775
3.27415,79.89785
3.288775,79.98215
3.3064,80.476175
3.313175,80.6618
3.3671,84.329875
3.401575,84.548175
3.404125,84.9413
3.416175,85.16205
3.426525,85.415825
3.46935,85.843375
3.477425,86.135775
3.53415,86.258725
3.5566,86.32075
3.56095,86.580025
