SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC10a,SPK_SPKC11a
53.7933,51.7035,50.020925,50.2242
58.85745,52.197425,50.03535,50.669225
61.21265,52.72155,50.0466,50.72435
68.32975,52.965175,50.06205,50.735775
71.490025,53.77595,50.08255,50.8886
72.21225,55.2734,50.099075,50.9506
72.228275,56.76085,50.12455,51.0444
73.561875,59.795375,50.14095,51.187325
74.376625,60.030425,50.157475,51.238925
76.990325,61.042725,50.176525,51.2654
83.34915,61.7521,50.192775,51.31035
84.136075,62.101525,50.2089,51.523025
84.9423,62.44115,50.2242,51.532225
85.055525,63.97705,50.251375,51.70675
85.283525,66.621175,50.272575,51.728075
86.43645,69.0181,50.29595,51.75245
86.464625,72.083475,50.330125,51.779125
87.9553,74.876225,50.37785,51.873975
89.9691,74.935975,50.40155,51.893625
90.369225,75.34485,50.424925,52.029
90.4935,76.780825,50.4415,52.101425
91.60375,77.188425,50.45405,52.1562
91.973375,82.384775,50.473975,52.2471
93.208775,82.419375,50.4868,52.449925
93.28505,83.3467,50.5031,52.6814
93.31925,83.4062,50.531825,52.765725
94.763675,83.48295,50.560275,52.82655
95.6787,85.822375,50.59925,52.91145
96.489775,87.7777,50.72435,53.004475
96.88305,87.800925,50.735775,53.0342
98.09125,91.399925,50.75325,53.0671
98.273275,91.500175,50.774425,53.153
99.15285,93.698375,50.7929,53.18725
99.687675,95.051375,50.805475,53.2431
100.9796,95.21375,50.834875,53.376525
102.896975,96.53025,50.847525,53.74125
103.691,97.23245,50.86405,53.823025
104.165875,97.349025,50.8886,54.258975
104.3307,97.3858,50.90675,54.283525
105.088575,98.3919,50.92205,54.349875
108.019175,98.60785,50.93725,54.403525
108.024675,98.684275,50.9506,54.4786
110.058175,99.65645,50.9692,54.483225
111.089425,101.231575,50.98595,54.559
111.813375,101.909875,50.99415,54.647475
111.820725,103.242675,51.001325,54.69045
112.211975,103.465725,51.01675,54.7467
112.6969,108.042025,51.0217,54.772075
112.83905,108.05625,51.0378,54.97535
113.3473,108.246575,51.076025,54.979
113.8025,110.669225,51.0866,55.04895
114.1493,111.49405,51.099625,55.216325
114.578525,112.108825,51.11015,55.26525
114.590925,112.1397,51.124325,55.7838
115.5785,112.83365,51.1356,55.887225
115.8292,118.2624,51.148375,55.99215
116.338825,118.2822,51.166325,56.039575
117.022525,119.7163,51.173025,56.203625
117.497575,121.59775,51.18735,56.408775
117.93375,121.990225,51.202025,56.498025
118.06795,121.9988,51.228275,57.07165
118.100675,123.5827,51.2346,57.1107
118.5723,125.726025,51.248625,57.326125
119.392625,127.404175,51.26535,57.36715
119.617175,127.5025,51.282725,57.616975
120.157125,127.6106,51.2948,57.65485
120.235375,127.619475,51.31035,57.7546
121.507725,127.6518,51.33015,57.81425
122.8191,128.342425,51.346,58.1672
122.91845,128.35235,51.373225,58.197375
123.90815,128.557975,51.3933,58.4348
124.031425,130.664725,51.406975,58.6402
124.437125,131.11685,51.42355,58.663775
124.99435,132.01095,51.4434,58.74905
