SPK_SPKC07a,SPK_SPKC10a
0.41795,0.0427
1.48875,0.1001
2.4596,0.148025
3.32505,0.239825
3.682075,0.257925
6.56235,0.36015
7.207075,0.399575
10.09525,0.45315
11.375625,0.563325
12.33445,0.5663
13.035175,0.57695
13.3598,0.58905
16.384,0.62425
16.424625,0.66935
16.50395,0.74785
17.217825,0.76965
18.211225,0.79875
19.060575,0.858
19.6373,0.88975
19.6634,1.09715
19.972225,1.1715
21.2268,1.19775
21.41565,1.4235
22.36205,1.46225
22.837975,1.53255
24.601325,1.5482
25.21965,1.642525
28.587675,1.653225
29.893075,1.69935
30.40465,1.71655
32.17325,1.725775
33.68555,1.8323
33.949075,1.854475
34.104075,1.883925
38.28135,1.89385
40.382875,1.909725
42.29975,1.9338
44.168125,1.958625
44.284475,2.0498
44.424025,2.0644
44.695325,2.090575
44.8118,2.103875
45.9287,2.111275
46.311475,2.132125
46.35145,2.1877
50.38015,2.211325
50.514725,2.241725
50.667525,2.2505
54.85225,2.2973
56.3084,2.314675
57.5483,2.336875
61.541975,2.381025
63.3106,2.42265
64.1215,2.432025
65.885925,2.471
67.13875,2.48285
68.44115,2.50805
68.68915,2.53265
69.522575,2.590425
69.76855,2.6079
70.2103,2.7756
70.442525,2.85855
70.632625,2.89795
70.779,2.941075
73.722625,3.0029
74.09745,3.090775
74.195175,3.094375
76.080425,3.16795
79.08905,3.222
79.168325,3.25125
79.41055,3.278025
79.672975,3.327
79.900575,3.451625
83.611125,3.489525
84.546075,3.524475
84.957325,3.5895
85.0341,3.61055
85.130625,3.6313
88.1837,3.663575
91.041375,3.8068
92.3323,3.8371
94.455225,3.885025
95.15735,3.953275
95.569225,3.971575
95.8459,4.001775
95.88965,4.162225
96.199075,4.20225
96.48575,4.22635
96.945475,4.2549
97.13495,4.295725
97.252775,4.34165
97.69405,4.4019
97.857825,4.449525
98.059675,4.558
99.34855,4.585675
102.0282,4.60435
102.975125,4.626325
103.365375,4.7795
104.08535,4.796325
104.828675,4.80835
104.9535,4.835475
105.232825,4.91295
108.20325,4.9367
109.271525,4.991725
109.7284,5.051825
110.050025,5.074875
111.180725,5.101375
112.575325,5.110925
112.888325,5.163
113.1851,5.202875
119.388975,5.238625
120.8787,5.2727
122.337875,5.294425
124.425325,5.32715
124.503925,5.35495
127.5312,5.431825
128.0513,5.5521
128.07965,5.6184
129.600725,5.652725
129.934875,5.681125
130.7815,5.719275
130.920425,5.808
131.135575,5.85115
131.28705,5.9451
131.31955,5.99615
132.124075,6.032775
132.606,6.05495
134.08545,6.09415
134.24745,6.141425
134.515025,6.228325
134.651025,6.240475
137.76075,6.254475
138.14685,6.294475
138.254225,6.34135
138.495325,6.427275
139.106125,6.4517
139.2805,6.502475
139.301675,6.568325
139.524175,6.570125
139.57945,6.66585
141.125125,6.700975
141.4578,6.7279
141.4625,6.784175
142.612575,6.89985
143.05795,6.918125
143.4808,6.95215
143.8457,6.97145
144.06055,7.00525
144.128475,7.030975
144.851175,7.071925
145.761375,7.2516
146.97435,7.263275
148.324275,7.2802
148.414475,7.3304
150.445275,7.4052
150.7251,7.506525
151.185175,7.546825
151.655175,7.5535
151.699825,7.585775
151.75565,7.609175
151.7808,7.616975
151.87955,7.637025
152.7049,7.70775
153.162025,7.7263
153.837525,7.784225
155.0225,7.8222
155.072225,7.84085
155.2132,7.867925
156.796925,7.95395
158.2934,7.9778
161.036725,8.000375
161.29665,8.027875
161.45415,8.0579
161.6075,8.2038
162.950775,8.21595
163.984475,8.228625
164.053725,8.261375
164.3715,8.308275
166.522025,8.34495
167.64915,8.37385
168.094725,8.427225
169.26145,8.4625
169.47415,8.509575
169.856125,8.52905
170.4882,8.561425
171.42685,8.6009
171.552625,8.72035
173.923875,8.852075
173.940425,8.951325
174.84195,8.989225
175.040025,9.011825
175.274025,9.0919
175.482275,9.166225
175.561675,9.2123
175.75575,9.230975
176.76555,9.2642
178.19645,9.333225
179.1426,9.39565
181.9173,9.462875
182.3246,9.526875
182.63975,9.5565
182.91955,9.579
184.403075,9.613675
185.58455,9.65245
187.29795,9.795975
187.410775,9.8104
188.039025,9.819775
188.2087,9.84545
190.008225,9.862275
190.057975,9.882475
190.558075,9.9175
190.792525,9.964525
190.850175,10.003375
192.34595,10.021075
192.45855,10.0508
193.478175,10.073275
193.907225,10.11835
194.746125,10.286675
195.072875,10.331275
195.59025,10.36545
195.8571,10.400675
196.41195,10.416875
196.617125,10.42995
196.701225,10.4892
197.0005,10.511325
197.121825,10.555375
197.474025,10.580425
197.495825,10.60455
197.664675,10.627075
198.797525,10.651675
201.120475,10.668075
201.25615,10.6858
