SPK_SPKC03a,SPK_SPKC06a,SPK_SPKC10a
100.029075,103.3537,100.0136
100.069975,104.944425,100.0265
100.117225,123.4514,100.040075
100.158675,125.25105,100.052725
100.223075,131.29185,100.08365
100.253475,131.93435,100.104075
100.28235,132.93905,100.1378
100.303175,134.591375,100.215325
100.318725,136.677,100.252575
100.33225,137.034325,100.2696
100.34035,137.13535,100.321275
100.3675,138.835775,100.384375
100.416675,139.944125,100.39945
100.442325,145.091775,100.43175
100.462175,145.18695,100.484675
100.48225,145.3821,100.5052
100.501775,145.473625,100.521825
100.533075,146.003225,100.55075
100.5523,148.5911,100.5652
100.57805,151.022775,100.593
100.6009,151.03645,100.635725
100.630175,154.192425,100.645425
100.65185,157.3655,100.656075
100.673,160.250525,100.679325
100.69835,161.06035,100.688675
100.73405,162.92875,100.7012
100.7736,166.4007,100.7471
100.817575,170.34925,100.7579
100.8499,173.5063,100.772425
100.874,173.686675,100.801625
100.8873,173.872975,100.818975
100.91505,174.058925,100.839825
100.9428,175.077175,100.8771
100.977875,175.703925,100.924225
101.0037,179.385975,100.93715
101.02245,190.386,100.946
101.045325,191.042975,100.9737
101.071,191.580925,100.9899
101.0977,193.844675,101.0095
101.11965,193.85285,101.030675
101.14605,198.365175,101.057925
101.178525,199.8116,101.10685
101.191375,202.083625,101.125625
101.211775,202.508175,101.162
101.238825,204.012675,101.1836
101.2594,206.331625,101.1991
101.277625,210.16775,101.219225
101.326,211.860575,101.24835
101.3672,214.736875,101.25815
101.393,215.09275,101.377725
101.4297,215.821675,101.3982
101.459475,217.06975,101.421625
101.496625,219.50465,101.4346
101.519375,220.93455,101.45025
101.5591,221.203175,101.465175
101.5983,221.449625,101.4798
101.65395,223.3184,101.4972
101.705925,227.3913,101.510125
101.73835,228.09035,101.526325
101.777025,232.007,101.5404
101.815425,232.873675,101.55565
101.858725,233.39485,101.6089
101.890475,233.999,101.6507
101.9304,235.0912,101.714325
101.9791,236.483575,101.761925
102.02935,238.566025,101.7765
102.0607,242.701325,101.8098
102.10895,242.9496,101.82945
102.159575,242.995425,101.90425
102.18185,244.316275,101.930525
102.21785,244.323575,101.9661
102.253525,245.0151,101.979475
102.305525,245.50875,102.01255
102.355825,248.726825,102.064025
102.40475,249.5896,102.100675
102.442125,249.78405,102.117025
102.480025,,102.131525
102.50825,,102.142525
102.553675,,102.175675
102.577025,,102.192075
102.631825,,102.207625
102.674875,,102.2475
102.6949,,102.25735
102.714675,,102.2764
102.73645,,102.3115
102.754175,,102.3224
102.78005,,102.39495
102.8032,,102.417525
102.8263,,102.458225
102.848625,,102.476425
102.889175,,102.508375
102.919575,,102.545075
102.942275,,102.567225
102.957875,,102.586675
102.980725,,102.604325
103.005025,,102.6413
103.02355,,102.654375
103.0414,,102.668525
103.06995,,102.6965
103.10935,,102.725125
103.1311,,102.76025
103.1526,,102.77755
103.177525,,102.81325
103.20825,,102.831125
103.2399,,102.8456
103.27395,,102.86015
103.29795,,102.8723
103.3328,,102.88925
103.3672,,102.939425
103.400375,,102.962925
103.4448,,102.975875
103.4742,,102.991725
103.5002,,103.02325
103.540625,,103.037675
103.5711,,103.0525
103.60925,,103.0964
103.64595,,103.1431
103.667325,,103.180275
103.694725,,103.19465
103.71185,,103.23635
103.751625,,103.268175
103.786875,,103.27965
103.8268,,103.336325
103.8625,,103.37
103.892275,,103.385125
103.915525,,103.4473
103.937325,,103.5128
103.952425,,103.553175
103.9824,,103.60165
104.00895,,103.613825
104.040175,,103.637725
104.064625,,103.678925
104.087625,,103.691025
104.106025,,103.7098
104.117775,,103.7349
104.1319,,103.770925
104.14305,,103.78195
104.167525,,103.8265
104.1859,,103.8614
104.211,,103.86865
104.23175,,103.942325
104.25775,,103.971525
104.28345,,103.9878
104.304225,,104.029425
104.321675,,104.041
104.343125,,104.05095
104.3609,,104.06215
104.3866,,104.076775
104.40135,,104.08875
104.426625,,104.099825
104.45505,,104.1291
104.474775,,104.14875
104.501025,,104.16665
104.52,,104.1764
104.538625,,104.20965
104.548075,,104.236375
104.571675,,104.2494
104.59605,,104.264025
104.62315,,104.273625
104.64955,,104.286825
104.674075,,104.3097
104.697625,,104.332125
104.721725,,104.347025
104.7448,,104.429825
104.773025,,104.451275
104.79925,,104.464275
104.8255,,104.50245
104.8521,,104.517225
104.8757,,104.532325
104.897125,,104.54545
104.9162,,104.561925
104.9487,,104.617775
104.97245,,104.636825
104.99715,,104.704975
105.020925,,104.72195
105.04295,,104.746875
105.057,,104.767725
105.081275,,104.787275
105.102675,,104.7994
105.131475,,104.804975
105.155125,,104.83815
105.194775,,104.85255
105.218825,,104.868225
105.246175,,104.913025
105.2696,,104.937475
105.297225,,104.956
105.3224,,105.025825
105.3402,,105.04635
105.364675,,105.0734
105.384075,,105.10535
105.41045,,105.133875
105.4303,,105.16565
105.45205,,105.187925
105.4755,,105.203725
105.501525,,105.222725
105.529825,,105.241225
105.55,,105.266925
105.581775,,105.28865
105.598375,,105.3062
105.622125,,105.35465
105.6411,,105.3743
105.6589,,105.4505
105.70285,,105.49045
105.743025,,105.5083
105.8317,,105.528675
105.8615,,105.548625
105.89695,,105.5741
105.931325,,105.60325
105.9625,,105.61515
105.990475,,105.62675
106.023675,,105.637425
106.061775,,105.645125
106.104075,,105.6526
106.1291,,105.662425
106.161525,,105.676975
106.1994,,105.700675
106.219175,,105.716025
106.25615,,105.73065
106.294975,,105.74775
106.3407,,105.761275
106.394525,,105.791725
106.427825,,105.806725
106.449275,,105.8501
106.4642,,105.8629
106.489925,,105.902475
106.52245,,105.914075
106.564725,,105.9821
106.594125,,105.99405
106.6405,,106.01395
106.682225,,106.094
106.72255,,106.109125
106.7482,,106.124625
106.792175,,106.1471
106.836775,,106.16135
106.863975,,106.182175
106.8948,,106.19535
106.93275,,106.245525
106.963325,,106.2599
107.01965,,106.346025
107.0672,,106.372175
107.09405,,106.393075
107.1127,,106.46375
107.132325,,106.4852
107.175775,,106.500175
107.237825,,106.5132
107.2821,,106.529875
107.295575,,106.553025
107.312975,,106.590575
107.324475,,106.61055
107.351725,,106.622275
107.369225,,106.64265
107.38075,,106.667575
107.399775,,106.688375
107.41745,,106.717075
107.437375,,106.7445
107.456325,,106.7678
