SPK_SPKC08a,SPK_SPKC11a,SPK_SPKC15a
90.206375,90.379325,90.049125
90.4311,90.58095,90.1268
90.6754,91.027075,90.1759
91.78265,91.2842,90.2218
91.960275,91.593475,90.279
92.6715,91.64055,90.32075
92.69195,92.08485,90.3634
93.3967,92.37735,90.381475
93.430975,92.468575,90.399575
93.432725,93.61755,90.4171
93.45745,93.632625,90.4345
94.560775,93.7704,90.451825
94.586525,94.066325,90.4998
94.599275,95.303625,90.526225
94.68275,96.514675,90.5541
94.94,96.58605,90.578325
95.452875,96.69135,90.622275
96.199325,97.262,90.668725
96.3004,97.52935,90.726275
96.482125,98.278025,90.775175
96.7038,98.296425,90.79125
97.42875,98.7854,90.813575
97.517275,98.796525,90.8396
97.550975,98.829225,90.8634
97.75815,99.176975,90.88435
98.17735,99.514375,90.902375
98.307675,99.5946,90.9221
98.443325,99.6679,90.937275
98.9177,99.7823,90.985425
99.2253,99.811125,91.003325
99.261975,100.18885,91.017775
99.29165,100.2104,91.0308
99.5161,100.46105,91.051525
99.539675,100.86205,91.075
99.7332,100.97515,91.0969
100.155175,101.004975,91.113975
100.2336,101.045925,91.145775
100.276325,101.165325,91.16525
100.417275,101.184475,91.18545
100.678225,101.2032,91.2003
101.129475,101.24175,91.2104
101.173425,101.4218,91.25145
101.871275,101.4776,91.26085
101.93405,101.56375,91.271975
101.935125,101.720325,91.285125
102.091625,101.728575,91.299775
102.230975,101.95935,91.325875
102.4108,101.98575,91.3481
102.490225,102.002,91.375625
102.835425,102.42565,91.401475
102.879225,102.48995,91.447625
102.904575,102.58195,91.4706
103.334175,102.660625,91.4947
103.59475,102.7876,91.52185
103.7202,102.910025,91.548775
103.741825,103.040775,91.618
103.7931,103.08785,91.636125
103.96245,103.1424,91.649125
104.0303,103.152725,91.668475
104.16165,103.247075,91.686175
104.274525,103.298725,91.707375
105.255,103.46255,91.716925
106.208675,103.679475,91.7618
106.3735,103.736325,91.773325
106.66125,103.77125,91.79805
107.0124,104.188775,91.8156
107.04855,104.3068,91.83345
107.11725,104.30795,91.844775
107.1864,104.515625,91.867625
107.4426,104.73775,91.881575
107.6544,104.76035,91.9022
107.803625,105.30095,91.934875
108.293825,105.364775,91.953825
108.442975,105.40215,91.97815
108.4673,105.463525,92.0134
108.901475,105.51155,92.033175
108.962025,105.526525,92.047825
109.285075,105.757375,92.070675
109.460025,105.835225,92.095125
109.713825,105.883425,92.1117
109.9211,106.030075,92.1216
110.0256,106.1282,92.135775
110.243175,106.59035,92.16145
110.3549,106.77985,92.1815
110.52775,107.0042,92.211725
110.5648,107.201625,92.237625
110.583725,107.207375,92.276475
110.60965,107.27075,92.29615
110.701575,107.408375,92.316025
110.9581,107.500825,92.340575
111.597225,107.841275,92.36705
111.8512,107.8431,92.39935
112.244475,107.93205,92.4142
112.81025,107.952875,92.427925
113.12405,107.98705,92.445675
113.3249,108.1546,92.464475
113.443175,108.173625,92.5405
113.4968,108.245775,92.623725
113.55025,108.448125,92.67235
114.0502,108.45705,92.70675
114.516575,108.49095,92.725575
114.659625,108.70605,92.754025
114.87485,108.740325,92.77145
115.281325,108.81005,92.784475
115.521025,108.874525,92.80905
116.317575,108.994025,92.8381
116.532975,109.015,92.86915
116.693525,109.146275,92.903075
116.7969,109.198425,92.934175
117.22815,109.235,92.97695
117.2883,109.9644,93.008125
118.1839,110.154875,93.044225
118.4627,110.1818,93.078875
118.656425,110.356825,93.115175
119.56545,110.378275,93.145
119.6371,110.4162,93.169875
119.7384,110.43005,93.253
119.77645,110.446175,93.336375
120.063925,110.623825,93.402425
120.135025,110.646325,93.42055
120.569575,110.712375,93.4387
120.937625,110.76545,93.451275
120.95725,110.836975,93.4644
121.305225,110.89665,93.4829
121.503575,111.0863,93.5017
121.538075,111.22435,93.52885
121.735725,111.4212,93.54565
122.263475,111.61245,93.558375
123.241575,111.696425,93.589775
124.436475,111.76005,93.613475
124.603275,111.8617,93.6361
125.1537,111.97225,93.65265
125.891925,112.070225,93.675275
126.789275,112.2644,93.701975
126.990575,112.399075,93.724225
127.0991,112.785875,93.76965
127.1274,113.274825,93.801825
127.7729,113.315125,93.8451
127.8454,113.333425,93.885275
128.981225,113.683325,93.916825
129.066025,113.702425,93.944575
129.509825,113.861075,93.9682
129.52875,113.9044,93.98525
130.277075,114.36425,93.992025
130.63285,114.392875,93.996575
130.915125,114.609325,94.013275
130.955525,114.700325,94.02015
131.207375,114.8221,94.04045
131.249475,114.93905,94.054
131.30715,115.15015,94.087
131.4613,115.23195,94.129925
131.520575,115.26765,94.1546
131.632325,115.3268,94.183775
132.0192,115.421275,94.2056
132.220375,115.5789,94.222475
132.867875,115.64855,94.244125
132.9018,115.698375,94.262425
133.184875,115.750625,94.281875
133.368625,115.846275,94.2944
134.3353,115.8809,94.3054
134.3747,115.8989,94.333075
134.595775,115.9386,94.3744
134.9392,116.336,94.403425
135.343025,116.387675,94.449125
135.367025,116.453625,94.522025
135.569525,116.695975,94.553525
135.714575,116.76155,94.57445
136.128725,116.82565,94.5875
136.562,116.900625,94.608975
136.70855,116.9188,94.619675
136.769925,116.947375,94.636
136.97105,116.98435,94.672
137.254275,117.0136,94.694225
138.00345,117.069275,94.729925
138.2471,117.16485,94.757125
139.01375,117.272975,94.79015
139.128975,117.33255,94.84215
139.660825,117.460225,94.8844
