SPK_SPKC11a,SPK_SPKC15a,SPK_SPKC15b
0.017225,0.017025,0.0205
0.11855,0.02845,0.04105
0.26225,0.045725,0.118825
0.304475,0.055225,0.141375
0.509175,0.0608,0.171625
0.744725,0.08275,0.265675
0.810875,0.09005,0.449
2.835125,0.09445,0.463175
3.123,0.117175,0.546025
3.413575,0.1881,0.7445
4.328625,0.192675,0.79105
4.402425,0.200175,0.8746
5.469175,0.2238,0.887675
6.2237,0.236975,0.931275
6.284625,0.2431,0.95075
7.0071,0.247375,1.1968
7.187025,0.251225,1.382375
9.17985,0.27945,1.4379
11.56455,0.2998,1.47045
11.68265,0.41,1.525575
14.5286,0.48915,1.551075
15.119425,0.495675,1.619
16.26875,0.5007,1.653825
16.68415,0.5017,1.665
17.569225,0.5081,1.6758
17.846675,0.515225,1.7204
17.94315,0.5212,1.75155
17.9454,0.53245,1.77335
20.61105,0.561125,1.84445
20.965825,0.581725,1.94575
21.149075,0.585925,2.01135
21.34515,0.776325,2.032625
22.0578,0.782975,2.09065
22.15795,0.792975,2.1328
22.395325,0.7976,2.2507
22.9209,0.80265,2.438875
22.974925,0.807675,2.48445
23.30925,0.81425,2.5259
23.6732,0.817575,3.1866
24.02805,0.821525,3.3973
24.41705,0.835575,3.776925
24.7563,0.86085,3.814375
24.8478,0.866375,3.852875
24.97425,0.906725,4.01265
25.116075,0.922075,4.052075
25.6354,0.932675,4.084075
26.829375,0.95595,4.357575
27.89855,0.983,4.393725
29.214275,1.193825,4.441725
29.3524,1.20515,4.744825
29.5523,1.22665,4.9192
29.62895,1.2382,5.01585
30.25035,1.25245,5.096325
30.951325,1.258575,5.1529
30.975225,1.27385,5.21095
31.576375,1.291775,5.4666
31.763175,1.30325,5.4787
31.8036,1.315425,5.527
32.123575,1.3177,5.5742
32.644375,1.33735,5.77705
32.676475,1.399175,5.8437
32.90945,1.41855,5.86805
33.706825,1.44025,5.916
33.79845,1.44745,6.210225
34.80595,1.463275,6.317
34.941725,1.5591,6.379325
34.9869,1.686525,6.46225
35.648775,1.700875,6.478975
36.201525,1.7147,6.546875
36.7376,1.75275,6.6263
36.8672,1.78205,6.715575
36.947675,1.805475,7.054775
37.159725,1.862975,7.1498
38.382825,1.894025,7.17485
38.487525,1.897425,7.3149
38.5824,1.9242,7.3802
39.016925,1.935825,7.4056
39.0613,1.96015,7.4231
39.7193,1.985275,7.4681
40.778625,2.007925,7.781125
41.221025,2.029625,8.09735
41.724425,2.1087,8.208125
42.8283,2.1463,8.368975
43.1676,2.160625,8.417525
43.443475,2.1724,8.56275
43.517425,2.227325,8.724825
43.598,2.244425,8.741625
44.034475,2.24965,8.82325
45.96535,2.335725,9.1203
45.998575,2.3496,9.134625
46.017625,2.3815,9.1507
46.163175,2.390325,9.32825
46.584675,2.398075,9.3558
47.097825,2.4402,9.386175
47.984575,2.448825,9.55865
48.234825,2.530175,9.59565
48.5978,2.623525,9.918825
49.115175,2.807125,10.360475
50.042975,2.814575,10.375025
50.0781,2.81965,10.42825
50.47075,2.8235,10.442875
52.3755,2.84685,10.48675
52.39125,2.85735,10.578
52.651375,2.9816,10.66195
52.9944,3.1039,10.813
53.35005,3.1101,10.891475
53.40455,3.112525,10.929275
53.40875,3.118925,10.987575
53.62945,3.1295,11.507325
53.978875,3.16475,11.52625
54.198625,3.37255,11.66935
54.82905,3.37895,11.71405
55.34785,3.38315,11.736125
55.84645,3.4171,11.7781
56.04555,3.45295,12.02285
56.312425,3.47815,12.043425
56.416325,3.499875,12.30845
56.758375,3.507625,12.323175
56.915125,3.53215,12.385925
57.6647,3.566575,12.4242
57.77255,3.5834,12.526075
58.0458,3.608225,12.563375
59.896125,3.6825,12.6679
60.1787,3.803775,12.69915
60.526125,3.8321,12.823575
61.59465,3.904325,12.88155
62.285125,3.930375,13.00125
62.74225,3.937475,13.0313
62.80335,3.955375,13.293475
62.993575,3.991775,13.329
63.11975,4.014725,13.3393
63.333625,4.03025,13.3863
63.4393,4.0578,13.46715
63.8919,4.067125,13.585975
64.2728,4.106425,13.642475
64.3805,4.346825,13.70355
65.3569,4.367775,13.735
65.3806,4.38535,13.8049
65.888925,4.427325,13.827225
66.2856,4.478025,13.8713
66.2877,4.49565,14.285625
66.42315,4.51075,14.349275
66.8897,4.54905,14.44985
67.55855,4.655275,14.510475
67.697825,4.725725,14.534025
67.842225,4.742825,14.576775
67.958825,4.781525,14.6257
67.99135,4.787675,14.897275
68.0378,4.876425,14.92815
68.337075,4.8783,15.09965
69.6513,4.88715,15.182975
69.7629,4.9155,15.362725
70.134825,4.976025,15.378375
70.470775,4.99235,15.401175
70.50125,5.010125,15.65385
70.544275,5.032775,15.828625
70.65635,5.064025,15.887575
70.77645,5.106125,15.91065
71.04135,5.10745,16.463025
71.489125,5.1815,16.5333
72.6341,5.4749,16.636025
72.760775,5.486775,16.6759
73.423925,5.503525,16.937075
73.572775,5.5164,16.977575
73.5959,5.608325,17.366125
73.77125,5.727325,17.384
73.84805,5.756025,17.473975
73.97725,5.779175,17.49775
74.1283,5.807025,17.50705
74.154525,5.830575,17.539375
74.227775,5.8351,17.965525
74.653875,5.84725,17.996675
74.836175,5.854275,18.05945
75.089775,5.897525,18.0991
75.5014,5.94505,18.108825
75.987625,5.976025,18.12375
76.062575,5.991,18.153475
76.1939,6.085525,18.48075
76.2744,6.209025,18.509875
76.950575,6.217525,18.523575
77.168675,6.2235,18.583
78.119775,6.22925,18.631725
78.567075,6.235275,18.7742
78.689825,6.241425,18.875
79.06565,6.244825,18.956975
79.4551,6.2848,19.095
79.625575,6.293525,19.11985
80.2622,6.308475,19.179675
80.4458,6.31835,19.296225
80.57575,6.3338,19.492925
81.294475,6.335025,19.7195
81.576775,6.386625,19.828375
81.84105,6.48415,19.8667
83.068625,6.50025,19.94315
83.261125,6.509275,20.142575
83.812675,6.572475,20.255375
83.8512,6.963975,20.284125
83.9037,6.980975,20.599775
84.0795,6.985775,20.6603
84.890975,6.9897,20.69245
85.4763,7.004375,20.720075
85.52805,7.006875,20.75085
85.69895,7.0196,20.828
85.919575,7.1553,20.845275
85.947975,7.197225,20.88255
85.993775,7.27065,21.014375
86.69865,7.32535,21.0442
86.711625,7.360025,21.097425
86.79325,7.364725,21.2803
86.872525,7.4179,21.372775
87.0402,7.673975,21.393575
87.419,7.67715,21.4741
87.8571,7.730875,21.502
87.90995,8.054475,21.643675
88.3975,8.08505,21.7051
89.225625,8.096275,21.7642
89.65275,8.1218,21.968125
89.683825,8.2053,22.075325
89.798575,8.225675,22.123025
90.027225,8.247375,22.152475
90.0559,8.2527,22.196525
90.1825,8.2635,22.2297
90.218875,8.291925,22.268575
90.3362,8.307375,22.32025
90.415325,8.31965,22.3782
90.655725,8.34815,22.42255
91.119025,8.36415,22.4965
91.129925,8.3764,22.55405
91.52245,8.403875,22.608575
91.984525,8.436675,22.699225
92.035425,8.45595,22.81975
92.08665,8.5136,22.883225
92.41075,8.514625,22.917375
92.86685,8.532275,23.08475
94.202675,8.74655,23.136475
94.9565,8.7562,23.154775
95.170325,8.77485,23.25835
95.373725,8.800375,23.303925
95.429625,8.808975,23.4675
95.578375,8.8154,23.505975
96.03095,8.851425,23.5567
96.1705,8.889575,23.5851
96.4139,8.895675,23.69775
96.457925,8.986975,23.824525
97.112775,9.137075,23.86705
97.251625,9.1435,23.96055
97.28595,9.1585,23.9995
97.31705,9.194225,24.215375
97.5808,9.2046,24.239925
97.688875,9.206425,24.259775
98.314875,9.2103,24.2962
98.484325,9.21475,24.35515
99.274225,9.22755,24.426
99.831975,9.25765,24.46505
100.35305,9.340475,24.64345
100.37765,9.400975,24.78515
101.276125,9.43355,24.842675
102.041875,9.484625,24.940475
102.142375,9.610025,24.96325
102.575525,9.6344,24.9969
103.035675,9.929225,25.085
103.20445,9.943725,25.141575
103.38215,9.946475,25.2016
103.785575,9.950675,25.285925
104.215875,9.9679,25.457725
104.65525,10.3175,25.49105
105.299375,10.3566,25.556225
105.392875,10.364425,25.619
