SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12a,SPK_SPKC13a
50.0713,52.258675,50.8167,50.4236,50.0627,50.785225
50.6359,59.879525,52.068575,51.245175,50.22145,50.98385
51.409425,60.832925,53.26705,52.25845,50.4236,51.41215
52.01985,69.972975,53.758125,52.686425,50.687225,52.079525
52.421925,77.746075,55.75745,54.1873,50.8129,52.3679
54.143975,80.817025,56.241125,54.75435,50.871875,53.10825
54.43535,82.3211,59.879525,55.71025,51.05855,53.7466
55.10765,84.46305,60.77495,56.21935,51.2452,53.83805
56.322525,85.658475,60.8329,56.362075,51.304575,54.453525
56.62545,90.8502,62.33935,56.768475,51.34985,55.42395
57.657925,92.7476,63.14255,57.87395,51.9099,55.597875
57.8408,94.2964,64.060625,59.440025,51.934825,56.087575
60.8174,95.97105,65.219675,60.08955,52.291975,56.095625
61.09545,96.6851,65.430775,60.712125,52.3485,56.24085
62.75775,96.7249,67.55895,61.1889,52.392125,57.4943
65.330975,97.237325,68.5916,61.76,52.70215,57.668925
66.1726,97.280625,71.57905,62.26095,52.751225,57.82115
67.548575,99.54345,82.2753,62.952475,52.826675,57.981275
67.771925,101.2797,86.066025,62.9724,52.90545,58.10635
70.14185,101.866425,88.63215,63.207475,52.977525,58.912625
70.44875,103.021325,90.850175,63.9762,53.03145,59.2208
71.4599,105.08615,92.427475,64.422125,53.6308,59.295025
71.793675,105.598675,93.0451,64.656825,53.670025,59.305675
73.04055,107.331825,97.374425,64.7155,53.77455,59.574375
73.94425,108.287525,100.155,65.03105,53.84045,59.768825
79.49995,110.3951,102.76585,65.2771,53.9863,59.926325
80.413225,112.310525,105.62155,65.5178,54.122225,60.00585
80.42295,114.527975,109.327475,65.7917,54.13955,60.161625
80.811975,115.59685,112.3105,65.829725,54.187325,60.36525
81.250125,116.8669,116.108675,65.99845,54.230975,60.7174
81.3295,118.9263,117.42105,66.064625,54.43005,61.0137
81.382875,119.164575,119.73075,66.165375,54.476625,61.43505
81.514775,119.73075,127.421,66.491125,54.499025,61.834975
81.56605,121.36805,129.973575,66.58555,54.678725,62.01935
82.034325,122.5201,133.29045,66.86115,54.833225,62.169925
82.74035,123.14615,133.368725,66.96305,55.02025,62.526125
82.78745,123.305725,139.25585,66.995425,55.068125,63.7637
83.311825,124.294975,145.86685,67.031925,55.101725,63.923925
83.792675,126.490725,148.067575,67.293675,55.12705,64.13205
84.5916,127.84545,150.3636,67.342525,55.261725,64.2381
84.836775,131.895825,164.500975,67.45,55.422975,64.64185
84.879675,132.7748,181.616475,67.48715,55.44385,64.879325
85.92155,133.368725,183.16445,67.52565,55.53475,64.9537
86.182675,135.788925,,67.5635,55.577775,65.343375
86.6697,136.334925,,67.90405,55.920275,65.4422
87.51045,142.92275,,67.97985,55.9779,65.655225
88.007925,143.0047,,68.463625,56.132075,65.8242
88.134125,144.240175,,68.504725,56.32225,66.20765
88.829075,144.599025,,68.776225,56.3621,66.2456
89.514025,145.629525,,68.904925,56.718825,66.260125
89.774825,145.7302,,68.9588,56.768525,66.34605
89.9811,146.313925,,69.14345,56.84425,66.4236
90.092575,146.7766,,69.301125,57.570025,66.915925
90.67165,147.230325,,69.418075,57.60735,67.069425
90.6906,149.725,,69.642975,57.6219,67.1099
91.377325,150.18485,,69.86435,57.664425,67.16375
91.593175,151.360225,,69.899475,57.809125,67.68805
93.379025,153.3165,,70.0135,57.9188,67.991175
93.525325,153.750575,,70.131725,57.9382,68.1028
93.576675,160.162025,,70.270725,58.103925,68.56515
93.8698,163.576425,,70.373025,58.480325,68.65915
94.270975,164.462625,,70.702325,58.514,68.761925
94.37525,165.56145,,71.24645,58.645075,68.9576
94.61205,165.79365,,71.486925,58.77255,68.978975
94.694225,166.0711,,71.542775,58.9588,69.005725
94.79855,167.02575,,71.5732,59.016375,69.09565
95.433,168.63985,,71.63125,59.0337,69.55915
95.785,169.504825,,71.7421,59.098775,69.667675
95.841425,169.540975,,71.92135,59.120075,69.71645
96.109925,173.0649,,71.9633,59.3686,69.909975
96.722675,174.040075,,72.10545,59.4305,70.011525
97.2703,175.697525,,72.25005,59.44005,70.027225
97.67765,175.9969,,72.341825,59.762225,70.154775
97.982375,176.00385,,72.416325,59.789225,70.225975
98.329,182.869225,,72.516825,59.80935,70.466275
98.3731,183.1829,,72.556875,60.047475,70.85155
98.783925,185.5044,,72.693875,60.246025,71.38915
98.9066,185.928625,,72.81525,60.6294,71.564925
98.969125,186.2219,,72.86955,60.67735,71.693325
99.46065,186.50355,,73.06555,60.832775,71.92565
99.825775,188.141375,,73.129775,60.925575,71.966375
99.94525,189.0573,,73.200775,61.163875,72.21235
100.543375,189.8387,,73.306625,61.587375,72.348
100.6706,,,73.40655,61.760025,72.393925
100.735375,,,73.423075,61.90085,72.463875
100.877125,,,73.458925,61.9748,72.59715
101.00445,,,73.4858,62.006575,72.728825
101.10075,,,73.50905,62.34665,72.807475
101.6837,,,73.559875,62.5003,72.82525
101.974125,,,73.6837,62.8511,72.84195
102.1955,,,73.7183,62.9525,72.985275
102.220925,,,73.8379,63.474525,73.062225
102.4423,,,73.939925,63.520175,73.265225
102.57015,,,74.00675,63.624675,73.42145
102.74695,,,74.12775,63.821025,73.5327
103.1465,,,74.178025,63.97625,73.823875
103.1552,,,74.203625,64.422175,73.9041
103.4206,,,74.252275,64.62425,74.049175
103.8206,,,74.2702,64.6568,74.164275
103.962,,,74.3183,65.031075,74.25765
104.01035,,,74.346525,65.07705,74.457825
104.4417,,,74.361875,65.680125,74.5324
104.94935,,,74.403625,65.908725,74.8273
104.994325,,,74.449975,66.165425,75.029175
105.79825,,,74.5523,66.4142,75.09835
105.864025,,,74.626375,66.601825,75.23435
106.1247,,,74.661925,67.22655,75.41125
106.346675,,,74.74875,68.77625,75.479425
106.612525,,,74.853325,68.90495,75.8684
106.916125,,,74.9697,68.958825,75.870575
107.13135,,,75.3036,69.418125,75.908775
107.20565,,,75.469175,71.48695,76.0346
107.404975,,,75.703325,71.6313,76.13935
107.489825,,,75.824075,71.921375,76.30195
107.560825,,,76.01255,73.406575,76.449525
108.055875,,,76.07595,73.718325,76.5368
108.086875,,,76.167825,74.969725,76.642775
108.302225,,,76.21225,75.538425,76.7122
108.47765,,,76.324725,77.84795,76.8634
110.25755,,,76.420375,78.37015,76.928175
