SPK_SPKC02a,SPK_SPKC07b,SPK_SPKC09a
100.01445,100.030175,100.0027
100.029675,100.0968,100.02705
100.049,100.134575,100.061575
100.0677,100.18615,100.082825
100.084975,100.208825,100.09745
100.0934,100.239275,100.121775
100.10975,100.2697,100.14575
100.13425,100.31,100.1688
100.1467,100.33865,100.19695
100.162175,100.368325,100.21495
100.17945,100.3878,100.22625
100.20915,100.4132,100.25535
100.2276,100.434975,100.282575
100.2416,100.460575,100.299675
100.25645,100.49185,100.3214
100.273925,100.554225,100.342275
100.287725,100.582175,100.370625
100.32105,100.6063,100.3978
100.351325,100.64385,100.41345
100.369375,100.678625,100.437075
100.396225,100.71095,100.4561
100.424375,100.733125,100.473725
100.438875,100.76585,100.491425
100.4623,100.811475,100.508675
100.4745,100.8295,100.528475
100.49035,100.860275,100.552975
100.5007,100.952825,100.577
100.510225,101.0024,100.59525
100.531375,101.037675,100.62485
100.55,101.05645,100.653025
100.563825,101.126075,100.669025
100.583825,101.213075,100.684925
100.595425,101.26845,100.708575
100.6081,101.3002,100.734325
100.62245,101.328125,100.76525
100.635325,101.349325,100.79175
100.6513,101.38595,100.81825
100.665025,101.46425,100.845125
100.681275,101.48265,100.881725
100.689725,101.518375,100.902175
100.70205,101.550175,100.9315
100.717875,101.576275,100.95735
100.734225,101.601275,100.9871
100.74665,101.6326,101.0184
100.76285,101.669225,101.046275
100.7655,101.71145,101.08405
100.7827,101.739,101.1127
100.797425,101.775025,101.144525
100.8103,101.7998,101.18225
100.824575,101.822375,101.2072
100.843175,101.845375,101.23525
100.866275,101.87805,101.265975
100.880175,101.897825,101.302725
100.898525,101.919425,101.342075
100.915275,101.955375,101.369925
100.932325,101.981825,101.404575
100.949025,102.0192,101.444425
100.965025,102.05,101.476775
100.98615,102.078925,101.495225
101.02445,102.100875,101.5288
101.039975,102.128525,101.55525
101.0579,102.205575,101.59665
101.07665,102.239975,101.62845
101.094525,102.283925,101.661375
101.108725,102.31935,101.6963
101.12505,102.3552,101.727475
101.140775,102.389825,101.760675
101.16365,102.40935,101.79065
101.17725,102.4432,101.827025
101.1954,102.484875,101.8554
101.2105,102.52845,101.887175
101.227275,102.5826,101.909975
101.242025,102.6238,101.948925
101.2634,102.6541,101.99355
101.27635,102.695125,102.036625
101.292475,102.7232,102.08345
101.314175,102.763975,102.111075
101.332775,102.781375,102.1514
101.35115,102.82575,102.182875
101.3635,102.841725,102.220325
101.382925,102.873,102.26465
101.39895,102.9019,102.303325
101.41305,102.9526,102.344625
101.4287,103.0056,102.37865
101.476975,103.0312,102.4049
101.500825,103.05375,102.44545
101.512375,103.0804,102.480625
101.528375,103.114375,102.535125
101.538325,103.136975,102.58
101.569075,103.174975,102.615525
101.585125,103.205325,102.637525
101.60165,103.233325,102.6669
101.6143,103.267675,102.693225
101.6349,103.308375,102.7277
101.676125,103.3491,102.761125
101.701725,103.379125,102.780675
101.71745,103.413825,102.7905
101.750925,103.443925,102.80795
101.770775,103.470375,102.826975
101.80365,103.500375,102.8435
101.818275,103.5291,102.860475
101.8399,103.553875,102.88895
101.869575,103.620625,102.917475
101.88615,103.6694,102.94665
101.90365,103.69215,102.9664
101.917275,103.7235,102.997125
101.947525,103.745275,103.015775
101.960575,103.776775,103.031625
101.974775,103.804725,103.04805
101.9967,103.83345,103.0698
102.0124,103.859925,103.086725
102.0326,103.928425,103.110925
102.049725,103.954625,103.131025
102.0662,103.98985,103.15395
102.0799,104.019675,103.1754
102.0973,104.0504,103.21145
102.11265,104.07975,103.250575
102.1341,104.11335,103.282175
102.151725,104.14575,103.309175
102.1722,104.1951,103.335675
102.1876,104.217025,103.356025
102.206075,104.254525,103.38525
102.2167,104.277625,103.41735
102.232875,104.308,103.4376
102.24735,104.34385,103.46355
102.26475,104.3687,103.486825
102.32805,104.391725,103.5151
102.35055,104.428275,103.5461
102.363075,104.471275,103.57225
102.37995,104.49775,103.611075
102.397075,104.554275,103.643675
102.407725,104.587175,103.683075
102.42085,104.615125,103.70645
102.441075,104.646575,103.73475
102.4648,104.678075,103.7748
102.48265,104.70295,103.81
102.5043,104.727225,103.8587
102.519325,104.758125,103.88295
102.537775,104.798425,103.906225
102.555675,104.82735,103.936325
102.57295,104.8782,103.961975
102.5885,104.912475,103.993275
102.600825,104.97335,104.0262
102.615725,105.024225,104.059475
102.6285,105.063225,104.1363
102.6436,105.1217,104.18415
102.6604,105.15305,104.210325
102.6733,105.189925,104.243775
102.688475,105.23135,104.301275
102.70395,105.25435,104.351725
102.71915,105.29135,104.39475
102.75295,105.33275,104.432025
102.767625,105.3704,104.472775
102.7808,105.4142,104.5083
102.791575,105.442575,104.53515
102.802375,105.48005,104.564525
102.81585,105.55755,104.601725
102.82765,105.585075,104.6387
102.838875,105.6016,104.6644
102.851775,105.6329,104.697025
102.864575,105.658075,104.737825
102.87945,105.676975,104.761
102.903575,105.703875,104.8001
102.921625,105.73505,104.83605
102.93575,105.771075,104.877325
102.9643,105.791275,104.8996
103.006075,105.813475,104.9239
103.01645,105.8358,104.938175
103.04595,105.87885,104.952375
103.0599,105.9256,104.966175
103.070475,105.96025,104.9783
103.089025,105.979975,104.994225
103.10025,105.99535,105.010025
103.112825,106.034025,105.0358
103.127925,106.05605,105.06315
103.139675,106.098175,105.0941
103.163625,106.142475,105.12035
103.1832,106.169725,105.1536
103.2061,106.198625,105.1939
103.24015,106.223175,105.2141
103.257725,106.256775,105.239175
103.2921,106.282075,105.2543
103.30655,106.3109,105.279475
103.32595,106.334825,105.309725
103.35875,106.376975,105.3455
103.3921,106.414425,105.386825
103.42565,106.447775,105.4114
103.438775,106.494725,105.43545
103.45735,106.5341,105.45845
103.472025,106.557225,105.490875
103.493925,106.5861,105.521225
103.5116,106.62855,105.5443
103.5279,106.670675,105.56945
103.5484,106.70025,105.5945
103.56485,106.74,105.6155
103.581625,106.768575,105.646175
103.596175,106.803125,105.6774
103.6142,106.825325,105.69545
103.627825,106.86455,105.718525
103.646175,106.9008,105.745525
103.6806,106.958625,105.773525
103.696725,106.994025,105.8026
103.7177,107.0326,105.8284
103.7333,107.063925,105.851275
103.7556,107.0986,105.882475
103.770325,107.13395,105.9145
103.78885,107.1603,105.94875
103.80845,107.18825,105.975475
103.830675,107.232775,105.993725
103.848875,107.27305,106.0211
103.88325,107.301225,106.04115
103.90075,107.330625,106.075475
103.91775,107.360275,106.09985
103.9368,107.393575,106.131125
103.949075,107.412875,106.151625
103.965725,107.4612,106.187075
103.9828,107.499875,106.21465
103.9995,107.524575,106.248525
104.01325,107.5565,106.2841
104.0361,107.604825,106.309075
104.049825,107.632,106.34115
