SPK_SPKC01a (no effect),SPK_SPKC05a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC09a (no effect),SPK_SPKC12a (excited),SPK_SPKC13a (excited)
0.0081,0.024325,0.0042,0.040075,0.042325,0.036175
0.047425,0.06165,0.014875,0.05285,0.0852,0.065975
0.0673,0.144875,0.0238,0.1164,0.1638,0.085175
0.082075,0.2189,0.035525,0.178525,1.203375,0.101625
0.212625,0.23085,0.09955,0.229975,1.284975,0.115175
0.294225,0.311675,0.132625,0.232575,1.332225,0.1282
0.415375,0.32815,0.14955,0.2619,1.500075,0.144375
0.87755,0.4975,0.164175,0.277425,1.54065,0.15935
1.06185,0.5093,0.195625,0.29595,1.867825,0.341
1.137775,0.6147,0.21125,0.3326,1.986625,0.35865
1.208,0.7147,0.22435,0.401325,2.76095,0.391825
1.251975,0.776975,0.238975,0.447325,3.2149,0.4208
1.2852,0.8559,0.257175,0.49125,3.7682,0.522425
1.356125,0.89335,0.274875,0.525475,3.774575,0.5511
1.382875,0.906025,0.299425,0.557525,3.847325,0.569275
1.40945,0.9116,0.3148,0.656825,4.4491,0.585175
1.51495,0.968475,0.33595,0.67535,4.4858,0.60145
1.726775,0.9962,0.3535,0.711775,4.6549,0.6214
1.750325,1.01055,0.404275,0.7355,4.765875,0.6456
1.896625,1.08335,0.462,0.885225,4.802575,0.667225
2.02085,1.2012,0.484,0.919525,4.994625,0.68905
2.30655,1.2224,0.51005,0.944225,5.101125,0.719575
2.376875,1.259075,0.563175,0.99265,5.116975,0.7362
2.549575,1.287,0.582475,1.024025,5.855975,0.755475
2.653675,1.36395,0.6014,1.085625,6.060175,0.772175
2.7336,1.409675,0.64085,1.150475,6.070675,0.796125
2.777675,1.444775,0.678025,1.1702,7.89695,0.843475
2.9751,1.475675,0.6898,1.228275,9.6795,0.86545
3.02155,1.4841,0.7056,1.26285,9.9362,1.02115
3.14315,1.52605,0.730675,1.302825,11.07935,1.20845
3.219025,1.6052,0.7477,1.3153,11.135975,1.221825
3.292625,1.70335,0.7678,1.32165,11.14435,1.237375
3.331025,1.7554,0.782425,1.3455,11.26315,1.251175
3.515575,1.8492,0.8004,1.36465,11.441125,1.26295
3.521075,1.8567,0.819725,1.3868,11.7964,1.276325
3.591175,1.8896,0.8514,1.417175,11.869375,1.288775
3.6284,1.960075,0.862825,1.4747,11.92415,1.30685
3.6808,2.052575,0.887525,1.5031,11.99505,1.3322
3.7064,2.06745,0.90925,1.527975,12.046925,1.35465
3.714375,2.0827,0.9388,1.549,12.304025,1.376975
3.7215,2.103025,0.9442,1.572175,12.47365,1.39435
3.760625,2.144675,0.958925,1.6013,13.37115,1.418525
3.77345,2.224925,0.97965,1.6128,13.529325,1.421125
3.785875,2.29115,0.9957,1.695,14.702775,1.441175
3.804675,2.320175,1.00975,1.750625,14.91825,1.4573
3.8514,2.509325,1.036075,1.9007,15.26685,1.481925
3.873025,2.624175,1.049775,1.9388,15.74485,1.50005
3.893475,2.702725,1.066075,2.03945,16.81535,1.524525
3.910675,2.74925,1.0792,2.054675,16.905375,1.540625
3.926875,2.794375,1.099975,2.0918,16.970975,1.562875
3.9543,2.79645,1.115875,2.115375,17.107725,1.5777
4.0499,2.832825,1.1391,2.1525,17.670025,1.606875
4.087975,2.857975,1.158425,2.29495,18.132125,1.62835
4.158625,2.894675,1.17295,2.353425,18.9787,1.643975
4.1919,2.916775,1.2024,2.441575,19.06105,1.67365
4.232625,2.97535,1.2137,2.45475,19.108475,1.6984
4.31205,3.03245,1.223375,2.582075,20.4147,1.838825
4.383,3.131725,1.234775,2.621175,20.809675,1.88765
4.43635,3.154175,1.2456,2.644675,22.229825,1.958975
4.47895,3.245475,1.25585,2.683825,22.97245,2.031875
4.52375,3.2625,1.267575,2.711725,22.977875,2.07905
4.52495,3.295375,1.28535,2.80875,23.122375,2.116625
4.556925,3.318725,1.298075,2.8298,23.156775,2.236825
4.5852,3.456075,1.3104,2.90285,23.17035,2.254875
4.5897,3.473375,1.319075,2.9136,23.76765,2.2822
4.667325,3.51595,1.33095,2.9271,23.8541,2.306875
4.68875,3.5358,1.3472,2.94755,23.886475,2.3408
4.711075,3.55645,1.360575,2.98485,23.914325,2.4082
4.73415,3.630975,1.377125,3.123875,23.967575,2.472575
4.753475,3.700825,1.388075,3.1518,24.0041,2.4878
4.783175,3.7191,1.399625,3.21495,24.278025,2.504975
4.80195,3.72845,1.441075,3.237875,24.6045,2.54135
4.807275,3.768975,1.455425,3.2514,24.640525,2.589175
4.8226,3.781725,1.471675,3.265175,24.652975,2.628525
4.8633,3.7851,1.482325,3.286875,24.7919,2.6443
4.895,3.79235,1.51585,3.3069,24.806275,2.69305
4.959875,3.856025,1.53945,3.309525,24.830225,2.713825
5.0829,3.86975,1.5635,3.32655,24.89085,2.75445
5.13585,3.903125,1.5827,3.38255,25.02255,2.795625
5.174975,3.950775,1.6108,3.409025,25.2204,2.974975
5.238175,3.979725,1.6228,3.4159,25.6058,2.994425
5.290925,4.025475,1.6503,3.51165,25.951,3.019475
5.843825,4.061525,1.6755,3.530125,26.160925,3.0367
5.8989,4.104625,1.694575,3.6044,26.89215,3.058625
5.92735,4.134925,1.712925,3.621425,27.1145,3.120725
