SPK_SPKC05a (inhibited),SPK_SPKC08a (excited),SPK_SPKC10a (no effect),SPK_SPKC12a (excitation + inhibition),SPK_SPKC12b (inhibited),SPK_SPKC14a (excited)
0.00185,0.022275,0.26035,0.02395,0.013825,0.00725
0.02705,0.04255,0.610325,0.06765,0.053125,0.033825
0.040775,0.07495,0.62995,0.09015,0.082675,0.03755
0.0574,0.098075,0.80195,0.134725,0.100125,0.081625
0.07675,0.130825,0.95375,0.176025,0.17335,0.089075
0.13035,0.170925,1.2774,0.28085,0.194825,0.48685
0.15625,0.191675,1.3374,0.359825,0.206775,0.598
0.189875,0.222675,1.4338,0.4085,0.232525,0.922225
0.23365,0.2456,1.625625,0.67395,0.235425,0.962725
0.27465,0.267675,2.41295,0.7249,0.270125,1.275
0.289825,0.344875,3.1084,0.746675,0.298175,1.41225
0.31665,0.388,5.16235,0.8611,0.308925,1.43335
0.342725,0.409225,5.24045,0.882975,0.342175,1.50385
0.366675,0.443125,5.913925,0.901875,0.3717,1.6418
0.3804,0.460025,6.0979,0.954625,0.389775,1.795975
0.405725,0.54005,6.271075,0.990175,0.428125,2.088275
0.436725,0.568975,6.33105,1.049525,0.440025,2.129925
0.45825,0.618025,7.5077,1.1245,0.45105,2.181175
0.476775,0.64845,7.849325,1.17125,0.46525,2.248475
0.506475,0.685775,9.2838,1.2895,0.4885,2.352725
0.556925,0.7226,9.653975,1.355825,0.503025,2.404225
0.57575,0.7763,9.980025,1.428525,0.5066,2.44185
0.618075,0.8645,10.087625,1.4687,0.51635,2.48285
0.638,0.9101,10.4512,1.632475,0.532625,2.498925
0.6691,0.999125,10.7229,1.6684,0.550425,2.6281
0.723275,1.233175,10.8776,1.7568,0.562,2.694525
0.762775,1.2754,11.34915,1.882975,0.5767,2.7952
0.787625,1.315675,11.35155,1.918275,0.584125,2.889125
0.82305,1.331675,12.006625,1.979025,0.6104,2.9323
0.848625,1.36825,12.651925,2.0228,0.6454,3.24645
0.869575,1.385875,12.657925,2.097675,0.6599,3.26395
0.891325,1.4142,13.113825,2.270525,0.679675,3.462175
0.915825,1.44995,13.883775,2.30245,0.7016,3.81955
0.94065,1.477375,14.054025,2.492725,0.728975,4.1508
0.958525,1.521575,14.680525,2.52155,0.741125,4.218075
0.9742,1.5679,15.08195,2.544325,0.75735,4.437
0.9938,1.60915,15.0878,2.564225,0.774675,4.79345
1.01215,1.634475,15.644975,2.579575,0.801075,4.881975
1.0548,1.65875,15.796575,2.686525,0.812425,4.9815
1.0706,1.698225,15.8271,2.78995,0.827375,5.016725
1.090775,1.7195,15.8825,2.82895,0.85425,5.038525
1.1128,1.774575,16.085575,3.038575,0.87785,5.1999
1.1529,1.820475,16.122025,3.07,0.910425,5.408425
1.164875,1.860525,16.14835,3.110425,0.92335,5.49185
1.1917,1.8936,16.275925,3.181325,0.9298,5.5644
1.203075,1.947625,16.494325,3.2099,0.934675,5.7321
1.25585,2.05235,16.519375,3.23095,0.947975,5.758525
1.259875,2.073275,17.14745,3.258075,0.96125,5.777125
1.29295,2.110225,17.22445,3.335325,0.982975,5.8072
1.310275,2.13385,17.2547,3.465875,1.005325,5.831225
1.33795,2.152425,17.549925,3.575375,1.026875,5.844825
1.3616,2.1904,17.731825,3.594875,1.0482,5.868275
1.379825,2.231275,18.002875,3.613325,1.071625,5.8886
1.409925,2.273325,18.230825,3.8121,1.0936,5.90655
1.419125,2.296675,18.35625,3.85295,1.1054,5.921175
1.44205,2.330925,18.547975,3.91645,1.115625,5.94895
1.48125,2.365075,19.2976,3.9925,1.1335,5.97115
1.5362,2.403025,19.41405,4.04655,1.169475,6.010075
1.559775,2.416025,19.59505,4.18075,1.1831,6.0236
1.580975,2.431875,19.628725,4.22525,1.1984,6.040175
1.626175,2.4498,19.639975,4.257075,1.2143,6.272
1.642175,2.499125,19.989075,4.293975,1.225275,6.333125
1.689975,2.53565,20.12125,4.334175,1.24425,6.371975
1.719075,2.551525,20.167225,4.351275,1.2644,6.633675
1.732025,2.5816,20.391,4.4035,1.298575,6.80635
1.792575,2.62745,20.4639,4.474025,1.322625,6.848675
1.8061,2.670125,20.69845,4.551275,1.34595,7.58365
1.8281,2.7292,20.928525,4.633575,1.3764,7.852375
1.8529,2.752325,21.0717,4.821125,1.413475,7.875275
1.88705,2.7696,21.108725,4.962225,1.493425,7.978775
1.9481,2.79095,21.219825,5.05605,1.508575,8.104125
1.95915,2.808875,21.255575,5.1332,1.51405,8.1563
1.9948,2.870425,21.2959,5.202775,1.528,8.182225
2.01575,2.90115,21.34235,5.309,1.568675,8.19985
2.0565,3.0057,21.42635,5.3362,1.593275,8.215475
2.059425,3.075525,21.4938,5.3557,1.607425,8.227525
2.082225,3.158275,21.66565,5.557175,1.62825,8.249125
2.100175,3.21475,21.726975,5.61285,1.64195,8.2639
2.119925,3.23285,21.9852,5.6666,1.664475,8.290525
2.1522,3.25425,22.1331,5.716325,1.68425,8.344225
2.16495,3.280425,22.19375,5.7327,1.696675,8.365
2.19125,3.32105,22.594175,5.776325,1.698325,8.39735
2.222025,3.348975,22.643825,5.811875,1.70955,8.4222
2.2426,3.38285,22.809175,5.868025,1.72455,8.443375
2.272425,3.40675,22.846325,6.061525,1.7667,8.484775
2.301375,3.437425,23.0023,6.147675,1.77925,8.52135
2.316675,3.45865,23.07335,6.219675,1.790925,8.560525
2.352,3.504875,23.32535,6.306325,1.8088,8.61375
2.3718,3.568325,23.4397,6.3547,1.824175,8.6393
2.38555,3.5835,23.722725,6.518725,1.8842,8.669675
2.397775,3.62505,23.742975,6.67485,1.9022,8.70795
2.40645,3.6435,23.8863,6.727225,1.937875,8.7365
2.428625,3.703925,24.162625,6.757825,1.9433,8.758775
2.4645,3.7273,24.483025,6.9741,1.96905,8.78355
2.498325,3.7417,24.8493,7.004625,1.990175,8.789875
2.515575,3.7848,25.220925,7.04105,2.00775,8.809575
2.52675,3.799275,25.56995,7.0732,2.02585,8.8288
2.536075,3.8159,25.6206,7.138475,2.041725,8.845525
2.561075,3.8264,25.69295,7.204775,2.058075,8.85835
2.57725,3.866675,26.18795,7.245275,2.070975,8.89495
2.5971,3.886725,26.411125,7.304675,2.10185,8.9218
2.61455,3.913325,26.5833,7.351675,2.103975,8.96935
2.63525,4.008425,26.986875,7.3955,2.115675,8.993375
2.661625,4.10255,27.016775,7.459175,2.12605,9.039125
2.687525,4.124875,27.134725,7.507425,2.142875,9.116025
2.713175,4.245225,27.228525,7.5552,2.219,9.158725
2.749425,4.2617,27.253925,7.5856,2.2303,9.2621
2.770775,4.29115,28.043025,7.635525,2.242225,9.29765
2.79205,4.30915,28.1132,7.6638,2.25845,9.32955
2.805175,4.3309,28.1519,7.68865,2.278275,9.350175
2.825325,4.343225,28.216725,7.725275,2.310875,9.3514
2.8595,4.34935,28.3055,7.8009,2.323025,9.3812
2.89715,4.358,28.508725,7.853875,2.339125,9.397
2.93715,4.3985,28.596875,7.864725,2.381925,9.39945
2.979575,4.445425,28.7911,7.89045,2.402675,9.410025
2.999825,4.493625,29.02565,7.9532,2.42275,9.42125
3.03005,4.5259,29.24075,8.00095,2.43555,9.43815
3.09415,4.547425,29.367125,8.09765,2.455475,9.448525
3.123475,4.5919,29.5264,8.17635,2.4804,9.459875
3.132925,4.639425,29.792525,8.18775,2.518175,9.469175
3.1577,4.701275,29.893575,8.2123,2.570125,9.5011
3.1598,4.7463,29.965425,8.301425,2.58855,9.568025
3.19155,4.82,30.006825,8.384975,2.5994,9.61035
