SPK_SPKC02a (inhibited),SPK_SPKC02b (excited),SPK_SPKC06a (no effect),SPK_SPKC15a (NA)
0.001775,0.014125,0.008075,0.0023
0.035325,0.05445,0.019725,0.011075
0.045875,0.07245,0.071875,0.024225
0.062875,0.09135,0.0802,0.030475
0.0773,0.11345,0.0899,0.033175
0.131275,0.115175,0.0959,0.040225
0.160925,0.1209,0.1108,0.058725
0.18895,0.134275,0.12805,0.072
0.210625,0.1598,0.136425,0.077725
0.224975,0.1785,0.1527,0.08555
0.251875,0.2064,0.1648,0.091775
0.2722,0.230825,0.1807,0.0986
0.2909,0.241925,0.204975,0.1076
0.311575,0.282575,0.24235,0.11635
0.334375,0.318625,0.25695,0.1207
0.3553,0.360225,0.27235,0.1257
0.3739,0.384125,0.286325,0.1296
0.3958,0.41235,0.2957,0.13335
0.414275,0.462275,0.3088,0.1387
0.42915,0.47,0.3228,0.14245
0.4373,0.47665,0.338725,0.1486
0.4523,0.513925,0.3634,0.15505
0.48645,0.534625,0.3735,0.1647
0.5062,0.5555,0.386325,0.1691
0.519325,0.569575,0.396025,0.182675
0.54595,0.59975,0.4088,0.190125
0.559775,0.6101,0.428725,0.194075
0.587025,0.643475,0.4451,0.2045
0.617925,0.67915,0.468675,0.214825
0.62865,0.684525,0.4918,0.221075
0.6399,0.71285,0.505975,0.226375
0.6561,0.715,0.5199,0.2544
0.669425,0.73275,0.53545,0.276425
0.693825,0.740625,0.54255,0.284975
0.7852,0.7944,0.5509,0.301225
0.800925,0.821425,0.564575,0.30815
0.811475,0.851825,0.572875,0.316425
0.82,0.85845,0.58485,0.325575
0.842675,0.879525,0.593925,0.3321
0.867825,0.883575,0.60295,0.34385
0.917,0.8897,0.62005,0.354425
0.92445,0.893975,0.638,0.36515
0.9502,0.908725,0.660375,0.37255
0.9582,0.909725,0.69095,0.380475
0.968875,0.920825,0.691975,0.3894
0.99825,0.9314,0.700475,0.41915
1.04185,0.94135,0.72375,0.4267
1.05575,0.96515,0.737425,0.43155
1.09205,0.9804,0.746025,0.43975
1.1145,1.0456,0.766325,0.446925
1.12425,1.079525,0.7772,0.4552
1.1314,1.10215,0.809225,0.466475
1.13875,1.1297,0.82185,0.475725
1.14505,1.164125,0.8346,0.4856
1.15085,1.1784,0.8498,0.500825
1.156025,1.195125,0.85895,0.509025
1.172075,1.210475,0.86975,0.522
1.23775,1.241975,0.8762,0.541225
1.260675,1.25115,0.8866,0.55335
1.27275,1.264025,0.8978,0.5698
1.2935,1.287875,0.93475,0.577875
1.300775,1.306175,0.9491,0.590425
1.3124,1.327625,0.955,0.6
1.376525,1.337275,0.962,0.607
1.390625,1.3427,0.967825,0.62185
1.393275,1.35475,0.97365,0.65105
1.424225,1.357975,0.979875,0.66765
1.470575,1.3804,0.9924,0.68535
1.49275,1.401275,1.00545,0.695875
1.507225,1.41395,1.018175,0.707225
1.529525,1.537825,1.028875,0.7142
1.566375,1.5744,1.038075,0.72335
1.593675,1.627675,1.0465,0.732575
1.623325,1.686975,1.061775,0.745225
1.625075,1.7134,1.078275,0.752925
1.6445,1.720825,1.085675,0.7736
1.67835,1.80895,1.094,0.79325
1.731325,1.854125,1.104825,0.80505
1.74785,1.863625,1.10815,0.8269
1.797675,1.88885,1.11255,0.8489
1.8273,1.928325,1.1181,0.85815
1.88215,1.98295,1.124575,0.865125
1.900525,2.008075,1.132225,0.874675
1.919175,2.0116,1.1427,0.887225
1.955725,2.039075,1.1461,0.906225
2.02915,2.05295,1.1491,0.921075
2.046475,2.0913,1.1511,0.929725
2.062,2.1216,1.15245,0.9367
2.07955,2.16095,1.15945,0.946425
2.098725,2.216775,1.198525,0.9642
2.149125,2.258575,1.20805,0.987575
2.193725,2.302025,1.221725,1.00145
2.2325,2.3597,1.250725,1.01695
2.260825,2.407725,1.29225,1.02715
2.3083,2.42845,1.306725,1.0334
2.358475,2.471275,1.31735,1.040975
2.3942,2.529975,1.34315,1.045975
2.4974,2.601975,1.36865,1.0506
2.55665,2.639425,1.382975,1.0555
2.6181,2.6701,1.392325,1.06085
2.655425,2.686325,1.3983,1.065575
2.6984,2.709275,1.403675,1.0708
2.79405,2.7154,1.40755,1.0791
2.86575,2.743975,1.411775,1.084475
2.9665,2.74715,1.416625,1.104725
3.073,2.781875,1.4232,1.117625
3.119225,2.809275,1.4284,1.131725
3.150025,2.820725,1.439575,1.145225
3.2366,2.8333,1.4622,1.1562
3.345825,2.888175,1.48135,1.167125
3.42745,2.8909,1.49415,1.174275
