SPK_SPKC03a (inhibited),SPK_SPKC07b (inhibited),SPK_SPKC08b (no effect),SPK_SPKC08c (excited),SPK_SPKC10a (weak inhibition)
0.025025,4.568275,0.01135,0.007725,0.007775
0.044325,5.43445,0.0458,0.054875,0.01855
0.049,7.11925,0.134075,0.102525,0.03565
0.07935,7.2936,0.157675,0.17945,0.043675
0.0928,8.274725,0.222975,0.1985,0.05495
0.1032,8.739425,0.355275,0.213425,0.0637
0.11605,8.78515,0.388875,0.260925,0.0739
0.1218,9.909975,0.4541,0.4211,0.090225
0.135375,12.7901,0.4891,0.445875,0.102575
0.159175,14.066025,0.5238,0.49515,0.114375
0.175575,14.372875,0.612175,0.5544,0.131175
0.194125,15.13225,0.64865,0.58625,0.14645
0.209925,15.267525,0.6772,0.684325,0.16595
0.22745,17.629825,0.70655,0.73425,0.179525
0.2419,17.671375,0.741875,0.74405,0.2135
0.253275,18.60145,0.78905,0.811425,0.233175
0.2774,20.10155,0.85825,1.02235,0.260975
0.3007,20.251325,0.9217,1.04375,0.2963
0.315925,20.523775,0.978875,1.1362,0.337275
0.332325,20.7857,1.01345,1.15245,0.36305
0.362525,20.8137,1.039875,1.16655,0.386675
0.381325,23.26315,1.090125,1.204075,0.42115
0.387775,23.565175,1.1197,1.2235,0.445925
0.406925,24.45615,1.1575,1.275925,0.460025
0.415375,25.25285,1.222,1.2919,0.4952
0.4245,25.695025,1.2555,1.3162,0.50765
0.441325,25.7187,1.2904,1.33905,0.538675
0.46495,25.982375,1.386525,1.349425,0.55445
0.4883,27.559,1.46025,1.360275,0.5863
0.50045,28.209675,1.50465,1.4004,0.6317
0.529125,28.690125,1.53205,1.5928,0.6646
0.555775,28.735125,1.583525,1.623075,0.684425
0.5788,28.867,1.631775,1.685925,0.7149
0.602125,30.422475,1.698175,1.7194,0.730475
0.622675,30.5746,1.74105,1.733625,0.744125
0.634825,30.8548,1.790675,1.77775,0.775025
0.6431,31.200075,1.827175,1.828775,0.811475
0.6549,32.265325,1.8917,1.981075,0.846725
0.67715,33.3545,1.935225,2.00195,0.88415
0.694475,33.746075,1.98765,2.073375,0.91185
0.72195,34.067275,2.0563,2.09115,0.93735
0.734325,34.597125,2.1553,2.1199,0.9626
0.748325,34.73775,2.2571,2.186925,0.97485
0.7608,34.839275,2.3014,2.251175,0.986725
0.78115,35.893275,2.3423,2.277175,1.004075
0.813575,36.009075,2.38605,2.29145,1.022425
0.824225,36.4307,2.452175,2.3549,1.043825
0.83865,37.08105,2.537875,2.4881,1.0652
0.856075,37.1846,2.579825,2.501075,1.0839
0.867025,37.3299,2.613625,2.571775,1.098375
0.8765,37.752775,2.6504,2.6077,1.125025
0.8874,38.12485,2.69965,2.6386,1.136275
0.8966,38.453775,2.73075,2.69665,1.1525
0.914075,38.72515,2.760075,2.75635,1.183325
0.921675,39.206425,2.7872,2.79965,1.203475
0.93415,39.5345,2.843825,2.8744,1.22355
0.950325,40.183925,2.909625,2.89485,1.25105
0.960325,40.9313,2.94175,2.947325,1.275975
0.98,41.02705,2.9545,2.9572,1.3046
0.990425,41.07555,2.96695,3.137075,1.316275
1.0101,41.149475,2.979325,3.250175,1.32765
1.033125,41.352975,3.0274,3.2703,1.339125
1.045075,42.2593,3.041625,3.37395,1.350025
1.065025,42.792625,3.063725,3.503775,1.360325
1.0753,44.04235,3.0843,3.59255,1.3727
1.082375,44.333375,3.11245,3.607875,1.3883
1.093925,44.334575,3.138325,3.668925,1.4165
1.118675,44.4047,3.158375,3.69685,1.446775
1.1418,45.41155,3.197375,3.7174,1.46355
1.150575,45.88565,3.22025,3.764775,1.4747
1.1741,46.0318,3.2481,3.957875,1.48975
1.17975,46.84105,3.283625,4.008725,1.5043
1.207575,46.93745,3.335925,4.0261,1.522925
1.22655,47.2446,3.349575,4.037525,1.557575
1.243725,47.935375,3.3616,4.06035,1.602975
1.268075,48.00235,3.37645,4.075325,1.6126
1.2902,48.55485,3.3948,4.179825,1.62315
1.3001,48.8782,3.412075,4.31095,1.6321
1.31135,49.177325,3.4603,4.334325,1.65205
1.3387,49.25795,3.522275,4.363125,1.6611
1.354275,49.387825,3.56375,4.547025,1.6731
1.369,49.454575,3.6834,4.630625,1.685975
1.3858,50.161025,3.707925,4.708075,1.714175
1.3999,50.82125,3.7467,4.994425,1.733675
1.420725,50.89375,3.78225,5.015275,1.750125
1.4427,51.192375,3.828775,5.061275,1.7778
1.4648,51.2481,3.87415,5.259475,1.79415
1.48095,51.468575,3.92315,5.294725,1.815275
1.497025,51.536575,3.952925,5.33845,1.846875
1.502575,51.66265,4.058625,5.351225,1.86385
1.52835,51.709825,4.098325,5.372575,1.887275
1.541675,51.84975,4.167025,5.40315,1.9028
1.561675,51.93055,4.2181,5.461925,1.92035
1.574375,52.2322,4.248125,5.743,1.9387
1.594325,54.1691,4.298425,5.86245,1.9535
1.6015,54.62765,4.321975,5.882675,1.96785
1.62275,54.756425,4.43545,5.951675,1.981175
1.647525,54.798375,4.495075,6.0393,2.002
1.668525,55.6456,4.523375,6.246075,2.0239
1.6827,56.0397,4.53975,6.272975,2.03465
1.693675,56.98425,4.56075,6.321075,2.051625
1.708125,57.0681,4.5917,6.35405,2.06385
1.7278,57.16625,4.6539,6.3772,2.082275
1.75205,57.394025,4.70025,6.404475,2.11065
1.770125,57.444725,4.75935,6.425725,2.119975
1.787025,57.502775,4.824575,6.45625,2.132375
1.8047,57.818925,4.8729,6.677725,2.1419
1.8172,58.152125,4.93195,6.70075,2.1524
1.83015,58.46085,5.183525,6.733375,2.177325
1.862225,58.98705,5.2307,6.851425,2.186975
1.8741,59.886425,5.25175,6.902575,2.208625
1.884325,59.9171,5.3044,6.921225,2.251225
1.911375,60.02455,5.365675,6.944975,2.2673
1.924775,60.06985,5.4121,7.165425,2.277225
1.93815,61.18325,5.46595,7.383425,2.2915
1.965975,61.45695,5.570925,7.4591,2.302375
1.980775,61.49045,5.65575,7.466225,2.314075
1.985125,61.51685,5.74625,7.604425,2.32875
2.01395,61.589425,5.907025,7.620675,2.343825
2.025825,61.62955,5.9794,7.64295,2.354975
2.035575,61.70715,6.02475,7.664675,2.369025
2.05785,62.34085,6.1675,7.6933,2.378575
2.0741,62.471075,6.20545,7.85205,2.4136
2.104475,62.53055,6.25145,7.911,2.488175
2.1088,62.82355,6.3199,7.93685,2.505425
2.1264,63.893975,6.362,7.9555,2.52085
2.145875,64.2118,6.3924,8.000325,2.547875
2.156475,64.72125,6.448375,8.05665,2.56045
2.171325,64.754025,6.5012,8.150925,2.57185
2.191925,64.865575,6.542225,8.21105,2.5836
2.207425,65.025125,6.585525,8.474775,2.594075
2.22255,65.2564,6.6336,8.506625,2.607775
2.239325,65.3947,6.66055,8.5338,2.617325
2.251375,65.46135,6.6875,8.58195,2.638675
2.2725,65.875125,6.7594,8.76095,2.663725
2.294475,65.9072,6.802175,8.77395,2.676225
2.3149,66.0329,6.8277,8.85415,2.68725
2.322375,66.078975,6.954875,8.8687,2.696725
2.339875,66.1571,7.003175,8.8861,2.7088
2.356175,66.328925,7.073775,8.97755,2.721425
2.378425,66.570375,7.116625,9.029275,2.736475
2.38935,66.6379,7.146,9.0532,2.756425
2.405025,67.32405,7.192775,9.11115,2.769275
2.42415,67.867525,7.2658,9.130575,2.782275
2.43485,68.5754,7.332875,9.154875,2.799725
2.440175,68.826775,7.3673,9.43205,2.827
2.464225,69.220775,7.428775,9.494,2.8378
2.4744,69.42125,7.45725,9.589575,2.874425
2.49385,69.622775,7.497925,9.604975,2.8949
2.503025,69.789475,7.518375,9.62825,2.9105
2.509925,70.336375,7.540875,9.652275,2.931225
2.516275,70.7398,7.57155,9.7612,2.957275
2.537775,70.9938,7.617975,9.792575,2.974025
2.54505,71.30015,7.655475,10.006075,2.996675
2.573225,71.5836,7.6796,10.054625,3.016775
2.5882,71.713775,7.70945,10.1207,3.045925
2.603775,71.90245,7.76425,10.20555,3.0849
2.6222,72.4674,7.799275,10.260375,3.109575
2.645825,72.882625,7.858575,10.482125,3.137125
2.6675,73.062075,7.91,10.5277,3.158275
2.6969,73.17165,7.95775,10.570175,3.17635
2.7103,73.2949,7.9938,10.60445,3.19155
2.73895,73.421875,8.032025,10.6387,3.207725
2.77625,73.5291,8.078725,10.6793,3.21755
2.789225,73.83045,8.120625,10.84095,3.22665
2.802875,73.968375,8.1685,10.9449,3.23475
2.821625,74.0033,8.2401,10.956125,3.24065
2.8376,74.394925,8.277025,10.982925,3.250225
2.853275,74.751625,8.3172,11.01595,3.260975
2.86665,75.004325,8.364425,11.0384,3.26995
2.882175,75.13645,8.441175,11.078625,3.275525
2.911425,75.346975,8.519275,11.1117,3.293
2.925025,75.37165,8.602325,11.1242,3.298475
2.945425,75.440225,8.635325,11.13655,3.3139
2.955325,76.028875,8.6691,11.1523,3.323325
2.96705,76.540875,8.719625,11.220675,3.33255
2.97715,76.8726,8.797525,11.24505,3.34875
2.98335,76.96875,8.84095,11.319025,3.358725
2.9945,77.484275,8.9856,11.54195,3.385625
3.005775,77.7747,9.028075,11.75475,3.398875
3.019325,78.0382,9.069575,11.801725,3.4317
3.0311,78.421225,9.092025,11.8135,3.45665
3.03885,78.44645,9.180475,11.8577,3.480525
