SPK_SPKC02a (no effect),SPK_SPKC02b (weak excitation),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect)
0.0325,0.86865,0.025675,0.05295
0.041825,1.057925,0.120925,0.142775
0.04825,1.11875,0.1573,0.16635
0.063075,2.3617,0.2234,0.194
0.07315,2.52515,0.292475,0.341575
0.087975,2.7444,0.332875,0.4209
0.10495,2.996225,0.440475,0.526075
0.112675,3.1001,0.57945,0.540925
0.11925,3.23915,0.748375,0.60085
0.136925,3.3161,0.7737,0.700725
0.1485,3.328575,0.94485,0.7144
0.164275,3.752175,1.011025,0.715825
0.171675,4.066425,1.08755,0.79115
0.179925,4.53335,1.16085,0.891975
0.195925,4.6591,1.19135,0.937725
0.208525,4.876575,1.303,1.1667
0.2242,4.913125,1.3361,1.201525
0.231675,4.91705,1.4065,1.333275
0.24515,5.054275,1.4344,1.3992
0.255875,5.25045,1.46555,1.4117
0.272625,5.317575,1.61995,1.522975
0.2832,5.490375,1.655725,1.53305
0.305025,5.643775,1.698725,1.6269
0.3174,6.133275,1.7405,1.628475
0.341775,6.40325,1.77685,1.69315
0.357925,6.4515,1.928,1.80215
0.368375,6.646175,2.037675,1.831
0.375125,6.8554,2.0522,1.8851
0.39385,7.241175,2.09005,1.917625
0.40355,7.541425,2.11815,1.92675
0.42555,7.684375,2.16705,1.93325
0.4315,7.7544,2.2702,2.07105
0.454975,7.770075,2.2935,2.11625
0.4746,8.50575,2.3231,2.1389
0.49675,8.5394,2.3566,2.24235
0.5121,8.6747,2.388925,2.25575
0.543975,8.8,2.424,2.347525
0.551225,8.99445,2.485925,2.406025
0.56125,9.086525,2.5108,2.423175
0.5717,9.37425,2.541,2.44915
0.589825,9.512925,2.56605,2.505525
0.60465,9.62225,2.596325,2.595475
0.612575,9.631525,2.61995,2.88525
0.627475,9.722475,2.6771,3.009025
0.64825,9.727575,2.754425,3.0406
0.668375,10.08985,2.778325,3.053925
0.6885,10.1157,2.79635,3.077075
0.696475,10.5235,2.857375,3.082975
0.711,10.59555,2.88535,3.1273
0.7369,10.78175,2.98675,3.215925
0.74935,10.911225,3.018225,3.270525
0.7636,11.167275,3.092225,3.35465
0.77585,11.23905,3.115375,3.4036
0.7848,11.32545,3.1475,3.4088
0.79605,11.433275,3.171275,3.421075
0.80545,11.634975,3.19165,3.4662
0.8232,12.368075,3.42415,3.570875
0.846575,12.482225,3.459625,3.6849
0.85895,12.76945,3.48835,3.7628
0.8891,12.80975,3.535525,3.769625
0.9118,12.878725,3.59135,3.79125
0.91965,12.938525,3.62025,3.81425
0.944025,13.00305,3.7347,3.82555
0.9619,13.1253,3.7561,3.882225
0.9758,13.218575,3.84745,3.922675
0.9873,13.497425,3.887125,3.95255
0.9984,13.77565,3.920325,3.965425
1.02,13.9404,3.952725,3.97685
1.031775,14.048525,3.9799,4.110575
1.046725,14.169825,4.024725,4.167625
1.081625,14.23265,4.04455,4.18155
1.101325,14.2895,4.11315,4.1858
1.112,14.7525,4.142075,4.244475
1.124875,15.44015,4.1776,4.343525
1.1448,15.959775,4.24175,4.3759
1.160675,16.1181,4.2795,4.38465
1.1694,16.174225,4.308075,4.387725
1.176775,16.2695,4.339575,4.449025
1.1985,16.662825,4.3871,4.46785
1.211075,16.8316,4.408875,4.469075
1.243275,16.92135,4.436875,4.521975
1.256625,16.986375,4.54815,4.58065
1.26885,17.203725,4.62225,4.6556
1.28215,17.306375,4.711125,4.700675
1.307825,17.735175,4.743125,4.713275
1.3214,17.7962,4.817475,4.79965
1.339875,17.901425,4.8549,4.856125
1.357275,18.080125,4.889475,4.98595
1.37165,18.398825,4.924075,5.037525
1.379125,18.5503,4.9878,5.08285
1.416425,18.556575,5.016675,5.114125
1.4367,18.65075,5.042875,5.181675
1.455,18.89985,5.07665,5.2653
1.4708,18.970325,5.137975,5.322125
1.49225,19.2245,5.1581,5.42165
1.4995,19.79455,5.173325,5.471475
1.513575,19.904225,5.221175,5.481475
1.534575,20.0968,5.2799,5.619975
1.5606,20.245975,5.3907,5.648275
1.579075,20.525175,5.4782,5.6766
1.589725,20.83145,5.50815,5.718825
1.5994,21.1942,5.518375,5.7459
1.6287,21.838875,5.54715,5.833575
1.6379,21.8872,5.599725,5.87435
1.651775,21.889625,5.62445,5.899975
1.672725,21.968075,5.670375,5.976325
1.68415,22.2466,5.70215,6.0078
1.694975,22.587125,5.7343,6.022975
1.7049,22.7493,5.755125,6.044425
1.71635,22.771125,5.789,6.104375
1.726,22.867975,5.831925,6.203425
1.759025,23.22645,5.865225,6.221225
1.78545,23.3985,5.89465,6.250625
1.795575,23.6042,5.92145,6.2595
1.8152,23.754175,5.979125,6.339025
1.83395,23.942375,6.0776,6.3523
1.8552,24.71755,6.250725,6.385375
1.884,25.117725,6.301825,6.41905
1.893475,25.290825,6.346775,6.435375
1.91575,25.51575,6.389,6.460725
1.9312,25.756475,6.415075,6.513975
1.95435,25.95075,6.42945,6.665875
1.96965,26.399325,6.4844,6.7126
1.98725,26.72495,6.5065,6.724775
1.997175,26.93445,6.540225,6.735875
2.00705,26.93985,6.60595,6.7416
2.020525,27.319825,6.64185,6.914475
2.054475,27.359075,6.665475,6.97755
2.067425,27.468725,6.689625,6.99445
2.071225,27.566825,6.716575,7.17355
2.083525,27.778975,6.7515,7.239725
2.095475,27.936175,6.8236,7.305575
2.11645,27.958025,6.8452,7.3755
2.1314,28.155175,6.8736,7.390725
2.1403,28.168775,6.92585,7.41825
2.15315,28.17105,6.968625,7.43785
2.164425,28.187425,7.01345,7.696025
2.1708,28.2127,7.066525,7.72305
2.18335,28.27595,7.167075,7.769225
2.192625,28.346525,7.203175,7.806625
2.219125,28.6174,7.285825,7.8404
2.23335,28.801325,7.3605,7.975225
2.243475,28.913425,7.412625,8.012575
2.265175,28.931225,7.4544,8.049875
2.27615,28.99295,7.491775,8.070275
2.295625,29.104475,7.49965,8.1549
2.302275,29.16915,7.532575,8.168275
2.31285,29.260625,7.562175,8.1958
2.324775,29.286325,7.633425,8.21705
2.343325,29.314875,7.665475,8.2228
2.3512,29.4099,7.704125,8.23065
2.36005,29.499825,7.807875,8.3086
2.36885,29.52835,7.826925,8.368025
2.37785,29.63865,7.83975,8.3803
2.40435,29.687675,7.897425,8.415425
2.41965,29.7446,7.90455,8.457575
2.426475,29.809925,7.94565,8.467025
2.433775,29.82625,8.00035,8.468275
2.447175,30.233375,8.03885,8.539925
2.463825,30.322575,8.0684,8.57155
2.471425,30.77835,8.09845,8.63685
2.4802,30.841825,8.126075,8.7324
2.488,31.0101,8.18825,8.7581
2.494725,31.1354,8.225775,8.8097
2.505775,31.441,8.259725,8.82455
2.51655,31.4772,8.37595,8.892025
2.527825,31.523625,8.444475,8.89675
2.54175,31.6887,8.48425,8.91255
2.561125,31.693,8.655575,8.9522
2.58415,31.78325,8.707425,8.979825
2.593775,31.8306,8.753325,9.019925
2.600225,31.914025,8.855325,9.030875
2.61595,32.05835,8.894075,9.052525
2.6323,32.064675,8.91815,9.0798
2.639575,32.08755,8.9533,9.102725
2.64835,32.1052,8.9623,9.2017
2.664525,32.16325,8.9977,9.287525
2.6746,32.18505,9.070475,9.3356
2.685675,32.31405,9.0726,9.4888
2.70065,32.3295,9.1106,9.516575
2.710725,32.5582,9.149375,9.5597
2.71685,32.70635,9.18265,9.6359
2.722925,33.110925,9.20745,9.670475
2.7418,33.175825,9.2725,9.682125
2.7501,33.276,9.322925,9.719075
2.76115,33.328675,9.392725,9.73655
2.7717,33.371625,9.424525,9.759225
2.7932,33.483775,9.494625,9.850725
2.79925,33.604325,9.52295,9.9032
2.80435,33.6437,9.552625,9.9413
2.812775,33.8712,9.63865,9.959825
2.825725,33.893275,9.6611,9.99035
2.83705,33.947175,9.689425,10.013925
2.851775,33.99195,9.783275,10.07515
2.862625,34.0015,9.809375,10.0988
2.868975,34.04035,9.850175,10.113775
2.886275,34.0452,9.8909,10.16865
2.89835,34.099425,9.96105,10.1961
2.9072,34.151925,9.996975,10.254025
2.922525,34.1566,10.074075,10.326375
2.932825,34.17935,10.173525,10.346675
2.941725,34.21565,10.2123,10.3722
2.9524,34.446025,10.246225,10.423375
2.974725,34.4549,10.284225,10.452875
2.989325,34.4691,10.28535,10.5119
2.998625,34.4726,10.3029,10.517625
3.003775,34.563975,10.370125,10.5391
3.00965,34.631475,10.397975,10.59715
3.025625,34.785025,10.409225,10.654725
3.034925,34.874,10.526925,10.69375
3.055975,34.9467,10.58255,10.709375
3.078175,35.1377,10.611,10.719925
3.088325,35.163675,10.660775,10.760175
3.1162,35.301425,10.847825,10.77345
3.125875,35.3087,10.904525,10.793925
3.135625,35.418575,10.9411,10.813475
3.1446,35.433125,11.05705,10.874475
3.1592,35.623625,11.092025,10.956825
3.1688,35.717,11.115625,10.9831
3.1701,36.546775,11.27675,11.03655
3.178925,36.554875,11.2892,11.120225
3.1864,36.64225,11.305175,11.1638
3.2019,36.72395,11.335375,11.2431
3.2099,36.8765,11.359725,11.2756
3.232275,37.41,11.4432,11.38725
3.24805,37.416275,11.4697,11.4042
3.25865,37.643575,11.49765,11.43575
3.26575,37.7221,11.56515,11.467125
3.2846,37.778125,11.70065,11.49775
3.29895,37.793775,11.866175,11.624275
3.32145,37.8215,11.91715,11.7329
3.334375,37.866275,11.948125,11.7439
3.34215,38.177225,11.9821,11.77345
3.349725,38.204,12.0419,11.7799
3.36355,38.32765,12.16835,11.8062
3.372975,38.43905,12.199275,11.847375
3.38565,38.47645,12.24535,11.868675
3.394125,38.632775,12.287175,11.924475
3.4033,38.738425,12.38755,11.988675
3.41035,38.8139,12.4221,12.026425
3.423,38.8518,12.543975,12.06715
3.439125,38.9007,12.592525,12.102025
3.450875,38.981825,12.63865,12.1419
3.456675,38.994675,12.67195,12.14415
3.4638,39.130175,12.705575,12.186175
3.468675,39.21285,12.748175,12.227325
3.475825,39.23065,12.843925,12.283475
3.492025,39.28735,12.89255,12.33575
3.52315,39.5711,12.938975,12.39655
3.53445,39.7205,12.953625,12.410125
3.550025,39.742075,12.98455,12.47205
3.564725,39.856975,12.989375,12.48815
3.571625,39.8751,13.075675,12.7349
3.57825,40.06705,13.162025,12.749075
3.618375,40.10315,13.2157,12.7636
3.6268,40.389875,13.278925,12.804625
3.640575,40.51515,13.340675,12.859425
3.662625,40.668725,13.403575,12.87105
3.676175,40.8291,13.439,12.923375
3.70895,40.884575,13.49275,12.951625
3.720875,41.2167,13.59085,12.9835
3.74655,41.244175,13.693,13.086625
3.754325,41.31845,13.7581,13.15965
3.77135,41.401925,13.886675,13.182775
3.796475,41.4972,13.92875,13.221375
3.805875,41.5301,13.9981,13.240075
3.817625,41.635075,14.032675,13.2462
3.83735,41.646175,14.062075,13.292825
