SPK_SPKC02a (inhibited),SPK_SPKC04a (inhibited)
0.019,0.0104
0.021925,0.025025
0.044775,0.0401
0.05445,0.067775
0.061775,0.082625
0.08525,0.095425
0.219375,0.1102
0.310975,0.131925
0.3801,0.170975
0.459425,0.187725
0.49605,0.212975
0.5225,0.2489
0.6082,0.283175
0.61555,0.307375
0.6424,0.337475
0.682525,0.365725
0.7321,0.384
0.77265,0.405975
0.813325,0.433775
0.874875,0.45315
0.918975,0.479525
0.9694,0.50825
1.074725,0.523925
1.108175,0.58065
1.153,0.622325
1.175925,0.641575
1.1943,0.6626
1.245775,0.6844
1.284275,0.709325
1.423825,0.72495
1.462975,0.742
1.518325,0.764475
1.56455,0.7928
1.5698,0.827325
1.621275,0.849625
1.622875,0.86125
1.64835,0.882875
1.69285,1.048775
1.730325,1.07225
1.755725,1.0923
1.783475,1.10345
1.831825,1.125325
1.864225,1.170125
1.9661,1.184775
2.0608,1.20875
2.09455,1.22415
2.12745,1.245775
2.1541,1.261
2.18895,1.28215
2.23885,1.311625
2.28555,1.336175
2.321475,1.34875
2.345325,1.37185
2.37645,1.3917
2.42405,1.44885
2.46205,1.466875
2.505725,1.489725
2.649225,1.522025
2.688175,1.55405
2.745625,1.5727
2.754525,1.589275
2.800875,1.615125
2.829475,1.643
2.8557,1.66265
2.857775,1.68535
2.8613,1.707375
2.91545,1.726725
2.937225,1.785475
2.949625,1.8151
2.9527,1.835675
2.98985,1.84975
3.0401,1.866925
3.1499,1.902875
3.1972,1.92615
3.244325,1.94665
3.304025,1.968425
3.341225,1.991425
3.36635,2.013575
3.414475,2.0248
3.4948,2.04475
3.58375,2.135075
3.694025,2.166225
3.727325,2.183825
3.7484,2.191025
3.796725,2.21775
3.924225,2.22845
3.962925,2.253475
4.017175,2.2696
4.04345,2.2802
4.103925,2.289925
4.12645,2.3002
4.15035,2.309625
4.20765,2.322575
4.240025,2.342325
4.27005,2.353075
4.34105,2.3592
4.377525,2.4027
4.422,2.44635
4.47345,2.4784
4.593175,2.500575
4.6522,2.6738
4.712225,2.697225
4.744775,2.7119
4.747675,2.723175
4.788775,2.733
4.841175,2.74795
4.86235,2.760075
4.906025,2.778425
4.9301,2.791725
4.97335,2.810025
5.01215,2.823425
5.031775,2.83645
5.07505,2.9111
5.158125,2.927275
5.191825,2.955025
5.2765,2.968125
5.356025,2.983275
5.393925,3.03795
5.466975,3.053525
5.511225,3.0679
5.535,3.0837
5.5379,3.095825
5.587575,3.12995
5.663025,3.16005
5.709125,3.1753
5.743225,3.200525
5.78925,3.227725
5.8133,3.2512
5.8654,3.2973
5.89035,3.318025
5.921025,3.33875
5.96725,3.362075
5.9921,3.370775
6.0955,3.3821
6.165425,3.40245
6.2029,3.419425
6.256775,3.447075
6.267975,3.4622
6.308675,3.5013
6.329,3.530225
6.41335,3.557075
6.454075,3.580125
6.492625,3.60055
6.53035,3.6253
6.571525,3.644325
6.60185,3.665625
6.642075,3.690625
6.712925,3.70875
6.7639,3.748225
6.82265,3.779925
6.8293,3.795
6.846425,3.812725
6.869875,3.832625
6.995675,3.853675
7.0738,3.875775
7.082875,3.896775
7.084725,3.9096
7.11225,3.933025
7.1497,3.943625
7.1847,3.95995
7.24905,3.98175
7.2732,3.99395
7.313775,4.032525
7.36285,4.0376
7.442325,4.0746
7.498675,4.089025
7.564475,4.109925
7.649725,4.121925
7.7257,4.13395
7.768125,4.143
7.83385,4.1631
7.8585,4.17575
7.94465,4.187475
7.99735,4.2087
8.050175,4.228425
8.12145,4.244475
8.1373,4.26525
8.16975,4.29545
8.2106,4.310025
8.23215,4.311925
8.2636,4.329075
8.311125,4.350375
8.3495,4.36735
8.3781,4.4049
8.39865,4.444125
8.4344,4.459575
8.496625,4.47265
8.527675,4.478275
8.554825,4.524225
8.597325,4.538675
8.6886,4.54395
8.731375,4.5605
8.7669,4.585125
8.795875,4.586825
8.8322,4.59465
8.8661,4.602
8.908625,4.621325
8.9387,4.667775
8.98295,4.7043
9.09625,4.718325
9.129925,4.735075
9.1795,4.761825
9.207675,4.8184
9.25585,4.838825
9.3101,4.8526
9.376625,4.901725
9.412075,4.93805
9.461,4.980775
9.4951,5.018575
9.549575,5.05165
9.59715,5.0993
9.6362,5.133575
9.673275,5.184975
9.694975,5.2089
9.72765,5.2396
9.780325,5.275775
9.83535,5.299275
9.863325,5.351675
9.902575,5.4469
9.948775,5.4554
10.036475,5.468675
10.070575,5.480825
10.12235,5.5065
10.150825,5.52395
10.178675,5.5407
10.216275,5.57335
10.23385,5.635525
10.29125,5.664325
10.4185,5.6935
10.5374,5.7085
10.548,5.7216
10.5613,5.732925
10.583375,5.73435
10.5852,5.7625
10.608625,5.79355
10.6947,5.8403
10.75755,5.879725
10.908825,5.913475
10.954275,5.9443
11.010675,5.9732
11.0344,6.0069
11.044475,6.021775
11.0628,6.066875
11.0864,6.0971
11.170125,6.1125
11.207175,6.1257
11.303975,6.135625
11.324825,6.140975
11.396525,6.161025
11.43035,6.174475
11.508125,6.213625
11.5645,6.233775
11.6183,6.265375
11.644875,6.27255
11.72205,6.2952
11.802275,6.329
11.869975,6.35145
12.031475,6.36705
12.0998,6.415925
12.138525,6.445425
12.212325,6.46275
12.232825,6.478075
12.26205,6.49455
12.32505,6.51795
12.3723,6.5433
12.415125,6.560075
12.42145,6.57295
12.475975,6.6267
12.513175,6.629525
12.583725,6.644875
12.632525,6.667275
12.67705,6.723175
12.71375,6.734775
12.7569,6.768375
12.803575,6.798925
12.846975,6.83705
12.93995,6.871925
13.034925,6.88855
13.0748,6.908575
13.116725,6.9277
13.168925,6.95805
13.220825,6.974825
13.28735,6.995875
13.3311,7.022075
13.37405,7.039125
13.40175,7.041075
13.506175,7.077525
13.530975,7.095925
13.569325,7.1095
13.613575,7.127975
13.64555,7.146525
13.686675,7.1598
13.7399,7.1641
13.7884,7.17945
13.85245,7.19505
13.90055,7.24725
13.98315,7.30185
13.986575,7.315
14.030025,7.338025
14.059125,7.357275
14.091725,7.3787
14.176375,7.403175
14.206375,7.412725
14.226275,7.437725
14.26955,7.48805
14.2789,7.5093
14.328225,7.546775
14.3871,7.572825
14.409425,7.587025
14.43495,7.621175
14.53655,7.6414
14.587975,7.6758
14.612075,7.70325
14.641775,7.762275
14.682175,7.778225
14.713775,7.793525
14.7472,7.82295
14.7856,7.899575
14.81055,7.9235
14.85915,7.948275
14.926825,8.0298
14.966775,8.03815
15.04,8.052825
15.09095,8.07015
15.142275,8.118475
15.220125,8.12665
15.2794,8.1699
15.3315,8.193025
15.369,8.2201
15.4826,8.2586
15.5537,8.285875
15.600875,8.337875
15.6325,8.35235
15.673,8.3826
15.7001,8.40755
15.737,8.4293
15.745275,8.444475
15.787575,8.47605
15.85325,8.52855
15.87925,8.555275
15.924775,8.624725
15.95755,8.636
16.005875,8.6458
16.029975,8.673325
16.067175,8.755325
16.106925,8.773775
16.1558,8.796775
16.24295,8.833675
16.3007,8.91055
16.331725,8.93835
16.3603,8.98995
16.406775,9.04755
16.4891,9.091825
16.514525,9.12795
16.581875,9.150975
16.6105,9.2104
16.642325,9.322975
16.654025,9.343025
16.695425,9.374525
16.718525,9.414725
16.743425,9.433075
16.777125,9.4652
16.8281,9.4958
16.847625,9.540375
16.873225,9.68025
16.8939,9.70545
17.0066,9.72525
17.03145,9.7466
17.0362,9.7898
17.091625,9.8146
17.15985,9.84345
17.224825,9.868275
17.249175,9.901525
17.310175,9.920475
17.34775,9.9389
17.386025,9.9933
17.4675,10.025575
17.554675,10.0438
17.629075,10.074225
17.64865,10.080175
17.66715,10.10115
17.697075,10.129025
17.798625,10.14715
17.96355,10.151525
17.98575,10.17615
18.087625,10.190425
18.173975,10.213475
18.1948,10.229675
18.211,10.251725
18.24405,10.271975
18.2555,10.283525
18.339575,10.305925
18.400025,10.389775
18.4224,10.40495
18.454125,10.4205
18.52175,10.460725
18.569975,10.47145
18.6111,10.482375
18.613125,10.494125
18.697,10.506875
18.74585,10.5193
18.798225,10.5321
18.8288,10.539575
18.864275,10.554525
18.917525,10.57015
18.969575,10.584775
19.039325,10.606175
19.086125,10.623325
19.141125,10.64145
19.215875,10.650725
19.2453,10.7037
19.32025,10.747275
19.343075,10.768225
19.402875,10.7777
19.447325,10.83095
19.50045,10.847
19.54485,10.89115
19.583775,10.91725
19.640175,10.95375
19.69,10.968025
19.7165,10.9816
19.7361,11.006175
19.7686,11.054025
19.807325,11.07505
19.8306,11.1032
19.880625,11.130875
19.938175,11.154925
19.970675,11.17995
20.01665,11.207475
20.042225,11.231375
20.1108,11.237475
20.16285,11.276125
20.230425,11.29615
20.24165,11.31805
20.26645,11.370675
20.352475,11.3999
20.396275,11.417425
20.4298,11.43735
20.52635,11.452325
20.6656,11.4683
20.6972,11.493125
20.747575,11.51045
20.79485,11.557375
20.808625,11.566475
20.855775,11.57255
20.94455,11.6361
21.0003,11.65185
21.045525,11.668625
21.188725,11.69065
21.242075,11.717325
21.30325,11.851525
21.313175,11.87775
21.329,11.89315
21.373725,11.904975
21.41325,11.92605
21.455775,11.9468
21.47875,11.9669
21.544075,11.988975
21.595125,12.012625
21.6388,12.0232
21.710275,12.04435
21.74215,12.065975
21.780125,12.08945
21.819625,12.1402
21.875025,12.18785
21.90795,12.216125
21.97555,12.23475
22.01,12.253525
22.030625,12.25915
22.0908,12.265225
22.149275,12.2739
22.176275,12.282575
22.2817,12.283625
22.363425,12.318625
22.473125,12.341175
22.51695,12.3733
22.6201,12.45995
22.641875,12.47995
22.70765,12.496625
22.734225,12.526425
22.777325,12.5452
22.834925,12.572975
22.888475,12.59
22.92985,12.611425
22.959875,12.617925
23.017875,12.636225
23.037025,12.6428
23.0845,12.650275
23.124575,12.65805
23.254975,12.73655
23.287125,12.746
23.314225,12.758825
23.381925,12.771825
23.448625,12.784975
23.488775,12.814725
23.5158,12.8258
23.552425,12.847975
23.582575,12.86415
23.598,12.90295
23.626525,12.920975
23.655575,12.9643
23.68335,12.97045
23.727725,12.980025
23.752775,12.98315
23.8078,13.022075
23.88205,13.0328
23.9108,13.047475
23.933525,13.059525
23.967675,13.091825
24.044275,13.115225
24.073,13.148375
24.130275,13.1658
24.167175,13.18015
24.20665,13.195225
24.261475,13.21215
24.3327,13.2292
24.391375,13.2486
24.465025,13.27135
24.57535,13.31045
24.619825,13.3723
24.661975,13.393625
24.691,13.405475
24.715675,13.418375
24.727375,13.4281
24.754275,13.459675
24.7936,13.4846
24.830975,13.511825
24.879775,13.5334
24.8851,13.55905
24.8969,13.594875
